false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.202
         0.000,         0.003,         0.202
         0.000,         0.005,         0.197
         0.001,         0.005,         0.194
         0.001,         0.008,         0.189
         0.001,         0.008,         0.187
         0.001,         0.015,         0.177
         0.002,         0.015,         0.170
         0.002,         0.018,         0.166
         0.002,         0.018,         0.163
         0.002,         0.020,         0.162
         0.002,         0.020,         0.159
         0.002,         0.028,         0.157
         0.002,         0.028,         0.157
         0.002,         0.030,         0.154
         0.002,         0.030,         0.154
         0.002,         0.033,         0.154
         0.003,         0.033,         0.149
         0.003,         0.035,         0.148
         0.004,         0.035,         0.143
         0.004,         0.038,         0.143
         0.005,         0.038,         0.141
         0.005,         0.043,         0.139
         0.006,         0.043,         0.135
         0.006,         0.048,         0.134
         0.007,         0.048,         0.134
         0.007,         0.053,         0.134
         0.007,         0.053,         0.133
         0.007,         0.056,         0.133
         0.007,         0.056,         0.132
         0.007,         0.058,         0.131
         0.007,         0.058,         0.129
         0.007,         0.066,         0.128
         0.008,         0.066,         0.128
         0.008,         0.068,         0.125
         0.008,         0.068,         0.124
         0.008,         0.076,         0.122
         0.009,         0.076,         0.121
         0.009,         0.086,         0.120
         0.009,         0.086,         0.120
         0.009,         0.096,         0.118
         0.009,         0.096,         0.118
         0.009,         0.098,         0.118
         0.010,         0.098,         0.116
         0.010,         0.101,         0.115
         0.010,         0.101,         0.115
         0.010,         0.106,         0.115
         0.010,         0.106,         0.114
         0.010,         0.109,         0.114
         0.011,         0.109,         0.114
         0.011,         0.124,         0.113
         0.011,         0.124,         0.112
         0.011,         0.129,         0.110
         0.011,         0.129,         0.110
         0.011,         0.134,         0.109
         0.012,         0.134,         0.109
         0.012,         0.146,         0.107
         0.012,         0.146,         0.107
         0.012,         0.149,         0.106
         0.012,         0.149,         0.106
         0.012,         0.152,         0.106
         0.012,         0.152,         0.106
         0.012,         0.157,         0.105
         0.012,         0.157,         0.105
         0.012,         0.159,         0.105
         0.013,         0.159,         0.103
         0.013,         0.164,         0.102
         0.014,         0.164,         0.102
         0.014,         0.167,         0.102
         0.014,         0.167,         0.101
         0.014,         0.169,         0.100
         0.015,         0.169,         0.097
         0.015,         0.179,         0.096
         0.016,         0.179,         0.095
         0.016,         0.182,         0.095
         0.016,         0.182,         0.095
         0.016,         0.184,         0.095
         0.017,         0.184,         0.094
         0.017,         0.189,         0.093
         0.017,         0.189,         0.092
         0.017,         0.207,         0.090
         0.017,         0.207,         0.090
         0.017,         0.210,         0.090
         0.017,         0.210,         0.090
         0.017,         0.215,         0.089
         0.018,         0.215,         0.088
         0.018,         0.222,         0.088
         0.018,         0.222,         0.088
         0.018,         0.225,         0.088
         0.019,         0.225,         0.087
         0.019,         0.232,         0.087
         0.019,         0.232,         0.086
         0.019,         0.240,         0.086
         0.020,         0.240,         0.085
         0.020,         0.242,         0.084
         0.020,         0.242,         0.083
         0.020,         0.245,         0.083
         0.021,         0.245,         0.082
         0.021,         0.250,         0.081
         0.021,         0.250,         0.081
         0.021,         0.253,         0.081
         0.022,         0.253,         0.080
         0.022,         0.258,         0.080
         0.022,         0.258,         0.078
         0.022,         0.260,         0.078
         0.023,         0.260,         0.078
         0.023,         0.263,         0.078
         0.023,         0.263,         0.078
         0.023,         0.268,         0.077
         0.024,         0.268,         0.076
         0.024,         0.273,         0.076
         0.024,         0.273,         0.076
         0.024,         0.280,         0.075
         0.025,         0.280,         0.074
         0.025,         0.283,         0.074
         0.025,         0.283,         0.074
         0.025,         0.288,         0.074
         0.026,         0.288,         0.073
         0.026,         0.290,         0.073
         0.026,         0.290,         0.072
         0.026,         0.293,         0.072
         0.027,         0.293,         0.071
         0.027,         0.298,         0.071
         0.028,         0.298,         0.069
         0.028,         0.301,         0.069
         0.028,         0.301,         0.069
         0.028,         0.306,         0.068
         0.028,         0.306,         0.067
         0.028,         0.308,         0.067
         0.029,         0.308,         0.067
         0.029,         0.318,         0.066
         0.029,         0.318,         0.066
         0.029,         0.321,         0.065
         0.029,         0.321,         0.065
         0.029,         0.323,         0.065
         0.030,         0.323,         0.064
         0.030,         0.326,         0.064
         0.030,         0.326,         0.063
         0.030,         0.331,         0.063
         0.030,         0.331,         0.063
         0.030,         0.333,         0.063
         0.031,         0.333,         0.063
         0.031,         0.336,         0.063
         0.031,         0.336,         0.063
         0.031,         0.338,         0.063
         0.031,         0.338,         0.062
         0.031,         0.343,         0.062
         0.032,         0.343,         0.062
         0.032,         0.346,         0.062
         0.032,         0.346,         0.061
         0.032,         0.348,         0.061
         0.032,         0.348,         0.061
         0.032,         0.354,         0.061
         0.033,         0.354,         0.060
         0.033,         0.356,         0.060
         0.033,         0.356,         0.060
         0.033,         0.359,         0.060
         0.034,         0.359,         0.060
         0.034,         0.361,         0.060
         0.034,         0.361,         0.060
         0.034,         0.366,         0.059
         0.034,         0.366,         0.058
         0.034,         0.374,         0.057
         0.035,         0.374,         0.056
         0.035,         0.379,         0.056
         0.036,         0.379,         0.056
         0.036,         0.381,         0.055
         0.036,         0.381,         0.055
         0.036,         0.384,         0.055
         0.036,         0.384,         0.054
         0.036,         0.386,         0.054
         0.037,         0.386,         0.054
         0.037,         0.389,         0.054
         0.037,         0.389,         0.054
         0.037,         0.394,         0.053
         0.037,         0.394,         0.053
         0.037,         0.399,         0.053
         0.037,         0.399,         0.051
         0.037,         0.404,         0.050
         0.041,         0.404,         0.045
         0.041,         0.409,         0.045
         0.042,         0.409,         0.044
         0.042,         0.412,         0.043
         0.043,         0.412,         0.042
         0.043,         0.414,         0.042
         0.043,         0.414,         0.041
         0.043,         0.417,         0.041
         0.043,         0.417,         0.041
         0.043,         0.422,         0.040
         0.044,         0.422,         0.040
         0.044,         0.424,         0.040
         0.044,         0.424,         0.039
         0.044,         0.432,         0.038
         0.044,         0.432,         0.038
         0.044,         0.434,         0.038
         0.046,         0.434,         0.037
         0.046,         0.449,         0.036
         0.046,         0.449,         0.035
         0.046,         0.452,         0.035
         0.046,         0.452,         0.035
         0.046,         0.455,         0.034
         0.047,         0.455,         0.033
         0.047,         0.460,         0.033
         0.048,         0.460,         0.032
         0.048,         0.462,         0.031
         0.048,         0.462,         0.031
         0.048,         0.467,         0.030
         0.048,         0.467,         0.030
         0.048,         0.475,         0.028
         0.049,         0.475,         0.027
         0.049,         0.477,         0.027
         0.050,         0.477,         0.025
         0.050,         0.480,         0.025
         0.050,         0.480,         0.025
         0.050,         0.482,         0.024
         0.051,         0.482,         0.024
         0.051,         0.487,         0.024
         0.052,         0.487,         0.022
         0.052,         0.492,         0.022
         0.052,         0.492,         0.021
         0.052,         0.495,         0.021
         0.052,         0.495,         0.020
         0.052,         0.497,         0.020
         0.053,         0.497,         0.020
         0.053,         0.500,         0.019
         0.053,         0.500,         0.019
         0.053,         0.503,         0.019
         0.054,         0.503,         0.019
         0.054,         0.505,         0.019
         0.054,         0.505,         0.019
         0.054,         0.508,         0.019
         0.055,         0.508,         0.017
         0.055,         0.510,         0.017
         0.055,         0.510,         0.017
         0.055,         0.513,         0.017
         0.056,         0.513,         0.017
         0.056,         0.515,         0.017
         0.056,         0.515,         0.016
         0.056,         0.518,         0.016
         0.057,         0.518,         0.015
         0.057,         0.525,         0.014
         0.057,         0.525,         0.014
         0.057,         0.528,         0.014
         0.058,         0.528,         0.012
         0.058,         0.530,         0.011
         0.059,         0.530,         0.010
         0.059,         0.533,         0.009
         0.060,         0.533,         0.009
         0.060,         0.535,         0.008
         0.061,         0.535,         0.004
         0.061,         0.538,         0.004
         0.062,         0.538,         0.004
         0.062,         0.540,         0.003
         0.062,         0.540,         0.003
         0.062,         0.543,         0.003
         0.063,         0.543,         0.002
         0.063,         0.548,         0.001
         0.063,         0.548,         0.001
         0.063,         0.553,         0.001
         0.063,         0.553,         0.001
         0.063,         0.556,         0.001
         0.064,         0.556,        -0.001
         0.064,         0.558,        -0.001
         0.065,         0.558,        -0.001
         0.065,         0.561,        -0.001
         0.065,         0.561,        -0.002
         0.065,         0.563,        -0.002
         0.066,         0.563,        -0.003
         0.066,         0.566,        -0.003
         0.067,         0.566,        -0.003
         0.067,         0.568,        -0.003
         0.068,         0.568,        -0.004
         0.068,         0.573,        -0.004
         0.068,         0.573,        -0.005
         0.068,         0.576,        -0.005
         0.070,         0.576,        -0.007
         0.070,         0.578,        -0.007
         0.070,         0.578,        -0.008
         0.070,         0.581,        -0.008
         0.070,         0.581,        -0.008
         0.070,         0.583,        -0.010
         0.073,         0.583,        -0.013
         0.073,         0.586,        -0.013
         0.073,         0.586,        -0.013
         0.073,         0.591,        -0.013
         0.074,         0.591,        -0.015
         0.074,         0.593,        -0.015
         0.076,         0.593,        -0.016
         0.076,         0.598,        -0.016
         0.079,         0.598,        -0.021
         0.079,         0.601,        -0.021
         0.079,         0.601,        -0.022
         0.079,         0.604,        -0.022
         0.079,         0.604,        -0.022
         0.079,         0.606,        -0.022
         0.080,         0.606,        -0.023
         0.080,         0.611,        -0.023
         0.082,         0.611,        -0.025
         0.082,         0.614,        -0.025
         0.083,         0.614,        -0.026
         0.083,         0.616,        -0.026
         0.083,         0.616,        -0.026
         0.083,         0.624,        -0.027
         0.084,         0.624,        -0.028
         0.084,         0.631,        -0.028
         0.084,         0.631,        -0.029
         0.084,         0.641,        -0.030
         0.085,         0.641,        -0.030
         0.085,         0.644,        -0.031
         0.086,         0.644,        -0.032
         0.086,         0.646,        -0.032
         0.086,         0.646,        -0.032
         0.086,         0.649,        -0.033
         0.087,         0.649,        -0.033
         0.087,         0.652,        -0.033
         0.087,         0.652,        -0.034
         0.087,         0.657,        -0.034
         0.088,         0.657,        -0.034
         0.088,         0.659,        -0.034
         0.088,         0.659,        -0.034
         0.088,         0.662,        -0.035
         0.091,         0.662,        -0.037
         0.091,         0.664,        -0.037
         0.092,         0.664,        -0.039
         0.092,         0.667,        -0.039
         0.092,         0.667,        -0.039
         0.092,         0.669,        -0.039
         0.094,         0.669,        -0.040
         0.094,         0.672,        -0.040
         0.094,         0.672,        -0.041
         0.094,         0.674,        -0.041
         0.096,         0.674,        -0.042
         0.096,         0.679,        -0.042
         0.096,         0.679,        -0.043
         0.096,         0.682,        -0.043
         0.097,         0.682,        -0.043
         0.097,         0.684,        -0.043
         0.097,         0.684,        -0.044
         0.097,         0.687,        -0.044
         0.097,         0.687,        -0.044
         0.097,         0.689,        -0.044
         0.098,         0.689,        -0.045
         0.098,         0.692,        -0.045
         0.099,         0.692,        -0.046
         0.099,         0.694,        -0.046
         0.101,         0.694,        -0.047
         0.101,         0.697,        -0.047
         0.101,         0.697,        -0.048
         0.101,         0.699,        -0.048
         0.102,         0.699,        -0.049
         0.102,         0.702,        -0.049
         0.103,         0.702,        -0.051
         0.103,         0.705,        -0.051
         0.103,         0.705,        -0.052
         0.103,         0.707,        -0.052
         0.104,         0.707,        -0.052
         0.104,         0.710,        -0.053
         0.105,         0.710,        -0.053
         0.105,         0.712,        -0.053
         0.106,         0.712,        -0.056
         0.106,         0.715,        -0.056
         0.107,         0.715,        -0.057
         0.107,         0.720,        -0.058
         0.108,         0.720,        -0.058
         0.110,         0.720,        -0.061
         0.110,         0.722,        -0.061
         0.112,         0.722,        -0.063
         0.112,         0.725,        -0.063
         0.114,         0.725,        -0.065
         0.114,         0.727,        -0.065
         0.114,         0.727,        -0.065
         0.114,         0.730,        -0.065
         0.118,         0.730,        -0.068
         0.118,         0.735,        -0.069
         0.118,         0.735,        -0.069
         0.118,         0.740,        -0.069
         0.118,         0.740,        -0.069
         0.118,         0.742,        -0.069
         0.119,         0.742,        -0.070
         0.119,         0.745,        -0.070
         0.120,         0.745,        -0.072
         0.120,         0.750,        -0.073
         0.123,         0.750,        -0.076
         0.123,         0.753,        -0.076
         0.126,         0.753,        -0.078
         0.126,         0.760,        -0.079
         0.127,         0.760,        -0.081
         0.127,         0.763,        -0.081
         0.129,         0.763,        -0.082
         0.129,         0.765,        -0.083
         0.130,         0.765,        -0.084
         0.130,         0.768,        -0.084
         0.135,         0.768,        -0.088
         0.135,         0.770,        -0.088
         0.135,         0.770,        -0.089
         0.135,         0.775,        -0.089
         0.137,         0.775,        -0.090
         0.137,         0.780,        -0.091
         0.138,         0.780,        -0.091
         0.138,         0.783,        -0.091
         0.139,         0.783,        -0.092
         0.139,         0.785,        -0.092
         0.140,         0.785,        -0.094
         0.140,         0.788,        -0.094
         0.141,         0.788,        -0.094
         0.141,         0.790,        -0.094
         0.142,         0.790,        -0.094
         0.142,         0.793,        -0.095
         0.142,         0.793,        -0.095
         0.142,         0.795,        -0.095
         0.144,         0.795,        -0.098
         0.144,         0.798,        -0.098
         0.148,         0.798,        -0.102
         0.148,         0.801,        -0.102
         0.148,         0.801,        -0.102
         0.148,         0.803,        -0.102
         0.150,         0.803,        -0.104
         0.150,         0.806,        -0.104
         0.150,         0.806,        -0.105
         0.150,         0.808,        -0.105
         0.151,         0.808,        -0.106
         0.151,         0.811,        -0.106
         0.152,         0.811,        -0.108
         0.152,         0.813,        -0.108
         0.153,         0.813,        -0.110
         0.153,         0.816,        -0.110
         0.155,         0.816,        -0.112
         0.155,         0.818,        -0.112
         0.158,         0.818,        -0.113
         0.158,         0.821,        -0.113
         0.158,         0.821,        -0.114
         0.158,         0.823,        -0.115
         0.161,         0.823,        -0.117
         0.161,         0.826,        -0.118
         0.162,         0.826,        -0.118
         0.162,         0.828,        -0.118
         0.163,         0.828,        -0.120
         0.163,         0.831,        -0.120
         0.167,         0.831,        -0.123
