false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.823
         0.000,         0.003,         0.823
         0.000,         0.030,         0.797
         0.000,         0.030,         0.792
         0.000,         0.033,         0.790
         0.001,         0.033,         0.790
         0.001,         0.035,         0.789
         0.001,         0.035,         0.781
         0.001,         0.040,         0.780
         0.002,         0.040,         0.779
         0.002,         0.058,         0.769
         0.002,         0.058,         0.767
         0.002,         0.063,         0.765
         0.003,         0.063,         0.764
         0.003,         0.066,         0.763
         0.003,         0.066,         0.763
         0.003,         0.073,         0.760
         0.003,         0.073,         0.760
         0.003,         0.076,         0.759
         0.004,         0.076,         0.758
         0.004,         0.083,         0.756
         0.004,         0.083,         0.755
         0.004,         0.091,         0.753
         0.004,         0.091,         0.752
         0.004,         0.093,         0.751
         0.004,         0.093,         0.751
         0.004,         0.096,         0.751
         0.004,         0.096,         0.751
         0.004,         0.101,         0.750
         0.005,         0.101,         0.749
         0.005,         0.104,         0.748
         0.006,         0.104,         0.745
         0.006,         0.106,         0.745
         0.006,         0.106,         0.744
         0.006,         0.109,         0.744
         0.006,         0.109,         0.744
         0.006,         0.114,         0.744
         0.006,         0.114,         0.744
         0.006,         0.116,         0.743
         0.007,         0.116,         0.742
         0.007,         0.121,         0.742
         0.007,         0.121,         0.741
         0.007,         0.124,         0.741
         0.007,         0.124,         0.741
         0.007,         0.129,         0.739
         0.008,         0.129,         0.739
         0.008,         0.141,         0.737
         0.008,         0.141,         0.736
         0.008,         0.146,         0.736
         0.008,         0.146,         0.736
         0.008,         0.154,         0.735
         0.008,         0.154,         0.735
         0.008,         0.157,         0.734
         0.008,         0.157,         0.734
         0.008,         0.159,         0.734
         0.009,         0.159,         0.734
         0.009,         0.167,         0.732
         0.009,         0.167,         0.731
         0.009,         0.169,         0.731
         0.009,         0.169,         0.731
         0.009,         0.172,         0.730
         0.010,         0.172,         0.728
         0.010,         0.174,         0.728
         0.010,         0.174,         0.728
         0.010,         0.182,         0.727
         0.010,         0.182,         0.727
         0.010,         0.189,         0.726
         0.010,         0.189,         0.726
         0.010,         0.192,         0.725
         0.010,         0.192,         0.725
         0.010,         0.194,         0.725
         0.011,         0.194,         0.724
         0.011,         0.197,         0.724
         0.011,         0.197,         0.722
