false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.766
         0.000,         0.003,         0.766
         0.000,         0.005,         0.761
         0.001,         0.005,         0.758
         0.001,         0.008,         0.753
         0.001,         0.008,         0.751
         0.001,         0.015,         0.741
         0.002,         0.015,         0.734
         0.002,         0.018,         0.729
         0.002,         0.018,         0.727
         0.002,         0.020,         0.725
         0.002,         0.020,         0.723
         0.002,         0.028,         0.721
         0.002,         0.028,         0.721
         0.002,         0.030,         0.718
         0.002,         0.030,         0.718
         0.002,         0.033,         0.717
         0.003,         0.033,         0.713
         0.003,         0.035,         0.712
         0.004,         0.035,         0.707
         0.004,         0.038,         0.707
         0.005,         0.038,         0.705
         0.005,         0.043,         0.703
         0.006,         0.043,         0.699
         0.006,         0.048,         0.698
         0.007,         0.048,         0.698
         0.007,         0.053,         0.698
         0.007,         0.053,         0.697
         0.007,         0.056,         0.697
         0.007,         0.056,         0.696
         0.007,         0.058,         0.695
         0.007,         0.058,         0.693
         0.007,         0.066,         0.692
         0.008,         0.066,         0.692
         0.008,         0.068,         0.689
         0.008,         0.068,         0.688
         0.008,         0.076,         0.685
         0.009,         0.076,         0.685
         0.009,         0.086,         0.684
         0.009,         0.086,         0.684
         0.009,         0.096,         0.682
         0.009,         0.096,         0.682
         0.009,         0.098,         0.682
         0.010,         0.098,         0.680
         0.010,         0.101,         0.679
         0.010,         0.101,         0.679
         0.010,         0.106,         0.679
         0.010,         0.106,         0.678
         0.010,         0.109,         0.678
         0.011,         0.109,         0.678
         0.011,         0.124,         0.677
         0.011,         0.124,         0.676
         0.011,         0.129,         0.674
         0.011,         0.129,         0.674
         0.011,         0.134,         0.673
         0.012,         0.134,         0.673
         0.012,         0.146,         0.671
         0.012,         0.146,         0.670
         0.012,         0.149,         0.670
         0.012,         0.149,         0.670
         0.012,         0.152,         0.670
         0.012,         0.152,         0.670
         0.012,         0.157,         0.669
         0.012,         0.157,         0.669
         0.012,         0.159,         0.669
         0.013,         0.159,         0.667
         0.013,         0.164,         0.666
         0.014,         0.164,         0.666
         0.014,         0.167,         0.666
         0.014,         0.167,         0.665
         0.014,         0.169,         0.664
         0.015,         0.169,         0.661
         0.015,         0.179,         0.660
         0.016,         0.179,         0.659
         0.016,         0.182,         0.659
         0.016,         0.182,         0.659
         0.016,         0.184,         0.659
         0.017,         0.184,         0.658
         0.017,         0.189,         0.657
         0.017,         0.189,         0.656
         0.017,         0.207,         0.654
         0.017,         0.207,         0.654
         0.017,         0.210,         0.654
         0.017,         0.210,         0.654
         0.017,         0.215,         0.653
         0.018,         0.215,         0.652
         0.018,         0.222,         0.652
         0.018,         0.222,         0.651
         0.018,         0.225,         0.651
         0.019,         0.225,         0.651
         0.019,         0.232,         0.651
         0.019,         0.232,         0.650
         0.019,         0.240,         0.649
         0.020,         0.240,         0.648
         0.020,         0.242,         0.648
         0.020,         0.242,         0.647
         0.020,         0.245,         0.647
         0.021,         0.245,         0.646
         0.021,         0.250,         0.645
         0.021,         0.250,         0.645
         0.021,         0.253,         0.645
         0.022,         0.253,         0.644
         0.022,         0.258,         0.644
         0.022,         0.258,         0.642
         0.022,         0.260,         0.642
         0.023,         0.260,         0.642
         0.023,         0.263,         0.642
         0.023,         0.263,         0.642
         0.023,         0.268,         0.641
         0.024,         0.268,         0.640
         0.024,         0.273,         0.640
         0.024,         0.273,         0.640
         0.024,         0.280,         0.639
         0.025,         0.280,         0.638
         0.025,         0.283,         0.638
         0.025,         0.283,         0.638
         0.025,         0.288,         0.638
         0.026,         0.288,         0.637
         0.026,         0.290,         0.637
         0.026,         0.290,         0.636
         0.026,         0.293,         0.636
         0.027,         0.293,         0.635
         0.027,         0.298,         0.635
         0.028,         0.298,         0.633
         0.028,         0.301,         0.633
         0.028,         0.301,         0.633
         0.028,         0.306,         0.632
         0.028,         0.306,         0.631
         0.028,         0.308,         0.631
         0.029,         0.308,         0.631
         0.029,         0.318,         0.630
         0.029,         0.318,         0.629
         0.029,         0.321,         0.629
         0.029,         0.321,         0.629
         0.029,         0.323,         0.628
         0.030,         0.323,         0.628
         0.030,         0.326,         0.628
         0.030,         0.326,         0.627
         0.030,         0.331,         0.627
         0.030,         0.331,         0.627
         0.030,         0.333,         0.627
         0.031,         0.333,         0.627
         0.031,         0.336,         0.627
         0.031,         0.336,         0.627
         0.031,         0.338,         0.627
         0.031,         0.338,         0.626
         0.031,         0.343,         0.626
         0.032,         0.343,         0.626
         0.032,         0.346,         0.625
         0.032,         0.346,         0.625
         0.032,         0.348,         0.625
         0.032,         0.348,         0.625
         0.032,         0.354,         0.624
         0.033,         0.354,         0.624
         0.033,         0.356,         0.624
         0.033,         0.356,         0.624
         0.033,         0.359,         0.624
         0.034,         0.359,         0.624
         0.034,         0.361,         0.624
         0.034,         0.361,         0.623
         0.034,         0.366,         0.623
         0.034,         0.366,         0.622
         0.034,         0.374,         0.621
