false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.645
         0.013,         0.005,         0.645
         0.014,         0.005,         0.552
         0.014,         0.005,         0.545
         0.014,         0.005,         0.522
         0.015,         0.005,         0.521
         0.015,         0.008,         0.514
         0.015,         0.008,         0.509
         0.015,         0.008,         0.502
         0.016,         0.008,         0.497
         0.016,         0.008,         0.492
         0.017,         0.008,         0.490
         0.017,         0.008,         0.488
         0.018,         0.008,         0.485
         0.019,         0.008,         0.480
         0.019,         0.010,         0.479
         0.019,         0.010,         0.478
         0.020,         0.010,         0.476
         0.021,         0.010,         0.471
         0.023,         0.010,         0.468
         0.023,         0.010,         0.466
         0.024,         0.010,         0.465
         0.025,         0.010,         0.464
         0.025,         0.010,         0.463
         0.027,         0.013,         0.461
         0.027,         0.013,         0.459
         0.031,         0.013,         0.459
         0.031,         0.015,         0.459
         0.032,         0.015,         0.455
         0.032,         0.015,         0.453
         0.034,         0.015,         0.435
         0.034,         0.015,         0.431
         0.035,         0.015,         0.428
         0.035,         0.015,         0.426
         0.036,         0.015,         0.424
         0.036,         0.018,         0.423
         0.036,         0.018,         0.422
         0.037,         0.018,         0.422
         0.037,         0.018,         0.421
         0.038,         0.018,         0.418
         0.038,         0.018,         0.416
         0.039,         0.018,         0.416
         0.039,         0.018,         0.414
         0.039,         0.018,         0.414
         0.040,         0.018,         0.413
         0.041,         0.018,         0.412
         0.041,         0.018,         0.411
         0.041,         0.020,         0.410
         0.042,         0.020,         0.406
         0.043,         0.020,         0.404
         0.044,         0.020,         0.402
         0.045,         0.020,         0.402
         0.046,         0.020,         0.401
         0.047,         0.020,         0.400
         0.047,         0.020,         0.398
         0.048,         0.020,         0.396
         0.048,         0.020,         0.396
         0.048,         0.020,         0.395
         0.049,         0.023,         0.394
         0.049,         0.023,         0.394
         0.050,         0.023,         0.392
         0.051,         0.023,         0.392
         0.051,         0.023,         0.391
         0.052,         0.023,         0.390
         0.052,         0.023,         0.389
         0.053,         0.023,         0.389
         0.054,         0.023,         0.388
         0.054,         0.023,         0.388
         0.055,         0.023,         0.387
         0.055,         0.023,         0.387
         0.056,         0.028,         0.386
         0.058,         0.028,         0.384
         0.058,         0.028,         0.384
         0.058,         0.030,         0.383
         0.061,         0.030,         0.382
         0.061,         0.030,         0.382
         0.061,         0.033,         0.382
         0.064,         0.033,         0.380
         0.064,         0.033,         0.380
         0.064,         0.033,         0.379
         0.066,         0.033,         0.378
         0.067,         0.033,         0.378
         0.067,         0.035,         0.377
         0.067,         0.035,         0.377
         0.068,         0.035,         0.377
         0.069,         0.035,         0.375
         0.069,         0.035,         0.375
         0.070,         0.035,         0.374
         0.070,         0.038,         0.373
         0.070,         0.038,         0.372
         0.070,         0.038,         0.372
         0.071,         0.038,         0.371
         0.071,         0.038,         0.369
         0.071,         0.040,         0.368
         0.071,         0.040,         0.367
         0.071,         0.043,         0.367
         0.072,         0.043,         0.365
         0.072,         0.043,         0.365
         0.072,         0.045,         0.362
         0.073,         0.045,         0.362
         0.074,         0.045,         0.360
         0.074,         0.048,         0.360
         0.075,         0.048,         0.357
         0.075,         0.048,         0.357
         0.075,         0.048,         0.357
         0.075,         0.051,         0.355
         0.076,         0.051,         0.355
         0.076,         0.051,         0.355
         0.077,         0.051,         0.353
         0.078,         0.051,         0.353
         0.078,         0.051,         0.352
         0.078,         0.056,         0.352
         0.078,         0.058,         0.351
         0.080,         0.058,         0.349
         0.080,         0.061,         0.349
         0.081,         0.063,         0.348
         0.081,         0.066,         0.348
         0.081,         0.066,         0.347
         0.082,         0.066,         0.346
         0.082,         0.066,         0.346
         0.083,         0.068,         0.345
         0.083,         0.068,         0.345
         0.084,         0.068,         0.345
         0.084,         0.068,         0.344
         0.084,         0.071,         0.344
         0.085,         0.071,         0.343
         0.085,         0.073,         0.343
         0.085,         0.073,         0.343
         0.085,         0.076,         0.343
         0.086,         0.076,         0.343
         0.086,         0.078,         0.342
         0.087,         0.078,         0.341
         0.087,         0.081,         0.341
         0.087,         0.081,         0.341
         0.088,         0.081,         0.340
         0.089,         0.081,         0.340
         0.089,         0.083,         0.339
         0.090,         0.083,         0.339
         0.090,         0.083,         0.338
         0.091,         0.086,         0.338
         0.092,         0.086,         0.337
         0.092,         0.086,         0.336
         0.092,         0.088,         0.336
         0.093,         0.088,         0.336
         0.093,         0.088,         0.336
         0.093,         0.088,         0.336
         0.093,         0.091,         0.335
         0.094,         0.091,         0.335
         0.094,         0.093,         0.334
         0.095,         0.093,         0.334
         0.095,         0.093,         0.334
         0.096,         0.093,         0.333
         0.096,         0.093,         0.333
         0.097,         0.096,         0.333
