false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.645
         0.004,         0.003,         0.645
         0.005,         0.003,         0.497
         0.005,         0.003,         0.490
         0.005,         0.003,         0.485
         0.005,         0.005,         0.479
         0.006,         0.005,         0.471
         0.006,         0.005,         0.468
         0.007,         0.005,         0.461
         0.007,         0.005,         0.459
         0.010,         0.008,         0.456
         0.011,         0.008,         0.445
         0.011,         0.010,         0.423
         0.011,         0.010,         0.418
         0.011,         0.013,         0.415
         0.013,         0.013,         0.391
         0.014,         0.013,         0.388
         0.015,         0.013,         0.387
         0.015,         0.013,         0.386
         0.015,         0.013,         0.384
         0.016,         0.013,         0.384
         0.016,         0.013,         0.382
         0.017,         0.013,         0.380
         0.017,         0.013,         0.378
         0.017,         0.018,         0.377
         0.017,         0.023,         0.373
         0.020,         0.023,         0.373
         0.020,         0.023,         0.370
         0.020,         0.025,         0.368
         0.021,         0.025,         0.363
         0.021,         0.028,         0.362
         0.022,         0.030,         0.360
         0.022,         0.033,         0.360
         0.023,         0.033,         0.352
         0.023,         0.033,         0.350
         0.023,         0.035,         0.349
         0.023,         0.035,         0.349
         0.023,         0.038,         0.349
         0.024,         0.038,         0.348
         0.025,         0.038,         0.344
         0.025,         0.043,         0.343
         0.025,         0.043,         0.342
         0.026,         0.043,         0.342
         0.026,         0.045,         0.341
         0.026,         0.045,         0.340
         0.027,         0.045,         0.340
         0.027,         0.048,         0.339
         0.028,         0.048,         0.335
         0.028,         0.051,         0.335
         0.029,         0.051,         0.331
         0.029,         0.053,         0.330
         0.029,         0.053,         0.329
         0.030,         0.053,         0.327
         0.030,         0.053,         0.326
         0.031,         0.053,         0.325
         0.031,         0.058,         0.324
         0.031,         0.058,         0.324
         0.031,         0.061,         0.324
         0.032,         0.061,         0.324
         0.032,         0.063,         0.323
         0.033,         0.063,         0.323
         0.034,         0.063,         0.322
         0.034,         0.063,         0.322
         0.034,         0.066,         0.320
         0.034,         0.066,         0.320
         0.035,         0.068,         0.319
         0.035,         0.068,         0.319
         0.035,         0.073,         0.318
         0.035,         0.073,         0.317
         0.035,         0.073,         0.316
         0.035,         0.078,         0.315
         0.036,         0.078,         0.315
         0.036,         0.081,         0.314
         0.036,         0.081,         0.313
         0.037,         0.081,         0.313
         0.037,         0.083,         0.312
         0.037,         0.083,         0.311
         0.037,         0.088,         0.310
         0.037,         0.091,         0.309
         0.038,         0.091,         0.309
         0.038,         0.091,         0.308
         0.038,         0.091,         0.308
         0.038,         0.096,         0.307
         0.039,         0.096,         0.307
         0.039,         0.098,         0.307
         0.039,         0.098,         0.306
         0.039,         0.101,         0.305
         0.040,         0.101,         0.303
         0.040,         0.104,         0.302
         0.040,         0.104,         0.302
         0.040,         0.104,         0.302
         0.041,         0.104,         0.301
         0.042,         0.104,         0.301
         0.042,         0.104,         0.299
         0.042,         0.106,         0.299
         0.043,         0.106,         0.298
         0.044,         0.106,         0.298
         0.044,         0.109,         0.297
         0.044,         0.109,         0.297
         0.045,         0.109,         0.296
         0.045,         0.109,         0.295
         0.046,         0.109,         0.295
         0.046,         0.109,         0.295
         0.046,         0.111,         0.294
         0.047,         0.111,         0.294
         0.047,         0.111,         0.294
         0.047,         0.111,         0.293
         0.048,         0.111,         0.293
         0.048,         0.111,         0.292
         0.048,         0.111,         0.292
         0.049,         0.111,         0.291
         0.049,         0.114,         0.291
         0.049,         0.114,         0.291
         0.049,         0.116,         0.290
         0.049,         0.116,         0.290
         0.050,         0.116,         0.290
         0.050,         0.121,         0.290
         0.051,         0.121,         0.289
         0.051,         0.126,         0.289
         0.052,         0.126,         0.289
         0.052,         0.126,         0.288
         0.052,         0.129,         0.288
         0.052,         0.129,         0.287
         0.052,         0.131,         0.287
         0.053,         0.131,         0.285
         0.054,         0.131,         0.284
         0.054,         0.131,         0.283
