false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.870
         0.000,         0.003,         0.870
         0.000,         0.056,         0.826
         0.000,         0.061,         0.825
         0.000,         0.122,         0.796
         0.000,         0.128,         0.796
         0.000,         0.130,         0.794
         0.000,         0.130,         0.793
         0.000,         0.140,         0.788
         0.000,         0.140,         0.788
         0.000,         0.319,         0.733
         0.001,         0.319,         0.733
         0.001,         0.380,         0.720
         0.001,         0.380,         0.719
         0.001,         0.423,         0.709
         0.001,         0.423,         0.709
         0.001,         0.454,         0.704
         0.001,         0.454,         0.703
         0.001,         0.531,         0.689
         0.001,         0.531,         0.688
         0.001,         0.574,         0.672
         0.002,         0.574,         0.671
         0.002,         0.577,         0.671
         0.002,         0.577,         0.671
         0.002,         0.584,         0.668
         0.002,         0.584,         0.667
         0.002,         0.594,         0.665
         0.002,         0.594,         0.665
         0.002,         0.615,         0.660
         0.003,         0.615,         0.659
         0.003,         0.638,         0.657
         0.003,         0.638,         0.657
         0.003,         0.640,         0.655
         0.003,         0.640,         0.654
         0.003,         0.653,         0.651
         0.003,         0.658,         0.650
         0.003,         0.663,         0.650
         0.003,         0.663,         0.648
         0.003,         0.673,         0.646
         0.004,         0.673,         0.646
         0.004,         0.684,         0.643
         0.004,         0.684,         0.641
         0.004,         0.689,         0.638
         0.005,         0.689,         0.636
         0.005,         0.691,         0.635
         0.005,         0.691,         0.635
         0.005,         0.699,         0.633
         0.005,         0.699,         0.633
         0.005,         0.702,         0.632
         0.006,         0.702,         0.631
         0.006,         0.704,         0.631
         0.006,         0.704,         0.631
         0.006,         0.712,         0.630
         0.006,         0.712,         0.630
         0.006,         0.714,         0.629
         0.006,         0.714,         0.629
         0.006,         0.719,         0.628
         0.007,         0.719,         0.627
         0.007,         0.735,         0.623
         0.007,         0.735,         0.623
         0.007,         0.742,         0.621
         0.007,         0.742,         0.619
         0.007,         0.750,         0.617
         0.008,         0.750,         0.617
         0.008,         0.753,         0.617
         0.008,         0.753,         0.615
         0.008,         0.760,         0.613
         0.008,         0.760,         0.613
         0.008,         0.763,         0.613
         0.008,         0.763,         0.612
         0.008,         0.768,         0.612
         0.009,         0.768,         0.611
         0.009,         0.770,         0.611
         0.009,         0.770,         0.609
         0.009,         0.776,         0.608
         0.010,         0.776,         0.608
         0.010,         0.791,         0.605
         0.010,         0.791,         0.604
         0.010,         0.796,         0.603
         0.011,         0.796,         0.603
         0.011,         0.798,         0.603
         0.011,         0.798,         0.603
         0.011,         0.809,         0.600
         0.012,         0.809,         0.598
         0.012,         0.811,         0.597
         0.012,         0.811,         0.597
         0.012,         0.814,         0.596
         0.013,         0.814,         0.596
         0.013,         0.816,         0.595
         0.013,         0.816,         0.592
         0.013,         0.827,         0.590
         0.014,         0.827,         0.589
         0.014,         0.829,         0.588
         0.014,         0.829,         0.588
         0.014,         0.839,         0.587
         0.014,         0.839,         0.587
         0.014,         0.842,         0.586
         0.015,         0.842,         0.586
         0.015,         0.844,         0.585
         0.016,         0.844,         0.579
         0.016,         0.847,         0.579
         0.017,         0.847,         0.579
         0.017,         0.849,         0.577
         0.017,         0.849,         0.577
         0.017,         0.852,         0.577
         0.018,         0.852,         0.575
         0.018,         0.857,         0.575
         0.018,         0.857,         0.573
         0.018,         0.860,         0.572
         0.019,         0.860,         0.571
         0.019,         0.862,         0.570
         0.019,         0.862,         0.569
         0.019,         0.865,         0.569
         0.020,         0.865,         0.567
         0.020,         0.867,         0.567
         0.021,         0.867,         0.567
         0.021,         0.872,         0.565
         0.021,         0.872,         0.565
         0.021,         0.875,         0.564
         0.022,         0.875,         0.564
         0.022,         0.878,         0.563
         0.022,         0.878,         0.562
         0.022,         0.883,         0.561
         0.024,         0.883,         0.560
         0.024,         0.888,         0.560
         0.025,         0.888,         0.559
         0.025,         0.890,         0.559
         0.026,         0.890,         0.558
         0.026,         0.893,         0.558
         0.026,         0.893,         0.558
         0.026,         0.898,         0.557
         0.027,         0.898,         0.555
         0.027,         0.901,         0.554
         0.028,         0.901,         0.552
         0.028,         0.903,         0.551
         0.029,         0.903,         0.550
         0.029,         0.908,         0.549
         0.029,         0.908,         0.549
         0.029,         0.911,         0.548
         0.030,         0.911,         0.548
         0.030,         0.913,         0.548
         0.030,         0.913,         0.547
         0.030,         0.916,         0.547
         0.030,         0.916,         0.546
         0.030,         0.918,         0.545
         0.030,         0.918,         0.545
         0.030,         0.921,         0.545
         0.031,         0.921,         0.544
         0.031,         0.923,         0.544
         0.036,         0.923,         0.537
         0.036,         0.926,         0.536
         0.039,         0.926,         0.531
         0.039,         0.929,         0.531
         0.041,         0.929,         0.528
         0.041,         0.931,         0.528
         0.041,         0.931,         0.528
         0.041,         0.936,         0.526
         0.041,         0.936,         0.526
         0.042,         0.936,         0.526
         0.042,         0.939,         0.526
         0.045,         0.939,         0.522
         0.045,         0.939,         0.522
         0.048,         0.939,         0.519
         0.048,         0.944,         0.517
         0.049,         0.944,         0.516
         0.049,         0.946,         0.516
         0.050,         0.946,         0.515
         0.050,         0.949,         0.514
         0.052,         0.949,         0.512
         0.052,         0.952,         0.512
         0.053,         0.952,         0.512
         0.053,         0.954,         0.512
         0.057,         0.954,         0.506
         0.057,         0.957,         0.506
         0.057,         0.957,         0.505
         0.057,         0.959,         0.505
         0.065,         0.959,         0.499
         0.065,         0.962,         0.499
         0.069,         0.962,         0.495
         0.069,         0.964,         0.495
         0.074,         0.964,         0.490
         0.074,         0.969,         0.489
         0.077,         0.969,         0.488
         0.077,         0.972,         0.487
