false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.181
         0.000,         0.003,         0.181
         0.000,         0.061,         0.139
         0.000,         0.066,         0.136
         0.000,         0.128,         0.107
         0.000,         0.133,         0.107
         0.000,         0.135,         0.105
         0.000,         0.135,         0.104
         0.000,         0.151,         0.099
         0.000,         0.151,         0.099
         0.000,         0.332,         0.045
         0.001,         0.332,         0.045
         0.001,         0.337,         0.045
         0.001,         0.337,         0.044
         0.001,         0.357,         0.041
         0.001,         0.357,         0.039
         0.001,         0.406,         0.030
         0.001,         0.406,         0.030
         0.001,         0.518,         0.008
         0.001,         0.518,         0.008
         0.001,         0.548,        -0.001
         0.002,         0.548,        -0.001
         0.002,         0.584,        -0.009
         0.002,         0.584,        -0.009
         0.002,         0.592,        -0.017
         0.002,         0.592,        -0.018
         0.002,         0.605,        -0.021
         0.002,         0.605,        -0.021
         0.002,         0.617,        -0.024
         0.002,         0.617,        -0.024
         0.002,         0.638,        -0.029
         0.003,         0.638,        -0.030
         0.003,         0.658,        -0.031
         0.003,         0.658,        -0.032
         0.003,         0.663,        -0.034
         0.003,         0.663,        -0.035
         0.003,         0.673,        -0.038
         0.003,         0.679,        -0.039
         0.003,         0.686,        -0.039
         0.004,         0.686,        -0.041
         0.004,         0.689,        -0.041
         0.004,         0.689,        -0.041
         0.004,         0.699,        -0.043
         0.004,         0.699,        -0.043
         0.004,         0.704,        -0.045
         0.005,         0.704,        -0.048
         0.005,         0.712,        -0.052
         0.005,         0.712,        -0.053
         0.005,         0.714,        -0.054
         0.006,         0.714,        -0.054
         0.006,         0.719,        -0.056
         0.006,         0.719,        -0.056
         0.006,         0.722,        -0.056
         0.006,         0.722,        -0.057
         0.006,         0.724,        -0.057
         0.007,         0.724,        -0.058
         0.007,         0.730,        -0.058
         0.007,         0.730,        -0.058
         0.007,         0.732,        -0.059
         0.007,         0.732,        -0.059
         0.007,         0.735,        -0.059
         0.007,         0.735,        -0.059
         0.007,         0.737,        -0.059
         0.007,         0.737,        -0.060
         0.007,         0.740,        -0.060
         0.008,         0.740,        -0.060
         0.008,         0.747,        -0.062
         0.008,         0.747,        -0.062
         0.008,         0.760,        -0.063
         0.008,         0.760,        -0.064
         0.008,         0.763,        -0.064
         0.008,         0.763,        -0.065
         0.008,         0.765,        -0.066
         0.009,         0.765,        -0.067
         0.009,         0.768,        -0.068
         0.009,         0.768,        -0.070
         0.009,         0.776,        -0.072
         0.010,         0.776,        -0.072
         0.010,         0.781,        -0.073
         0.010,         0.781,        -0.074
         0.010,         0.786,        -0.074
         0.010,         0.786,        -0.076
         0.010,         0.788,        -0.076
         0.011,         0.788,        -0.076
         0.011,         0.791,        -0.076
         0.011,         0.791,        -0.076
         0.011,         0.793,        -0.077
         0.011,         0.793,        -0.078
         0.011,         0.796,        -0.078
         0.012,         0.796,        -0.080
         0.012,         0.798,        -0.081
         0.012,         0.798,        -0.082
         0.012,         0.801,        -0.082
         0.012,         0.801,        -0.082
         0.012,         0.806,        -0.083
         0.013,         0.806,        -0.085
         0.013,         0.809,        -0.085
         0.013,         0.809,        -0.085
         0.013,         0.814,        -0.086
         0.013,         0.814,        -0.086
         0.013,         0.816,        -0.086
         0.014,         0.816,        -0.087
         0.014,         0.821,        -0.089
         0.015,         0.821,        -0.091
         0.015,         0.829,        -0.093
         0.015,         0.829,        -0.093
         0.015,         0.834,        -0.095
         0.016,         0.834,        -0.097
         0.016,         0.847,        -0.098
         0.017,         0.847,        -0.100
         0.017,         0.849,        -0.101
         0.017,         0.849,        -0.101
         0.017,         0.860,        -0.103
         0.019,         0.860,        -0.104
         0.019,         0.865,        -0.104
         0.019,         0.865,        -0.104
         0.019,         0.867,        -0.104
         0.021,         0.867,        -0.109
         0.021,         0.870,        -0.109
         0.022,         0.870,        -0.112
         0.022,         0.872,        -0.112
         0.023,         0.872,        -0.114
         0.023,         0.875,        -0.114
         0.023,         0.875,        -0.114
         0.023,         0.878,        -0.115
         0.024,         0.878,        -0.115
         0.024,         0.880,        -0.116
         0.024,         0.880,        -0.116
         0.024,         0.883,        -0.116
         0.024,         0.883,        -0.117
         0.024,         0.885,        -0.117
         0.024,         0.885,        -0.118
         0.024,         0.888,        -0.118
         0.027,         0.888,        -0.122
         0.027,         0.890,        -0.122
         0.028,         0.890,        -0.124
         0.028,         0.893,        -0.125
         0.029,         0.893,        -0.125
         0.029,         0.895,        -0.126
         0.030,         0.895,        -0.127
         0.030,         0.898,        -0.127
         0.031,         0.898,        -0.128
         0.031,         0.901,        -0.128
         0.031,         0.901,        -0.129
         0.031,         0.903,        -0.129
         0.032,         0.903,        -0.131
         0.032,         0.906,        -0.131
         0.032,         0.906,        -0.131
         0.032,         0.911,        -0.132
         0.033,         0.911,        -0.132
         0.033,         0.913,        -0.133
         0.035,         0.913,        -0.136
