false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.807
         0.000,         0.003,         0.807
         0.000,         0.003,         0.796
         0.000,         0.008,         0.793
         0.001,         0.008,         0.773
         0.001,         0.010,         0.772
         0.003,         0.010,         0.757
         0.003,         0.013,         0.756
         0.003,         0.013,         0.756
         0.003,         0.015,         0.756
         0.003,         0.015,         0.755
         0.004,         0.015,         0.755
         0.005,         0.015,         0.751
         0.005,         0.018,         0.748
         0.005,         0.018,         0.747
         0.005,         0.021,         0.747
         0.007,         0.021,         0.738
         0.007,         0.023,         0.737
         0.007,         0.023,         0.734
         0.007,         0.026,         0.733
         0.008,         0.026,         0.731
         0.008,         0.028,         0.730
         0.009,         0.028,         0.727
         0.009,         0.031,         0.726
         0.009,         0.031,         0.725
         0.009,         0.036,         0.721
         0.010,         0.036,         0.715
         0.010,         0.041,         0.715
         0.011,         0.041,         0.713
         0.011,         0.044,         0.712
         0.011,         0.044,         0.712
         0.012,         0.044,         0.711
         0.012,         0.044,         0.711
         0.012,         0.046,         0.710
         0.012,         0.046,         0.710
         0.012,         0.051,         0.709
         0.012,         0.051,         0.709
         0.013,         0.056,         0.708
         0.013,         0.056,         0.706
         0.013,         0.059,         0.706
         0.014,         0.059,         0.703
         0.014,         0.062,         0.703
         0.016,         0.062,         0.696
         0.017,         0.062,         0.694
         0.018,         0.062,         0.694
         0.018,         0.064,         0.693
         0.018,         0.064,         0.693
         0.019,         0.064,         0.693
         0.021,         0.064,         0.691
         0.021,         0.067,         0.689
         0.021,         0.067,         0.689
         0.022,         0.067,         0.688
         0.022,         0.067,         0.687
         0.022,         0.074,         0.686
         0.023,         0.074,         0.685
         0.023,         0.077,         0.684
         0.023,         0.077,         0.683
         0.023,         0.085,         0.683
         0.024,         0.085,         0.682
         0.024,         0.087,         0.682
         0.024,         0.087,         0.682
         0.024,         0.090,         0.681
         0.025,         0.090,         0.681
         0.026,         0.090,         0.678
         0.026,         0.092,         0.678
         0.028,         0.092,         0.676
         0.028,         0.092,         0.676
         0.030,         0.092,         0.672
         0.030,         0.095,         0.672
         0.031,         0.095,         0.671
         0.031,         0.097,         0.670
         0.032,         0.097,         0.666
         0.033,         0.097,         0.665
         0.033,         0.097,         0.664
         0.033,         0.100,         0.664
         0.034,         0.100,         0.663
         0.035,         0.100,         0.663
         0.036,         0.100,         0.661
         0.036,         0.103,         0.661
         0.036,         0.103,         0.660
         0.036,         0.105,         0.660
         0.037,         0.105,         0.657
         0.037,         0.108,         0.657
         0.037,         0.108,         0.657
         0.037,         0.110,         0.656
         0.037,         0.110,         0.656
         0.040,         0.118,         0.656
         0.040,         0.118,         0.655
         0.041,         0.118,         0.655
         0.041,         0.123,         0.654
         0.041,         0.123,         0.653
         0.041,         0.126,         0.652
