false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.240
         0.000,         0.003,         0.240
         0.000,         0.003,         0.230
         0.000,         0.008,         0.227
         0.001,         0.008,         0.207
         0.001,         0.010,         0.206
         0.002,         0.010,         0.205
         0.002,         0.013,         0.204
         0.002,         0.013,         0.195
         0.002,         0.015,         0.195
         0.003,         0.015,         0.190
         0.003,         0.018,         0.190
         0.003,         0.018,         0.190
         0.003,         0.021,         0.190
         0.003,         0.021,         0.189
         0.004,         0.021,         0.188
         0.006,         0.021,         0.182
         0.006,         0.023,         0.182
         0.006,         0.023,         0.182
         0.006,         0.026,         0.181
         0.006,         0.026,         0.181
         0.006,         0.028,         0.180
         0.008,         0.028,         0.172
         0.008,         0.031,         0.171
         0.009,         0.031,         0.168
         0.009,         0.033,         0.166
         0.010,         0.033,         0.165
         0.010,         0.036,         0.164
         0.010,         0.036,         0.163
         0.010,         0.038,         0.163
         0.011,         0.038,         0.161
         0.011,         0.041,         0.160
         0.012,         0.041,         0.156
         0.012,         0.044,         0.156
         0.012,         0.044,         0.156
         0.012,         0.046,         0.155
         0.013,         0.046,         0.153
         0.013,         0.051,         0.152
         0.014,         0.051,         0.149
         0.014,         0.056,         0.149
         0.015,         0.056,         0.148
         0.015,         0.059,         0.147
         0.015,         0.059,         0.147
         0.015,         0.064,         0.146
         0.015,         0.064,         0.145
         0.016,         0.064,         0.145
         0.016,         0.064,         0.144
         0.016,         0.067,         0.144
         0.017,         0.067,         0.143
         0.017,         0.072,         0.143
         0.017,         0.072,         0.143
         0.018,         0.077,         0.142
         0.018,         0.077,         0.140
         0.018,         0.079,         0.140
         0.019,         0.079,         0.139
         0.019,         0.082,         0.139
         0.020,         0.082,         0.137
         0.020,         0.087,         0.137
         0.022,         0.087,         0.134
         0.022,         0.092,         0.133
         0.023,         0.092,         0.131
         0.023,         0.095,         0.131
         0.024,         0.095,         0.131
         0.025,         0.095,         0.128
         0.026,         0.095,         0.128
         0.027,         0.095,         0.127
         0.027,         0.097,         0.127
         0.027,         0.097,         0.127
         0.027,         0.100,         0.127
         0.027,         0.100,         0.127
         0.028,         0.100,         0.127
         0.028,         0.103,         0.127
         0.028,         0.103,         0.127
         0.028,         0.105,         0.126
         0.031,         0.105,         0.124
         0.031,         0.108,         0.124
         0.032,         0.108,         0.123
         0.032,         0.110,         0.123
         0.033,         0.110,         0.122
         0.033,         0.113,         0.122
         0.033,         0.113,         0.122
         0.034,         0.113,         0.122
         0.034,         0.115,         0.122
         0.035,         0.115,         0.121
         0.035,         0.118,         0.120
         0.035,         0.118,         0.120
         0.035,         0.123,         0.120
         0.036,         0.123,         0.120
         0.036,         0.123,         0.120
         0.036,         0.128,         0.120
         0.037,         0.128,         0.118
         0.037,         0.133,         0.118
         0.037,         0.133,         0.118
         0.037,         0.136,         0.117
         0.038,         0.136,         0.117
         0.038,         0.144,         0.117
         0.039,         0.144,         0.116
         0.039,         0.149,         0.115
         0.039,         0.149,         0.115
         0.040,         0.149,         0.115
         0.040,         0.151,         0.115
         0.040,         0.151,         0.114
         0.042,         0.151,         0.114
         0.042,         0.154,         0.114
         0.043,         0.154,         0.113
         0.043,         0.154,         0.112
         0.044,         0.154,         0.112
         0.044,         0.154,         0.112
         0.044,         0.154,         0.112
         0.044,         0.156,         0.112
         0.046,         0.156,         0.110
         0.047,         0.156,         0.110
         0.049,         0.156,         0.109
         0.049,         0.159,         0.108
         0.049,         0.159,         0.108
         0.049,         0.162,         0.108
         0.050,         0.162,         0.107
         0.050,         0.164,         0.107
         0.050,         0.164,         0.107
         0.050,         0.167,         0.107
         0.050,         0.167,         0.106
         0.050,         0.169,         0.106
         0.050,         0.169,         0.106
         0.050,         0.172,         0.106
         0.050,         0.172,         0.106
         0.050,         0.177,         0.106
         0.052,         0.177,         0.105
         0.052,         0.179,         0.104
         0.053,         0.179,         0.104
         0.053,         0.182,         0.104
         0.053,         0.187,         0.104
         0.053,         0.187,         0.103
         0.053,         0.190,         0.103
         0.054,         0.190,         0.103
         0.054,         0.195,         0.102
         0.055,         0.195,         0.101
         0.055,         0.197,         0.101
         0.057,         0.197,         0.100
         0.057,         0.203,         0.100
         0.057,         0.203,         0.099
         0.058,         0.203,         0.099
         0.060,         0.203,         0.097
         0.060,         0.205,         0.097
         0.060,         0.205,         0.097
         0.060,         0.208,         0.097
         0.061,         0.208,         0.097
         0.061,         0.208,         0.097
         0.062,         0.208,         0.096
         0.062,         0.213,         0.096
         0.064,         0.213,         0.095
         0.064,         0.215,         0.095
         0.064,         0.215,         0.094
         0.064,         0.221,         0.094
         0.069,         0.221,         0.092
         0.069,         0.223,         0.092
         0.069,         0.223,         0.091
         0.069,         0.226,         0.091
         0.070,         0.226,         0.090
         0.070,         0.228,         0.090
         0.071,         0.228,         0.090
         0.073,         0.236,         0.090
         0.074,         0.236,         0.090
