false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.867
         0.000,         0.005,         0.867
         0.000,         0.133,         0.791
         0.000,         0.133,         0.791
         0.000,         0.227,         0.760
         0.000,         0.227,         0.758
         0.000,         0.251,         0.754
         0.001,         0.251,         0.754
         0.001,         0.270,         0.750
         0.001,         0.270,         0.748
         0.001,         0.280,         0.738
         0.001,         0.280,         0.737
         0.001,         0.284,         0.737
         0.002,         0.284,         0.734
         0.002,         0.341,         0.724
         0.002,         0.341,         0.724
         0.002,         0.355,         0.721
         0.002,         0.355,         0.721
         0.002,         0.365,         0.715
         0.003,         0.365,         0.711
         0.003,         0.370,         0.711
         0.003,         0.370,         0.709
         0.003,         0.389,         0.706
         0.003,         0.389,         0.706
         0.003,         0.393,         0.705
         0.003,         0.393,         0.702
         0.003,         0.408,         0.698
         0.004,         0.408,         0.697
         0.004,         0.417,         0.695
         0.004,         0.417,         0.694
         0.004,         0.422,         0.693
         0.004,         0.422,         0.692
         0.004,         0.431,         0.690
         0.005,         0.431,         0.687
         0.005,         0.441,         0.687
         0.005,         0.441,         0.686
         0.005,         0.450,         0.684
         0.005,         0.450,         0.683
         0.005,         0.455,         0.683
         0.005,         0.455,         0.680
         0.005,         0.460,         0.679
         0.006,         0.460,         0.676
         0.006,         0.479,         0.672
         0.006,         0.479,         0.672
         0.006,         0.488,         0.668
         0.007,         0.488,         0.666
         0.007,         0.493,         0.665
         0.007,         0.493,         0.664
         0.007,         0.498,         0.664
         0.008,         0.498,         0.661
         0.008,         0.507,         0.660
         0.009,         0.507,         0.659
         0.009,         0.517,         0.659
         0.009,         0.517,         0.657
         0.009,         0.531,         0.653
         0.009,         0.531,         0.652
         0.009,         0.536,         0.652
         0.009,         0.536,         0.652
         0.009,         0.540,         0.651
         0.010,         0.540,         0.651
         0.010,         0.545,         0.649
         0.010,         0.545,         0.646
         0.010,         0.550,         0.645
         0.010,         0.550,         0.645
         0.010,         0.559,         0.640
         0.011,         0.559,         0.639
         0.011,         0.564,         0.639
         0.013,         0.564,         0.635
         0.013,         0.573,         0.634
         0.013,         0.573,         0.630
         0.013,         0.578,         0.630
         0.014,         0.578,         0.627
         0.014,         0.588,         0.625
         0.014,         0.588,         0.621
         0.014,         0.597,         0.619
         0.015,         0.597,         0.618
         0.015,         0.602,         0.617
         0.015,         0.602,         0.616
         0.015,         0.630,         0.614
         0.016,         0.630,         0.613
         0.016,         0.635,         0.613
         0.016,         0.635,         0.612
         0.016,         0.649,         0.607
         0.017,         0.649,         0.607
         0.017,         0.664,         0.606
         0.017,         0.664,         0.605
         0.017,         0.668,         0.604
         0.018,         0.668,         0.602
         0.018,         0.678,         0.602
         0.018,         0.678,         0.601
         0.018,         0.682,         0.601
         0.018,         0.682,         0.601
         0.018,         0.687,         0.600
         0.019,         0.687,         0.599
         0.019,         0.692,         0.599
         0.019,         0.692,         0.596
         0.019,         0.701,         0.595
         0.019,         0.701,         0.595
         0.019,         0.706,         0.594
         0.020,         0.706,         0.593
         0.020,         0.711,         0.592
         0.024,         0.711,         0.577
         0.024,         0.716,         0.576
         0.025,         0.716,         0.575
         0.025,         0.725,         0.575
         0.025,         0.725,         0.574
         0.025,         0.730,         0.574
         0.026,         0.730,         0.574
         0.026,         0.735,         0.573
         0.026,         0.735,         0.572
         0.026,         0.739,         0.572
         0.027,         0.739,         0.570
         0.027,         0.754,         0.567
         0.028,         0.754,         0.567
         0.028,         0.763,         0.566
         0.028,         0.763,         0.566
         0.028,         0.768,         0.565
         0.029,         0.768,         0.562
         0.029,         0.773,         0.562
         0.031,         0.773,         0.558
         0.031,         0.777,         0.558
         0.031,         0.777,         0.556
         0.031,         0.782,         0.556
         0.031,         0.782,         0.556
         0.031,         0.791,         0.555
         0.032,         0.791,         0.552
         0.032,         0.801,         0.551
         0.032,         0.801,         0.550
         0.032,         0.806,         0.549
         0.035,         0.806,         0.541
         0.035,         0.815,         0.541
         0.036,         0.815,         0.540
         0.036,         0.820,         0.540
         0.037,         0.820,         0.539
         0.037,         0.825,         0.539
         0.038,         0.825,         0.534
         0.038,         0.829,         0.534
         0.041,         0.829,         0.529
         0.041,         0.834,         0.529
         0.043,         0.834,         0.525
         0.043,         0.839,         0.525
         0.045,         0.839,         0.524
         0.045,         0.844,         0.524
         0.047,         0.844,         0.522
         0.047,         0.848,         0.521
         0.052,         0.848,         0.513
         0.052,         0.853,         0.512
         0.054,         0.853,         0.507
         0.054,         0.863,         0.506
         0.056,         0.863,         0.502
         0.056,         0.867,         0.501
         0.057,         0.867,         0.499
         0.057,         0.872,         0.499
         0.058,         0.872,         0.497
         0.058,         0.877,         0.497
         0.059,         0.877,         0.497
         0.059,         0.882,         0.497
         0.061,         0.882,         0.493
         0.061,         0.886,         0.493
         0.062,         0.886,         0.493
         0.062,         0.891,         0.493
         0.066,         0.891,         0.488
         0.066,         0.896,         0.488
         0.066,         0.896,         0.488
         0.066,         0.900,         0.488
         0.067,         0.900,         0.485
         0.067,         0.905,         0.485
         0.068,         0.905,         0.485
         0.068,         0.910,         0.485
         0.085,         0.910,         0.462
         0.085,         0.910,         0.462
         0.090,         0.910,         0.458
         0.090,         0.915,         0.458
         0.091,         0.915,         0.458
         0.091,         0.919,         0.457
         0.094,         0.919,         0.456
         0.094,         0.924,         0.455
