false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.192
         0.000,         0.005,         0.192
         0.000,         0.028,         0.164
         0.000,         0.028,         0.164
         0.000,         0.076,         0.147
         0.000,         0.076,         0.146
         0.000,         0.085,         0.144
         0.001,         0.085,         0.143
         0.001,         0.109,         0.134
         0.001,         0.109,         0.133
         0.001,         0.175,         0.111
         0.001,         0.175,         0.109
         0.001,         0.180,         0.109
         0.001,         0.180,         0.109
         0.001,         0.246,         0.098
         0.001,         0.246,         0.097
         0.001,         0.261,         0.093
         0.001,         0.261,         0.087
         0.001,         0.275,         0.084
         0.002,         0.275,         0.084
         0.002,         0.284,         0.080
         0.002,         0.284,         0.080
         0.002,         0.299,         0.078
         0.002,         0.299,         0.078
         0.002,         0.303,         0.076
         0.002,         0.303,         0.074
         0.002,         0.318,         0.069
         0.003,         0.318,         0.068
         0.003,         0.322,         0.067
         0.003,         0.322,         0.067
         0.003,         0.327,         0.067
         0.003,         0.327,         0.065
         0.003,         0.336,         0.064
         0.004,         0.336,         0.064
         0.004,         0.341,         0.063
         0.004,         0.341,         0.062
         0.004,         0.360,         0.060
         0.004,         0.360,         0.059
         0.004,         0.365,         0.059
         0.005,         0.365,         0.058
         0.005,         0.384,         0.056
         0.005,         0.384,         0.054
         0.005,         0.393,         0.054
         0.005,         0.393,         0.053
         0.005,         0.403,         0.050
         0.006,         0.403,         0.049
         0.006,         0.412,         0.048
         0.006,         0.412,         0.047
         0.006,         0.417,         0.046
         0.007,         0.417,         0.046
         0.007,         0.422,         0.046
         0.007,         0.422,         0.045
         0.007,         0.431,         0.045
         0.008,         0.431,         0.044
         0.008,         0.436,         0.044
         0.008,         0.436,         0.043
         0.008,         0.441,         0.042
         0.008,         0.441,         0.041
         0.008,         0.445,         0.041
         0.009,         0.445,         0.041
         0.009,         0.450,         0.040
         0.009,         0.450,         0.039
         0.009,         0.469,         0.038
         0.011,         0.469,         0.036
         0.011,         0.474,         0.035
         0.011,         0.474,         0.035
         0.011,         0.479,         0.034
         0.012,         0.479,         0.034
         0.012,         0.498,         0.032
         0.012,         0.498,         0.031
         0.012,         0.502,         0.030
         0.012,         0.502,         0.030
         0.012,         0.507,         0.029
         0.013,         0.507,         0.027
         0.013,         0.517,         0.025
         0.013,         0.517,         0.023
         0.013,         0.521,         0.023
         0.013,         0.521,         0.023
         0.013,         0.531,         0.022
         0.014,         0.531,         0.022
         0.014,         0.536,         0.022
         0.014,         0.536,         0.021
         0.014,         0.540,         0.021
         0.014,         0.540,         0.020
         0.014,         0.550,         0.018
         0.016,         0.550,         0.014
         0.016,         0.555,         0.014
         0.017,         0.555,         0.011
         0.017,         0.564,         0.010
         0.017,         0.564,         0.009
         0.017,         0.573,         0.009
         0.019,         0.573,         0.005
         0.019,         0.578,         0.005
         0.019,         0.578,         0.004
         0.019,         0.583,         0.004
         0.022,         0.583,        -0.001
         0.022,         0.592,        -0.002
         0.023,         0.592,        -0.005
         0.023,         0.607,        -0.006
         0.023,         0.607,        -0.007
         0.023,         0.611,        -0.007
         0.023,         0.611,        -0.007
