false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.693
         0.000,         0.005,         0.693
         0.000,         0.066,         0.579
         0.000,         0.076,         0.572
         0.000,         0.114,         0.517
         0.000,         0.114,         0.517
         0.000,         0.128,         0.500
         0.000,         0.128,         0.495
         0.000,         0.199,         0.465
         0.025,         0.209,         0.463
         0.025,         0.209,         0.462
         0.025,         0.223,         0.454
         0.026,         0.223,         0.453
         0.026,         0.227,         0.451
         0.026,         0.227,         0.450
         0.026,         0.256,         0.439
         0.027,         0.256,         0.432
         0.027,         0.275,         0.427
         0.027,         0.284,         0.426
         0.027,         0.299,         0.423
         0.027,         0.299,         0.417
         0.027,         0.322,         0.409
         0.027,         0.322,         0.407
         0.027,         0.327,         0.405
         0.028,         0.327,         0.404
         0.028,         0.341,         0.402
         0.028,         0.341,         0.402
         0.028,         0.360,         0.393
         0.028,         0.360,         0.386
         0.028,         0.365,         0.381
         0.029,         0.365,         0.379
         0.029,         0.365,         0.378
         0.029,         0.370,         0.377
         0.029,         0.370,         0.376
         0.029,         0.379,         0.374
         0.029,         0.379,         0.374
         0.030,         0.379,         0.372
         0.031,         0.379,         0.367
         0.031,         0.384,         0.367
         0.031,         0.384,         0.365
         0.031,         0.384,         0.364
         0.031,         0.389,         0.364
         0.032,         0.389,         0.361
         0.032,         0.389,         0.359
         0.032,         0.393,         0.358
         0.034,         0.393,         0.356
         0.034,         0.393,         0.356
         0.034,         0.403,         0.351
         0.034,         0.403,         0.347
         0.034,         0.417,         0.345
         0.036,         0.422,         0.344
         0.037,         0.422,         0.344
         0.037,         0.427,         0.343
         0.037,         0.427,         0.342
         0.038,         0.427,         0.342
         0.038,         0.427,         0.340
         0.038,         0.431,         0.340
         0.038,         0.431,         0.339
         0.038,         0.436,         0.339
         0.040,         0.436,         0.339
         0.041,         0.436,         0.337
         0.041,         0.436,         0.337
         0.041,         0.436,         0.337
         0.043,         0.436,         0.336
         0.043,         0.436,         0.335
         0.043,         0.436,         0.335
         0.052,         0.441,         0.333
         0.052,         0.445,         0.332
         0.062,         0.460,         0.330
         0.063,         0.464,         0.330
         0.064,         0.464,         0.328
         0.064,         0.469,         0.327
         0.064,         0.469,         0.326
         0.065,         0.469,         0.325
         0.065,         0.469,         0.324
         0.066,         0.469,         0.323
         0.066,         0.469,         0.318
         0.066,         0.474,         0.318
         0.066,         0.474,         0.317
         0.067,         0.479,         0.317
         0.067,         0.483,         0.316
         0.067,         0.483,         0.315
         0.067,         0.488,         0.314
         0.067,         0.488,         0.314
         0.067,         0.493,         0.312
         0.067,         0.493,         0.312
         0.068,         0.493,         0.311
         0.068,         0.493,         0.310
         0.068,         0.498,         0.309
         0.068,         0.498,         0.308
         0.068,         0.498,         0.308
         0.069,         0.498,         0.307
         0.069,         0.507,         0.306
         0.070,         0.512,         0.304
         0.070,         0.512,         0.302
         0.070,         0.517,         0.302
         0.071,         0.521,         0.302
         0.071,         0.521,         0.301
         0.071,         0.526,         0.300
         0.071,         0.526,         0.299
         0.072,         0.526,         0.298
         0.072,         0.531,         0.297
         0.073,         0.531,         0.297
         0.073,         0.536,         0.296
         0.073,         0.536,         0.296
         0.074,         0.540,         0.295
         0.075,         0.540,         0.294
         0.075,         0.540,         0.293
         0.076,         0.540,         0.290
         0.076,         0.540,         0.290
