false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.676
         0.000,         0.005,         0.676
         0.000,         0.128,         0.466
         0.004,         0.128,         0.463
         0.004,         0.152,         0.453
         0.004,         0.152,         0.453
         0.004,         0.175,         0.441
         0.004,         0.175,         0.437
         0.004,         0.275,         0.387
         0.005,         0.275,         0.384
         0.005,         0.289,         0.381
         0.005,         0.289,         0.378
         0.005,         0.299,         0.373
         0.005,         0.313,         0.367
         0.005,         0.313,         0.365
         0.005,         0.327,         0.361
         0.005,         0.327,         0.361
         0.005,         0.351,         0.354
         0.006,         0.351,         0.350
         0.006,         0.360,         0.347
         0.006,         0.360,         0.344
         0.006,         0.374,         0.340
         0.006,         0.374,         0.339
         0.007,         0.374,         0.336
         0.007,         0.389,         0.333
         0.007,         0.393,         0.330
         0.007,         0.393,         0.330
         0.007,         0.398,         0.329
         0.011,         0.408,         0.327
         0.011,         0.412,         0.324
         0.011,         0.412,         0.323
         0.011,         0.450,         0.302
         0.011,         0.450,         0.300
         0.011,         0.464,         0.296
         0.012,         0.464,         0.295
         0.012,         0.464,         0.292
         0.012,         0.469,         0.291
         0.013,         0.469,         0.278
         0.013,         0.469,         0.274
         0.013,         0.469,         0.274
         0.014,         0.474,         0.272
         0.015,         0.474,         0.272
         0.015,         0.479,         0.270
         0.015,         0.483,         0.269
         0.016,         0.483,         0.268
         0.019,         0.483,         0.267
         0.019,         0.488,         0.266
         0.019,         0.488,         0.266
         0.019,         0.498,         0.265
         0.020,         0.498,         0.265
         0.020,         0.498,         0.263
         0.020,         0.498,         0.262
         0.020,         0.507,         0.261
         0.021,         0.512,         0.261
         0.021,         0.521,         0.260
         0.021,         0.521,         0.258
         0.021,         0.526,         0.256
         0.022,         0.526,         0.256
         0.022,         0.526,         0.255
         0.022,         0.531,         0.254
         0.022,         0.531,         0.254
         0.022,         0.540,         0.252
         0.022,         0.540,         0.252
         0.022,         0.545,         0.251
         0.023,         0.545,         0.251
         0.023,         0.555,         0.250
         0.023,         0.555,         0.249
         0.023,         0.564,         0.248
         0.023,         0.564,         0.248
         0.024,         0.564,         0.246
         0.024,         0.564,         0.246
         0.025,         0.564,         0.244
         0.025,         0.578,         0.243
         0.025,         0.578,         0.243
         0.025,         0.583,         0.243
         0.026,         0.583,         0.241
         0.026,         0.588,         0.240
         0.026,         0.588,         0.238
         0.027,         0.588,         0.236
         0.028,         0.588,         0.235
         0.029,         0.592,         0.235
         0.029,         0.592,         0.234
         0.030,         0.597,         0.233
         0.030,         0.597,         0.233
         0.030,         0.602,         0.233
         0.031,         0.602,         0.232
         0.031,         0.602,         0.232
         0.032,         0.602,         0.231
         0.033,         0.607,         0.231
         0.033,         0.607,         0.231
         0.033,         0.611,         0.231
         0.033,         0.611,         0.230
         0.034,         0.616,         0.229
         0.034,         0.616,         0.227
         0.034,         0.630,         0.227
         0.035,         0.630,         0.225
         0.035,         0.645,         0.223
         0.035,         0.645,         0.222
         0.036,         0.645,         0.221
         0.036,         0.649,         0.221
         0.036,         0.649,         0.220
         0.036,         0.654,         0.220
         0.037,         0.654,         0.219
         0.037,         0.654,         0.219
         0.037,         0.654,         0.218
         0.038,         0.654,         0.218
         0.039,         0.654,         0.216
         0.040,         0.654,         0.216
         0.040,         0.659,         0.215
         0.040,         0.659,         0.215
         0.040,         0.664,         0.215
         0.040,         0.668,         0.215
         0.041,         0.668,         0.214
         0.042,         0.668,         0.211
         0.042,         0.673,         0.211
         0.044,         0.673,         0.211
         0.045,         0.673,         0.210
         0.045,         0.678,         0.210
         0.045,         0.682,         0.209
         0.046,         0.682,         0.209
         0.047,         0.682,         0.207
         0.049,         0.682,         0.207
         0.049,         0.687,         0.207
         0.050,         0.687,         0.207
         0.050,         0.687,         0.205
         0.050,         0.692,         0.205
         0.050,         0.692,         0.205
         0.051,         0.692,         0.204
         0.051,         0.697,         0.203
         0.052,         0.697,         0.202
         0.052,         0.701,         0.202
         0.052,         0.701,         0.202
         0.052,         0.711,         0.200
         0.052,         0.720,         0.199
         0.052,         0.720,         0.199
         0.053,         0.720,         0.199
         0.053,         0.725,         0.199
         0.053,         0.725,         0.199
         0.053,         0.725,         0.198
         0.054,         0.725,         0.198
         0.054,         0.725,         0.198
         0.054,         0.725,         0.198
         0.054,         0.730,         0.197
         0.055,         0.730,         0.197
         0.055,         0.730,         0.197
         0.055,         0.730,         0.196
         0.056,         0.730,         0.196
         0.056,         0.735,         0.196
         0.056,         0.735,         0.196
         0.057,         0.735,         0.195
         0.057,         0.735,         0.195
         0.057,         0.739,         0.195
         0.057,         0.739,         0.195
         0.058,         0.739,         0.195
         0.058,         0.744,         0.194
         0.059,         0.744,         0.193
         0.059,         0.744,         0.193
         0.060,         0.744,         0.193
         0.061,         0.744,         0.192
         0.061,         0.744,         0.192
         0.062,         0.744,         0.192
         0.062,         0.744,         0.192
         0.063,         0.744,         0.191
         0.063,         0.744,         0.191
         0.064,         0.749,         0.190
         0.064,         0.749,         0.189
         0.067,         0.749,         0.189
         0.068,         0.749,         0.188
         0.068,         0.749,         0.188
         0.068,         0.749,         0.188
         0.069,         0.749,         0.188
         0.069,         0.754,         0.187
         0.070,         0.754,         0.187
         0.070,         0.754,         0.186
         0.070,         0.754,         0.186
         0.071,         0.754,         0.186
         0.071,         0.754,         0.186
         0.072,         0.754,         0.186
         0.072,         0.754,         0.185
         0.073,         0.768,         0.184
         0.074,         0.768,         0.183
         0.074,         0.773,         0.183
         0.074,         0.777,         0.182
         0.074,         0.777,         0.182
         0.075,         0.782,         0.182
         0.075,         0.782,         0.182
         0.075,         0.782,         0.181
         0.076,         0.782,         0.181
         0.076,         0.787,         0.181
         0.076,         0.787,         0.181
         0.076,         0.787,         0.181
         0.077,         0.787,         0.180
         0.077,         0.787,         0.180
         0.078,         0.787,         0.179
         0.078,         0.787,         0.178
         0.079,         0.787,         0.178
         0.081,         0.787,         0.178
         0.081,         0.787,         0.178
         0.081,         0.787,         0.177
         0.082,         0.787,         0.177
         0.082,         0.791,         0.177
         0.082,         0.796,         0.177
         0.083,         0.796,         0.176
         0.083,         0.801,         0.176
         0.083,         0.801,         0.175
         0.084,         0.801,         0.175
         0.085,         0.801,         0.174
         0.085,         0.806,         0.174
         0.086,         0.806,         0.174
         0.086,         0.806,         0.174
         0.087,         0.806,         0.173
         0.088,         0.806,         0.172
         0.089,         0.806,         0.172
         0.089,         0.806,         0.172
         0.089,         0.810,         0.172
         0.089,         0.810,         0.172
         0.089,         0.810,         0.171
         0.090,         0.810,         0.171
         0.091,         0.810,         0.171
         0.092,         0.810,         0.170
         0.092,         0.810,         0.170
         0.094,         0.810,         0.169
         0.094,         0.810,         0.169
         0.095,         0.810,         0.168
         0.096,         0.810,         0.168
         0.097,         0.810,         0.168
         0.097,         0.810,         0.167
         0.098,         0.810,         0.166
         0.099,         0.810,         0.166
         0.099,         0.810,         0.166
         0.099,         0.810,         0.166
         0.100,         0.810,         0.165
         0.100,         0.810,         0.165
         0.100,         0.815,         0.165
         0.102,         0.815,         0.165
         0.102,         0.820,         0.165
         0.102,         0.820,         0.164
         0.102,         0.825,         0.164
         0.103,         0.825,         0.164
         0.104,         0.825,         0.164
         0.105,         0.825,         0.164
         0.105,         0.829,         0.163
         0.106,         0.829,         0.163
         0.107,         0.829,         0.162
         0.107,         0.829,         0.162
         0.108,         0.829,         0.162
         0.108,         0.829,         0.161
         0.108,         0.829,         0.161
         0.109,         0.829,         0.160
         0.109,         0.829,         0.160
         0.110,         0.829,         0.160
         0.111,         0.829,         0.159
         0.111,         0.829,         0.159
         0.111,         0.829,         0.159
         0.113,         0.829,         0.158
         0.114,         0.834,         0.158
         0.114,         0.834,         0.158
         0.115,         0.834,         0.157
         0.116,         0.834,         0.157
         0.116,         0.834,         0.156
         0.118,         0.834,         0.156
         0.119,         0.834,         0.155
         0.119,         0.839,         0.155
         0.119,         0.839,         0.155
         0.120,         0.839,         0.155
         0.121,         0.839,         0.154
         0.122,         0.839,         0.154
         0.122,         0.839,         0.154
         0.123,         0.839,         0.153
         0.124,         0.839,         0.153
         0.125,         0.839,         0.153
         0.125,         0.839,         0.152
         0.126,         0.839,         0.152
         0.128,         0.839,         0.151
         0.128,         0.839,         0.151
         0.128,         0.839,         0.150
         0.129,         0.839,         0.150
         0.130,         0.839,         0.149
         0.130,         0.839,         0.149
         0.131,         0.839,         0.149
         0.132,         0.839,         0.148
         0.132,         0.839,         0.148
         0.133,         0.839,         0.148
         0.133,         0.839,         0.148
         0.134,         0.839,         0.147
         0.135,         0.839,         0.147
         0.135,         0.839,         0.146
         0.136,         0.839,         0.146
         0.136,         0.839,         0.146
         0.137,         0.839,         0.146
         0.138,         0.839,         0.145
         0.138,         0.839,         0.145
         0.138,         0.839,         0.145
         0.138,         0.839,         0.144
