false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.233
         0.000,         0.000,         0.233
         0.000,         0.000,         0.231
         0.000,         0.003,         0.221
         0.001,         0.003,         0.214
         0.001,         0.005,         0.212
         0.002,         0.005,         0.210
         0.002,         0.008,         0.210
         0.002,         0.008,         0.206
         0.002,         0.016,         0.203
         0.002,         0.016,         0.197
         0.002,         0.018,         0.196
         0.003,         0.018,         0.192
         0.003,         0.024,         0.191
         0.003,         0.024,         0.187
         0.003,         0.026,         0.186
         0.004,         0.026,         0.183
         0.004,         0.029,         0.183
         0.006,         0.029,         0.176
         0.006,         0.032,         0.176
         0.006,         0.037,         0.175
         0.007,         0.037,         0.173
         0.007,         0.040,         0.172
         0.007,         0.040,         0.171
         0.007,         0.045,         0.170
         0.008,         0.045,         0.169
         0.008,         0.050,         0.168
         0.008,         0.050,         0.167
         0.008,         0.061,         0.165
         0.010,         0.061,         0.159
         0.010,         0.066,         0.157
         0.010,         0.066,         0.157
         0.010,         0.071,         0.155
         0.010,         0.074,         0.155
         0.010,         0.077,         0.155
         0.010,         0.079,         0.155
         0.011,         0.079,         0.153
         0.011,         0.084,         0.152
         0.012,         0.084,         0.149
         0.012,         0.090,         0.149
         0.013,         0.090,         0.149
         0.013,         0.092,         0.148
         0.013,         0.092,         0.147
         0.013,         0.095,         0.147
         0.014,         0.095,         0.146
         0.014,         0.098,         0.146
         0.014,         0.098,         0.146
         0.014,         0.111,         0.143
         0.014,         0.111,         0.143
         0.014,         0.116,         0.141
         0.014,         0.121,         0.140
         0.014,         0.124,         0.140
         0.014,         0.124,         0.140
         0.014,         0.127,         0.140
         0.015,         0.127,         0.140
         0.015,         0.129,         0.139
         0.015,         0.129,         0.139
         0.015,         0.132,         0.139
         0.016,         0.132,         0.139
         0.016,         0.132,         0.138
         0.017,         0.132,         0.137
         0.017,         0.132,         0.137
         0.017,         0.135,         0.137
         0.019,         0.135,         0.132
         0.019,         0.148,         0.131
         0.019,         0.148,         0.130
         0.019,         0.150,         0.130
         0.019,         0.150,         0.130
         0.019,         0.156,         0.129
         0.021,         0.156,         0.127
         0.021,         0.158,         0.127
         0.021,         0.158,         0.127
         0.021,         0.161,         0.127
         0.022,         0.161,         0.125
         0.022,         0.166,         0.124
         0.023,         0.166,         0.124
         0.023,         0.172,         0.122
         0.023,         0.172,         0.122
         0.023,         0.174,         0.122
         0.023,         0.174,         0.121
         0.023,         0.179,         0.120
         0.024,         0.179,         0.120
         0.024,         0.182,         0.120
         0.024,         0.182,         0.119
         0.024,         0.187,         0.119
         0.024,         0.190,         0.119
         0.025,         0.190,         0.119
         0.025,         0.193,         0.118
         0.025,         0.193,         0.118
         0.025,         0.195,         0.118
         0.026,         0.195,         0.118
         0.026,         0.198,         0.118
         0.026,         0.198,         0.117
         0.028,         0.198,         0.116
         0.028,         0.201,         0.116
         0.029,         0.201,         0.114
         0.029,         0.208,         0.113
         0.029,         0.208,         0.113
         0.029,         0.214,         0.112
         0.030,         0.214,         0.112
         0.030,         0.216,         0.111
         0.030,         0.216,         0.109
         0.030,         0.219,         0.109
         0.031,         0.219,         0.108
         0.031,         0.224,         0.107
         0.031,         0.224,         0.107
         0.031,         0.227,         0.107
         0.032,         0.227,         0.104
         0.032,         0.235,         0.103
         0.032,         0.237,         0.103
         0.033,         0.237,         0.100
         0.033,         0.243,         0.099
         0.034,         0.243,         0.099
         0.034,         0.243,         0.098
         0.035,         0.243,         0.097
         0.035,         0.245,         0.097
         0.035,         0.245,         0.097
         0.035,         0.248,         0.097
         0.035,         0.248,         0.096
         0.035,         0.253,         0.096
         0.036,         0.253,         0.095
         0.036,         0.259,         0.094
         0.036,         0.259,         0.094
         0.036,         0.261,         0.094
