false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.339
         0.000,         0.003,         0.339
         0.000,         0.005,         0.332
         0.000,         0.011,         0.301
         0.000,         0.024,         0.288
         0.000,         0.024,         0.282
         0.000,         0.026,         0.278
         0.001,         0.026,         0.277
         0.001,         0.042,         0.276
         0.001,         0.045,         0.275
         0.001,         0.045,         0.268
         0.001,         0.047,         0.268
         0.002,         0.047,         0.264
         0.002,         0.047,         0.264
         0.002,         0.050,         0.260
         0.002,         0.050,         0.259
         0.002,         0.053,         0.259
         0.003,         0.053,         0.255
         0.003,         0.055,         0.253
         0.004,         0.055,         0.252
         0.004,         0.058,         0.251
         0.004,         0.058,         0.251
         0.004,         0.063,         0.248
         0.004,         0.066,         0.247
         0.004,         0.069,         0.247
         0.004,         0.071,         0.245
         0.004,         0.071,         0.241
         0.005,         0.077,         0.239
         0.005,         0.079,         0.239
         0.006,         0.079,         0.236
         0.006,         0.079,         0.236
         0.007,         0.082,         0.234
         0.007,         0.084,         0.232
         0.007,         0.084,         0.231
         0.007,         0.087,         0.229
         0.007,         0.087,         0.227
         0.008,         0.087,         0.223
         0.008,         0.090,         0.223
         0.009,         0.090,         0.222
         0.009,         0.095,         0.221
         0.009,         0.095,         0.218
         0.010,         0.098,         0.217
         0.010,         0.100,         0.215
         0.010,         0.103,         0.214
         0.010,         0.108,         0.214
         0.011,         0.111,         0.213
         0.011,         0.127,         0.212
         0.012,         0.127,         0.209
         0.012,         0.127,         0.209
         0.012,         0.129,         0.209
         0.013,         0.129,         0.208
         0.013,         0.129,         0.206
         0.014,         0.158,         0.205
         0.015,         0.161,         0.205
         0.015,         0.161,         0.205
         0.015,         0.164,         0.204
         0.015,         0.164,         0.203
         0.016,         0.164,         0.203
         0.016,         0.166,         0.201
         0.016,         0.166,         0.201
         0.016,         0.172,         0.200
         0.017,         0.174,         0.200
         0.017,         0.174,         0.199
         0.017,         0.177,         0.198
         0.018,         0.177,         0.197
         0.020,         0.177,         0.197
         0.022,         0.182,         0.196
         0.022,         0.182,         0.195
         0.024,         0.182,         0.194
         0.025,         0.182,         0.191
         0.025,         0.185,         0.190
         0.025,         0.185,         0.189
         0.026,         0.185,         0.189
         0.026,         0.185,         0.189
         0.027,         0.185,         0.186
         0.027,         0.185,         0.186
         0.028,         0.187,         0.185
         0.028,         0.190,         0.184
         0.028,         0.190,         0.184
         0.028,         0.193,         0.184
         0.029,         0.193,         0.184
         0.029,         0.193,         0.183
         0.030,         0.193,         0.182
         0.030,         0.195,         0.182
         0.031,         0.195,         0.181
         0.031,         0.195,         0.180
         0.032,         0.195,         0.179
         0.033,         0.198,         0.178
         0.034,         0.198,         0.177
         0.034,         0.201,         0.177
         0.034,         0.201,         0.177
         0.034,         0.201,         0.176
         0.035,         0.203,         0.176
         0.035,         0.203,         0.174
         0.041,         0.211,         0.173
         0.042,         0.214,         0.173
         0.043,         0.214,         0.170
         0.044,         0.214,         0.169
         0.044,         0.216,         0.169
         0.045,         0.222,         0.168
         0.045,         0.222,         0.168
         0.046,         0.227,         0.167
         0.046,         0.230,         0.167
         0.046,         0.230,         0.166
         0.047,         0.230,         0.166
         0.048,         0.243,         0.165
         0.048,         0.243,         0.164
         0.049,         0.243,         0.164
         0.050,         0.243,         0.164
         0.050,         0.243,         0.163
         0.051,         0.245,         0.162
         0.052,         0.245,         0.161
         0.053,         0.248,         0.161
         0.054,         0.251,         0.161
         0.054,         0.251,         0.161
         0.055,         0.253,         0.159
         0.055,         0.253,         0.158
         0.055,         0.253,         0.158
         0.058,         0.259,         0.158
         0.060,         0.259,         0.156
         0.060,         0.259,         0.155
         0.060,         0.261,         0.155
         0.062,         0.261,         0.155
         0.063,         0.261,         0.154
         0.063,         0.261,         0.154
         0.064,         0.261,         0.152
         0.064,         0.264,         0.152
         0.064,         0.266,         0.151
         0.064,         0.266,         0.151
         0.067,         0.269,         0.150
         0.069,         0.274,         0.150
         0.070,         0.288,         0.150
         0.070,         0.288,         0.149
         0.071,         0.290,         0.148
         0.071,         0.290,         0.148
         0.072,         0.290,         0.146
         0.074,         0.293,         0.145
         0.077,         0.293,         0.145
         0.078,         0.296,         0.145
         0.078,         0.296,         0.144
         0.078,         0.296,         0.144
         0.078,         0.298,         0.144
         0.079,         0.298,         0.142
         0.080,         0.303,         0.142
         0.080,         0.306,         0.141
         0.083,         0.306,         0.141
         0.084,         0.309,         0.141
         0.084,         0.309,         0.140
         0.086,         0.311,         0.139
         0.086,         0.311,         0.138
         0.088,         0.314,         0.138
         0.088,         0.317,         0.138
         0.089,         0.319,         0.137
         0.089,         0.319,         0.136
         0.092,         0.322,         0.136
         0.092,         0.325,         0.135
         0.093,         0.325,         0.134
         0.093,         0.325,         0.134
         0.120,         0.330,         0.134
         0.121,         0.330,         0.134
         0.124,         0.335,         0.134
         0.124,         0.335,         0.133
         0.124,         0.338,         0.132
         0.128,         0.340,         0.132
         0.129,         0.340,         0.132
         0.129,         0.340,         0.131
         0.130,         0.340,         0.131
         0.131,         0.340,         0.130
         0.133,         0.343,         0.130
         0.133,         0.343,         0.129
         0.134,         0.343,         0.129
         0.138,         0.348,         0.128
         0.138,         0.351,         0.128
         0.143,         0.351,         0.127
         0.144,         0.351,         0.127
         0.146,         0.354,         0.126
         0.148,         0.354,         0.125
         0.148,         0.354,         0.125
         0.148,         0.354,         0.125
         0.149,         0.354,         0.125
         0.149,         0.354,         0.123
         0.150,         0.354,         0.123
         0.154,         0.361,         0.123
         0.156,         0.361,         0.123
         0.156,         0.361,         0.122
         0.159,         0.361,         0.122
         0.159,         0.361,         0.122
         0.159,         0.361,         0.121
         0.161,         0.361,         0.120
         0.162,         0.361,         0.119
         0.163,         0.361,         0.119
         0.166,         0.361,         0.118
         0.170,         0.367,         0.118
         0.171,         0.367,         0.117
         0.176,         0.367,         0.117
         0.177,         0.372,         0.116
         0.178,         0.372,         0.116
         0.178,         0.375,         0.116
         0.183,         0.377,         0.114
         0.183,         0.377,         0.114
         0.186,         0.377,         0.114
         0.187,         0.380,         0.113
         0.187,         0.380,         0.113
         0.188,         0.380,         0.113
         0.189,         0.380,         0.113
         0.193,         0.383,         0.111
         0.196,         0.391,         0.110
         0.196,         0.391,         0.110
         0.197,         0.391,         0.109
         0.199,         0.393,         0.109
         0.203,         0.398,         0.109
         0.204,         0.398,         0.109
         0.204,         0.398,         0.108
         0.205,         0.398,         0.107
         0.208,         0.398,         0.106
         0.208,         0.401,         0.106
         0.218,         0.406,         0.106
         0.221,         0.409,         0.106
