false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.695
         0.000,         0.000,         0.695
         0.000,         0.000,         0.685
         0.000,         0.003,         0.684
         0.001,         0.003,         0.681
         0.001,         0.005,         0.679
         0.001,         0.005,         0.677
         0.001,         0.008,         0.676
         0.001,         0.008,         0.675
         0.001,         0.010,         0.673
         0.002,         0.010,         0.671
         0.002,         0.013,         0.671
         0.002,         0.013,         0.670
         0.002,         0.015,         0.667
         0.002,         0.015,         0.666
         0.002,         0.020,         0.665
         0.003,         0.020,         0.655
         0.003,         0.023,         0.653
         0.003,         0.023,         0.653
         0.003,         0.028,         0.649
         0.004,         0.028,         0.646
         0.004,         0.030,         0.646
         0.004,         0.030,         0.644
         0.004,         0.035,         0.642
         0.004,         0.035,         0.642
         0.004,         0.043,         0.639
         0.004,         0.043,         0.638
         0.004,         0.053,         0.635
         0.005,         0.053,         0.632
         0.005,         0.055,         0.632
         0.006,         0.055,         0.632
         0.006,         0.058,         0.632
         0.007,         0.058,         0.629
         0.007,         0.063,         0.628
         0.007,         0.063,         0.627
         0.007,         0.068,         0.626
         0.010,         0.068,         0.621
         0.010,         0.071,         0.620
         0.010,         0.071,         0.620
         0.010,         0.073,         0.620
         0.011,         0.073,         0.617
         0.011,         0.076,         0.616
         0.011,         0.076,         0.616
         0.011,         0.083,         0.615
         0.012,         0.083,         0.611
         0.012,         0.088,         0.611
         0.013,         0.088,         0.607
         0.013,         0.096,         0.605
         0.013,         0.096,         0.605
         0.013,         0.098,         0.605
         0.015,         0.098,         0.599
         0.015,         0.101,         0.599
         0.016,         0.101,         0.599
         0.016,         0.106,         0.599
         0.017,         0.106,         0.598
         0.017,         0.108,         0.598
         0.017,         0.108,         0.597
         0.017,         0.111,         0.597
         0.017,         0.111,         0.596
         0.017,         0.113,         0.595
         0.018,         0.113,         0.595
         0.018,         0.116,         0.595
         0.018,         0.116,         0.594
         0.018,         0.118,         0.593
         0.019,         0.118,         0.592
         0.019,         0.121,         0.592
         0.020,         0.121,         0.591
         0.020,         0.121,         0.591
         0.020,         0.126,         0.591
         0.020,         0.126,         0.591
         0.021,         0.126,         0.590
         0.021,         0.126,         0.590
         0.021,         0.134,         0.590
         0.022,         0.134,         0.589
         0.022,         0.136,         0.588
         0.022,         0.136,         0.587
         0.022,         0.139,         0.587
         0.023,         0.139,         0.585
         0.023,         0.144,         0.585
         0.024,         0.144,         0.585
         0.024,         0.149,         0.584
         0.024,         0.149,         0.584
         0.024,         0.151,         0.584
         0.025,         0.151,         0.584
         0.025,         0.156,         0.583
         0.026,         0.156,         0.583
         0.026,         0.159,         0.583
         0.026,         0.159,         0.582
         0.026,         0.161,         0.582
         0.027,         0.161,         0.581
         0.027,         0.161,         0.581
         0.027,         0.161,         0.581
         0.027,         0.164,         0.581
         0.027,         0.164,         0.580
         0.027,         0.166,         0.580
         0.028,         0.166,         0.578
         0.028,         0.169,         0.578
         0.029,         0.169,         0.576
         0.029,         0.171,         0.576
         0.030,         0.171,         0.574
         0.030,         0.174,         0.574
         0.030,         0.174,         0.574
         0.030,         0.176,         0.574
         0.030,         0.176,         0.574
         0.030,         0.179,         0.574
         0.031,         0.179,         0.573
         0.031,         0.181,         0.573
         0.031,         0.181,         0.573
         0.031,         0.184,         0.573
         0.031,         0.184,         0.572
         0.031,         0.189,         0.572
         0.032,         0.189,         0.571
         0.032,         0.191,         0.571
