false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.280
         0.000,         0.003,         0.280
         0.000,         0.005,         0.270
         0.001,         0.005,         0.240
         0.001,         0.010,         0.237
         0.001,         0.010,         0.230
         0.001,         0.013,         0.227
         0.001,         0.013,         0.226
         0.001,         0.018,         0.224
         0.001,         0.018,         0.224
         0.001,         0.023,         0.223
         0.002,         0.023,         0.222
         0.002,         0.025,         0.221
         0.002,         0.025,         0.221
         0.002,         0.035,         0.217
         0.002,         0.035,         0.214
         0.002,         0.038,         0.209
         0.002,         0.038,         0.207
         0.002,         0.045,         0.206
         0.003,         0.045,         0.204
         0.003,         0.050,         0.204
         0.004,         0.050,         0.201
         0.004,         0.055,         0.200
         0.004,         0.055,         0.200
         0.004,         0.058,         0.199
         0.005,         0.058,         0.196
         0.005,         0.060,         0.195
         0.006,         0.060,         0.188
         0.006,         0.063,         0.188
         0.007,         0.063,         0.186
         0.007,         0.065,         0.186
         0.008,         0.065,         0.184
         0.008,         0.068,         0.184
         0.008,         0.068,         0.184
         0.008,         0.071,         0.184
         0.009,         0.071,         0.182
         0.009,         0.073,         0.182
         0.009,         0.073,         0.181
         0.009,         0.076,         0.180
         0.010,         0.076,         0.179
         0.011,         0.076,         0.178
         0.011,         0.076,         0.176
         0.011,         0.078,         0.175
         0.012,         0.078,         0.175
         0.012,         0.081,         0.175
         0.012,         0.081,         0.174
         0.012,         0.083,         0.174
         0.012,         0.083,         0.174
         0.012,         0.086,         0.173
         0.013,         0.086,         0.172
         0.013,         0.086,         0.171
         0.014,         0.086,         0.171
         0.014,         0.088,         0.170
         0.014,         0.088,         0.169
         0.014,         0.091,         0.168
         0.015,         0.091,         0.168
         0.015,         0.096,         0.168
         0.015,         0.096,         0.167
         0.015,         0.101,         0.167
         0.015,         0.101,         0.166
         0.015,         0.103,         0.166
         0.015,         0.103,         0.165
         0.015,         0.106,         0.164
         0.016,         0.106,         0.164
         0.016,         0.108,         0.163
         0.016,         0.108,         0.163
         0.016,         0.111,         0.163
