false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.831
         0.000,         0.003,         0.831
         0.000,         0.010,         0.812
         0.000,         0.010,         0.810
         0.000,         0.013,         0.808
         0.000,         0.013,         0.807
         0.000,         0.018,         0.805
         0.001,         0.018,         0.799
         0.001,         0.023,         0.792
         0.001,         0.023,         0.788
         0.001,         0.025,         0.788
         0.002,         0.025,         0.783
         0.002,         0.030,         0.780
         0.002,         0.030,         0.771
         0.002,         0.035,         0.771
         0.004,         0.035,         0.766
         0.004,         0.040,         0.763
         0.005,         0.040,         0.754
         0.005,         0.043,         0.754
         0.006,         0.043,         0.751
         0.006,         0.045,         0.750
         0.007,         0.045,         0.749
         0.007,         0.045,         0.747
         0.008,         0.045,         0.743
         0.008,         0.058,         0.739
         0.009,         0.058,         0.739
         0.009,         0.058,         0.737
         0.009,         0.060,         0.737
         0.009,         0.060,         0.737
         0.009,         0.065,         0.736
         0.011,         0.065,         0.731
         0.011,         0.068,         0.731
         0.012,         0.068,         0.724
         0.012,         0.071,         0.723
         0.013,         0.071,         0.721
         0.013,         0.076,         0.720
         0.015,         0.076,         0.718
         0.015,         0.078,         0.718
         0.016,         0.078,         0.716
         0.016,         0.081,         0.716
         0.017,         0.081,         0.716
         0.017,         0.083,         0.716
         0.017,         0.083,         0.714
         0.017,         0.098,         0.713
         0.019,         0.098,         0.708
         0.019,         0.101,         0.708
         0.019,         0.101,         0.707
         0.019,         0.106,         0.706
         0.019,         0.106,         0.705
         0.019,         0.108,         0.704
         0.019,         0.108,         0.704
         0.019,         0.113,         0.704
         0.020,         0.113,         0.703
         0.020,         0.116,         0.703
         0.020,         0.116,         0.703
         0.020,         0.116,         0.703
         0.020,         0.118,         0.702
         0.020,         0.118,         0.702
         0.020,         0.123,         0.702
         0.021,         0.123,         0.701
         0.021,         0.128,         0.701
         0.022,         0.128,         0.700
         0.023,         0.128,         0.700
         0.024,         0.128,         0.695
         0.024,         0.131,         0.695
         0.024,         0.131,         0.695
         0.024,         0.134,         0.695
         0.025,         0.134,         0.693
         0.025,         0.141,         0.691
         0.025,         0.141,         0.689
         0.025,         0.146,         0.689
         0.026,         0.146,         0.688
         0.027,         0.146,         0.688
         0.027,         0.146,         0.687
         0.027,         0.149,         0.687
         0.027,         0.149,         0.686
         0.028,         0.149,         0.686
         0.028,         0.149,         0.686
         0.028,         0.151,         0.686
         0.028,         0.151,         0.685
         0.028,         0.154,         0.685
         0.029,         0.154,         0.684
         0.029,         0.161,         0.684
         0.029,         0.161,         0.683
         0.029,         0.164,         0.683
         0.030,         0.164,         0.681
         0.030,         0.166,         0.681
         0.031,         0.166,         0.680
         0.031,         0.169,         0.680
         0.031,         0.169,         0.680
         0.031,         0.171,         0.679
         0.032,         0.171,         0.679
         0.032,         0.174,         0.679
         0.032,         0.174,         0.679
         0.032,         0.174,         0.679
         0.032,         0.174,         0.679
         0.032,         0.176,         0.679
         0.033,         0.176,         0.677
         0.033,         0.179,         0.677
         0.034,         0.179,         0.677
         0.034,         0.181,         0.677
         0.036,         0.181,         0.673
         0.036,         0.184,         0.673
         0.036,         0.184,         0.672
         0.036,         0.186,         0.672
         0.037,         0.186,         0.671
         0.037,         0.189,         0.671
         0.039,         0.189,         0.667
         0.040,         0.189,         0.666
         0.042,         0.189,         0.662
         0.042,         0.191,         0.662
         0.042,         0.191,         0.661
         0.042,         0.194,         0.661
         0.044,         0.194,         0.659
         0.044,         0.196,         0.659
         0.045,         0.196,         0.658
         0.045,         0.199,         0.658
         0.045,         0.199,         0.657
         0.045,         0.202,         0.657
         0.046,         0.202,         0.656
         0.046,         0.207,         0.656
         0.046,         0.207,         0.656
         0.046,         0.209,         0.656
         0.047,         0.209,         0.654
         0.047,         0.212,         0.654
         0.048,         0.212,         0.654
         0.048,         0.214,         0.653
         0.048,         0.214,         0.653
         0.048,         0.217,         0.653
         0.049,         0.217,         0.652
         0.049,         0.219,         0.652
         0.049,         0.219,         0.651
         0.049,         0.219,         0.651
         0.052,         0.219,         0.647
         0.052,         0.219,         0.647
         0.052,         0.219,         0.647
         0.053,         0.219,         0.646
         0.053,         0.219,         0.646
         0.053,         0.222,         0.646
         0.054,         0.222,         0.645
         0.054,         0.224,         0.645
         0.054,         0.224,         0.644
         0.054,         0.227,         0.644
         0.055,         0.227,         0.644
         0.055,         0.232,         0.643
         0.055,         0.232,         0.642
         0.055,         0.234,         0.642
         0.057,         0.234,         0.641
         0.057,         0.237,         0.641
         0.058,         0.237,         0.641
         0.058,         0.237,         0.640
         0.059,         0.237,         0.640
         0.059,         0.239,         0.640
         0.059,         0.239,         0.640
         0.060,         0.239,         0.639
         0.060,         0.242,         0.639
         0.060,         0.242,         0.638
         0.060,         0.247,         0.638
         0.061,         0.247,         0.636
         0.061,         0.249,         0.636
         0.062,         0.249,         0.636
         0.062,         0.252,         0.636
         0.062,         0.252,         0.636
         0.063,         0.252,         0.634
         0.063,         0.254,         0.634
         0.064,         0.254,         0.633
         0.064,         0.257,         0.633
         0.065,         0.257,         0.631
         0.065,         0.259,         0.631
         0.065,         0.259,         0.631
         0.065,         0.262,         0.631
         0.066,         0.262,         0.631
         0.066,         0.262,         0.630
         0.067,         0.262,         0.629
         0.067,         0.264,         0.629
         0.068,         0.264,         0.629
         0.068,         0.267,         0.629
         0.069,         0.267,         0.629
         0.069,         0.270,         0.628
         0.071,         0.270,         0.627
         0.071,         0.272,         0.626
         0.072,         0.272,         0.626
         0.072,         0.275,         0.626
         0.072,         0.275,         0.625
         0.072,         0.277,         0.625
         0.076,         0.277,         0.622
         0.076,         0.280,         0.622
         0.076,         0.280,         0.622
         0.076,         0.282,         0.622
         0.077,         0.282,         0.620
         0.077,         0.285,         0.620
         0.077,         0.285,         0.620
         0.077,         0.287,         0.620
         0.079,         0.287,         0.619
         0.079,         0.287,         0.619
         0.080,         0.287,         0.617
         0.080,         0.292,         0.617
         0.081,         0.292,         0.617
         0.081,         0.292,         0.616
         0.082,         0.292,         0.616
         0.082,         0.295,         0.616
         0.082,         0.295,         0.615
         0.082,         0.297,         0.615
         0.084,         0.297,         0.614
         0.084,         0.300,         0.614
         0.085,         0.300,         0.613
         0.085,         0.302,         0.613
         0.085,         0.302,         0.612
         0.085,         0.305,         0.612
         0.086,         0.305,         0.612
         0.086,         0.307,         0.611
         0.087,         0.307,         0.610
         0.087,         0.310,         0.610
         0.088,         0.310,         0.610
         0.088,         0.312,         0.610
         0.088,         0.312,         0.610
         0.089,         0.312,         0.609
         0.089,         0.315,         0.609
         0.089,         0.315,         0.609
         0.089,         0.317,         0.609
         0.090,         0.317,         0.609
         0.090,         0.322,         0.609
         0.092,         0.322,         0.606
         0.092,         0.325,         0.606
         0.092,         0.325,         0.606
         0.092,         0.327,         0.606
         0.092,         0.327,         0.606
         0.092,         0.330,         0.606
         0.095,         0.330,         0.604
         0.095,         0.332,         0.604
         0.095,         0.332,         0.603
         0.095,         0.338,         0.603
         0.095,         0.340,         0.603
         0.097,         0.340,         0.602
         0.097,         0.340,         0.602
         0.098,         0.340,         0.601
         0.098,         0.345,         0.601
         0.099,         0.345,         0.600
         0.099,         0.348,         0.600
         0.099,         0.348,         0.600
         0.099,         0.353,         0.600
         0.099,         0.353,         0.600
         0.100,         0.353,         0.599
         0.101,         0.353,         0.598
         0.101,         0.355,         0.598
         0.101,         0.355,         0.598
         0.101,         0.358,         0.598
         0.102,         0.358,         0.597
         0.102,         0.360,         0.597
         0.106,         0.360,         0.595
         0.106,         0.363,         0.595
         0.108,         0.363,         0.594
         0.110,         0.365,         0.593
         0.111,         0.365,         0.592
         0.111,         0.368,         0.592
         0.113,         0.368,         0.591
         0.113,         0.370,         0.591
         0.113,         0.370,         0.591
         0.113,         0.373,         0.591
         0.114,         0.373,         0.590
         0.114,         0.378,         0.590
         0.114,         0.378,         0.590
         0.114,         0.383,         0.589
         0.116,         0.383,         0.588
         0.116,         0.385,         0.588
         0.118,         0.385,         0.587
         0.118,         0.390,         0.587
         0.120,         0.390,         0.585
         0.121,         0.390,         0.585
         0.122,         0.390,         0.584
         0.122,         0.393,         0.584
         0.123,         0.393,         0.583
         0.123,         0.395,         0.583
         0.123,         0.395,         0.583
         0.123,         0.398,         0.583
         0.126,         0.398,         0.582
         0.126,         0.401,         0.582
