false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.478
         0.000,         0.003,         0.478
         0.000,         0.030,         0.326
         0.000,         0.030,         0.325
         0.000,         0.035,         0.320
         0.001,         0.035,         0.317
         0.001,         0.040,         0.316
         0.001,         0.043,         0.311
         0.001,         0.043,         0.310
         0.001,         0.045,         0.308
         0.001,         0.045,         0.307
         0.001,         0.050,         0.302
         0.001,         0.050,         0.289
         0.001,         0.058,         0.277
         0.002,         0.058,         0.273
         0.002,         0.060,         0.272
         0.002,         0.060,         0.272
         0.002,         0.063,         0.269
         0.003,         0.063,         0.261
         0.003,         0.068,         0.261
         0.003,         0.068,         0.258
         0.003,         0.071,         0.256
         0.003,         0.073,         0.255
         0.003,         0.073,         0.253
         0.004,         0.073,         0.251
         0.004,         0.073,         0.250
         0.004,         0.076,         0.245
         0.005,         0.078,         0.245
         0.005,         0.078,         0.243
         0.005,         0.081,         0.239
         0.006,         0.081,         0.233
         0.006,         0.083,         0.232
         0.007,         0.083,         0.228
         0.007,         0.086,         0.228
         0.007,         0.086,         0.227
         0.007,         0.088,         0.227
         0.008,         0.088,         0.226
         0.008,         0.088,         0.224
         0.009,         0.088,         0.222
         0.013,         0.091,         0.221
         0.013,         0.091,         0.221
         0.013,         0.093,         0.220
         0.014,         0.093,         0.219
         0.014,         0.093,         0.219
         0.015,         0.096,         0.219
         0.015,         0.098,         0.219
         0.016,         0.098,         0.216
         0.016,         0.098,         0.215
         0.018,         0.101,         0.215
         0.018,         0.101,         0.214
         0.018,         0.103,         0.214
         0.018,         0.106,         0.214
         0.019,         0.106,         0.211
         0.019,         0.108,         0.211
         0.019,         0.108,         0.207
         0.020,         0.108,         0.207
         0.020,         0.108,         0.207
         0.020,         0.108,         0.207
         0.020,         0.111,         0.206
         0.021,         0.111,         0.205
         0.021,         0.111,         0.205
         0.022,         0.111,         0.203
         0.022,         0.111,         0.203
         0.022,         0.113,         0.202
         0.023,         0.113,         0.201
         0.023,         0.113,         0.200
         0.023,         0.116,         0.200
         0.024,         0.116,         0.200
         0.024,         0.116,         0.200
         0.025,         0.116,         0.197
         0.025,         0.118,         0.196
         0.025,         0.118,         0.196
         0.025,         0.121,         0.195
         0.026,         0.121,         0.195
         0.026,         0.121,         0.195
         0.026,         0.121,         0.195
         0.027,         0.121,         0.194
         0.027,         0.121,         0.193
         0.027,         0.123,         0.193
         0.027,         0.123,         0.192
         0.027,         0.126,         0.192
         0.029,         0.126,         0.188
         0.029,         0.128,         0.187
         0.029,         0.128,         0.187
         0.030,         0.128,         0.187
         0.030,         0.131,         0.186
         0.030,         0.134,         0.186
         0.030,         0.136,         0.185
         0.031,         0.136,         0.185
         0.031,         0.136,         0.185
         0.031,         0.139,         0.185
         0.032,         0.139,         0.184
         0.032,         0.139,         0.184
         0.033,         0.139,         0.183
         0.033,         0.139,         0.183
         0.033,         0.139,         0.183
         0.034,         0.141,         0.183
         0.035,         0.141,         0.182
         0.035,         0.141,         0.181
         0.036,         0.141,         0.180
         0.037,         0.141,         0.179
         0.037,         0.144,         0.179
         0.038,         0.146,         0.179
         0.038,         0.146,         0.179
         0.038,         0.149,         0.178
         0.038,         0.149,         0.178
         0.038,         0.151,         0.177
         0.039,         0.156,         0.177
         0.039,         0.156,         0.176
         0.039,         0.159,         0.176
         0.040,         0.161,         0.176
         0.040,         0.161,         0.175
         0.040,         0.164,         0.175
         0.041,         0.164,         0.174
         0.041,         0.164,         0.174
         0.043,         0.164,         0.173
         0.044,         0.164,         0.173
         0.045,         0.164,         0.171
         0.045,         0.166,         0.171
         0.045,         0.166,         0.171
         0.045,         0.166,         0.170
         0.046,         0.166,         0.170
         0.046,         0.166,         0.169
         0.047,         0.169,         0.169
         0.047,         0.169,         0.169
         0.048,         0.176,         0.169
         0.048,         0.176,         0.168
         0.048,         0.179,         0.168
         0.049,         0.179,         0.168
         0.049,         0.179,         0.167
         0.049,         0.181,         0.167
