false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.813
         0.000,         0.003,         0.813
         0.000,         0.003,         0.799
         0.000,         0.018,         0.754
         0.000,         0.018,         0.754
         0.000,         0.031,         0.745
         0.001,         0.031,         0.741
         0.001,         0.042,         0.733
         0.001,         0.042,         0.731
         0.001,         0.060,         0.723
         0.001,         0.060,         0.721
         0.001,         0.068,         0.717
         0.001,         0.068,         0.716
         0.001,         0.073,         0.713
         0.002,         0.073,         0.712
         0.002,         0.079,         0.710
         0.002,         0.079,         0.709
         0.002,         0.086,         0.707
         0.002,         0.086,         0.706
         0.002,         0.099,         0.702
         0.002,         0.099,         0.701
         0.002,         0.105,         0.700
         0.002,         0.105,         0.699
         0.002,         0.107,         0.698
         0.002,         0.107,         0.698
         0.002,         0.118,         0.697
         0.003,         0.118,         0.694
         0.003,         0.120,         0.693
         0.003,         0.120,         0.693
         0.003,         0.126,         0.692
         0.004,         0.126,         0.692
         0.004,         0.131,         0.689
         0.004,         0.131,         0.687
         0.004,         0.152,         0.683
         0.004,         0.152,         0.683
         0.004,         0.157,         0.682
         0.004,         0.157,         0.682
         0.004,         0.191,         0.676
         0.005,         0.191,         0.675
         0.005,         0.194,         0.674
         0.005,         0.194,         0.674
         0.005,         0.215,         0.673
         0.005,         0.215,         0.670
         0.005,         0.217,         0.668
         0.006,         0.217,         0.662
         0.006,         0.220,         0.661
         0.006,         0.220,         0.661
         0.006,         0.225,         0.659
         0.007,         0.225,         0.659
         0.007,         0.228,         0.658
         0.007,         0.228,         0.658
         0.007,         0.233,         0.654
         0.008,         0.233,         0.653
         0.008,         0.238,         0.653
         0.008,         0.238,         0.652
         0.008,         0.249,         0.649
         0.008,         0.249,         0.649
         0.008,         0.251,         0.648
         0.008,         0.251,         0.648
         0.008,         0.257,         0.647
         0.009,         0.257,         0.646
         0.009,         0.259,         0.645
         0.009,         0.259,         0.644
         0.009,         0.267,         0.643
         0.010,         0.267,         0.643
         0.010,         0.283,         0.640
         0.010,         0.283,         0.638
         0.010,         0.285,         0.638
         0.010,         0.285,         0.638
         0.010,         0.291,         0.637
         0.011,         0.291,         0.636
         0.011,         0.301,         0.634
         0.011,         0.301,         0.633
         0.011,         0.304,         0.632
         0.012,         0.304,         0.632
         0.012,         0.306,         0.632
         0.012,         0.306,         0.631
         0.012,         0.314,         0.630
         0.012,         0.314,         0.630
         0.012,         0.319,         0.629
         0.012,         0.319,         0.629
         0.012,         0.325,         0.628
         0.012,         0.325,         0.628
         0.012,         0.327,         0.627
         0.013,         0.327,         0.626
         0.013,         0.330,         0.626
         0.013,         0.330,         0.624
         0.013,         0.332,         0.624
         0.014,         0.332,         0.623
         0.014,         0.340,         0.621
         0.014,         0.340,         0.621
