false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.264
         0.000,         0.003,         0.264
         0.000,         0.003,         0.250
         0.000,         0.018,         0.205
         0.000,         0.018,         0.204
         0.000,         0.031,         0.196
         0.001,         0.031,         0.191
         0.001,         0.042,         0.184
         0.001,         0.042,         0.182
         0.001,         0.060,         0.174
         0.001,         0.060,         0.172
         0.001,         0.068,         0.168
         0.001,         0.068,         0.167
         0.001,         0.073,         0.164
         0.002,         0.073,         0.163
         0.002,         0.079,         0.161
         0.002,         0.079,         0.160
         0.002,         0.086,         0.158
         0.002,         0.086,         0.157
         0.002,         0.099,         0.153
         0.002,         0.099,         0.152
         0.002,         0.105,         0.151
         0.002,         0.105,         0.149
         0.002,         0.107,         0.149
         0.002,         0.107,         0.149
         0.002,         0.118,         0.148
         0.003,         0.118,         0.145
         0.003,         0.120,         0.144
         0.003,         0.120,         0.144
         0.003,         0.126,         0.143
         0.004,         0.126,         0.142
         0.004,         0.131,         0.139
         0.004,         0.131,         0.138
         0.004,         0.152,         0.134
         0.004,         0.152,         0.133
         0.004,         0.157,         0.133
         0.004,         0.157,         0.133
         0.004,         0.191,         0.127
         0.005,         0.191,         0.126
         0.005,         0.194,         0.125
         0.005,         0.194,         0.125
         0.005,         0.215,         0.124
         0.005,         0.215,         0.120
         0.005,         0.217,         0.118
         0.006,         0.217,         0.113
         0.006,         0.220,         0.112
         0.006,         0.220,         0.112
         0.006,         0.225,         0.110
         0.007,         0.225,         0.110
         0.007,         0.228,         0.109
         0.007,         0.228,         0.109
         0.007,         0.233,         0.105
         0.008,         0.233,         0.104
         0.008,         0.238,         0.104
         0.008,         0.238,         0.103
         0.008,         0.249,         0.100
         0.008,         0.249,         0.100
         0.008,         0.251,         0.099
         0.008,         0.251,         0.099
         0.008,         0.257,         0.098
         0.009,         0.257,         0.097
         0.009,         0.259,         0.096
         0.009,         0.259,         0.095
         0.009,         0.267,         0.094
         0.010,         0.267,         0.094
         0.010,         0.283,         0.091
         0.010,         0.283,         0.089
         0.010,         0.285,         0.089
         0.010,         0.285,         0.089
         0.010,         0.291,         0.088
         0.011,         0.291,         0.087
         0.011,         0.301,         0.085
         0.011,         0.301,         0.083
         0.011,         0.304,         0.083
         0.012,         0.304,         0.083
         0.012,         0.306,         0.083
         0.012,         0.306,         0.082
         0.012,         0.314,         0.081
         0.012,         0.314,         0.080
         0.012,         0.319,         0.080
         0.012,         0.319,         0.080
         0.012,         0.325,         0.079
         0.012,         0.325,         0.079
         0.012,         0.327,         0.078
         0.013,         0.327,         0.077
         0.013,         0.330,         0.077
         0.013,         0.330,         0.075
         0.013,         0.332,         0.075
         0.014,         0.332,         0.074
         0.014,         0.340,         0.072
         0.014,         0.340,         0.072
         0.014,         0.343,         0.072
         0.014,         0.343,         0.071
         0.014,         0.346,         0.071
         0.015,         0.346,         0.070
         0.015,         0.348,         0.070
         0.015,         0.348,         0.069
         0.015,         0.351,         0.069
         0.015,         0.351,         0.069
         0.015,         0.353,         0.069
         0.016,         0.353,         0.068
         0.016,         0.356,         0.068
         0.016,         0.356,         0.068
         0.016,         0.359,         0.067
         0.017,         0.359,         0.065
         0.017,         0.361,         0.065
         0.017,         0.361,         0.064
         0.017,         0.364,         0.064
         0.017,         0.364,         0.064
         0.017,         0.369,         0.064
         0.018,         0.369,         0.062
         0.018,         0.372,         0.062
         0.018,         0.372,         0.061
         0.018,         0.374,         0.061
         0.019,         0.374,         0.059
         0.019,         0.377,         0.058
         0.020,         0.377,         0.056
         0.020,         0.380,         0.056
         0.020,         0.380,         0.054
         0.020,         0.382,         0.054
         0.020,         0.382,         0.054
         0.020,         0.387,         0.054
         0.021,         0.387,         0.050
         0.021,         0.393,         0.050
         0.022,         0.393,         0.049
         0.022,         0.401,         0.048
         0.023,         0.401,         0.047
         0.023,         0.403,         0.047
         0.023,         0.403,         0.046
         0.023,         0.408,         0.046
         0.023,         0.408,         0.046
         0.023,         0.411,         0.046
