false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.566
         0.000,         0.003,         0.566
         0.014,         0.021,         0.537
         0.014,         0.029,         0.514
         0.014,         0.029,         0.474
         0.014,         0.031,         0.469
         0.014,         0.031,         0.450
         0.015,         0.031,         0.439
         0.015,         0.031,         0.436
         0.015,         0.031,         0.434
         0.015,         0.034,         0.434
         0.016,         0.034,         0.430
         0.016,         0.034,         0.428
         0.016,         0.034,         0.423
         0.017,         0.037,         0.419
         0.017,         0.037,         0.417
         0.018,         0.037,         0.415
         0.018,         0.042,         0.406
         0.018,         0.042,         0.404
         0.019,         0.042,         0.403
         0.019,         0.050,         0.401
         0.019,         0.052,         0.400
         0.019,         0.052,         0.399
         0.019,         0.058,         0.396
         0.020,         0.058,         0.396
         0.021,         0.060,         0.395
         0.022,         0.063,         0.393
         0.023,         0.065,         0.390
         0.023,         0.065,         0.389
         0.025,         0.065,         0.388
         0.025,         0.065,         0.386
         0.027,         0.065,         0.386
         0.027,         0.071,         0.386
         0.027,         0.073,         0.385
         0.027,         0.076,         0.384
         0.030,         0.076,         0.384
         0.030,         0.076,         0.382
         0.038,         0.089,         0.382
         0.038,         0.089,         0.382
         0.038,         0.089,         0.381
         0.039,         0.089,         0.380
         0.039,         0.092,         0.380
         0.039,         0.092,         0.380
         0.039,         0.097,         0.378
         0.039,         0.099,         0.378
         0.039,         0.105,         0.376
         0.039,         0.105,         0.376
         0.039,         0.107,         0.374
         0.040,         0.107,         0.374
         0.040,         0.110,         0.373
         0.040,         0.110,         0.372
         0.040,         0.115,         0.371
         0.040,         0.115,         0.371
         0.041,         0.115,         0.369
         0.042,         0.115,         0.369
         0.042,         0.118,         0.368
         0.042,         0.120,         0.366
         0.043,         0.123,         0.365
         0.043,         0.128,         0.364
         0.043,         0.131,         0.364
         0.043,         0.134,         0.364
         0.043,         0.136,         0.363
         0.043,         0.136,         0.363
         0.043,         0.141,         0.362
         0.043,         0.141,         0.362
         0.043,         0.147,         0.360
         0.044,         0.152,         0.360
         0.044,         0.154,         0.360
         0.044,         0.154,         0.360
         0.045,         0.154,         0.358
         0.045,         0.160,         0.356
         0.046,         0.160,         0.355
         0.046,         0.160,         0.355
         0.046,         0.162,         0.354
         0.047,         0.162,         0.353
         0.047,         0.165,         0.353
         0.047,         0.168,         0.352
         0.047,         0.170,         0.351
         0.047,         0.173,         0.349
         0.047,         0.175,         0.349
         0.048,         0.175,         0.349
         0.048,         0.175,         0.348
         0.048,         0.178,         0.348
         0.048,         0.181,         0.347
         0.049,         0.181,         0.347
         0.049,         0.183,         0.346
         0.049,         0.183,         0.346
         0.049,         0.186,         0.346
         0.049,         0.186,         0.346
         0.050,         0.186,         0.344
         0.050,         0.191,         0.342
         0.050,         0.194,         0.342
         0.051,         0.194,         0.341
         0.051,         0.194,         0.340
         0.051,         0.196,         0.340
         0.051,         0.196,         0.340
         0.051,         0.204,         0.338
         0.052,         0.204,         0.338
         0.052,         0.209,         0.338
         0.052,         0.212,         0.338
         0.052,         0.212,         0.337
         0.053,         0.212,         0.336
         0.053,         0.215,         0.335
         0.053,         0.215,         0.335
         0.053,         0.217,         0.335
         0.053,         0.217,         0.334
         0.053,         0.223,         0.334
         0.054,         0.223,         0.333
         0.055,         0.225,         0.333
         0.055,         0.225,         0.333
         0.055,         0.228,         0.332
         0.055,         0.228,         0.332
         0.055,         0.230,         0.331
         0.055,         0.236,         0.330
         0.055,         0.236,         0.330
         0.057,         0.238,         0.330
         0.057,         0.241,         0.329
         0.057,         0.241,         0.329
         0.058,         0.241,         0.328
         0.058,         0.243,         0.327
         0.058,         0.246,         0.327
         0.059,         0.246,         0.326
         0.059,         0.249,         0.326
         0.060,         0.249,         0.325
         0.060,         0.249,         0.324
         0.061,         0.249,         0.324
         0.061,         0.249,         0.323
         0.062,         0.249,         0.323
         0.064,         0.249,         0.322
         0.064,         0.249,         0.322
         0.064,         0.254,         0.321
         0.065,         0.254,         0.321
         0.067,         0.257,         0.321
         0.067,         0.259,         0.321
         0.067,         0.259,         0.319
         0.070,         0.259,         0.319
         0.070,         0.259,         0.318
         0.073,         0.259,         0.317
         0.073,         0.259,         0.316
         0.073,         0.262,         0.316
         0.075,         0.264,         0.315
         0.075,         0.264,         0.315
         0.076,         0.264,         0.315
         0.076,         0.270,         0.314
         0.076,         0.272,         0.314
         0.076,         0.272,         0.314
         0.079,         0.272,         0.313
         0.080,         0.275,         0.313
         0.080,         0.275,         0.313
         0.080,         0.280,         0.312
         0.080,         0.280,         0.312
         0.081,         0.280,         0.312
         0.081,         0.280,         0.311
         0.081,         0.283,         0.311
         0.081,         0.283,         0.311
         0.082,         0.283,         0.310
         0.082,         0.283,         0.309
         0.083,         0.283,         0.309
         0.083,         0.285,         0.308
         0.083,         0.285,         0.308
         0.083,         0.288,         0.308
         0.083,         0.291,         0.308
         0.084,         0.291,         0.307
         0.084,         0.291,         0.305
         0.085,         0.293,         0.305
         0.085,         0.293,         0.305
         0.085,         0.293,         0.304
         0.085,         0.296,         0.303
         0.086,         0.296,         0.303
         0.086,         0.301,         0.302
         0.087,         0.301,         0.302
         0.087,         0.304,         0.301
         0.087,         0.306,         0.301
