false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.537
         0.003,         0.013,         0.537
         0.003,         0.021,         0.453
         0.004,         0.021,         0.436
         0.004,         0.024,         0.434
         0.004,         0.024,         0.423
         0.004,         0.026,         0.419
         0.004,         0.029,         0.407
         0.004,         0.029,         0.404
         0.004,         0.034,         0.401
         0.004,         0.039,         0.393
         0.005,         0.042,         0.390
         0.005,         0.042,         0.386
         0.005,         0.045,         0.386
         0.005,         0.045,         0.384
         0.006,         0.052,         0.382
         0.006,         0.052,         0.381
         0.006,         0.055,         0.380
         0.008,         0.058,         0.379
         0.008,         0.084,         0.360
         0.008,         0.089,         0.360
         0.009,         0.089,         0.358
         0.009,         0.105,         0.354
         0.009,         0.105,         0.353
         0.009,         0.118,         0.349
         0.009,         0.118,         0.347
         0.009,         0.120,         0.347
         0.009,         0.120,         0.346
         0.009,         0.126,         0.343
         0.010,         0.126,         0.341
         0.010,         0.131,         0.338
         0.010,         0.131,         0.337
         0.010,         0.136,         0.334
         0.010,         0.136,         0.334
         0.010,         0.141,         0.334
         0.010,         0.141,         0.333
         0.010,         0.149,         0.330
         0.011,         0.149,         0.330
         0.011,         0.157,         0.328
         0.011,         0.162,         0.327
         0.011,         0.168,         0.325
         0.011,         0.168,         0.322
         0.011,         0.183,         0.319
         0.012,         0.183,         0.319
         0.012,         0.186,         0.318
         0.012,         0.186,         0.318
         0.012,         0.191,         0.317
         0.012,         0.191,         0.316
         0.012,         0.194,         0.316
         0.012,         0.196,         0.315
         0.012,         0.199,         0.314
         0.012,         0.199,         0.314
         0.013,         0.199,         0.313
         0.013,         0.202,         0.313
         0.013,         0.204,         0.313
         0.013,         0.207,         0.312
         0.013,         0.207,         0.312
         0.014,         0.207,         0.312
         0.014,         0.207,         0.311
         0.014,         0.209,         0.311
         0.016,         0.209,         0.310
         0.016,         0.209,         0.307
         0.016,         0.220,         0.304
         0.016,         0.223,         0.304
         0.016,         0.243,         0.298
         0.016,         0.243,         0.298
         0.016,         0.246,         0.297
         0.017,         0.251,         0.296
         0.017,         0.251,         0.295
         0.017,         0.254,         0.295
         0.017,         0.254,         0.294
         0.017,         0.259,         0.292
         0.018,         0.259,         0.289
         0.018,         0.262,         0.288
         0.018,         0.264,         0.287
         0.018,         0.264,         0.287
         0.018,         0.270,         0.286
         0.019,         0.272,         0.286
         0.019,         0.275,         0.285
         0.019,         0.277,         0.285
         0.019,         0.277,         0.284
         0.020,         0.277,         0.284
         0.020,         0.277,         0.283
         0.020,         0.280,         0.282
         0.020,         0.280,         0.282
         0.020,         0.285,         0.281
         0.021,         0.285,         0.281
         0.021,         0.288,         0.280
         0.021,         0.288,         0.280
         0.021,         0.291,         0.280
         0.021,         0.293,         0.280
         0.021,         0.298,         0.279
         0.021,         0.298,         0.279
         0.022,         0.298,         0.277
         0.022,         0.304,         0.276
         0.022,         0.304,         0.275
         0.023,         0.304,         0.275
         0.023,         0.304,         0.274
         0.023,         0.306,         0.274
         0.023,         0.306,         0.273
         0.023,         0.309,         0.272
         0.024,         0.309,         0.272
         0.024,         0.312,         0.272
         0.024,         0.312,         0.272
         0.024,         0.312,         0.271
         0.024,         0.317,         0.271
         0.025,         0.319,         0.270
         0.025,         0.325,         0.270
         0.025,         0.325,         0.268
         0.026,         0.327,         0.268
         0.027,         0.327,         0.268
         0.027,         0.330,         0.268
         0.027,         0.330,         0.266
         0.027,         0.332,         0.266
         0.027,         0.332,         0.266
         0.027,         0.335,         0.266
         0.027,         0.335,         0.265
         0.028,         0.338,         0.265
         0.028,         0.340,         0.265
         0.028,         0.340,         0.264
         0.029,         0.340,         0.263
         0.029,         0.346,         0.262
         0.029,         0.346,         0.262
         0.030,         0.346,         0.262
         0.030,         0.348,         0.261
         0.030,         0.348,         0.261
         0.030,         0.351,         0.260
         0.030,         0.351,         0.260
         0.030,         0.359,         0.258
         0.031,         0.359,         0.257
         0.031,         0.359,         0.257
         0.032,         0.359,         0.255
         0.032,         0.359,         0.255
         0.032,         0.359,         0.254
         0.033,         0.359,         0.254
         0.033,         0.361,         0.254
         0.033,         0.361,         0.254
         0.033,         0.366,         0.254
         0.033,         0.366,         0.253
         0.033,         0.366,         0.253
         0.033,         0.372,         0.252
         0.034,         0.372,         0.252
         0.034,         0.374,         0.251
         0.034,         0.374,         0.251
         0.034,         0.374,         0.251
         0.035,         0.374,         0.250
         0.035,         0.377,         0.250
         0.035,         0.377,         0.249
         0.035,         0.377,         0.249
         0.036,         0.377,         0.249
         0.036,         0.377,         0.247
         0.036,         0.380,         0.247
         0.037,         0.380,         0.247
         0.037,         0.380,         0.247
         0.037,         0.382,         0.246
         0.038,         0.387,         0.246
         0.038,         0.387,         0.245
         0.038,         0.390,         0.244
         0.039,         0.390,         0.244
         0.039,         0.390,         0.244
         0.039,         0.390,         0.244
         0.039,         0.393,         0.243
         0.039,         0.393,         0.243
         0.040,         0.393,         0.243
         0.040,         0.393,         0.242
         0.040,         0.398,         0.242
         0.041,         0.401,         0.241
         0.042,         0.401,         0.240
         0.043,         0.401,         0.240
         0.043,         0.401,         0.238
         0.044,         0.401,         0.238
         0.044,         0.401,         0.238
         0.044,         0.403,         0.236
         0.044,         0.408,         0.236
         0.046,         0.408,         0.233
         0.046,         0.408,         0.233
         0.046,         0.411,         0.233
         0.047,         0.411,         0.232
         0.048,         0.411,         0.232
         0.048,         0.414,         0.232
         0.048,         0.414,         0.231
         0.049,         0.414,         0.230
         0.049,         0.414,         0.229
         0.049,         0.414,         0.229
         0.050,         0.414,         0.229
         0.051,         0.414,         0.228
         0.051,         0.414,         0.228
         0.052,         0.414,         0.228
         0.052,         0.414,         0.227
         0.053,         0.414,         0.227
         0.053,         0.414,         0.227
         0.054,         0.414,         0.227
         0.054,         0.416,         0.227
         0.055,         0.416,         0.226
         0.055,         0.421,         0.225
         0.056,         0.421,         0.225
         0.056,         0.424,         0.225
         0.056,         0.424,         0.224
         0.057,         0.424,         0.224
         0.058,         0.424,         0.222
         0.059,         0.424,         0.222
         0.059,         0.424,         0.221
         0.060,         0.427,         0.220
         0.060,         0.427,         0.220
         0.061,         0.427,         0.220
         0.062,         0.427,         0.219
         0.063,         0.427,         0.219
         0.063,         0.427,         0.218
         0.063,         0.427,         0.218
         0.064,         0.427,         0.218
         0.064,         0.427,         0.217
         0.064,         0.427,         0.217
         0.065,         0.427,         0.216
         0.065,         0.427,         0.216
         0.065,         0.429,         0.216
         0.066,         0.429,         0.215
         0.066,         0.432,         0.215
         0.067,         0.432,         0.214
         0.067,         0.432,         0.214
         0.067,         0.432,         0.213
         0.068,         0.432,         0.213
         0.068,         0.432,         0.213
         0.069,         0.432,         0.212
         0.070,         0.432,         0.212
         0.070,         0.432,         0.212
         0.070,         0.435,         0.211
         0.072,         0.435,         0.211
         0.073,         0.435,         0.211
         0.073,         0.435,         0.210
         0.073,         0.440,         0.210
         0.073,         0.440,         0.210
         0.073,         0.442,         0.210
         0.074,         0.442,         0.209
         0.074,         0.445,         0.209
         0.074,         0.445,         0.209
         0.074,         0.445,         0.209
         0.075,         0.445,         0.209
         0.075,         0.445,         0.209
         0.076,         0.445,         0.208
         0.077,         0.445,         0.208
         0.078,         0.445,         0.208
         0.078,         0.448,         0.207
         0.078,         0.448,         0.207
         0.079,         0.448,         0.207
         0.079,         0.448,         0.207
         0.079,         0.448,         0.206
         0.080,         0.448,         0.206
         0.081,         0.448,         0.206
         0.081,         0.448,         0.206
         0.081,         0.448,         0.206
         0.081,         0.450,         0.206
         0.083,         0.450,         0.205
         0.083,         0.453,         0.205
         0.084,         0.455,         0.205
         0.084,         0.455,         0.205
         0.084,         0.455,         0.204
         0.085,         0.455,         0.204
         0.086,         0.455,         0.204
         0.086,         0.455,         0.204
         0.086,         0.458,         0.203
         0.087,         0.458,         0.203
         0.087,         0.461,         0.203
         0.087,         0.461,         0.202
         0.088,         0.461,         0.202
         0.089,         0.461,         0.202
         0.089,         0.461,         0.201
         0.090,         0.461,         0.201
         0.090,         0.461,         0.200
