false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.216
         0.000,         0.009,         0.216
         0.000,         0.009,         0.207
         0.000,         0.019,         0.177
         0.000,         0.019,         0.161
         0.000,         0.037,         0.156
         0.001,         0.037,         0.153
         0.001,         0.047,         0.149
         0.001,         0.047,         0.143
         0.001,         0.075,         0.136
         0.001,         0.075,         0.136
         0.001,         0.084,         0.132
         0.002,         0.084,         0.126
         0.002,         0.093,         0.125
         0.003,         0.093,         0.120
         0.003,         0.103,         0.120
         0.003,         0.103,         0.120
         0.003,         0.112,         0.119
         0.003,         0.112,         0.118
         0.003,         0.121,         0.118
         0.004,         0.121,         0.114
         0.004,         0.131,         0.113
         0.004,         0.131,         0.111
         0.004,         0.168,         0.106
         0.005,         0.168,         0.099
         0.005,         0.178,         0.097
         0.006,         0.178,         0.096
         0.006,         0.187,         0.096
         0.007,         0.187,         0.090
         0.007,         0.196,         0.089
         0.007,         0.196,         0.089
         0.007,         0.206,         0.088
         0.008,         0.206,         0.085
         0.008,         0.224,         0.084
         0.010,         0.224,         0.078
         0.010,         0.234,         0.077
         0.010,         0.234,         0.076
         0.010,         0.252,         0.076
         0.011,         0.252,         0.075
         0.011,         0.262,         0.074
         0.012,         0.262,         0.072
         0.012,         0.271,         0.072
         0.013,         0.271,         0.071
         0.013,         0.280,         0.071
         0.014,         0.280,         0.067
         0.014,         0.299,         0.067
         0.016,         0.299,         0.064
         0.016,         0.308,         0.064
         0.017,         0.308,         0.061
         0.017,         0.318,         0.061
         0.017,         0.318,         0.060
         0.017,         0.327,         0.060
         0.021,         0.327,         0.053
         0.021,         0.336,         0.053
         0.022,         0.336,         0.052
         0.024,         0.336,         0.050
         0.026,         0.336,         0.049
         0.026,         0.346,         0.049
         0.026,         0.346,         0.048
         0.026,         0.355,         0.048
         0.027,         0.355,         0.047
         0.027,         0.364,         0.047
         0.031,         0.364,         0.042
         0.031,         0.374,         0.042
         0.036,         0.374,         0.036
         0.036,         0.383,         0.036
         0.039,         0.383,         0.033
         0.039,         0.393,         0.032
         0.040,         0.393,         0.031
         0.040,         0.402,         0.030
         0.041,         0.402,         0.029
         0.041,         0.411,         0.029
         0.042,         0.411,         0.028
         0.042,         0.421,         0.028
         0.045,         0.421,         0.025
         0.045,         0.430,         0.024
         0.046,         0.430,         0.023
         0.046,         0.439,         0.023
         0.050,         0.439,         0.020
         0.050,         0.449,         0.019
         0.050,         0.449,         0.019
         0.050,         0.458,         0.019
         0.051,         0.458,         0.019
         0.051,         0.467,         0.019
         0.051,         0.467,         0.018
         0.051,         0.477,         0.018
         0.061,         0.477,         0.011
         0.061,         0.486,         0.011
         0.061,         0.486,         0.011
         0.062,         0.486,         0.011
         0.063,         0.486,         0.009
         0.064,         0.486,         0.009
         0.066,         0.486,         0.007
         0.066,         0.495,         0.007
         0.066,         0.495,         0.007
         0.066,         0.505,         0.006
         0.072,         0.505,         0.001
         0.073,         0.505,         0.001
         0.074,         0.505,         0.000
         0.074,         0.514,         0.000
         0.078,         0.514,        -0.004
         0.078,         0.523,        -0.004
         0.083,         0.523,        -0.007
         0.083,         0.533,        -0.007
         0.086,         0.533,        -0.009
         0.086,         0.542,        -0.010
         0.087,         0.542,        -0.011
         0.087,         0.551,        -0.011
         0.091,         0.551,        -0.013
         0.091,         0.561,        -0.013
         0.093,         0.561,        -0.014
         0.094,         0.561,        -0.014
         0.094,         0.561,        -0.014
         0.094,         0.570,        -0.014
