false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.699
         0.000,         0.009,         0.699
         0.000,         0.009,         0.690
         0.000,         0.019,         0.660
         0.000,         0.019,         0.644
         0.000,         0.037,         0.638
         0.001,         0.037,         0.636
         0.001,         0.047,         0.632
         0.001,         0.047,         0.626
         0.001,         0.075,         0.619
         0.001,         0.075,         0.619
         0.001,         0.084,         0.615
         0.002,         0.084,         0.609
         0.002,         0.093,         0.608
         0.003,         0.093,         0.603
         0.003,         0.103,         0.603
         0.003,         0.103,         0.603
         0.003,         0.112,         0.602
         0.003,         0.112,         0.601
         0.003,         0.121,         0.600
         0.004,         0.121,         0.597
         0.004,         0.131,         0.596
         0.004,         0.131,         0.594
         0.004,         0.168,         0.589
         0.005,         0.168,         0.582
         0.005,         0.178,         0.579
         0.006,         0.178,         0.579
         0.006,         0.187,         0.579
         0.007,         0.187,         0.573
         0.007,         0.196,         0.572
         0.007,         0.196,         0.572
         0.007,         0.206,         0.571
         0.008,         0.206,         0.568
         0.008,         0.224,         0.567
         0.010,         0.224,         0.561
         0.010,         0.234,         0.560
         0.010,         0.234,         0.559
         0.010,         0.252,         0.559
         0.011,         0.252,         0.558
         0.011,         0.262,         0.557
         0.012,         0.262,         0.555
         0.012,         0.271,         0.555
         0.013,         0.271,         0.554
         0.013,         0.280,         0.554
         0.014,         0.280,         0.550
         0.014,         0.299,         0.550
         0.016,         0.299,         0.547
         0.016,         0.308,         0.547
         0.017,         0.308,         0.544
         0.017,         0.318,         0.544
         0.017,         0.318,         0.543
         0.017,         0.327,         0.543
         0.021,         0.327,         0.536
         0.021,         0.336,         0.536
         0.022,         0.336,         0.535
         0.024,         0.336,         0.533
         0.026,         0.336,         0.532
         0.026,         0.346,         0.532
         0.026,         0.346,         0.531
         0.026,         0.355,         0.531
         0.027,         0.355,         0.530
         0.027,         0.364,         0.530
         0.031,         0.364,         0.525
         0.031,         0.374,         0.525
         0.036,         0.374,         0.519
         0.036,         0.383,         0.519
         0.039,         0.383,         0.515
         0.039,         0.393,         0.515
         0.040,         0.393,         0.514
         0.040,         0.402,         0.513
         0.041,         0.402,         0.512
         0.041,         0.411,         0.512
         0.042,         0.411,         0.511
         0.042,         0.421,         0.511
         0.045,         0.421,         0.508
         0.045,         0.430,         0.507
         0.046,         0.430,         0.506
         0.046,         0.439,         0.506
         0.050,         0.439,         0.503
         0.050,         0.449,         0.502
         0.050,         0.449,         0.502
         0.050,         0.458,         0.502
         0.051,         0.458,         0.502
         0.051,         0.467,         0.501
         0.051,         0.467,         0.501
         0.051,         0.477,         0.501
         0.061,         0.477,         0.494
         0.061,         0.486,         0.494
         0.061,         0.486,         0.494
         0.062,         0.486,         0.494
         0.063,         0.486,         0.492
         0.064,         0.486,         0.492
         0.066,         0.486,         0.490
         0.066,         0.495,         0.490
         0.066,         0.495,         0.490
         0.066,         0.505,         0.489
         0.072,         0.505,         0.484
         0.073,         0.505,         0.484
         0.074,         0.505,         0.483
         0.074,         0.514,         0.483
         0.078,         0.514,         0.479
         0.078,         0.523,         0.479
         0.083,         0.523,         0.476
         0.083,         0.533,         0.476
         0.086,         0.533,         0.474
         0.086,         0.542,         0.473
         0.087,         0.542,         0.472
         0.087,         0.551,         0.472
         0.091,         0.551,         0.470
         0.091,         0.561,         0.470
         0.093,         0.561,         0.469
         0.094,         0.561,         0.469
         0.094,         0.561,         0.469
         0.094,         0.570,         0.469
         0.100,         0.570,         0.464
         0.100,         0.579,         0.464
         0.103,         0.579,         0.463
         0.103,         0.589,         0.463
         0.104,         0.589,         0.462
         0.104,         0.589,         0.462
         0.105,         0.589,         0.462
         0.105,         0.607,         0.461
         0.109,         0.607,         0.458
         0.109,         0.617,         0.458
         0.114,         0.617,         0.455
         0.114,         0.626,         0.455
         0.114,         0.626,         0.454
         0.114,         0.636,         0.454
         0.128,         0.636,         0.447
         0.128,         0.654,         0.447
         0.129,         0.654,         0.447
         0.129,         0.664,         0.446
         0.129,         0.664,         0.446
         0.129,         0.673,         0.446
         0.130,         0.673,         0.446
         0.130,         0.682,         0.446
         0.137,         0.682,         0.442
         0.137,         0.682,         0.442
         0.142,         0.682,         0.439
         0.142,         0.682,         0.439
         0.144,         0.682,         0.438
         0.144,         0.692,         0.438
         0.157,         0.692,         0.432
         0.157,         0.692,         0.432
         0.157,         0.692,         0.432
         0.157,         0.710,         0.432
         0.168,         0.710,         0.427
         0.168,         0.720,         0.426
         0.172,         0.720,         0.425
         0.172,         0.729,         0.425
         0.180,         0.729,         0.422
         0.180,         0.738,         0.422
         0.190,         0.738,         0.417
         0.190,         0.748,         0.417
         0.192,         0.748,         0.416
         0.192,         0.757,         0.416
         0.192,         0.757,         0.416
         0.192,         0.757,         0.416
         0.198,         0.757,         0.414
         0.198,         0.766,         0.414
         0.199,         0.766,         0.413
         0.199,         0.776,         0.413
         0.204,         0.776,         0.411
         0.205,         0.776,         0.411
         0.211,         0.776,         0.408
         0.211,         0.785,         0.408
         0.216,         0.785,         0.406
         0.216,         0.785,         0.406
         0.228,         0.785,         0.402
         0.228,         0.794,         0.402
         0.228,         0.794,         0.402
         0.229,         0.794,         0.402
         0.234,         0.794,         0.399
         0.234,         0.804,         0.399
         0.235,         0.804,         0.399
         0.236,         0.804,         0.399
         0.236,         0.804,         0.399
         0.236,         0.813,         0.399
         0.241,         0.813,         0.397
         0.241,         0.813,         0.397
         0.248,         0.813,         0.395
         0.248,         0.813,         0.395
         0.249,         0.813,         0.394
         0.249,         0.822,         0.394
         0.252,         0.822,         0.393
         0.252,         0.832,         0.393
         0.260,         0.832,         0.390
         0.260,         0.841,         0.389
         0.263,         0.841,         0.389
         0.264,         0.841,         0.388
         0.274,         0.841,         0.384
         0.274,         0.841,         0.384
         0.278,         0.841,         0.383
         0.278,         0.841,         0.383
         0.296,         0.841,         0.378
         0.296,         0.850,         0.378
         0.309,         0.850,         0.373
         0.310,         0.850,         0.373
         0.316,         0.850,         0.371
         0.318,         0.850,         0.371
         0.321,         0.850,         0.371
         0.321,         0.860,         0.371
         0.321,         0.860,         0.371
         0.322,         0.860,         0.371
         0.332,         0.860,         0.367
         0.333,         0.860,         0.367
         0.335,         0.860,         0.367
         0.335,         0.869,         0.367
         0.340,         0.869,         0.365
         0.341,         0.869,         0.365
         0.345,         0.869,         0.363
         0.345,         0.879,         0.363
         0.369,         0.879,         0.355
         0.369,         0.888,         0.355
         0.380,         0.888,         0.352
         0.380,         0.888,         0.352
         0.381,         0.888,         0.352
         0.381,         0.888,         0.352
         0.385,         0.888,         0.351
         0.385,         0.888,         0.351
         0.398,         0.888,         0.348
         0.398,         0.897,         0.348
         0.404,         0.897,         0.346
         0.404,         0.897,         0.346
         0.418,         0.897,         0.341
         0.418,         0.897,         0.341
         0.427,         0.897,         0.339
         0.427,         0.897,         0.339
         0.427,         0.897,         0.339
         0.427,         0.907,         0.338
         0.453,         0.907,         0.331
         0.453,         0.907,         0.331
         0.459,         0.907,         0.329
         0.460,         0.907,         0.329
         0.462,         0.907,         0.329
         0.462,         0.907,         0.328
         0.463,         0.907,         0.328
         0.463,         0.907,         0.328
         0.466,         0.907,         0.328
         0.466,         0.916,         0.328
         0.471,         0.916,         0.327
         0.471,         0.916,         0.327
         0.472,         0.916,         0.326
         0.472,         0.916,         0.326
         0.475,         0.916,         0.326
         0.475,         0.925,         0.326
         0.484,         0.925,         0.323
         0.484,         0.925,         0.323
         0.493,         0.925,         0.321
         0.493,         0.925,         0.321
         0.518,         0.925,         0.315
         0.518,         0.935,         0.315
         0.523,         0.935,         0.313
         0.523,         0.935,         0.313
         0.540,         0.935,         0.308
         0.540,         0.944,         0.308
         0.576,         0.944,         0.298
         0.576,         0.953,         0.298
         0.590,         0.953,         0.294
         0.607,         0.953,         0.294
         0.614,         0.953,         0.292
         0.614,         0.963,         0.292
         0.614,         0.963,         0.292
         0.621,         0.963,         0.290
         0.624,         0.963,         0.290
         0.634,         0.963,         0.287
         0.635,         0.963,         0.287
         0.636,         0.963,         0.286
         0.636,         0.972,         0.286
         0.680,         0.972,         0.273
         0.680,         0.972,         0.273
         0.690,         0.972,         0.270
         0.691,         0.972,         0.270
         0.721,         0.972,         0.262
         0.722,         0.972,         0.261
         0.726,         0.972,         0.260
         0.726,         0.981,         0.260
         0.772,         0.981,         0.245
         0.772,         0.991,         0.245
         0.807,         0.991,         0.234
         0.808,         0.991,         0.234
         0.811,         0.991,         0.233
         0.811,         1.000,         0.233
         0.814,         1.000,         0.232
         0.814,         1.000,         0.232
         0.832,         1.000,         0.225
         0.833,         1.000,         0.225
         0.837,         1.000,         0.224
         0.837,         1.000,         0.224
         0.870,         1.000,         0.212
         0.870,         1.000,         0.212
         0.886,         1.000,         0.203
         0.887,         1.000,         0.202
         0.945,         1.000,         0.170
         0.945,         1.000,         0.170
         0.990,         1.000,         0.115
         0.990,         1.000,         0.114
         1.000,         1.000,         0.038
