false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.239
         0.000,         0.000,         0.239
         0.000,         0.242,         0.233
         0.001,         0.242,         0.186
         0.001,         0.244,         0.184
         0.001,         0.244,         0.181
         0.001,         0.249,         0.164
         0.001,         0.249,         0.160
         0.001,         0.259,         0.142
         0.002,         0.259,         0.135
         0.002,         0.262,         0.133
         0.002,         0.262,         0.127
         0.002,         0.264,         0.126
         0.003,         0.264,         0.124
         0.003,         0.267,         0.124
         0.003,         0.267,         0.124
         0.003,         0.270,         0.123
         0.004,         0.270,         0.119
         0.004,         0.272,         0.118
         0.006,         0.272,         0.111
         0.006,         0.275,         0.110
         0.007,         0.275,         0.105
         0.007,         0.277,         0.105
         0.009,         0.277,         0.091
         0.010,         0.277,         0.090
         0.010,         0.277,         0.087
         0.010,         0.280,         0.087
         0.011,         0.280,         0.086
         0.011,         0.282,         0.085
         0.011,         0.282,         0.085
         0.011,         0.285,         0.085
         0.012,         0.285,         0.082
         0.012,         0.290,         0.079
         0.012,         0.290,         0.078
         0.012,         0.292,         0.077
         0.012,         0.292,         0.077
         0.012,         0.295,         0.077
         0.013,         0.295,         0.077
         0.013,         0.297,         0.077
         0.014,         0.297,         0.072
         0.014,         0.300,         0.071
         0.015,         0.300,         0.069
         0.015,         0.305,         0.068
         0.016,         0.305,         0.068
         0.017,         0.305,         0.067
         0.017,         0.307,         0.067
         0.018,         0.307,         0.065
         0.018,         0.310,         0.065
         0.020,         0.310,         0.063
         0.020,         0.312,         0.063
         0.021,         0.312,         0.061
         0.021,         0.315,         0.061
         0.022,         0.315,         0.059
         0.022,         0.317,         0.059
         0.022,         0.317,         0.059
         0.022,         0.320,         0.058
         0.024,         0.320,         0.053
         0.025,         0.320,         0.052
         0.025,         0.322,         0.052
         0.025,         0.322,         0.052
         0.026,         0.322,         0.051
         0.026,         0.322,         0.051
         0.026,         0.325,         0.051
         0.027,         0.325,         0.051
         0.027,         0.327,         0.051
         0.027,         0.327,         0.051
         0.027,         0.330,         0.050
         0.029,         0.330,         0.047
         0.029,         0.335,         0.046
         0.029,         0.335,         0.046
         0.029,         0.338,         0.046
         0.032,         0.338,         0.043
         0.032,         0.340,         0.043
         0.032,         0.340,         0.042
         0.032,         0.343,         0.042
         0.033,         0.343,         0.041
         0.033,         0.345,         0.041
         0.034,         0.345,         0.041
         0.034,         0.348,         0.041
         0.034,         0.348,         0.040
         0.034,         0.350,         0.040
         0.035,         0.350,         0.039
         0.035,         0.353,         0.039
         0.036,         0.353,         0.038
         0.036,         0.355,         0.038
         0.036,         0.355,         0.037
         0.038,         0.355,         0.037
         0.038,         0.355,         0.037
         0.038,         0.358,         0.037
         0.039,         0.358,         0.036
         0.039,         0.365,         0.035
         0.039,         0.365,         0.034
         0.039,         0.370,         0.034
         0.040,         0.370,         0.033
         0.040,         0.375,         0.033
         0.040,         0.375,         0.033
         0.041,         0.375,         0.033
         0.041,         0.375,         0.033
         0.041,         0.378,         0.032
         0.044,         0.378,         0.028
         0.044,         0.383,         0.027
         0.045,         0.383,         0.027
         0.045,         0.385,         0.027
         0.045,         0.385,         0.027
         0.045,         0.385,         0.027
         0.046,         0.385,         0.027
         0.046,         0.385,         0.026
         0.046,         0.388,         0.026
         0.047,         0.388,         0.026
         0.047,         0.390,         0.026
         0.049,         0.390,         0.024
         0.049,         0.393,         0.024
         0.049,         0.393,         0.022
         0.049,         0.395,         0.022
         0.052,         0.395,         0.020
         0.052,         0.398,         0.020
         0.053,         0.398,         0.019
         0.054,         0.398,         0.018
         0.054,         0.398,         0.018
         0.054,         0.401,         0.018
         0.056,         0.401,         0.016
         0.056,         0.403,         0.016
         0.057,         0.403,         0.015
         0.057,         0.406,         0.015
         0.058,         0.406,         0.014
         0.058,         0.408,         0.013
         0.058,         0.408,         0.013
         0.058,         0.411,         0.013
         0.061,         0.411,         0.010
         0.061,         0.413,         0.010
         0.061,         0.413,         0.009
         0.062,         0.413,         0.009
         0.063,         0.413,         0.009
         0.063,         0.416,         0.009
         0.063,         0.416,         0.009
         0.063,         0.418,         0.008
         0.064,         0.418,         0.008
         0.064,         0.421,         0.008
         0.064,         0.421,         0.008
         0.064,         0.423,         0.007
         0.065,         0.423,         0.007
         0.065,         0.428,         0.007
         0.065,         0.428,         0.006
         0.065,         0.433,         0.005
         0.067,         0.433,         0.003
         0.068,         0.433,         0.002
         0.068,         0.436,         0.002
         0.069,         0.436,         0.002
         0.069,         0.441,         0.002
         0.071,         0.441,         0.000
         0.071,         0.443,        -0.000
         0.073,         0.443,        -0.001
         0.073,         0.443,        -0.001
         0.075,         0.443,        -0.003
         0.075,         0.446,        -0.003
         0.076,         0.446,        -0.004
         0.076,         0.448,        -0.004
         0.077,         0.448,        -0.005
         0.077,         0.451,        -0.005
         0.079,         0.451,        -0.006
         0.079,         0.453,        -0.006
         0.080,         0.453,        -0.006
         0.080,         0.456,        -0.006
         0.080,         0.456,        -0.007
         0.080,         0.458,        -0.007
         0.081,         0.458,        -0.008
         0.081,         0.461,        -0.009
         0.085,         0.461,        -0.011
         0.085,         0.463,        -0.011
         0.086,         0.463,        -0.012
         0.086,         0.466,        -0.012
         0.087,         0.466,        -0.012
         0.087,         0.469,        -0.012
         0.088,         0.469,        -0.013
         0.090,         0.474,        -0.013
         0.091,         0.474,        -0.013
         0.091,         0.476,        -0.013
         0.092,         0.476,        -0.014
         0.092,         0.479,        -0.014
         0.092,         0.479,        -0.015
         0.092,         0.484,        -0.015
         0.094,         0.484,        -0.016
         0.094,         0.489,        -0.017
         0.094,         0.489,        -0.017
         0.094,         0.489,        -0.017
         0.097,         0.489,        -0.018
         0.097,         0.491,        -0.018
         0.098,         0.491,        -0.019
         0.098,         0.494,        -0.019
         0.099,         0.494,        -0.019
         0.099,         0.496,        -0.020
         0.099,         0.496,        -0.020
         0.102,         0.496,        -0.021
         0.102,         0.501,        -0.022
         0.102,         0.501,        -0.023
         0.103,         0.501,        -0.023
         0.103,         0.504,        -0.023
         0.105,         0.504,        -0.024
         0.105,         0.509,        -0.024
         0.105,         0.509,        -0.025
         0.105,         0.511,        -0.025
         0.105,         0.511,        -0.025
         0.105,         0.516,        -0.025
         0.108,         0.516,        -0.027
         0.108,         0.524,        -0.028
         0.109,         0.524,        -0.029
         0.109,         0.526,        -0.029
         0.110,         0.526,        -0.030
         0.110,         0.529,        -0.030
         0.111,         0.529,        -0.030
         0.111,         0.531,        -0.030
         0.112,         0.531,        -0.030
         0.112,         0.534,        -0.030
         0.112,         0.534,        -0.031
         0.112,         0.537,        -0.031
         0.112,         0.537,        -0.031
         0.112,         0.539,        -0.031
         0.113,         0.539,        -0.032
         0.113,         0.542,        -0.032
         0.116,         0.542,        -0.034
         0.116,         0.544,        -0.034
         0.117,         0.544,        -0.035
         0.117,         0.549,        -0.035
         0.119,         0.549,        -0.036
         0.119,         0.552,        -0.036
         0.119,         0.552,        -0.037
         0.119,         0.554,        -0.037
         0.122,         0.554,        -0.037
         0.122,         0.559,        -0.038
         0.124,         0.559,        -0.040
         0.124,         0.562,        -0.040
         0.126,         0.562,        -0.041
         0.126,         0.564,        -0.041
         0.126,         0.564,        -0.041
         0.126,         0.567,        -0.041
         0.127,         0.567,        -0.041
         0.127,         0.567,        -0.041
         0.127,         0.569,        -0.042
         0.130,         0.569,        -0.044
         0.130,         0.572,        -0.044
         0.131,         0.572,        -0.045
         0.131,         0.574,        -0.045
         0.131,         0.574,        -0.045
         0.131,         0.574,        -0.045
         0.132,         0.574,        -0.045
         0.132,         0.579,        -0.046
         0.133,         0.579,        -0.046
         0.133,         0.582,        -0.046
         0.133,         0.582,        -0.046
         0.133,         0.584,        -0.046
         0.135,         0.584,        -0.047
         0.135,         0.587,        -0.047
         0.136,         0.587,        -0.048
         0.136,         0.589,        -0.048
         0.136,         0.589,        -0.048
         0.136,         0.594,        -0.048
         0.140,         0.594,        -0.050
         0.140,         0.597,        -0.050
         0.141,         0.597,        -0.051
         0.141,         0.599,        -0.051
         0.142,         0.599,        -0.051
         0.142,         0.602,        -0.052
         0.143,         0.602,        -0.052
         0.143,         0.605,        -0.052
         0.143,         0.605,        -0.052
         0.143,         0.607,        -0.052
         0.146,         0.607,        -0.054
         0.146,         0.607,        -0.054
         0.148,         0.607,        -0.055
         0.148,         0.610,        -0.055
         0.149,         0.610,        -0.056
         0.149,         0.612,        -0.057
         0.150,         0.612,        -0.057
         0.150,         0.615,        -0.057
         0.152,         0.615,        -0.058
         0.152,         0.617,        -0.058
         0.155,         0.617,        -0.059
         0.155,         0.620,        -0.059
         0.157,         0.620,        -0.060
         0.157,         0.622,        -0.060
         0.157,         0.622,        -0.061
         0.157,         0.625,        -0.061
         0.159,         0.625,        -0.062
         0.159,         0.627,        -0.062
         0.160,         0.627,        -0.062
         0.160,         0.630,        -0.062
         0.161,         0.630,        -0.063
         0.161,         0.632,        -0.063
         0.162,         0.632,        -0.064
         0.162,         0.635,        -0.064
         0.163,         0.635,        -0.064
         0.163,         0.637,        -0.064
         0.164,         0.637,        -0.064
         0.164,         0.640,        -0.064
         0.166,         0.640,        -0.065
         0.166,         0.642,        -0.065
         0.167,         0.642,        -0.065
         0.167,         0.645,        -0.065
         0.167,         0.645,        -0.066
         0.167,         0.647,        -0.066
         0.170,         0.647,        -0.067
         0.170,         0.650,        -0.067
         0.172,         0.650,        -0.068
         0.172,         0.652,        -0.069
         0.177,         0.652,        -0.071
         0.177,         0.655,        -0.072
         0.177,         0.655,        -0.072
         0.177,         0.657,        -0.072
         0.182,         0.657,        -0.074
         0.182,         0.660,        -0.074
         0.184,         0.660,        -0.075
         0.184,         0.662,        -0.075
         0.185,         0.662,        -0.075
         0.185,         0.668,        -0.076
         0.187,         0.668,        -0.077
         0.187,         0.668,        -0.077
         0.187,         0.668,        -0.077
         0.187,         0.670,        -0.077
         0.188,         0.670,        -0.077
         0.188,         0.673,        -0.077
         0.189,         0.673,        -0.077
         0.189,         0.675,        -0.077
         0.190,         0.675,        -0.078
         0.190,         0.678,        -0.078
         0.191,         0.678,        -0.078
         0.191,         0.680,        -0.079
         0.191,         0.680,        -0.079
         0.191,         0.683,        -0.079
         0.193,         0.683,        -0.079
         0.193,         0.685,        -0.079
         0.194,         0.685,        -0.080
         0.194,         0.688,        -0.080
         0.195,         0.688,        -0.080
         0.195,         0.693,        -0.080
         0.196,         0.693,        -0.081
         0.196,         0.695,        -0.081
         0.204,         0.695,        -0.085
         0.204,         0.698,        -0.085
         0.209,         0.698,        -0.087
         0.209,         0.700,        -0.088
         0.210,         0.700,        -0.088
         0.210,         0.703,        -0.088
         0.211,         0.703,        -0.089
         0.211,         0.705,        -0.089
         0.212,         0.705,        -0.089
         0.213,         0.705,        -0.089
         0.213,         0.705,        -0.090
         0.213,         0.708,        -0.090
         0.214,         0.708,        -0.090
         0.214,         0.710,        -0.090
         0.215,         0.710,        -0.091
         0.215,         0.713,        -0.091
         0.217,         0.713,        -0.091
         0.217,         0.715,        -0.091
         0.220,         0.715,        -0.093
         0.220,         0.718,        -0.093
         0.224,         0.718,        -0.094
         0.224,         0.720,        -0.094
         0.224,         0.720,        -0.094
         0.224,         0.723,        -0.094
         0.226,         0.723,        -0.095
         0.226,         0.725,        -0.095
         0.228,         0.725,        -0.096
         0.228,         0.728,        -0.096
         0.233,         0.728,        -0.097
         0.233,         0.730,        -0.097
