false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.743
         0.000,         0.000,         0.743
         0.000,         0.242,         0.737
         0.001,         0.242,         0.690
         0.001,         0.244,         0.689
         0.001,         0.244,         0.686
         0.001,         0.249,         0.669
         0.001,         0.249,         0.665
         0.001,         0.259,         0.646
         0.002,         0.259,         0.640
         0.002,         0.262,         0.637
         0.002,         0.262,         0.631
         0.002,         0.264,         0.631
         0.003,         0.264,         0.628
         0.003,         0.267,         0.628
         0.003,         0.267,         0.628
         0.003,         0.270,         0.627
         0.004,         0.270,         0.624
         0.004,         0.272,         0.623
         0.006,         0.272,         0.616
         0.006,         0.275,         0.614
         0.007,         0.275,         0.609
         0.007,         0.277,         0.609
         0.009,         0.277,         0.595
         0.010,         0.277,         0.594
         0.010,         0.277,         0.592
         0.010,         0.280,         0.592
         0.011,         0.280,         0.590
         0.011,         0.282,         0.590
         0.011,         0.282,         0.590
         0.011,         0.285,         0.589
         0.012,         0.285,         0.587
         0.012,         0.290,         0.584
         0.012,         0.290,         0.582
         0.012,         0.292,         0.582
         0.012,         0.292,         0.582
         0.012,         0.295,         0.582
         0.013,         0.295,         0.581
         0.013,         0.297,         0.581
         0.014,         0.297,         0.576
         0.014,         0.300,         0.576
         0.015,         0.300,         0.573
         0.015,         0.305,         0.573
         0.016,         0.305,         0.573
         0.017,         0.305,         0.572
         0.017,         0.307,         0.571
         0.018,         0.307,         0.570
         0.018,         0.310,         0.570
         0.020,         0.310,         0.568
         0.020,         0.312,         0.567
         0.021,         0.312,         0.566
         0.021,         0.315,         0.565
         0.022,         0.315,         0.564
         0.022,         0.317,         0.564
         0.022,         0.317,         0.563
         0.022,         0.320,         0.563
         0.024,         0.320,         0.557
         0.025,         0.320,         0.557
         0.025,         0.322,         0.557
         0.025,         0.322,         0.556
         0.026,         0.322,         0.556
         0.026,         0.322,         0.556
         0.026,         0.325,         0.556
         0.027,         0.325,         0.555
         0.027,         0.327,         0.555
         0.027,         0.327,         0.555
         0.027,         0.330,         0.554
         0.029,         0.330,         0.551
         0.029,         0.335,         0.551
         0.029,         0.335,         0.551
         0.029,         0.338,         0.551
         0.032,         0.338,         0.547
         0.032,         0.340,         0.547
         0.032,         0.340,         0.547
         0.032,         0.343,         0.546
         0.033,         0.343,         0.546
         0.033,         0.345,         0.545
         0.034,         0.345,         0.545
         0.034,         0.348,         0.545
         0.034,         0.348,         0.545
         0.034,         0.350,         0.545
         0.035,         0.350,         0.543
         0.035,         0.353,         0.543
         0.036,         0.353,         0.543
         0.036,         0.355,         0.542
         0.036,         0.355,         0.542
         0.038,         0.355,         0.542
         0.038,         0.355,         0.542
         0.038,         0.358,         0.541
         0.039,         0.358,         0.540
         0.039,         0.365,         0.539
         0.039,         0.365,         0.539
         0.039,         0.370,         0.539
         0.040,         0.370,         0.538
         0.040,         0.375,         0.538
         0.040,         0.375,         0.538
         0.041,         0.375,         0.537
         0.041,         0.375,         0.537
         0.041,         0.378,         0.537
         0.044,         0.378,         0.532
         0.044,         0.383,         0.532
         0.045,         0.383,         0.532
         0.045,         0.385,         0.532
         0.045,         0.385,         0.532
         0.045,         0.385,         0.531
         0.046,         0.385,         0.531
         0.046,         0.385,         0.531
         0.046,         0.388,         0.531
         0.047,         0.388,         0.530
         0.047,         0.390,         0.530
         0.049,         0.390,         0.528
         0.049,         0.393,         0.528
         0.049,         0.393,         0.527
         0.049,         0.395,         0.527
         0.052,         0.395,         0.524
         0.052,         0.398,         0.524
         0.053,         0.398,         0.523
         0.054,         0.398,         0.523
         0.054,         0.398,         0.523
         0.054,         0.401,         0.522
         0.056,         0.401,         0.521
         0.056,         0.403,         0.521
         0.057,         0.403,         0.520
         0.057,         0.406,         0.520
         0.058,         0.406,         0.518
         0.058,         0.408,         0.518
         0.058,         0.408,         0.517
         0.058,         0.411,         0.517
         0.061,         0.411,         0.515
         0.061,         0.413,         0.514
         0.061,         0.413,         0.514
         0.062,         0.413,         0.514
         0.063,         0.413,         0.513
         0.063,         0.416,         0.513
         0.063,         0.416,         0.513
         0.063,         0.418,         0.513
         0.064,         0.418,         0.512
         0.064,         0.421,         0.512
         0.064,         0.421,         0.512
         0.064,         0.423,         0.512
         0.065,         0.423,         0.511
         0.065,         0.428,         0.511
         0.065,         0.428,         0.510
         0.065,         0.433,         0.510
         0.067,         0.433,         0.508
         0.068,         0.433,         0.507
         0.068,         0.436,         0.507
         0.069,         0.436,         0.506
         0.069,         0.441,         0.506
         0.071,         0.441,         0.505
         0.071,         0.443,         0.505
         0.073,         0.443,         0.504
         0.073,         0.443,         0.504
         0.075,         0.443,         0.502
         0.075,         0.446,         0.501
         0.076,         0.446,         0.501
         0.076,         0.448,         0.500
         0.077,         0.448,         0.500
