false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.627
         0.000,         0.244,         0.627
         0.000,         0.247,         0.448
         0.016,         0.262,         0.412
         0.016,         0.262,         0.404
         0.017,         0.262,         0.368
         0.018,         0.262,         0.361
         0.018,         0.262,         0.360
         0.019,         0.262,         0.359
         0.020,         0.262,         0.354
         0.020,         0.264,         0.350
         0.021,         0.264,         0.343
         0.022,         0.264,         0.342
         0.023,         0.264,         0.340
         0.023,         0.270,         0.339
         0.024,         0.270,         0.338
         0.024,         0.270,         0.338
         0.025,         0.270,         0.336
         0.025,         0.270,         0.333
         0.026,         0.270,         0.333
         0.026,         0.270,         0.330
         0.027,         0.270,         0.327
         0.027,         0.272,         0.326
         0.028,         0.272,         0.324
         0.028,         0.272,         0.324
         0.028,         0.272,         0.323
         0.028,         0.272,         0.322
         0.029,         0.275,         0.322
         0.029,         0.275,         0.320
         0.030,         0.275,         0.319
         0.032,         0.275,         0.319
         0.032,         0.277,         0.317
         0.033,         0.277,         0.315
         0.034,         0.277,         0.312
         0.035,         0.277,         0.311
         0.035,         0.277,         0.311
         0.036,         0.277,         0.311
         0.036,         0.277,         0.308
         0.036,         0.280,         0.308
         0.037,         0.280,         0.307
         0.038,         0.280,         0.307
         0.039,         0.280,         0.305
         0.039,         0.282,         0.305
         0.040,         0.282,         0.303
         0.040,         0.282,         0.302
         0.041,         0.282,         0.302
         0.041,         0.285,         0.301
         0.041,         0.285,         0.300
         0.044,         0.285,         0.299
         0.046,         0.287,         0.298
         0.046,         0.287,         0.297
         0.047,         0.290,         0.297
         0.047,         0.292,         0.296
         0.055,         0.297,         0.295
         0.056,         0.297,         0.295
         0.057,         0.300,         0.294
         0.058,         0.300,         0.292
         0.058,         0.300,         0.291
         0.058,         0.302,         0.291
         0.058,         0.302,         0.290
         0.059,         0.302,         0.289
         0.059,         0.302,         0.289
         0.060,         0.305,         0.288
         0.060,         0.305,         0.287
         0.060,         0.305,         0.286
         0.062,         0.307,         0.286
         0.062,         0.307,         0.283
         0.063,         0.307,         0.282
         0.063,         0.307,         0.280
         0.064,         0.307,         0.280
         0.064,         0.307,         0.280
         0.065,         0.307,         0.279
         0.066,         0.307,         0.278
         0.067,         0.307,         0.278
         0.067,         0.307,         0.276
         0.068,         0.307,         0.275
         0.068,         0.310,         0.274
         0.069,         0.310,         0.273
         0.069,         0.310,         0.273
         0.069,         0.310,         0.273
         0.070,         0.310,         0.272
         0.070,         0.310,         0.272
         0.071,         0.310,         0.271
         0.071,         0.310,         0.270
         0.073,         0.310,         0.270
         0.073,         0.315,         0.269
         0.074,         0.315,         0.269
         0.074,         0.317,         0.268
         0.074,         0.317,         0.267
         0.075,         0.320,         0.267
         0.077,         0.322,         0.267
         0.077,         0.322,         0.266
         0.077,         0.322,         0.265
         0.078,         0.322,         0.265
         0.078,         0.322,         0.264
         0.079,         0.322,         0.264
         0.081,         0.322,         0.263
         0.082,         0.325,         0.263
         0.083,         0.325,         0.262
         0.084,         0.325,         0.261
         0.084,         0.327,         0.260
         0.085,         0.327,         0.260
         0.085,         0.327,         0.260
         0.086,         0.327,         0.258
         0.087,         0.327,         0.258
         0.087,         0.327,         0.258
         0.088,         0.330,         0.257
         0.088,         0.330,         0.256
         0.089,         0.330,         0.256
         0.090,         0.330,         0.256
         0.092,         0.330,         0.254
         0.093,         0.330,         0.254
         0.093,         0.330,         0.253
         0.095,         0.330,         0.253
         0.095,         0.330,         0.253
         0.095,         0.332,         0.251
         0.095,         0.332,         0.251
         0.096,         0.332,         0.251
         0.097,         0.332,         0.251
         0.099,         0.335,         0.250
         0.099,         0.338,         0.249
         0.099,         0.338,         0.249
         0.100,         0.338,         0.248
         0.104,         0.338,         0.248
         0.104,         0.338,         0.247
         0.105,         0.343,         0.246
         0.105,         0.343,         0.245
         0.106,         0.343,         0.245
         0.110,         0.345,         0.244
         0.111,         0.345,         0.243
         0.112,         0.345,         0.243
         0.112,         0.345,         0.242
         0.112,         0.345,         0.242
         0.114,         0.345,         0.241
         0.114,         0.345,         0.240
         0.115,         0.345,         0.238
         0.115,         0.348,         0.238
         0.115,         0.348,         0.237
         0.116,         0.348,         0.236
         0.117,         0.348,         0.236
         0.117,         0.350,         0.235
         0.117,         0.350,         0.235
         0.118,         0.350,         0.234
         0.119,         0.353,         0.234
         0.119,         0.353,         0.233
         0.120,         0.353,         0.231
         0.121,         0.353,         0.231
         0.123,         0.355,         0.231
         0.123,         0.355,         0.229
         0.123,         0.358,         0.229
         0.124,         0.358,         0.229
         0.124,         0.358,         0.229
         0.127,         0.358,         0.226
         0.127,         0.358,         0.225
         0.128,         0.358,         0.225
         0.129,         0.358,         0.224
         0.131,         0.358,         0.223
         0.131,         0.358,         0.222
         0.131,         0.358,         0.222
         0.132,         0.358,         0.221
         0.132,         0.358,         0.220
         0.132,         0.358,         0.220
         0.134,         0.358,         0.220
         0.134,         0.358,         0.219
         0.135,         0.358,         0.218
         0.135,         0.358,         0.218
         0.137,         0.358,         0.217
         0.137,         0.358,         0.217
         0.138,         0.358,         0.216
         0.138,         0.358,         0.216
         0.138,         0.358,         0.216
         0.139,         0.358,         0.215
         0.141,         0.360,         0.214
         0.141,         0.360,         0.214
         0.142,         0.360,         0.213
         0.142,         0.360,         0.212
         0.143,         0.360,         0.212
         0.145,         0.360,         0.211
         0.145,         0.360,         0.211
         0.145,         0.360,         0.211
         0.147,         0.360,         0.209
         0.147,         0.360,         0.209
         0.147,         0.363,         0.208
         0.148,         0.363,         0.208
         0.148,         0.363,         0.207
         0.149,         0.365,         0.206
         0.149,         0.365,         0.206
         0.149,         0.365,         0.206
         0.150,         0.365,         0.206
         0.150,         0.365,         0.205
         0.151,         0.365,         0.204
         0.152,         0.365,         0.204
         0.152,         0.368,         0.204
         0.152,         0.368,         0.203
         0.152,         0.368,         0.202
         0.153,         0.368,         0.202
         0.153,         0.368,         0.200
         0.155,         0.368,         0.199
         0.156,         0.368,         0.198
         0.156,         0.370,         0.197
         0.157,         0.370,         0.197
         0.157,         0.373,         0.197
         0.157,         0.373,         0.195
         0.158,         0.373,         0.195
         0.158,         0.373,         0.195
         0.158,         0.373,         0.194
         0.159,         0.373,         0.194
         0.160,         0.373,         0.193
         0.160,         0.373,         0.192
         0.160,         0.373,         0.191
         0.161,         0.373,         0.191
         0.161,         0.375,         0.191
         0.161,         0.375,         0.191
         0.162,         0.375,         0.189
         0.163,         0.375,         0.189
         0.163,         0.375,         0.189
         0.163,         0.375,         0.188
         0.164,         0.375,         0.188
         0.165,         0.375,         0.183
         0.166,         0.378,         0.183
         0.166,         0.378,         0.181
         0.167,         0.378,         0.181
         0.167,         0.380,         0.180
         0.167,         0.380,         0.180
         0.167,         0.380,         0.180
         0.168,         0.380,         0.179
         0.168,         0.380,         0.179
         0.169,         0.380,         0.177
         0.170,         0.380,         0.177
         0.170,         0.383,         0.176
         0.170,         0.385,         0.175
         0.170,         0.385,         0.175
         0.171,         0.385,         0.174
         0.171,         0.385,         0.173
         0.171,         0.388,         0.173
         0.171,         0.390,         0.173
         0.172,         0.390,         0.172
         0.172,         0.390,         0.171
         0.172,         0.390,         0.171
         0.173,         0.390,         0.170
         0.173,         0.390,         0.168
         0.174,         0.390,         0.168
         0.174,         0.390,         0.168
         0.175,         0.390,         0.167
         0.175,         0.393,         0.167
         0.175,         0.393,         0.167
         0.176,         0.393,         0.167
         0.177,         0.393,         0.165
         0.177,         0.393,         0.165
         0.178,         0.393,         0.163
         0.178,         0.395,         0.163
         0.179,         0.395,         0.160
         0.183,         0.395,         0.159
         0.184,         0.395,         0.159
         0.184,         0.395,         0.159
         0.184,         0.395,         0.159
         0.185,         0.395,         0.156
         0.185,         0.395,         0.155
         0.185,         0.401,         0.155
         0.186,         0.403,         0.154
         0.186,         0.403,         0.151
         0.187,         0.403,         0.150
         0.187,         0.406,         0.150
         0.187,         0.406,         0.149
         0.187,         0.408,         0.149
         0.189,         0.411,         0.148
         0.189,         0.411,         0.148
         0.191,         0.413,         0.147
         0.191,         0.413,         0.147
         0.191,         0.413,         0.146
         0.192,         0.413,         0.146
         0.192,         0.413,         0.145
         0.194,         0.413,         0.145
         0.194,         0.413,         0.145
         0.194,         0.416,         0.144
         0.195,         0.416,         0.144
         0.195,         0.416,         0.144
         0.196,         0.416,         0.143
         0.196,         0.416,         0.143
         0.197,         0.416,         0.142
         0.197,         0.416,         0.141
         0.197,         0.418,         0.141
         0.197,         0.421,         0.140
         0.198,         0.421,         0.140
         0.198,         0.421,         0.140
         0.199,         0.421,         0.140
         0.199,         0.423,         0.139
         0.200,         0.423,         0.139
         0.200,         0.426,         0.139
         0.200,         0.426,         0.138
         0.202,         0.426,         0.137
         0.202,         0.426,         0.137
         0.203,         0.431,         0.136
         0.204,         0.431,         0.136
         0.204,         0.431,         0.136
         0.205,         0.433,         0.135
         0.205,         0.433,         0.135
         0.206,         0.433,         0.135
         0.207,         0.436,         0.133
         0.207,         0.436,         0.133
         0.207,         0.436,         0.132
         0.209,         0.436,         0.132
         0.209,         0.438,         0.131
         0.209,         0.438,         0.130
         0.210,         0.438,         0.130
         0.210,         0.438,         0.129
         0.210,         0.438,         0.129
         0.211,         0.438,         0.128
         0.211,         0.438,         0.128
         0.212,         0.438,         0.128
         0.213,         0.438,         0.127
         0.213,         0.438,         0.127
         0.214,         0.443,         0.126
         0.214,         0.443,         0.126
         0.214,         0.446,         0.125
         0.215,         0.446,         0.125
         0.216,         0.448,         0.124
         0.216,         0.448,         0.124
         0.217,         0.448,         0.124
         0.218,         0.448,         0.123
         0.218,         0.451,         0.123
         0.219,         0.451,         0.121
         0.221,         0.451,         0.121
         0.221,         0.453,         0.121
         0.221,         0.453,         0.120
         0.224,         0.456,         0.120
         0.224,         0.458,         0.120
         0.225,         0.458,         0.119
         0.226,         0.461,         0.118
         0.226,         0.461,         0.118
         0.226,         0.461,         0.118
         0.227,         0.463,         0.118
         0.227,         0.463,         0.118
         0.229,         0.466,         0.117
         0.230,         0.466,         0.117
         0.230,         0.466,         0.117
         0.233,         0.466,         0.117
         0.233,         0.469,         0.116
         0.234,         0.469,         0.116
         0.236,         0.474,         0.115
         0.236,         0.474,         0.115
         0.236,         0.474,         0.114
         0.237,         0.474,         0.114
         0.239,         0.474,         0.114
         0.241,         0.474,         0.113
         0.241,         0.474,         0.113
         0.242,         0.474,         0.113
         0.242,         0.476,         0.113
         0.242,         0.476,         0.112
         0.244,         0.476,         0.111
         0.244,         0.476,         0.111
         0.244,         0.484,         0.111
         0.245,         0.484,         0.110
         0.245,         0.484,         0.110
         0.247,         0.486,         0.110
         0.248,         0.489,         0.109
         0.248,         0.489,         0.108
         0.249,         0.489,         0.108
         0.249,         0.491,         0.108
         0.250,         0.494,         0.108
         0.251,         0.494,         0.108
         0.253,         0.494,         0.107
         0.253,         0.494,         0.106
         0.254,         0.494,         0.106
         0.254,         0.494,         0.106
         0.255,         0.499,         0.105
         0.256,         0.501,         0.105
         0.258,         0.511,         0.105
         0.259,         0.511,         0.104
         0.260,         0.511,         0.104
         0.261,         0.514,         0.103
         0.262,         0.514,         0.103
         0.262,         0.514,         0.103
         0.262,         0.514,         0.103
         0.263,         0.516,         0.102
         0.264,         0.521,         0.102
         0.267,         0.524,         0.102
         0.268,         0.529,         0.101
         0.269,         0.529,         0.101
         0.269,         0.529,         0.101
         0.271,         0.531,         0.101
         0.271,         0.531,         0.100
         0.272,         0.534,         0.099
         0.276,         0.534,         0.099
         0.277,         0.534,         0.099
         0.281,         0.534,         0.098
         0.282,         0.537,         0.098
         0.283,         0.537,         0.098
         0.283,         0.539,         0.097
         0.286,         0.544,         0.097
         0.286,         0.544,         0.097
         0.288,         0.544,         0.096
         0.289,         0.544,         0.096
         0.290,         0.547,         0.096
         0.291,         0.547,         0.095
         0.291,         0.549,         0.095
         0.292,         0.549,         0.094
         0.292,         0.549,         0.093
         0.296,         0.552,         0.093
         0.297,         0.552,         0.093
         0.299,         0.557,         0.093
         0.299,         0.557,         0.093
         0.299,         0.559,         0.092
         0.300,         0.559,         0.092
         0.300,         0.562,         0.092
         0.300,         0.569,         0.091
         0.300,         0.569,         0.091
         0.302,         0.572,         0.091
         0.304,         0.572,         0.091
         0.304,         0.574,         0.090
         0.304,         0.574,         0.090
         0.305,         0.574,         0.090
         0.306,         0.577,         0.089
         0.306,         0.577,         0.089
         0.308,         0.577,         0.089
         0.308,         0.577,         0.089
         0.310,         0.579,         0.088
         0.315,         0.579,         0.088
         0.316,         0.587,         0.088
         0.316,         0.587,         0.086
         0.318,         0.587,         0.086
         0.320,         0.592,         0.086
         0.321,         0.592,         0.086
         0.324,         0.592,         0.085
         0.325,         0.594,         0.085
         0.326,         0.594,         0.085
         0.326,         0.594,         0.084
         0.328,         0.594,         0.084
         0.329,         0.597,         0.083
         0.330,         0.597,         0.083
         0.333,         0.599,         0.083
         0.336,         0.599,         0.082
         0.337,         0.599,         0.082
         0.338,         0.605,         0.082
         0.339,         0.605,         0.081
         0.340,         0.607,         0.081
         0.341,         0.607,         0.081
         0.341,         0.607,         0.081
         0.341,         0.610,         0.080
         0.344,         0.617,         0.080
         0.344,         0.617,         0.080
         0.346,         0.620,         0.079
         0.346,         0.620,         0.079
         0.346,         0.620,         0.079
         0.348,         0.622,         0.079
         0.348,         0.622,         0.079
         0.351,         0.622,         0.078
         0.353,         0.627,         0.077
         0.355,         0.627,         0.077
         0.356,         0.630,         0.076
         0.358,         0.632,         0.076
         0.360,         0.632,         0.076
         0.360,         0.635,         0.076
         0.361,         0.635,         0.075
         0.361,         0.635,         0.075
         0.361,         0.635,         0.075
         0.364,         0.637,         0.074
         0.365,         0.637,         0.074
         0.372,         0.642,         0.074
         0.373,         0.642,         0.074
         0.373,         0.642,         0.073
         0.376,         0.645,         0.073
         0.377,         0.647,         0.073
         0.377,         0.647,         0.072
         0.378,         0.647,         0.072
         0.388,         0.655,         0.071
         0.390,         0.657,         0.071
         0.390,         0.660,         0.071
         0.391,         0.660,         0.071
         0.391,         0.660,         0.071
         0.394,         0.660,         0.070
         0.396,         0.662,         0.070
         0.397,         0.665,         0.070
         0.400,         0.665,         0.069
         0.402,         0.665,         0.069
         0.402,         0.665,         0.069
         0.402,         0.668,         0.068
         0.402,         0.668,         0.068
         0.404,         0.670,         0.067
         0.404,         0.670,         0.067
         0.408,         0.670,         0.067
         0.409,         0.670,         0.066
         0.411,         0.670,         0.066
         0.411,         0.670,         0.066
         0.416,         0.675,         0.066
         0.425,         0.678,         0.066
         0.426,         0.678,         0.065
         0.427,         0.678,         0.064
         0.428,         0.680,         0.064
         0.432,         0.683,         0.063
         0.435,         0.688,         0.063
         0.437,         0.688,         0.063
         0.437,         0.688,         0.062
         0.438,         0.690,         0.062
         0.442,         0.693,         0.062
         0.444,         0.693,         0.061
         0.444,         0.693,         0.061
         0.445,         0.693,         0.061
         0.452,         0.698,         0.060
         0.457,         0.698,         0.060
         0.457,         0.700,         0.060
         0.458,         0.700,         0.059
         0.460,         0.703,         0.059
         0.461,         0.703,         0.058
         0.466,         0.708,         0.058
         0.466,         0.708,         0.058
         0.469,         0.708,         0.058
         0.475,         0.713,         0.057
         0.475,         0.713,         0.057
         0.479,         0.715,         0.057
         0.479,         0.715,         0.056
         0.480,         0.718,         0.056
         0.480,         0.720,         0.056
         0.483,         0.720,         0.055
         0.490,         0.720,         0.054
         0.492,         0.720,         0.054
         0.493,         0.720,         0.054
         0.498,         0.720,         0.054
         0.499,         0.720,         0.054
         0.500,         0.720,         0.053
         0.500,         0.723,         0.052
         0.503,         0.725,         0.052
         0.503,         0.728,         0.052
         0.507,         0.728,         0.052
         0.507,         0.728,         0.052
         0.512,         0.733,         0.051
         0.518,         0.733,         0.051
         0.518,         0.733,         0.050
         0.519,         0.733,         0.050
         0.526,         0.736,         0.049
         0.528,         0.736,         0.049
         0.530,         0.741,         0.049
         0.530,         0.741,         0.049
         0.530,         0.741,         0.048
         0.531,         0.741,         0.048
         0.535,         0.746,         0.048
         0.536,         0.751,         0.047
         0.536,         0.751,         0.047
         0.540,         0.756,         0.047
         0.542,         0.756,         0.047
         0.545,         0.763,         0.047
         0.545,         0.763,         0.046
         0.546,         0.766,         0.045
         0.546,         0.766,         0.045
         0.552,         0.766,         0.044
         0.554,         0.768,         0.044
         0.558,         0.773,         0.044
         0.558,         0.773,         0.044
         0.561,         0.773,         0.043
         0.562,         0.778,         0.043
         0.562,         0.778,         0.042
         0.564,         0.778,         0.042
         0.564,         0.778,         0.042
         0.564,         0.781,         0.042
         0.567,         0.783,         0.041
         0.569,         0.783,         0.041
         0.570,         0.783,         0.041
         0.571,         0.783,         0.040
         0.571,         0.786,         0.040
         0.572,         0.786,         0.039
         0.574,         0.788,         0.039
         0.579,         0.796,         0.039
         0.595,         0.806,         0.038
         0.596,         0.806,         0.038
         0.596,         0.806,         0.038
         0.599,         0.809,         0.038
         0.600,         0.809,         0.037
         0.600,         0.809,         0.037
         0.603,         0.809,         0.037
         0.603,         0.809,         0.037
         0.604,         0.809,         0.036
         0.606,         0.809,         0.036
         0.606,         0.811,         0.035
         0.611,         0.811,         0.035
         0.617,         0.811,         0.035
         0.618,         0.814,         0.034
         0.619,         0.814,         0.034
         0.619,         0.814,         0.033
         0.619,         0.814,         0.033
         0.631,         0.821,         0.033
         0.633,         0.821,         0.032
         0.637,         0.824,         0.032
         0.638,         0.824,         0.031
         0.639,         0.824,         0.031
         0.647,         0.829,         0.031
         0.650,         0.831,         0.030
         0.651,         0.831,         0.029
         0.651,         0.831,         0.029
         0.651,         0.831,         0.029
         0.652,         0.831,         0.029
         0.652,         0.831,         0.029
         0.657,         0.831,         0.029
         0.668,         0.836,         0.027
         0.676,         0.839,         0.027
         0.678,         0.839,         0.027
         0.678,         0.839,         0.027
         0.679,         0.839,         0.027
         0.679,         0.839,         0.026
         0.685,         0.846,         0.025
         0.685,         0.846,         0.025
         0.687,         0.846,         0.025
         0.689,         0.846,         0.025
         0.690,         0.846,         0.025
         0.698,         0.849,         0.023
         0.698,         0.849,         0.023
         0.699,         0.849,         0.022
         0.704,         0.849,         0.022
         0.706,         0.849,         0.022
         0.715,         0.856,         0.022
         0.715,         0.856,         0.021
         0.716,         0.856,         0.021
         0.716,         0.856,         0.020
         0.717,         0.856,         0.020
         0.718,         0.859,         0.020
         0.727,         0.872,         0.019
         0.730,         0.872,         0.019
         0.735,         0.877,         0.019
         0.735,         0.877,         0.019
         0.735,         0.877,         0.018
         0.736,         0.877,         0.018
         0.737,         0.879,         0.017
         0.752,         0.882,         0.016
         0.757,         0.884,         0.016
         0.757,         0.884,         0.016
         0.767,         0.889,         0.016
         0.768,         0.889,         0.015
         0.768,         0.889,         0.015
