false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.627
         0.000,         0.244,         0.627
         0.004,         0.249,         0.412
         0.004,         0.252,         0.409
         0.004,         0.252,         0.342
         0.004,         0.257,         0.339
         0.005,         0.257,         0.338
         0.005,         0.257,         0.329
         0.005,         0.259,         0.322
         0.006,         0.259,         0.319
         0.006,         0.259,         0.318
         0.006,         0.262,         0.317
         0.006,         0.262,         0.308
         0.006,         0.264,         0.308
         0.007,         0.264,         0.303
         0.008,         0.264,         0.299
         0.008,         0.264,         0.298
         0.009,         0.264,         0.295
         0.009,         0.264,         0.295
         0.010,         0.264,         0.292
         0.012,         0.267,         0.291
         0.012,         0.270,         0.286
         0.013,         0.270,         0.278
         0.013,         0.270,         0.275
         0.013,         0.272,         0.274
         0.014,         0.272,         0.274
         0.014,         0.272,         0.273
         0.015,         0.272,         0.272
         0.015,         0.275,         0.269
         0.015,         0.275,         0.268
         0.015,         0.280,         0.267
         0.016,         0.280,         0.265
         0.016,         0.282,         0.263
         0.017,         0.282,         0.260
         0.017,         0.282,         0.258
         0.017,         0.282,         0.258
         0.017,         0.282,         0.256
         0.017,         0.285,         0.255
         0.018,         0.285,         0.254
         0.018,         0.287,         0.251
         0.018,         0.287,         0.251
         0.019,         0.287,         0.251
         0.019,         0.287,         0.250
         0.020,         0.287,         0.248
         0.021,         0.287,         0.247
         0.021,         0.290,         0.246
         0.021,         0.290,         0.245
         0.022,         0.290,         0.244
         0.022,         0.290,         0.242
         0.022,         0.292,         0.242
         0.022,         0.292,         0.241
         0.023,         0.292,         0.241
         0.023,         0.295,         0.240
         0.023,         0.295,         0.238
         0.025,         0.300,         0.238
         0.025,         0.300,         0.237
         0.026,         0.302,         0.236
         0.026,         0.305,         0.236
         0.026,         0.305,         0.235
         0.026,         0.310,         0.234
         0.026,         0.310,         0.231
         0.027,         0.312,         0.231
         0.027,         0.312,         0.229
         0.028,         0.312,         0.229
         0.028,         0.312,         0.229
         0.028,         0.315,         0.229
         0.029,         0.315,         0.229
         0.029,         0.315,         0.229
         0.030,         0.315,         0.228
         0.030,         0.317,         0.227
         0.031,         0.317,         0.227
         0.031,         0.317,         0.226
         0.032,         0.317,         0.225
         0.032,         0.317,         0.225
         0.032,         0.320,         0.224
         0.032,         0.322,         0.224
         0.033,         0.322,         0.224
         0.033,         0.325,         0.223
         0.033,         0.325,         0.222
         0.033,         0.327,         0.222
         0.034,         0.327,         0.221
         0.035,         0.327,         0.219
         0.035,         0.327,         0.218
         0.036,         0.327,         0.218
         0.036,         0.330,         0.216
         0.036,         0.330,         0.216
         0.036,         0.330,         0.216
         0.037,         0.330,         0.216
         0.037,         0.330,         0.216
         0.037,         0.330,         0.215
         0.037,         0.330,         0.214
         0.038,         0.330,         0.214
         0.039,         0.330,         0.213
         0.039,         0.332,         0.213
         0.039,         0.332,         0.212
         0.039,         0.335,         0.212
         0.040,         0.335,         0.212
         0.040,         0.335,         0.210
         0.041,         0.335,         0.209
         0.042,         0.338,         0.209
         0.042,         0.338,         0.209
         0.042,         0.338,         0.208
         0.043,         0.338,         0.207
         0.043,         0.338,         0.207
         0.044,         0.340,         0.206
         0.044,         0.340,         0.206
         0.045,         0.340,         0.206
         0.046,         0.340,         0.206
         0.046,         0.340,         0.205
         0.047,         0.343,         0.204
         0.047,         0.343,         0.203
         0.048,         0.343,         0.203
         0.048,         0.343,         0.203
         0.049,         0.343,         0.202
         0.049,         0.343,         0.202
         0.050,         0.343,         0.201
         0.050,         0.343,         0.200
         0.051,         0.343,         0.200
         0.051,         0.343,         0.199
         0.051,         0.343,         0.198
         0.052,         0.343,         0.198
         0.053,         0.343,         0.197
         0.053,         0.343,         0.197
         0.054,         0.343,         0.196
         0.054,         0.343,         0.196
         0.055,         0.343,         0.196
         0.055,         0.343,         0.195
         0.056,         0.343,         0.194
         0.057,         0.343,         0.193
         0.057,         0.343,         0.193
         0.057,         0.343,         0.192
         0.058,         0.343,         0.192
         0.059,         0.343,         0.192
         0.059,         0.345,         0.192
         0.060,         0.345,         0.191
         0.060,         0.348,         0.191
         0.060,         0.348,         0.191
         0.061,         0.348,         0.190
         0.061,         0.350,         0.189
         0.061,         0.350,         0.189
         0.062,         0.350,         0.189
         0.062,         0.350,         0.189
         0.063,         0.350,         0.189
         0.063,         0.350,         0.188
         0.064,         0.353,         0.188
         0.064,         0.353,         0.188
         0.065,         0.353,         0.187
         0.065,         0.355,         0.187
         0.065,         0.358,         0.187
         0.066,         0.360,         0.187
         0.067,         0.360,         0.187
         0.067,         0.363,         0.186
         0.067,         0.363,         0.186
         0.068,         0.363,         0.186
         0.068,         0.363,         0.186
         0.069,         0.363,         0.185
         0.069,         0.363,         0.185
         0.070,         0.365,         0.184
         0.071,         0.365,         0.184
         0.071,         0.365,         0.184
         0.071,         0.365,         0.184
         0.072,         0.365,         0.183
         0.072,         0.365,         0.183
         0.073,         0.365,         0.182
         0.073,         0.365,         0.181
         0.074,         0.365,         0.181
         0.074,         0.365,         0.181
         0.075,         0.365,         0.180
         0.076,         0.365,         0.179
         0.076,         0.365,         0.179
         0.076,         0.365,         0.179
         0.077,         0.365,         0.179
         0.078,         0.365,         0.178
         0.078,         0.365,         0.177
         0.079,         0.365,         0.177
         0.079,         0.365,         0.177
         0.080,         0.365,         0.177
         0.080,         0.365,         0.177
         0.081,         0.365,         0.176
         0.081,         0.365,         0.176
         0.081,         0.365,         0.176
         0.082,         0.365,         0.176
         0.082,         0.365,         0.175
         0.082,         0.365,         0.175
         0.083,         0.365,         0.175
         0.083,         0.368,         0.175
         0.083,         0.368,         0.174
         0.084,         0.368,         0.174
         0.085,         0.368,         0.174
         0.085,         0.368,         0.174
         0.085,         0.368,         0.174
         0.085,         0.370,         0.173
         0.086,         0.370,         0.172
         0.087,         0.370,         0.172
         0.087,         0.370,         0.172
         0.087,         0.370,         0.172
         0.088,         0.370,         0.172
         0.089,         0.370,         0.171
         0.089,         0.373,         0.171
         0.090,         0.373,         0.171
         0.090,         0.373,         0.171
         0.091,         0.373,         0.170
         0.091,         0.373,         0.169
         0.092,         0.373,         0.169
         0.092,         0.373,         0.169
         0.092,         0.373,         0.169
         0.093,         0.373,         0.169
         0.094,         0.373,         0.168
         0.095,         0.373,         0.168
         0.095,         0.373,         0.167
         0.096,         0.375,         0.167
         0.097,         0.375,         0.167
         0.097,         0.375,         0.167
         0.098,         0.375,         0.166
         0.098,         0.375,         0.166
         0.099,         0.375,         0.165
         0.100,         0.375,         0.165
         0.100,         0.375,         0.165
         0.101,         0.375,         0.165
         0.101,         0.375,         0.165
         0.102,         0.375,         0.164
         0.102,         0.375,         0.164
         0.102,         0.375,         0.163
         0.103,         0.375,         0.163
         0.104,         0.378,         0.163
         0.105,         0.380,         0.163
         0.105,         0.380,         0.163
         0.105,         0.380,         0.162
         0.106,         0.380,         0.162
         0.106,         0.380,         0.162
         0.107,         0.380,         0.162
         0.107,         0.380,         0.162
         0.108,         0.380,         0.162
         0.108,         0.380,         0.161
         0.109,         0.383,         0.160
         0.110,         0.383,         0.160
         0.110,         0.383,         0.159
         0.111,         0.383,         0.159
         0.112,         0.383,         0.159
         0.112,         0.383,         0.158
         0.113,         0.383,         0.157
         0.113,         0.383,         0.157
         0.114,         0.383,         0.156
         0.115,         0.383,         0.156
         0.117,         0.383,         0.156
         0.117,         0.383,         0.155
         0.117,         0.383,         0.155
         0.117,         0.388,         0.155
         0.118,         0.388,         0.155
         0.119,         0.388,         0.154
         0.119,         0.388,         0.154
         0.121,         0.390,         0.154
         0.121,         0.390,         0.153
         0.122,         0.390,         0.153
         0.122,         0.390,         0.152
         0.122,         0.390,         0.152
         0.123,         0.390,         0.152
         0.124,         0.390,         0.152
         0.125,         0.390,         0.151
         0.126,         0.390,         0.151
         0.126,         0.390,         0.151
         0.127,         0.390,         0.151
         0.127,         0.390,         0.151
         0.128,         0.390,         0.150
         0.128,         0.390,         0.150
         0.129,         0.390,         0.150
         0.130,         0.390,         0.150
         0.131,         0.390,         0.149
         0.131,         0.393,         0.149
         0.132,         0.393,         0.149
         0.133,         0.395,         0.148
         0.133,         0.395,         0.148
         0.133,         0.395,         0.148
         0.134,         0.395,         0.148
         0.135,         0.395,         0.148
         0.136,         0.395,         0.147
         0.136,         0.395,         0.147
         0.138,         0.398,         0.147
         0.139,         0.398,         0.146
         0.140,         0.398,         0.146
         0.140,         0.398,         0.146
         0.141,         0.398,         0.145
         0.141,         0.398,         0.145
         0.142,         0.398,         0.144
         0.142,         0.398,         0.144
         0.142,         0.398,         0.144
         0.142,         0.401,         0.143
         0.143,         0.401,         0.143
         0.143,         0.401,         0.143
         0.144,         0.401,         0.141
         0.144,         0.403,         0.141
         0.145,         0.403,         0.141
         0.146,         0.403,         0.141
         0.147,         0.403,         0.141
         0.147,         0.403,         0.141
         0.147,         0.403,         0.140
         0.147,         0.406,         0.140
         0.147,         0.406,         0.140
         0.148,         0.406,         0.140
         0.148,         0.406,         0.140
         0.149,         0.408,         0.139
         0.149,         0.408,         0.139
         0.150,         0.408,         0.139
         0.151,         0.408,         0.139
         0.151,         0.411,         0.138
         0.152,         0.411,         0.138
         0.154,         0.411,         0.137
         0.154,         0.411,         0.137
         0.155,         0.413,         0.136
         0.156,         0.413,         0.136
         0.157,         0.413,         0.136
         0.157,         0.413,         0.135
         0.157,         0.413,         0.135
         0.158,         0.413,         0.134
         0.158,         0.413,         0.134
         0.159,         0.413,         0.134
         0.160,         0.413,         0.133
         0.160,         0.416,         0.133
         0.161,         0.416,         0.133
         0.162,         0.416,         0.132
         0.162,         0.416,         0.132
         0.162,         0.418,         0.132
         0.162,         0.418,         0.131
         0.163,         0.418,         0.131
         0.164,         0.418,         0.130
         0.164,         0.418,         0.130
         0.165,         0.418,         0.130
         0.165,         0.418,         0.129
         0.166,         0.418,         0.129
         0.167,         0.418,         0.129
         0.167,         0.418,         0.129
         0.168,         0.418,         0.128
         0.168,         0.418,         0.128
         0.169,         0.421,         0.128
         0.169,         0.421,         0.127
         0.169,         0.423,         0.127
         0.170,         0.423,         0.127
         0.170,         0.426,         0.127
         0.171,         0.426,         0.126
         0.172,         0.426,         0.126
         0.172,         0.426,         0.126
         0.172,         0.426,         0.126
         0.173,         0.426,         0.125
         0.174,         0.426,         0.125
         0.174,         0.426,         0.125
         0.175,         0.426,         0.123
         0.175,         0.426,         0.123
         0.175,         0.428,         0.123
         0.176,         0.428,         0.123
         0.176,         0.428,         0.122
         0.177,         0.428,         0.122
         0.178,         0.428,         0.121
         0.178,         0.428,         0.121
         0.178,         0.428,         0.120
         0.179,         0.428,         0.120
         0.179,         0.428,         0.119
         0.181,         0.428,         0.119
         0.181,         0.428,         0.118
         0.182,         0.433,         0.118
         0.182,         0.433,         0.118
         0.182,         0.436,         0.117
         0.182,         0.436,         0.117
         0.183,         0.436,         0.117
         0.183,         0.436,         0.117
         0.184,         0.436,         0.116
         0.184,         0.438,         0.116
         0.184,         0.438,         0.115
         0.185,         0.438,         0.114
         0.185,         0.441,         0.114
         0.185,         0.441,         0.114
         0.185,         0.443,         0.114
         0.186,         0.443,         0.114
         0.186,         0.446,         0.114
         0.186,         0.446,         0.113
         0.187,         0.446,         0.113
         0.188,         0.446,         0.113
         0.188,         0.446,         0.112
         0.188,         0.446,         0.112
         0.189,         0.446,         0.112
         0.189,         0.446,         0.111
         0.189,         0.448,         0.111
         0.190,         0.448,         0.111
         0.190,         0.451,         0.111
         0.191,         0.451,         0.110
         0.191,         0.453,         0.110
         0.192,         0.458,         0.110
         0.192,         0.461,         0.109
         0.192,         0.461,         0.109
         0.192,         0.463,         0.109
         0.193,         0.463,         0.108
         0.194,         0.463,         0.108
         0.194,         0.466,         0.108
         0.195,         0.466,         0.108
         0.195,         0.466,         0.107
         0.196,         0.466,         0.105
         0.197,         0.469,         0.105
         0.198,         0.476,         0.105
         0.199,         0.479,         0.104
         0.199,         0.479,         0.104
         0.200,         0.479,         0.104
         0.200,         0.479,         0.104
         0.201,         0.481,         0.103
         0.201,         0.481,         0.103
         0.201,         0.481,         0.103
         0.202,         0.481,         0.103
         0.203,         0.481,         0.103
         0.203,         0.481,         0.102
         0.204,         0.481,         0.102
         0.204,         0.481,         0.101
         0.205,         0.481,         0.101
         0.205,         0.484,         0.101
         0.205,         0.484,         0.101
         0.206,         0.484,         0.101
         0.206,         0.484,         0.100
         0.207,         0.486,         0.100
         0.207,         0.486,         0.099
         0.208,         0.486,         0.099
         0.208,         0.486,         0.099
         0.208,         0.486,         0.098
         0.209,         0.486,         0.098
         0.210,         0.486,         0.098
         0.210,         0.489,         0.098
         0.210,         0.494,         0.097
         0.210,         0.494,         0.097
         0.211,         0.496,         0.097
         0.212,         0.496,         0.096
         0.213,         0.496,         0.096
         0.213,         0.499,         0.096
         0.213,         0.499,         0.095
         0.213,         0.501,         0.095
         0.214,         0.504,         0.095
         0.214,         0.504,         0.094
         0.215,         0.504,         0.094
         0.215,         0.504,         0.094
         0.216,         0.506,         0.093
         0.216,         0.511,         0.093
         0.216,         0.511,         0.093
         0.217,         0.514,         0.093
         0.217,         0.514,         0.092
         0.217,         0.514,         0.092
         0.219,         0.514,         0.092
         0.219,         0.514,         0.092
         0.219,         0.514,         0.091
         0.221,         0.514,         0.091
         0.221,         0.516,         0.091
         0.222,         0.519,         0.091
         0.223,         0.519,         0.090
         0.223,         0.521,         0.090
         0.223,         0.521,         0.090
         0.224,         0.521,         0.090
         0.224,         0.524,         0.089
         0.225,         0.524,         0.089
         0.225,         0.524,         0.089
         0.226,         0.529,         0.089
         0.227,         0.529,         0.088
         0.227,         0.529,         0.088
         0.227,         0.529,         0.088
         0.227,         0.529,         0.088
         0.229,         0.531,         0.088
         0.231,         0.531,         0.087
         0.231,         0.531,         0.087
         0.231,         0.534,         0.087
         0.231,         0.537,         0.087
         0.232,         0.537,         0.086
         0.233,         0.539,         0.086
         0.233,         0.539,         0.086
         0.233,         0.539,         0.086
         0.234,         0.542,         0.086
         0.234,         0.542,         0.085
         0.235,         0.542,         0.085
         0.235,         0.547,         0.085
         0.235,         0.547,         0.085
         0.235,         0.547,         0.085
         0.236,         0.547,         0.084
         0.236,         0.547,         0.084
         0.237,         0.547,         0.084
         0.237,         0.547,         0.084
         0.238,         0.547,         0.084
         0.238,         0.549,         0.083
         0.239,         0.552,         0.083
         0.240,         0.557,         0.083
         0.240,         0.557,         0.083
         0.240,         0.557,         0.083
         0.243,         0.559,         0.082
         0.243,         0.559,         0.082
         0.244,         0.559,         0.082
         0.246,         0.562,         0.082
         0.246,         0.562,         0.081
         0.247,         0.562,         0.081
         0.247,         0.567,         0.081
         0.248,         0.567,         0.081
         0.248,         0.567,         0.081
         0.249,         0.569,         0.081
         0.249,         0.572,         0.080
         0.251,         0.577,         0.080
         0.251,         0.577,         0.080
         0.252,         0.579,         0.079
         0.253,         0.579,         0.079
         0.254,         0.579,         0.079
         0.255,         0.582,         0.079
         0.256,         0.582,         0.079
         0.256,         0.582,         0.078
         0.257,         0.582,         0.078
         0.258,         0.582,         0.077
         0.260,         0.584,         0.077
         0.260,         0.584,         0.077
         0.260,         0.587,         0.076
         0.261,         0.589,         0.076
         0.262,         0.589,         0.076
         0.262,         0.589,         0.076
         0.264,         0.589,         0.076
         0.264,         0.594,         0.076
         0.264,         0.597,         0.075
         0.265,         0.597,         0.075
         0.266,         0.597,         0.075
         0.266,         0.597,         0.075
         0.266,         0.597,         0.075
         0.267,         0.597,         0.075
         0.267,         0.599,         0.074
         0.268,         0.599,         0.074
         0.270,         0.599,         0.074
         0.270,         0.599,         0.074
         0.271,         0.599,         0.074
         0.271,         0.599,         0.073
         0.272,         0.602,         0.073
         0.272,         0.602,         0.073
         0.273,         0.602,         0.073
         0.274,         0.602,         0.073
         0.274,         0.602,         0.073
         0.275,         0.605,         0.073
         0.275,         0.605,         0.072
         0.276,         0.605,         0.072
         0.277,         0.605,         0.072
         0.278,         0.605,         0.072
         0.282,         0.617,         0.071
         0.282,         0.617,         0.071
         0.283,         0.617,         0.071
         0.284,         0.617,         0.071
         0.284,         0.617,         0.071
         0.287,         0.617,         0.070
         0.287,         0.620,         0.070
         0.288,         0.620,         0.070
         0.288,         0.620,         0.070
         0.289,         0.625,         0.070
         0.289,         0.625,         0.070
         0.289,         0.627,         0.069
         0.290,         0.627,         0.069
         0.291,         0.627,         0.069
         0.291,         0.627,         0.068
         0.293,         0.627,         0.068
         0.294,         0.627,         0.068
         0.295,         0.630,         0.068
         0.295,         0.630,         0.068
         0.296,         0.630,         0.067
         0.297,         0.630,         0.067
         0.297,         0.630,         0.067
         0.298,         0.630,         0.067
         0.299,         0.630,         0.066
         0.299,         0.632,         0.066
         0.300,         0.632,         0.066
         0.303,         0.632,         0.066
         0.303,         0.632,         0.066
         0.305,         0.637,         0.066
         0.305,         0.637,         0.066
         0.306,         0.637,         0.065
         0.306,         0.640,         0.065
         0.307,         0.642,         0.065
         0.307,         0.642,         0.065
         0.309,         0.642,         0.064
         0.310,         0.642,         0.064
         0.311,         0.642,         0.064
         0.311,         0.645,         0.064
         0.312,         0.645,         0.064
         0.312,         0.650,         0.064
         0.313,         0.652,         0.063
         0.314,         0.652,         0.063
         0.315,         0.652,         0.063
         0.316,         0.652,         0.063
         0.317,         0.652,         0.062
         0.318,         0.652,         0.062
         0.320,         0.652,         0.062
         0.321,         0.652,         0.062
         0.321,         0.652,         0.062
         0.322,         0.652,         0.061
         0.323,         0.652,         0.061
         0.323,         0.652,         0.061
         0.324,         0.652,         0.061
         0.327,         0.652,         0.060
         0.330,         0.657,         0.060
         0.331,         0.662,         0.060
         0.334,         0.665,         0.060
         0.334,         0.665,         0.060
         0.335,         0.665,         0.060
         0.336,         0.665,         0.059
         0.337,         0.665,         0.059
         0.338,         0.665,         0.059
         0.338,         0.665,         0.059
         0.340,         0.665,         0.059
         0.341,         0.665,         0.058
         0.343,         0.668,         0.058
         0.345,         0.668,         0.058
         0.345,         0.668,         0.058
         0.346,         0.670,         0.058
         0.347,         0.670,         0.057
         0.347,         0.670,         0.057
         0.349,         0.673,         0.057
         0.350,         0.673,         0.057
         0.351,         0.673,         0.057
         0.352,         0.675,         0.057
         0.353,         0.675,         0.056
         0.353,         0.678,         0.056
         0.354,         0.680,         0.056
         0.355,         0.680,         0.056
         0.355,         0.680,         0.056
         0.356,         0.680,         0.056
         0.357,         0.680,         0.056
         0.358,         0.685,         0.055
         0.358,         0.685,         0.055
         0.359,         0.685,         0.055
         0.361,         0.685,         0.054
         0.361,         0.685,         0.054
         0.361,         0.685,         0.054
         0.364,         0.690,         0.054
         0.367,         0.695,         0.054
         0.367,         0.695,         0.054
         0.368,         0.695,         0.054
         0.369,         0.695,         0.054
