false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.828
         0.000,         0.004,         0.828
         0.000,         0.068,         0.755
         0.000,         0.068,         0.750
         0.000,         0.102,         0.726
         0.001,         0.102,         0.718
         0.001,         0.121,         0.711
         0.001,         0.121,         0.709
         0.001,         0.125,         0.708
         0.001,         0.125,         0.707
         0.001,         0.128,         0.704
         0.002,         0.128,         0.698
         0.002,         0.136,         0.694
         0.002,         0.136,         0.693
         0.002,         0.143,         0.688
         0.002,         0.143,         0.685
         0.002,         0.147,         0.685
         0.003,         0.147,         0.682
         0.003,         0.162,         0.681
         0.003,         0.162,         0.680
         0.003,         0.166,         0.680
         0.003,         0.166,         0.680
         0.003,         0.181,         0.678
         0.004,         0.181,         0.676
         0.004,         0.185,         0.676
         0.005,         0.185,         0.672
         0.005,         0.189,         0.672
         0.005,         0.189,         0.671
         0.005,         0.204,         0.669
         0.005,         0.204,         0.669
         0.005,         0.208,         0.668
         0.005,         0.208,         0.667
         0.005,         0.215,         0.666
         0.006,         0.215,         0.666
         0.006,         0.226,         0.665
         0.006,         0.226,         0.664
         0.006,         0.230,         0.661
         0.007,         0.230,         0.660
         0.007,         0.238,         0.659
         0.007,         0.238,         0.658
         0.007,         0.242,         0.658
         0.008,         0.242,         0.655
         0.008,         0.245,         0.654
         0.008,         0.245,         0.653
         0.008,         0.249,         0.652
         0.008,         0.249,         0.652
         0.008,         0.253,         0.651
         0.009,         0.253,         0.646
         0.009,         0.257,         0.645
         0.010,         0.257,         0.643
         0.010,         0.260,         0.643
         0.010,         0.260,         0.641
         0.010,         0.264,         0.641
         0.011,         0.264,         0.640
         0.011,         0.268,         0.640
         0.011,         0.268,         0.639
         0.011,         0.275,         0.637
         0.011,         0.275,         0.637
         0.011,         0.279,         0.637
         0.011,         0.279,         0.636
         0.011,         0.283,         0.636
         0.012,         0.283,         0.634
         0.012,         0.287,         0.632
         0.012,         0.287,         0.632
         0.012,         0.291,         0.632
         0.013,         0.291,         0.631
         0.013,         0.294,         0.631
         0.014,         0.294,         0.629
         0.014,         0.298,         0.629
         0.014,         0.298,         0.628
         0.014,         0.302,         0.628
         0.014,         0.302,         0.627
         0.014,         0.306,         0.627
         0.014,         0.306,         0.627
         0.014,         0.313,         0.626
         0.015,         0.313,         0.626
         0.015,         0.317,         0.626
         0.015,         0.317,         0.626
         0.015,         0.321,         0.626
         0.015,         0.321,         0.624
         0.015,         0.332,         0.624
         0.015,         0.332,         0.623
         0.015,         0.336,         0.623
         0.016,         0.336,         0.620
         0.016,         0.340,         0.620
         0.017,         0.340,         0.618
         0.017,         0.343,         0.618
         0.017,         0.343,         0.618
         0.017,         0.347,         0.618
         0.019,         0.347,         0.614
         0.019,         0.358,         0.613
         0.020,         0.358,         0.612
         0.020,         0.362,         0.612
         0.020,         0.362,         0.611
         0.020,         0.366,         0.611
         0.021,         0.366,         0.608
         0.021,         0.370,         0.608
         0.021,         0.370,         0.607
         0.021,         0.374,         0.607
         0.023,         0.374,         0.605
         0.023,         0.377,         0.605
         0.023,         0.377,         0.604
         0.023,         0.381,         0.604
         0.023,         0.381,         0.603
         0.023,         0.385,         0.603
         0.024,         0.385,         0.602
         0.024,         0.389,         0.601
         0.024,         0.389,         0.601
         0.024,         0.392,         0.601
         0.024,         0.392,         0.601
         0.024,         0.396,         0.601
         0.025,         0.396,         0.599
         0.025,         0.400,         0.599
         0.026,         0.400,         0.599
         0.026,         0.408,         0.599
         0.027,         0.408,         0.597
         0.027,         0.411,         0.597
         0.027,         0.411,         0.596
         0.027,         0.415,         0.596
         0.027,         0.415,         0.595
         0.027,         0.423,         0.595
         0.028,         0.423,         0.595
         0.028,         0.426,         0.594
