false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.838
         0.000,         0.004,         0.838
         0.000,         0.045,         0.773
         0.000,         0.045,         0.770
         0.000,         0.057,         0.764
         0.000,         0.057,         0.762
         0.000,         0.064,         0.759
         0.001,         0.064,         0.759
         0.001,         0.072,         0.754
         0.001,         0.072,         0.750
         0.001,         0.075,         0.748
         0.001,         0.075,         0.746
         0.001,         0.113,         0.730
         0.001,         0.113,         0.730
         0.001,         0.121,         0.729
         0.002,         0.121,         0.724
         0.002,         0.125,         0.724
         0.002,         0.125,         0.723
         0.002,         0.132,         0.721
         0.003,         0.132,         0.719
         0.003,         0.136,         0.718
         0.003,         0.136,         0.716
         0.003,         0.143,         0.715
         0.004,         0.143,         0.712
         0.004,         0.147,         0.711
         0.004,         0.147,         0.708
         0.004,         0.155,         0.703
         0.005,         0.155,         0.702
         0.005,         0.158,         0.701
         0.005,         0.158,         0.699
         0.005,         0.162,         0.699
         0.006,         0.162,         0.699
         0.006,         0.166,         0.698
         0.006,         0.166,         0.697
         0.006,         0.170,         0.697
         0.006,         0.170,         0.697
         0.006,         0.174,         0.697
         0.008,         0.174,         0.693
         0.008,         0.181,         0.693
         0.008,         0.181,         0.693
         0.008,         0.185,         0.692
         0.010,         0.185,         0.691
         0.010,         0.196,         0.689
         0.010,         0.196,         0.688
         0.010,         0.200,         0.688
         0.011,         0.200,         0.687
         0.011,         0.208,         0.686
         0.011,         0.208,         0.685
         0.011,         0.215,         0.685
         0.012,         0.215,         0.684
         0.012,         0.223,         0.683
         0.012,         0.223,         0.683
         0.012,         0.226,         0.682
         0.013,         0.226,         0.679
         0.013,         0.230,         0.679
         0.014,         0.230,         0.679
         0.014,         0.234,         0.678
         0.014,         0.234,         0.678
         0.014,         0.238,         0.678
         0.015,         0.238,         0.673
         0.015,         0.242,         0.673
         0.016,         0.242,         0.673
         0.016,         0.249,         0.672
         0.016,         0.249,         0.672
         0.016,         0.253,         0.672
         0.017,         0.253,         0.671
         0.017,         0.257,         0.671
         0.017,         0.257,         0.671
         0.017,         0.260,         0.671
         0.017,         0.260,         0.671
         0.017,         0.264,         0.670
         0.018,         0.264,         0.670
         0.018,         0.275,         0.669
         0.019,         0.275,         0.668
         0.019,         0.279,         0.668
         0.020,         0.279,         0.667
         0.020,         0.283,         0.666
         0.020,         0.283,         0.666
         0.020,         0.287,         0.666
         0.020,         0.287,         0.665
         0.020,         0.291,         0.665
         0.021,         0.291,         0.664
         0.021,         0.294,         0.663
         0.021,         0.294,         0.662
         0.021,         0.298,         0.662
         0.022,         0.298,         0.661
         0.023,         0.298,         0.660
