false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.772
         0.000,         0.004,         0.772
         0.000,         0.045,         0.730
         0.000,         0.045,         0.729
         0.000,         0.060,         0.722
         0.000,         0.060,         0.718
         0.000,         0.079,         0.708
         0.001,         0.079,         0.706
         0.001,         0.121,         0.692
         0.001,         0.121,         0.688
         0.001,         0.140,         0.678
         0.001,         0.140,         0.674
         0.001,         0.143,         0.674
         0.001,         0.143,         0.669
         0.001,         0.158,         0.666
         0.002,         0.158,         0.665
         0.002,         0.166,         0.663
         0.002,         0.166,         0.662
         0.002,         0.170,         0.662
         0.002,         0.170,         0.659
         0.002,         0.174,         0.659
         0.003,         0.174,         0.658
         0.003,         0.177,         0.657
         0.003,         0.177,         0.656
         0.003,         0.181,         0.656
         0.004,         0.181,         0.654
         0.004,         0.185,         0.653
         0.004,         0.185,         0.652
         0.004,         0.196,         0.650
         0.005,         0.196,         0.648
         0.005,         0.200,         0.648
         0.005,         0.200,         0.647
         0.005,         0.208,         0.646
         0.005,         0.208,         0.646
         0.005,         0.211,         0.645
         0.005,         0.211,         0.645
         0.005,         0.226,         0.643
         0.005,         0.226,         0.643
         0.005,         0.230,         0.642
         0.006,         0.230,         0.642
         0.006,         0.234,         0.642
         0.006,         0.234,         0.641
         0.006,         0.238,         0.641
         0.007,         0.238,         0.640
         0.007,         0.242,         0.640
         0.007,         0.242,         0.640
         0.007,         0.245,         0.639
         0.008,         0.245,         0.637
         0.008,         0.249,         0.637
         0.008,         0.249,         0.636
         0.008,         0.253,         0.636
         0.008,         0.253,         0.636
         0.008,         0.257,         0.635
         0.010,         0.257,         0.632
         0.010,         0.260,         0.632
         0.010,         0.260,         0.631
         0.010,         0.264,         0.631
         0.011,         0.264,         0.629
         0.011,         0.268,         0.629
         0.011,         0.268,         0.629
         0.011,         0.275,         0.627
         0.012,         0.275,         0.624
         0.012,         0.279,         0.624
         0.012,         0.279,         0.623
         0.012,         0.283,         0.623
         0.013,         0.283,         0.620
         0.013,         0.291,         0.619
         0.013,         0.291,         0.619
         0.013,         0.294,         0.618
         0.014,         0.294,         0.617
         0.014,         0.302,         0.616
         0.014,         0.302,         0.615
         0.014,         0.306,         0.614
         0.015,         0.306,         0.614
         0.015,         0.313,         0.613
         0.015,         0.313,         0.613
         0.015,         0.321,         0.612
         0.015,         0.321,         0.610
         0.015,         0.325,         0.610
         0.016,         0.325,         0.609
         0.016,         0.332,         0.606
         0.017,         0.332,         0.604
         0.017,         0.336,         0.603
         0.017,         0.336,         0.603
         0.017,         0.340,         0.603
         0.019,         0.340,         0.599
         0.019,         0.347,         0.599
         0.020,         0.347,         0.596
         0.020,         0.351,         0.596
         0.021,         0.351,         0.596
         0.021,         0.358,         0.595
         0.021,         0.358,         0.593
         0.021,         0.362,         0.592
         0.022,         0.362,         0.591
         0.022,         0.366,         0.591
         0.022,         0.366,         0.590
         0.022,         0.370,         0.590
         0.024,         0.370,         0.588
         0.024,         0.374,         0.587
         0.024,         0.374,         0.587
         0.024,         0.377,         0.587
         0.024,         0.377,         0.586
         0.024,         0.381,         0.585
         0.025,         0.381,         0.585
         0.025,         0.385,         0.585
         0.026,         0.385,         0.584
         0.026,         0.385,         0.583
         0.026,         0.385,         0.583
         0.026,         0.389,         0.583
         0.028,         0.389,         0.580
         0.028,         0.396,         0.579
         0.029,         0.396,         0.578
         0.029,         0.400,         0.577
         0.030,         0.400,         0.576
         0.030,         0.404,         0.576
         0.031,         0.404,         0.575
         0.031,         0.408,         0.575
         0.031,         0.408,         0.574
         0.031,         0.411,         0.574
         0.032,         0.411,         0.572
         0.032,         0.415,         0.572
         0.035,         0.415,         0.568
         0.035,         0.419,         0.568
         0.036,         0.419,         0.567
         0.036,         0.423,         0.567
         0.037,         0.423,         0.566
         0.037,         0.426,         0.566
         0.038,         0.426,         0.565
         0.038,         0.430,         0.565
         0.038,         0.430,         0.564
         0.038,         0.438,         0.563
         0.038,         0.438,         0.563
         0.038,         0.442,         0.563
         0.039,         0.442,         0.561
         0.039,         0.445,         0.561
         0.039,         0.445,         0.560
         0.039,         0.449,         0.560
         0.041,         0.449,         0.558
         0.041,         0.453,         0.558
         0.042,         0.453,         0.556
         0.042,         0.460,         0.555
         0.043,         0.460,         0.554
         0.043,         0.468,         0.554
         0.048,         0.468,         0.545
         0.048,         0.475,         0.544
         0.048,         0.475,         0.543
         0.048,         0.479,         0.543
         0.049,         0.479,         0.543
         0.049,         0.483,         0.543
         0.049,         0.483,         0.542
         0.049,         0.487,         0.542
         0.049,         0.487,         0.542
         0.049,         0.491,         0.542
         0.050,         0.491,         0.541
         0.050,         0.494,         0.541
         0.052,         0.494,         0.539
         0.052,         0.498,         0.539
         0.052,         0.498,         0.539
         0.052,         0.502,         0.538
         0.052,         0.502,         0.538
         0.052,         0.509,         0.538
         0.053,         0.509,         0.536
         0.053,         0.513,         0.536
         0.053,         0.513,         0.536
         0.053,         0.517,         0.536
         0.055,         0.517,         0.533
         0.055,         0.521,         0.533
         0.056,         0.521,         0.531
         0.056,         0.525,         0.531
         0.058,         0.525,         0.529
         0.058,         0.528,         0.528
         0.060,         0.528,         0.526
         0.060,         0.532,         0.525
         0.063,         0.532,         0.523
         0.063,         0.536,         0.522
         0.063,         0.536,         0.522
         0.063,         0.540,         0.522
         0.063,         0.540,         0.522
         0.063,         0.547,         0.521
         0.066,         0.547,         0.519
         0.066,         0.551,         0.519
         0.068,         0.551,         0.518
         0.068,         0.555,         0.517
         0.073,         0.555,         0.514
         0.073,         0.562,         0.514
         0.073,         0.562,         0.514
         0.073,         0.566,         0.514
         0.075,         0.566,         0.512
         0.075,         0.570,         0.512
         0.076,         0.570,         0.511
         0.076,         0.574,         0.511
         0.077,         0.574,         0.511
         0.077,         0.577,         0.511
         0.078,         0.577,         0.509
         0.078,         0.581,         0.509
         0.083,         0.581,         0.505
         0.083,         0.585,         0.505
         0.083,         0.585,         0.505
         0.083,         0.589,         0.505
         0.083,         0.589,         0.504
