false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.661
         0.000,         0.004,         0.661
         0.005,         0.011,         0.636
         0.005,         0.011,         0.619
         0.006,         0.011,         0.619
         0.006,         0.019,         0.585
         0.006,         0.019,         0.583
         0.006,         0.023,         0.582
         0.007,         0.023,         0.557
         0.007,         0.026,         0.555
         0.008,         0.026,         0.546
         0.008,         0.026,         0.543
         0.008,         0.026,         0.530
         0.008,         0.030,         0.526
         0.009,         0.030,         0.519
         0.010,         0.030,         0.518
         0.010,         0.030,         0.511
         0.010,         0.034,         0.509
         0.011,         0.034,         0.508
         0.011,         0.038,         0.505
         0.011,         0.038,         0.498
         0.011,         0.038,         0.497
         0.012,         0.038,         0.492
         0.012,         0.042,         0.491
         0.012,         0.042,         0.489
         0.012,         0.045,         0.488
         0.012,         0.045,         0.486
         0.012,         0.053,         0.483
         0.013,         0.053,         0.480
         0.013,         0.053,         0.478
         0.013,         0.060,         0.476
         0.014,         0.060,         0.469
         0.014,         0.060,         0.469
         0.015,         0.060,         0.467
         0.015,         0.060,         0.466
         0.016,         0.060,         0.465
         0.016,         0.060,         0.464
         0.016,         0.060,         0.461
         0.017,         0.060,         0.459
         0.017,         0.064,         0.457
         0.017,         0.064,         0.455
         0.019,         0.068,         0.453
         0.019,         0.072,         0.451
         0.019,         0.075,         0.449
         0.019,         0.075,         0.448
         0.019,         0.079,         0.447
         0.019,         0.079,         0.446
         0.020,         0.079,         0.445
         0.020,         0.079,         0.443
         0.021,         0.079,         0.443
         0.021,         0.079,         0.435
         0.022,         0.083,         0.435
         0.022,         0.083,         0.433
         0.022,         0.083,         0.433
         0.022,         0.087,         0.432
         0.023,         0.087,         0.430
         0.023,         0.094,         0.424
         0.023,         0.094,         0.423
         0.023,         0.098,         0.421
         0.023,         0.098,         0.414
         0.023,         0.102,         0.413
         0.024,         0.102,         0.411
         0.024,         0.102,         0.405
         0.024,         0.106,         0.405
         0.025,         0.106,         0.403
         0.025,         0.109,         0.402
         0.025,         0.109,         0.399
         0.025,         0.117,         0.396
         0.026,         0.117,         0.395
         0.026,         0.117,         0.394
         0.026,         0.117,         0.392
         0.026,         0.117,         0.390
         0.027,         0.121,         0.389
         0.027,         0.121,         0.388
         0.028,         0.121,         0.386
         0.029,         0.121,         0.384
         0.029,         0.125,         0.383
         0.029,         0.132,         0.383
         0.030,         0.136,         0.382
         0.030,         0.140,         0.380
         0.030,         0.140,         0.380
         0.031,         0.140,         0.380
         0.031,         0.140,         0.379
         0.032,         0.140,         0.376
         0.032,         0.140,         0.375
         0.032,         0.143,         0.374
         0.034,         0.147,         0.373
         0.034,         0.147,         0.372
         0.035,         0.151,         0.372
