false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.246
         0.000,         0.002,         0.246
         0.000,         0.002,         0.246
         0.000,         0.005,         0.230
         0.001,         0.005,         0.216
         0.001,         0.017,         0.200
         0.001,         0.017,         0.200
         0.001,         0.027,         0.189
         0.001,         0.027,         0.189
         0.001,         0.035,         0.186
         0.001,         0.035,         0.182
         0.001,         0.037,         0.181
         0.002,         0.037,         0.180
         0.002,         0.040,         0.180
         0.002,         0.040,         0.179
         0.002,         0.042,         0.179
         0.002,         0.042,         0.179
         0.002,         0.052,         0.176
         0.002,         0.052,         0.175
         0.002,         0.060,         0.175
         0.003,         0.060,         0.173
         0.003,         0.069,         0.169
         0.003,         0.069,         0.168
         0.003,         0.077,         0.165
         0.003,         0.077,         0.164
         0.003,         0.092,         0.160
         0.003,         0.092,         0.160
         0.003,         0.097,         0.157
         0.003,         0.097,         0.156
         0.003,         0.099,         0.155
         0.004,         0.099,         0.154
         0.004,         0.102,         0.153
         0.004,         0.102,         0.152
         0.004,         0.107,         0.151
         0.005,         0.107,         0.151
         0.005,         0.112,         0.150
         0.005,         0.112,         0.150
         0.005,         0.114,         0.149
         0.005,         0.114,         0.148
         0.005,         0.119,         0.147
         0.006,         0.119,         0.145
         0.006,         0.124,         0.145
         0.006,         0.124,         0.145
         0.006,         0.129,         0.144
         0.007,         0.129,         0.142
         0.007,         0.139,         0.141
         0.008,         0.139,         0.140
         0.008,         0.154,         0.136
         0.008,         0.154,         0.135
         0.008,         0.156,         0.134
         0.008,         0.156,         0.134
         0.008,         0.159,         0.134
         0.009,         0.159,         0.132
         0.009,         0.161,         0.131
         0.009,         0.161,         0.131
         0.009,         0.164,         0.130
         0.010,         0.164,         0.128
         0.010,         0.166,         0.128
         0.010,         0.166,         0.128
         0.010,         0.169,         0.127
         0.010,         0.169,         0.127
         0.010,         0.174,         0.125
         0.011,         0.174,         0.125
         0.011,         0.189,         0.121
         0.011,         0.189,         0.121
         0.011,         0.196,         0.119
         0.011,         0.196,         0.119
         0.011,         0.203,         0.118
         0.012,         0.203,         0.117
         0.012,         0.206,         0.117
         0.012,         0.206,         0.115
         0.012,         0.208,         0.115
         0.013,         0.208,         0.113
         0.013,         0.211,         0.113
         0.013,         0.211,         0.113
         0.013,         0.218,         0.113
         0.013,         0.218,         0.112
