false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.819
         0.000,         0.002,         0.819
         0.000,         0.012,         0.794
         0.000,         0.012,         0.792
         0.000,         0.020,         0.781
         0.000,         0.020,         0.780
         0.000,         0.022,         0.778
         0.001,         0.022,         0.774
         0.001,         0.032,         0.761
         0.001,         0.032,         0.758
         0.001,         0.060,         0.740
         0.001,         0.060,         0.739
         0.001,         0.067,         0.736
         0.002,         0.067,         0.730
         0.002,         0.082,         0.723
         0.002,         0.082,         0.721
         0.002,         0.084,         0.719
         0.003,         0.084,         0.716
         0.003,         0.087,         0.716
         0.003,         0.087,         0.714
         0.003,         0.089,         0.713
         0.003,         0.089,         0.711
         0.003,         0.097,         0.709
         0.003,         0.097,         0.708
         0.003,         0.099,         0.708
         0.004,         0.099,         0.708
         0.004,         0.104,         0.707
         0.004,         0.104,         0.706
         0.004,         0.107,         0.706
         0.004,         0.107,         0.705
         0.004,         0.124,         0.699
         0.004,         0.124,         0.699
         0.004,         0.129,         0.698
         0.004,         0.129,         0.698
         0.004,         0.136,         0.696
         0.005,         0.136,         0.696
         0.005,         0.141,         0.696
         0.005,         0.141,         0.695
         0.005,         0.149,         0.692
         0.005,         0.149,         0.692
         0.005,         0.156,         0.691
         0.005,         0.156,         0.691
         0.005,         0.164,         0.686
         0.006,         0.164,         0.686
         0.006,         0.171,         0.685
         0.006,         0.171,         0.685
         0.006,         0.184,         0.680
         0.006,         0.184,         0.677
         0.006,         0.191,         0.677
         0.007,         0.191,         0.674
         0.007,         0.199,         0.673
         0.007,         0.199,         0.673
         0.007,         0.203,         0.671
         0.008,         0.203,         0.670
         0.008,         0.208,         0.669
         0.008,         0.208,         0.668
         0.008,         0.211,         0.668
         0.008,         0.211,         0.668
         0.008,         0.213,         0.667
         0.008,         0.213,         0.666
         0.008,         0.216,         0.665
         0.009,         0.216,         0.664
         0.009,         0.218,         0.664
         0.009,         0.218,         0.664
         0.009,         0.221,         0.664
         0.010,         0.221,         0.663
         0.010,         0.226,         0.662
         0.010,         0.226,         0.661
         0.010,         0.228,         0.661
         0.011,         0.228,         0.659
         0.011,         0.231,         0.658
         0.011,         0.231,         0.656
         0.011,         0.236,         0.654
         0.011,         0.236,         0.652
         0.011,         0.238,         0.652
         0.012,         0.238,         0.650
         0.012,         0.241,         0.650
         0.012,         0.241,         0.650
         0.012,         0.243,         0.649
         0.013,         0.243,         0.647
         0.013,         0.251,         0.645
         0.014,         0.251,         0.645
         0.014,         0.253,         0.645
         0.014,         0.253,         0.644
         0.014,         0.258,         0.643
         0.014,         0.258,         0.643
         0.014,         0.261,         0.643
         0.015,         0.261,         0.642
