false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.832
         0.000,         0.002,         0.832
         0.000,         0.027,         0.791
         0.000,         0.027,         0.789
         0.000,         0.030,         0.787
         0.001,         0.030,         0.771
         0.001,         0.037,         0.768
         0.001,         0.037,         0.766
         0.001,         0.040,         0.764
         0.002,         0.040,         0.762
         0.002,         0.045,         0.758
         0.002,         0.045,         0.757
         0.002,         0.050,         0.756
         0.002,         0.050,         0.755
         0.002,         0.057,         0.754
         0.002,         0.057,         0.754
         0.002,         0.060,         0.753
         0.003,         0.060,         0.752
         0.003,         0.065,         0.750
         0.003,         0.065,         0.750
         0.003,         0.069,         0.749
         0.003,         0.069,         0.749
         0.003,         0.087,         0.745
         0.004,         0.087,         0.742
         0.004,         0.089,         0.742
         0.004,         0.089,         0.741
         0.004,         0.092,         0.741
         0.004,         0.092,         0.741
         0.004,         0.102,         0.738
         0.004,         0.102,         0.736
         0.004,         0.104,         0.735
         0.005,         0.104,         0.734
         0.005,         0.107,         0.734
         0.005,         0.107,         0.731
         0.005,         0.109,         0.730
         0.005,         0.109,         0.730
         0.005,         0.112,         0.730
         0.006,         0.112,         0.728
         0.006,         0.117,         0.728
         0.006,         0.117,         0.727
         0.006,         0.122,         0.726
         0.007,         0.122,         0.725
         0.007,         0.127,         0.724
         0.008,         0.127,         0.722
         0.008,         0.132,         0.720
         0.008,         0.132,         0.719
         0.008,         0.134,         0.719
         0.009,         0.134,         0.717
         0.009,         0.136,         0.716
         0.009,         0.136,         0.716
         0.009,         0.139,         0.716
         0.010,         0.139,         0.715
         0.010,         0.144,         0.714
         0.011,         0.144,         0.713
         0.011,         0.149,         0.713
         0.011,         0.149,         0.712
         0.011,         0.154,         0.712
         0.011,         0.154,         0.712
         0.011,         0.161,         0.710
         0.011,         0.161,         0.709
         0.011,         0.164,         0.709
         0.011,         0.164,         0.709
         0.011,         0.166,         0.709
         0.012,         0.166,         0.708
         0.012,         0.169,         0.708
         0.012,         0.169,         0.708
         0.012,         0.171,         0.707
         0.012,         0.171,         0.707
         0.012,         0.174,         0.706
         0.013,         0.174,         0.706
         0.013,         0.179,         0.705
         0.013,         0.179,         0.704
         0.013,         0.181,         0.704
         0.014,         0.181,         0.702
         0.014,         0.184,         0.701
         0.015,         0.184,         0.701
         0.015,         0.186,         0.701
         0.015,         0.186,         0.701
         0.015,         0.189,         0.700
         0.016,         0.189,         0.698
         0.016,         0.191,         0.697
         0.016,         0.191,         0.697
         0.016,         0.196,         0.696
         0.016,         0.196,         0.696
         0.017,         0.196,         0.696
         0.017,         0.196,         0.695
         0.017,         0.201,         0.695
         0.018,         0.201,         0.694
         0.018,         0.203,         0.694
         0.018,         0.203,         0.694
         0.018,         0.206,         0.693
         0.018,         0.206,         0.693
         0.018,         0.211,         0.692
         0.018,         0.211,         0.692
         0.018,         0.218,         0.691
         0.019,         0.218,         0.689
         0.019,         0.221,         0.689
         0.019,         0.221,         0.688
         0.019,         0.226,         0.688
         0.019,         0.226,         0.688
         0.019,         0.231,         0.687
         0.020,         0.231,         0.687
         0.020,         0.236,         0.687
         0.020,         0.236,         0.686
         0.020,         0.238,         0.686
         0.020,         0.238,         0.685
         0.020,         0.241,         0.685
         0.021,         0.241,         0.685
         0.021,         0.243,         0.684
         0.021,         0.243,         0.683
         0.021,         0.251,         0.683
         0.022,         0.251,         0.683
         0.022,         0.263,         0.682
         0.022,         0.263,         0.681
         0.022,         0.268,         0.681
         0.022,         0.270,         0.680
         0.022,         0.273,         0.680
         0.023,         0.273,         0.680
         0.023,         0.275,         0.680
         0.023,         0.275,         0.680
         0.023,         0.278,         0.679
         0.023,         0.278,         0.679
         0.023,         0.283,         0.679
         0.024,         0.283,         0.678
         0.024,         0.285,         0.677
         0.025,         0.285,         0.677
         0.025,         0.288,         0.677
         0.025,         0.288,         0.677
         0.025,         0.290,         0.677
         0.026,         0.290,         0.677
         0.026,         0.295,         0.676
         0.026,         0.295,         0.674
         0.026,         0.303,         0.674
         0.027,         0.303,         0.673
         0.027,         0.305,         0.673
         0.028,         0.305,         0.672
         0.028,         0.305,         0.672
         0.028,         0.305,         0.672
         0.028,         0.308,         0.671
         0.029,         0.308,         0.671
         0.029,         0.310,         0.670
         0.030,         0.310,         0.670
         0.030,         0.313,         0.670
         0.030,         0.313,         0.669
         0.030,         0.318,         0.669
         0.031,         0.318,         0.669
         0.031,         0.318,         0.668
         0.031,         0.320,         0.668
         0.033,         0.320,         0.666
         0.033,         0.323,         0.666
         0.033,         0.323,         0.665
         0.033,         0.333,         0.664
         0.035,         0.333,         0.663
         0.035,         0.335,         0.663
         0.035,         0.335,         0.662
         0.035,         0.337,         0.662
         0.036,         0.337,         0.662
         0.036,         0.340,         0.661
         0.036,         0.340,         0.660
         0.036,         0.342,         0.660
         0.038,         0.342,         0.659
         0.038,         0.345,         0.659
         0.039,         0.345,         0.657
         0.039,         0.347,         0.657
         0.039,         0.347,         0.657
         0.039,         0.350,         0.657
         0.040,         0.350,         0.655
         0.040,         0.355,         0.655
         0.041,         0.355,         0.654
         0.041,         0.365,         0.653
         0.041,         0.365,         0.653
         0.041,         0.367,         0.652
         0.043,         0.367,         0.652
         0.043,         0.372,         0.652
         0.046,         0.372,         0.649
         0.046,         0.375,         0.649
         0.046,         0.375,         0.648
         0.046,         0.377,         0.648
         0.047,         0.377,         0.647
         0.047,         0.382,         0.646
         0.048,         0.382,         0.646
         0.048,         0.385,         0.646
         0.048,         0.385,         0.645
         0.048,         0.390,         0.645
         0.050,         0.390,         0.643
         0.050,         0.392,         0.642
         0.051,         0.392,         0.642
         0.051,         0.395,         0.642
         0.051,         0.395,         0.641
         0.051,         0.397,         0.641
         0.055,         0.397,         0.639
         0.055,         0.400,         0.639
         0.055,         0.400,         0.638
         0.055,         0.402,         0.638
         0.056,         0.402,         0.638
         0.056,         0.407,         0.638
         0.056,         0.407,         0.637
         0.056,         0.409,         0.637
         0.057,         0.409,         0.637
         0.057,         0.414,         0.637
         0.057,         0.414,         0.636
         0.057,         0.417,         0.636
         0.057,         0.417,         0.636
         0.057,         0.419,         0.636
         0.058,         0.419,         0.635
         0.058,         0.422,         0.635
         0.060,         0.422,         0.634
         0.060,         0.424,         0.634
         0.060,         0.424,         0.634
         0.060,         0.427,         0.634
         0.061,         0.427,         0.634
         0.061,         0.429,         0.633
         0.061,         0.429,         0.633
         0.061,         0.434,         0.633
         0.062,         0.434,         0.632
         0.062,         0.437,         0.632
         0.063,         0.437,         0.631
         0.063,         0.442,         0.631
         0.063,         0.442,         0.631
         0.063,         0.444,         0.630
         0.064,         0.444,         0.630
         0.064,         0.447,         0.630
         0.064,         0.447,         0.630
         0.064,         0.449,         0.630
         0.065,         0.449,         0.629
         0.065,         0.452,         0.629
         0.066,         0.452,         0.628
         0.066,         0.454,         0.628
         0.066,         0.454,         0.627
         0.066,         0.457,         0.627
         0.067,         0.457,         0.627
         0.067,         0.459,         0.626
         0.069,         0.459,         0.625
         0.069,         0.462,         0.625
         0.070,         0.462,         0.624
         0.071,         0.462,         0.624
         0.071,         0.464,         0.624
         0.071,         0.464,         0.624
         0.071,         0.467,         0.623
         0.072,         0.467,         0.623
         0.073,         0.467,         0.622
         0.073,         0.471,         0.622
         0.074,         0.471,         0.622
         0.074,         0.474,         0.621
         0.074,         0.474,         0.621
         0.074,         0.476,         0.621
         0.075,         0.476,         0.621
         0.075,         0.479,         0.621
         0.075,         0.479,         0.620
         0.075,         0.481,         0.620
         0.076,         0.481,         0.620
         0.076,         0.484,         0.620
         0.077,         0.484,         0.619
         0.077,         0.486,         0.619
         0.079,         0.486,         0.617
         0.079,         0.489,         0.617
         0.079,         0.489,         0.617
         0.080,         0.489,         0.617
         0.081,         0.489,         0.616
         0.081,         0.491,         0.616
         0.081,         0.491,         0.615
         0.081,         0.494,         0.615
         0.081,         0.494,         0.615
         0.081,         0.496,         0.615
         0.082,         0.496,         0.615
         0.082,         0.499,         0.615
         0.083,         0.499,         0.614
         0.083,         0.499,         0.614
         0.083,         0.499,         0.614
         0.083,         0.501,         0.614
         0.084,         0.501,         0.614
         0.084,         0.504,         0.613
         0.084,         0.504,         0.613
         0.084,         0.506,         0.613
         0.084,         0.506,         0.613
         0.084,         0.509,         0.613
         0.085,         0.509,         0.612
         0.085,         0.511,         0.611
         0.086,         0.511,         0.611
         0.086,         0.516,         0.611
         0.086,         0.516,         0.611
         0.086,         0.519,         0.611
         0.087,         0.519,         0.610
         0.087,         0.521,         0.610
         0.088,         0.521,         0.610
         0.088,         0.524,         0.610
         0.088,         0.524,         0.610
         0.088,         0.526,         0.609
         0.089,         0.526,         0.609
         0.089,         0.529,         0.609
         0.091,         0.529,         0.608
         0.091,         0.531,         0.608
         0.093,         0.531,         0.606
         0.093,         0.536,         0.606
         0.094,         0.536,         0.605
         0.094,         0.538,         0.605
         0.094,         0.538,         0.605
         0.094,         0.541,         0.604
         0.095,         0.541,         0.604
         0.096,         0.541,         0.604
         0.098,         0.541,         0.603
         0.098,         0.546,         0.603
         0.098,         0.546,         0.602
         0.098,         0.548,         0.602
         0.098,         0.548,         0.602
         0.098,         0.551,         0.602
         0.099,         0.551,         0.602
         0.099,         0.553,         0.602
         0.102,         0.553,         0.600
         0.102,         0.556,         0.600
         0.102,         0.556,         0.600
         0.102,         0.558,         0.600
         0.103,         0.558,         0.599
         0.103,         0.563,         0.599
         0.104,         0.563,         0.598
         0.104,         0.566,         0.598
         0.105,         0.566,         0.598
         0.105,         0.568,         0.598
         0.105,         0.568,         0.597
         0.105,         0.571,         0.597
         0.107,         0.571,         0.597
         0.107,         0.573,         0.597
         0.107,         0.573,         0.596
         0.108,         0.573,         0.596
         0.108,         0.573,         0.596
         0.108,         0.576,         0.595
         0.109,         0.576,         0.595
         0.109,         0.578,         0.595
         0.110,         0.578,         0.595
         0.110,         0.583,         0.595
         0.110,         0.583,         0.595
         0.110,         0.588,         0.594
         0.111,         0.588,         0.593
         0.111,         0.591,         0.593
         0.112,         0.591,         0.592
         0.112,         0.593,         0.592
         0.113,         0.593,         0.592
         0.113,         0.596,         0.592
         0.115,         0.596,         0.590
         0.115,         0.598,         0.590
         0.115,         0.598,         0.590
         0.115,         0.603,         0.589
         0.117,         0.603,         0.589
         0.117,         0.608,         0.588
         0.117,         0.608,         0.588
         0.117,         0.610,         0.588
         0.118,         0.610,         0.587
         0.120,         0.610,         0.587
         0.120,         0.610,         0.586
         0.120,         0.613,         0.586
         0.122,         0.613,         0.585
         0.122,         0.618,         0.585
         0.122,         0.618,         0.585
         0.122,         0.620,         0.585
         0.125,         0.620,         0.583
         0.125,         0.625,         0.583
         0.127,         0.625,         0.581
         0.127,         0.628,         0.581
         0.127,         0.628,         0.581
         0.127,         0.630,         0.581
         0.128,         0.630,         0.581
