false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.762
         0.000,         0.002,         0.762
         0.000,         0.002,         0.761
         0.000,         0.005,         0.746
         0.001,         0.005,         0.732
         0.001,         0.017,         0.716
         0.001,         0.017,         0.716
         0.001,         0.027,         0.705
         0.001,         0.027,         0.704
         0.001,         0.035,         0.701
         0.001,         0.035,         0.697
         0.001,         0.037,         0.697
         0.002,         0.037,         0.696
         0.002,         0.040,         0.696
         0.002,         0.040,         0.695
         0.002,         0.042,         0.695
         0.002,         0.042,         0.695
         0.002,         0.052,         0.692
         0.002,         0.052,         0.691
         0.002,         0.060,         0.690
         0.003,         0.060,         0.689
         0.003,         0.069,         0.685
         0.003,         0.069,         0.684
         0.003,         0.077,         0.681
         0.003,         0.077,         0.679
         0.003,         0.092,         0.676
         0.003,         0.092,         0.675
         0.003,         0.097,         0.673
         0.003,         0.097,         0.672
         0.003,         0.099,         0.670
         0.004,         0.099,         0.669
         0.004,         0.102,         0.669
         0.004,         0.102,         0.667
         0.004,         0.107,         0.666
         0.005,         0.107,         0.666
         0.005,         0.112,         0.666
         0.005,         0.112,         0.665
         0.005,         0.114,         0.664
         0.005,         0.114,         0.664
         0.005,         0.119,         0.662
         0.006,         0.119,         0.661
         0.006,         0.124,         0.661
         0.006,         0.124,         0.660
         0.006,         0.129,         0.660
         0.007,         0.129,         0.658
         0.007,         0.139,         0.657
         0.008,         0.139,         0.656
         0.008,         0.154,         0.651
         0.008,         0.154,         0.651
         0.008,         0.156,         0.650
         0.008,         0.156,         0.650
         0.008,         0.159,         0.650
         0.009,         0.159,         0.648
         0.009,         0.161,         0.647
         0.009,         0.161,         0.647
         0.009,         0.164,         0.646
         0.010,         0.164,         0.644
         0.010,         0.166,         0.643
         0.010,         0.166,         0.643
         0.010,         0.169,         0.642
         0.010,         0.169,         0.642
         0.010,         0.174,         0.641
         0.011,         0.174,         0.641
         0.011,         0.189,         0.637
         0.011,         0.189,         0.637
         0.011,         0.196,         0.635
         0.011,         0.196,         0.635
         0.011,         0.203,         0.634
         0.012,         0.203,         0.633
         0.012,         0.206,         0.633
         0.012,         0.206,         0.631
         0.012,         0.208,         0.631
         0.013,         0.208,         0.629
         0.013,         0.211,         0.629
         0.013,         0.211,         0.629
         0.013,         0.218,         0.628
         0.013,         0.218,         0.628
         0.013,         0.221,         0.627
         0.014,         0.221,         0.627
         0.014,         0.223,         0.627
         0.014,         0.223,         0.624
         0.014,         0.226,         0.624
         0.014,         0.226,         0.623
         0.014,         0.231,         0.622
         0.015,         0.231,         0.622
         0.015,         0.233,         0.620
         0.015,         0.233,         0.619
         0.015,         0.238,         0.619
         0.016,         0.238,         0.617
         0.016,         0.243,         0.617
         0.016,         0.243,         0.617
         0.016,         0.246,         0.617
         0.017,         0.246,         0.617
         0.017,         0.251,         0.616
         0.017,         0.251,         0.615
         0.017,         0.261,         0.613
         0.018,         0.261,         0.613
         0.018,         0.263,         0.613
         0.018,         0.263,         0.611
         0.018,         0.266,         0.611
         0.018,         0.266,         0.611
         0.018,         0.270,         0.611
         0.018,         0.270,         0.610
         0.018,         0.273,         0.610
         0.018,         0.273,         0.609
         0.018,         0.278,         0.609
         0.019,         0.278,         0.608
         0.019,         0.280,         0.607
         0.019,         0.280,         0.607
         0.019,         0.283,         0.606
         0.019,         0.283,         0.606
         0.019,         0.285,         0.605
         0.021,         0.285,         0.601
         0.021,         0.288,         0.601
         0.021,         0.288,         0.599
         0.021,         0.290,         0.598
         0.022,         0.290,         0.596
         0.022,         0.295,         0.595
         0.023,         0.295,         0.595
         0.023,         0.303,         0.594
         0.023,         0.303,         0.594
         0.023,         0.313,         0.593
         0.023,         0.313,         0.593
         0.023,         0.315,         0.593
         0.024,         0.315,         0.591
         0.024,         0.318,         0.591
         0.024,         0.318,         0.589
         0.024,         0.323,         0.588
         0.024,         0.323,         0.588
         0.024,         0.335,         0.586
         0.024,         0.335,         0.586
         0.024,         0.337,         0.586
         0.025,         0.337,         0.586
         0.025,         0.340,         0.585
         0.025,         0.340,         0.585
         0.025,         0.342,         0.585
         0.025,         0.342,         0.585
         0.025,         0.345,         0.584
         0.025,         0.345,         0.584
         0.025,         0.347,         0.584
         0.026,         0.347,         0.584
         0.026,         0.352,         0.584
         0.026,         0.352,         0.583
         0.026,         0.355,         0.582
         0.026,         0.355,         0.582
         0.026,         0.360,         0.581
         0.026,         0.360,         0.581
         0.026,         0.365,         0.580
         0.026,         0.365,         0.580
         0.026,         0.372,         0.579
         0.028,         0.372,         0.577
         0.028,         0.380,         0.576
         0.028,         0.380,         0.576
         0.028,         0.382,         0.576
         0.028,         0.382,         0.576
         0.028,         0.385,         0.576
         0.029,         0.385,         0.575
         0.029,         0.390,         0.575
         0.029,         0.390,         0.575
         0.029,         0.392,         0.575
         0.029,         0.392,         0.574
         0.029,         0.395,         0.574
         0.030,         0.395,         0.571
         0.030,         0.397,         0.571
         0.030,         0.397,         0.571
         0.030,         0.400,         0.571
         0.031,         0.400,         0.568
         0.031,         0.402,         0.568
         0.032,         0.402,         0.567
         0.032,         0.404,         0.567
         0.032,         0.404,         0.567
         0.032,         0.407,         0.567
         0.033,         0.407,         0.566
         0.033,         0.409,         0.565
         0.034,         0.409,         0.564
         0.034,         0.414,         0.563
         0.034,         0.414,         0.563
         0.034,         0.417,         0.563
         0.035,         0.417,         0.561
         0.035,         0.419,         0.561
         0.036,         0.419,         0.559
         0.036,         0.422,         0.559
         0.037,         0.422,         0.558
