false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.591
         0.000,         0.000,         0.591
         0.013,         0.002,         0.550
         0.013,         0.005,         0.545
         0.014,         0.005,         0.531
         0.014,         0.007,         0.512
         0.014,         0.007,         0.506
         0.014,         0.010,         0.492
         0.014,         0.010,         0.478
         0.014,         0.012,         0.467
         0.014,         0.012,         0.465
         0.014,         0.020,         0.462
         0.015,         0.020,         0.456
         0.015,         0.022,         0.455
         0.015,         0.022,         0.452
         0.015,         0.027,         0.445
         0.015,         0.027,         0.442
         0.015,         0.030,         0.439
         0.016,         0.030,         0.438
         0.016,         0.030,         0.436
         0.016,         0.032,         0.434
         0.016,         0.032,         0.432
         0.016,         0.035,         0.431
         0.016,         0.035,         0.429
         0.016,         0.037,         0.428
         0.017,         0.037,         0.424
         0.017,         0.042,         0.422
         0.017,         0.042,         0.419
         0.017,         0.045,         0.418
         0.018,         0.045,         0.416
         0.018,         0.045,         0.414
         0.018,         0.045,         0.413
         0.018,         0.047,         0.413
         0.019,         0.047,         0.412
         0.020,         0.047,         0.411
         0.020,         0.047,         0.408
         0.020,         0.047,         0.407
         0.021,         0.047,         0.405
         0.021,         0.050,         0.404
         0.022,         0.050,         0.404
         0.022,         0.050,         0.402
         0.023,         0.050,         0.402
         0.023,         0.052,         0.402
         0.024,         0.052,         0.401
         0.026,         0.052,         0.399
         0.026,         0.052,         0.399
         0.026,         0.052,         0.398
         0.026,         0.055,         0.397
         0.027,         0.055,         0.396
         0.027,         0.055,         0.394
         0.029,         0.055,         0.394
         0.030,         0.055,         0.393
         0.031,         0.055,         0.392
         0.031,         0.055,         0.392
         0.035,         0.055,         0.391
         0.036,         0.055,         0.384
         0.036,         0.055,         0.383
         0.036,         0.065,         0.375
         0.037,         0.065,         0.370
         0.037,         0.072,         0.367
         0.037,         0.074,         0.367
         0.038,         0.074,         0.365
         0.038,         0.077,         0.365
         0.038,         0.077,         0.365
         0.038,         0.079,         0.363
         0.039,         0.079,         0.363
         0.039,         0.079,         0.363
         0.039,         0.079,         0.362
         0.040,         0.079,         0.361
         0.040,         0.084,         0.359
         0.040,         0.084,         0.358
         0.040,         0.087,         0.358
         0.041,         0.087,         0.358
         0.041,         0.087,         0.357
         0.041,         0.089,         0.357
         0.041,         0.089,         0.357
         0.042,         0.089,         0.355
         0.042,         0.089,         0.355
         0.042,         0.094,         0.354
         0.043,         0.094,         0.353
         0.043,         0.094,         0.352
         0.044,         0.094,         0.352
         0.044,         0.097,         0.351
         0.045,         0.097,         0.350
         0.045,         0.099,         0.350
         0.045,         0.099,         0.349
         0.045,         0.102,         0.349
         0.046,         0.102,         0.349
         0.046,         0.102,         0.349
         0.047,         0.102,         0.347
         0.048,         0.104,         0.347
         0.048,         0.104,         0.346
         0.048,         0.104,         0.345
         0.049,         0.104,         0.345
         0.049,         0.104,         0.344
         0.049,         0.104,         0.344
         0.050,         0.104,         0.343
         0.050,         0.104,         0.342
         0.050,         0.104,         0.342
         0.051,         0.104,         0.342
         0.051,         0.104,         0.340
         0.052,         0.104,         0.340
         0.053,         0.104,         0.340
         0.053,         0.107,         0.340
         0.054,         0.112,         0.338
         0.054,         0.112,         0.338
         0.054,         0.117,         0.337
         0.056,         0.117,         0.336
         0.056,         0.117,         0.336
         0.056,         0.117,         0.335
         0.056,         0.119,         0.335
         0.057,         0.119,         0.334
         0.058,         0.119,         0.334
         0.058,         0.119,         0.333
         0.059,         0.122,         0.333
         0.059,         0.122,         0.332
         0.060,         0.124,         0.332
         0.060,         0.127,         0.332
         0.060,         0.127,         0.332
         0.060,         0.129,         0.331
         0.061,         0.129,         0.331
         0.063,         0.129,         0.330
         0.063,         0.129,         0.329
         0.063,         0.134,         0.329
         0.063,         0.134,         0.328
         0.065,         0.134,         0.328
         0.066,         0.134,         0.326
         0.067,         0.136,         0.326
         0.068,         0.136,         0.325
         0.068,         0.136,         0.325
         0.068,         0.139,         0.325
         0.068,         0.139,         0.324
         0.070,         0.139,         0.324
         0.071,         0.141,         0.323
         0.072,         0.141,         0.323
         0.072,         0.144,         0.322
         0.072,         0.144,         0.322
         0.074,         0.144,         0.322
         0.075,         0.144,         0.318
         0.076,         0.144,         0.317
         0.076,         0.144,         0.316
         0.076,         0.146,         0.316
         0.076,         0.146,         0.315
         0.076,         0.149,         0.315
         0.077,         0.149,         0.314
         0.077,         0.151,         0.313
         0.077,         0.151,         0.313
         0.078,         0.151,         0.311
         0.078,         0.154,         0.310
         0.078,         0.154,         0.310
         0.078,         0.154,         0.310
         0.079,         0.154,         0.309
         0.079,         0.154,         0.309
         0.080,         0.156,         0.308
         0.080,         0.159,         0.308
         0.080,         0.159,         0.307
         0.080,         0.161,         0.307
         0.081,         0.164,         0.307
         0.081,         0.164,         0.306
         0.082,         0.164,         0.305
         0.082,         0.166,         0.305
         0.083,         0.166,         0.305
         0.083,         0.169,         0.304
         0.083,         0.169,         0.304
         0.084,         0.171,         0.304
         0.085,         0.171,         0.302
         0.085,         0.176,         0.302
         0.086,         0.176,         0.302
         0.086,         0.176,         0.301
         0.087,         0.179,         0.301
         0.087,         0.179,         0.300
         0.087,         0.181,         0.300
         0.087,         0.181,         0.299
         0.088,         0.181,         0.299
         0.088,         0.181,         0.299
         0.089,         0.181,         0.298
         0.090,         0.181,         0.298
         0.090,         0.181,         0.297
         0.090,         0.181,         0.296
         0.091,         0.181,         0.296
         0.091,         0.184,         0.296
         0.091,         0.184,         0.295
         0.091,         0.184,         0.295
         0.092,         0.184,         0.295
         0.093,         0.184,         0.295
         0.093,         0.184,         0.294
         0.093,         0.184,         0.293
         0.093,         0.186,         0.293
         0.095,         0.189,         0.293
         0.095,         0.189,         0.292
         0.095,         0.189,         0.292
         0.097,         0.191,         0.291
         0.097,         0.191,         0.291
