false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.667
         0.000,         0.002,         0.667
         0.000,         0.021,         0.604
         0.000,         0.021,         0.602
         0.000,         0.026,         0.601
         0.000,         0.026,         0.598
         0.000,         0.028,         0.598
         0.001,         0.028,         0.590
         0.001,         0.030,         0.590
         0.002,         0.030,         0.586
         0.002,         0.033,         0.586
         0.003,         0.033,         0.584
         0.003,         0.037,         0.581
         0.003,         0.037,         0.580
         0.003,         0.044,         0.579
         0.003,         0.044,         0.579
         0.003,         0.047,         0.578
         0.004,         0.047,         0.575
         0.004,         0.049,         0.574
         0.004,         0.049,         0.573
         0.004,         0.052,         0.573
         0.004,         0.052,         0.570
         0.004,         0.054,         0.570
         0.004,         0.054,         0.570
         0.004,         0.056,         0.569
         0.005,         0.056,         0.567
         0.005,         0.063,         0.564
         0.006,         0.063,         0.563
         0.006,         0.070,         0.562
         0.006,         0.070,         0.561
         0.006,         0.073,         0.559
         0.008,         0.073,         0.555
         0.008,         0.075,         0.555
         0.008,         0.075,         0.554
         0.008,         0.080,         0.554
         0.010,         0.080,         0.553
         0.010,         0.082,         0.553
         0.011,         0.082,         0.550
         0.011,         0.084,         0.549
         0.011,         0.084,         0.548
         0.011,         0.087,         0.548
         0.012,         0.087,         0.545
         0.012,         0.089,         0.545
         0.013,         0.089,         0.543
         0.013,         0.091,         0.543
         0.013,         0.091,         0.543
         0.013,         0.096,         0.543
         0.014,         0.096,         0.542
         0.014,         0.098,         0.542
         0.014,         0.098,         0.541
         0.014,         0.101,         0.540
         0.015,         0.101,         0.540
         0.015,         0.103,         0.540
         0.015,         0.103,         0.539
         0.015,         0.105,         0.539
         0.016,         0.105,         0.538
         0.016,         0.110,         0.538
         0.016,         0.110,         0.538
         0.016,         0.112,         0.537
         0.016,         0.117,         0.537
         0.017,         0.117,         0.537
         0.017,         0.119,         0.537
         0.017,         0.119,         0.536
         0.017,         0.122,         0.536
         0.018,         0.122,         0.535
         0.018,         0.126,         0.534
         0.018,         0.126,         0.534
         0.018,         0.131,         0.533
         0.019,         0.133,         0.533
         0.020,         0.133,         0.531
         0.020,         0.138,         0.531
         0.021,         0.138,         0.529
         0.021,         0.141,         0.529
         0.021,         0.141,         0.529
         0.021,         0.143,         0.529
         0.022,         0.143,         0.528
         0.022,         0.145,         0.528
         0.023,         0.145,         0.526
         0.023,         0.148,         0.526
         0.023,         0.148,         0.525
         0.023,         0.155,         0.524
         0.024,         0.155,         0.522
         0.024,         0.159,         0.522
         0.024,         0.159,         0.522
         0.024,         0.162,         0.521
         0.025,         0.162,         0.521
         0.025,         0.171,         0.521
         0.025,         0.171,         0.520
         0.025,         0.173,         0.520
         0.025,         0.173,         0.518
         0.025,         0.180,         0.518
         0.026,         0.180,         0.517
         0.026,         0.185,         0.517
         0.026,         0.185,         0.516
         0.026,         0.190,         0.516
         0.027,         0.190,         0.515
         0.027,         0.190,         0.515
         0.027,         0.190,         0.515
         0.027,         0.194,         0.514
         0.028,         0.194,         0.514
         0.028,         0.197,         0.513
         0.028,         0.197,         0.513
         0.028,         0.199,         0.513
         0.029,         0.199,         0.513
         0.029,         0.201,         0.513
         0.029,         0.201,         0.513
         0.029,         0.208,         0.512
         0.030,         0.208,         0.510
         0.030,         0.211,         0.510
         0.031,         0.211,         0.510
         0.031,         0.213,         0.510
         0.032,         0.213,         0.509
         0.032,         0.218,         0.509
         0.033,         0.218,         0.508
         0.033,         0.220,         0.507
