false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.295
         0.000,         0.000,         0.295
         0.000,         0.000,         0.290
         0.000,         0.009,         0.261
         0.001,         0.009,         0.261
         0.001,         0.014,         0.259
         0.001,         0.014,         0.244
         0.001,         0.016,         0.243
         0.002,         0.016,         0.239
         0.002,         0.019,         0.238
         0.002,         0.019,         0.237
         0.002,         0.023,         0.235
         0.002,         0.023,         0.233
         0.002,         0.026,         0.229
         0.002,         0.026,         0.229
         0.002,         0.028,         0.228
         0.003,         0.028,         0.221
         0.003,         0.028,         0.221
         0.003,         0.030,         0.221
         0.003,         0.040,         0.220
         0.003,         0.040,         0.217
         0.003,         0.044,         0.215
         0.004,         0.047,         0.214
         0.004,         0.047,         0.211
         0.004,         0.049,         0.210
         0.004,         0.049,         0.210
         0.004,         0.052,         0.209
         0.005,         0.052,         0.207
         0.005,         0.056,         0.207
         0.005,         0.059,         0.205
         0.006,         0.059,         0.202
         0.006,         0.073,         0.201
         0.006,         0.073,         0.201
         0.006,         0.075,         0.201
         0.006,         0.075,         0.198
         0.006,         0.077,         0.198
         0.006,         0.077,         0.198
         0.006,         0.080,         0.197
         0.007,         0.080,         0.197
         0.007,         0.082,         0.196
         0.007,         0.082,         0.195
         0.007,         0.084,         0.194
         0.007,         0.084,         0.194
         0.007,         0.091,         0.191
         0.008,         0.091,         0.191
         0.008,         0.105,         0.189
         0.008,         0.105,         0.188
         0.008,         0.110,         0.188
         0.009,         0.110,         0.187
         0.009,         0.112,         0.186
         0.009,         0.112,         0.185
         0.009,         0.115,         0.185
         0.009,         0.115,         0.179
         0.009,         0.117,         0.177
         0.010,         0.117,         0.177
         0.010,         0.122,         0.176
         0.010,         0.122,         0.175
         0.010,         0.124,         0.175
         0.010,         0.124,         0.175
         0.010,         0.126,         0.174
         0.011,         0.126,         0.173
         0.011,         0.129,         0.173
         0.011,         0.129,         0.172
         0.011,         0.131,         0.171
         0.011,         0.131,         0.171
         0.012,         0.131,         0.171
         0.012,         0.131,         0.170
         0.012,         0.133,         0.170
         0.013,         0.133,         0.168
         0.013,         0.136,         0.168
         0.014,         0.136,         0.167
         0.014,         0.145,         0.166
         0.014,         0.145,         0.166
         0.015,         0.145,         0.165
         0.016,         0.145,         0.162
         0.016,         0.145,         0.161
         0.016,         0.150,         0.161
         0.016,         0.150,         0.160
         0.016,         0.152,         0.160
         0.017,         0.152,         0.158
         0.017,         0.162,         0.158
         0.018,         0.162,         0.156
         0.018,         0.166,         0.156
         0.018,         0.166,         0.154
         0.018,         0.171,         0.154
         0.019,         0.171,         0.154
         0.019,         0.176,         0.153
         0.019,         0.176,         0.152
         0.019,         0.178,         0.152
         0.019,         0.178,         0.152
         0.020,         0.178,         0.151
         0.020,         0.180,         0.151
         0.020,         0.180,         0.150
         0.020,         0.183,         0.149
         0.020,         0.183,         0.149
         0.020,         0.185,         0.148
         0.021,         0.185,         0.147
         0.021,         0.187,         0.147
         0.021,         0.187,         0.147
         0.021,         0.190,         0.147
         0.022,         0.190,         0.145
         0.022,         0.197,         0.144
         0.024,         0.197,         0.142
         0.024,         0.199,         0.142
         0.024,         0.199,         0.141
         0.024,         0.201,         0.141
         0.025,         0.201,         0.139
         0.025,         0.206,         0.139
         0.026,         0.206,         0.138
         0.026,         0.211,         0.137
         0.026,         0.211,         0.137
         0.026,         0.213,         0.137
         0.026,         0.213,         0.136
         0.026,         0.215,         0.136
         0.027,         0.215,         0.135
         0.027,         0.218,         0.135
         0.027,         0.218,         0.134
         0.027,         0.222,         0.133
         0.028,         0.222,         0.132
         0.028,         0.225,         0.132
         0.029,         0.225,         0.131
         0.029,         0.225,         0.129
         0.029,         0.227,         0.129
         0.029,         0.227,         0.128
         0.029,         0.230,         0.127
         0.030,         0.230,         0.127
         0.031,         0.255,         0.126
         0.031,         0.260,         0.126
         0.031,         0.260,         0.125
         0.031,         0.267,         0.124
         0.032,         0.267,         0.124
         0.032,         0.269,         0.123
         0.032,         0.269,         0.123
         0.032,         0.272,         0.122
         0.034,         0.272,         0.120
         0.035,         0.272,         0.120
         0.035,         0.272,         0.118
         0.035,         0.274,         0.118
         0.035,         0.274,         0.118
         0.036,         0.274,         0.117
         0.037,         0.274,         0.115
         0.038,         0.274,         0.113
         0.038,         0.274,         0.112
         0.038,         0.276,         0.112
         0.040,         0.276,         0.109
         0.040,         0.281,         0.109
         0.040,         0.286,         0.109
         0.040,         0.286,         0.109
         0.040,         0.290,         0.109
         0.041,         0.290,         0.107
         0.041,         0.293,         0.107
         0.041,         0.293,         0.106
         0.041,         0.295,         0.106
         0.042,         0.295,         0.105
         0.042,         0.297,         0.105
         0.044,         0.297,         0.101
         0.044,         0.300,         0.101
         0.045,         0.300,         0.099
         0.045,         0.302,         0.099
         0.045,         0.302,         0.099
         0.045,         0.307,         0.098
         0.046,         0.307,         0.098
         0.046,         0.314,         0.097
         0.048,         0.314,         0.092
         0.048,         0.316,         0.092
         0.049,         0.316,         0.090
         0.049,         0.319,         0.089
         0.050,         0.319,         0.089
         0.050,         0.321,         0.088
         0.050,         0.321,         0.088
         0.050,         0.323,         0.087
         0.050,         0.323,         0.087
         0.050,         0.328,         0.087
         0.050,         0.328,         0.086
         0.050,         0.330,         0.086
         0.051,         0.330,         0.086
         0.051,         0.333,         0.086
         0.051,         0.333,         0.085
         0.052,         0.333,         0.084
         0.052,         0.335,         0.084
         0.052,         0.335,         0.083
         0.052,         0.337,         0.082
         0.053,         0.340,         0.082
         0.053,         0.342,         0.082
         0.053,         0.342,         0.080
         0.053,         0.349,         0.079
         0.055,         0.349,         0.077
         0.057,         0.349,         0.077
         0.057,         0.349,         0.076
