false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.607
         0.001,         0.000,         0.607
         0.001,         0.000,         0.565
         0.001,         0.002,         0.557
         0.002,         0.002,         0.514
         0.002,         0.007,         0.508
         0.002,         0.007,         0.499
         0.002,         0.009,         0.484
         0.003,         0.009,         0.476
         0.003,         0.012,         0.471
         0.003,         0.014,         0.468
         0.003,         0.014,         0.458
         0.003,         0.016,         0.458
         0.020,         0.021,         0.455
         0.021,         0.023,         0.442
         0.021,         0.023,         0.439
         0.022,         0.023,         0.436
         0.022,         0.023,         0.433
         0.022,         0.026,         0.427
         0.022,         0.035,         0.417
         0.023,         0.035,         0.412
         0.023,         0.040,         0.408
         0.023,         0.040,         0.407
         0.023,         0.040,         0.405
         0.024,         0.040,         0.404
         0.028,         0.044,         0.404
         0.028,         0.044,         0.401
         0.029,         0.044,         0.398
         0.029,         0.044,         0.395
         0.030,         0.044,         0.393
         0.030,         0.047,         0.392
         0.030,         0.047,         0.387
         0.030,         0.049,         0.387
         0.031,         0.049,         0.384
         0.031,         0.052,         0.383
         0.031,         0.052,         0.380
         0.031,         0.054,         0.380
         0.031,         0.054,         0.378
         0.031,         0.054,         0.377
         0.032,         0.054,         0.376
         0.032,         0.054,         0.374
         0.032,         0.059,         0.374
         0.033,         0.059,         0.372
         0.034,         0.059,         0.369
         0.034,         0.061,         0.367
         0.034,         0.061,         0.367
         0.035,         0.061,         0.366
         0.035,         0.061,         0.364
         0.036,         0.061,         0.361
         0.036,         0.066,         0.358
         0.037,         0.066,         0.355
         0.038,         0.066,         0.353
         0.039,         0.066,         0.349
         0.039,         0.066,         0.349
         0.040,         0.066,         0.348
         0.040,         0.066,         0.347
         0.043,         0.066,         0.344
         0.044,         0.066,         0.343
         0.044,         0.066,         0.340
         0.046,         0.068,         0.340
         0.047,         0.068,         0.337
         0.047,         0.073,         0.335
         0.050,         0.075,         0.335
         0.050,         0.075,         0.333
         0.050,         0.075,         0.331
         0.055,         0.077,         0.331
         0.056,         0.077,         0.329
         0.056,         0.080,         0.328
         0.056,         0.080,         0.327
         0.067,         0.082,         0.326
         0.067,         0.082,         0.326
         0.067,         0.084,         0.322
         0.068,         0.084,         0.322
         0.069,         0.084,         0.320
         0.069,         0.084,         0.318
