false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.607
         0.000,         0.000,         0.607
         0.000,         0.002,         0.460
         0.004,         0.005,         0.455
         0.004,         0.012,         0.432
         0.004,         0.012,         0.425
         0.004,         0.014,         0.424
         0.005,         0.014,         0.423
         0.005,         0.023,         0.390
         0.005,         0.023,         0.384
         0.005,         0.026,         0.383
         0.006,         0.026,         0.372
         0.006,         0.035,         0.356
         0.006,         0.035,         0.353
         0.006,         0.037,         0.352
         0.007,         0.037,         0.344
         0.007,         0.042,         0.340
         0.007,         0.042,         0.339
         0.007,         0.047,         0.338
         0.007,         0.047,         0.337
         0.007,         0.049,         0.335
         0.007,         0.052,         0.333
         0.008,         0.052,         0.333
         0.008,         0.054,         0.332
         0.008,         0.054,         0.331
         0.009,         0.054,         0.330
         0.009,         0.054,         0.328
         0.009,         0.056,         0.326
         0.009,         0.059,         0.322
         0.010,         0.059,         0.322
         0.013,         0.061,         0.322
         0.013,         0.061,         0.320
         0.014,         0.061,         0.319
         0.014,         0.061,         0.312
         0.014,         0.063,         0.311
         0.014,         0.066,         0.311
         0.014,         0.068,         0.310
         0.014,         0.068,         0.308
         0.015,         0.070,         0.308
         0.015,         0.070,         0.306
         0.015,         0.073,         0.305
         0.015,         0.073,         0.305
         0.015,         0.073,         0.303
         0.015,         0.075,         0.303
         0.016,         0.075,         0.301
         0.017,         0.075,         0.295
         0.017,         0.075,         0.293
         0.017,         0.077,         0.292
         0.018,         0.077,         0.290
         0.018,         0.080,         0.289
         0.018,         0.080,         0.289
         0.019,         0.080,         0.288
         0.019,         0.080,         0.287
         0.020,         0.080,         0.285
         0.020,         0.082,         0.282
         0.020,         0.082,         0.281
         0.022,         0.082,         0.278
         0.022,         0.084,         0.278
         0.023,         0.087,         0.277
         0.023,         0.087,         0.276
         0.023,         0.087,         0.276
         0.023,         0.091,         0.275
         0.024,         0.091,         0.274
         0.024,         0.094,         0.274
         0.024,         0.094,         0.273
         0.024,         0.094,         0.272
         0.025,         0.094,         0.272
         0.025,         0.096,         0.270
         0.026,         0.096,         0.269
         0.027,         0.096,         0.269
         0.027,         0.096,         0.267
         0.027,         0.096,         0.266
         0.029,         0.096,         0.266
         0.029,         0.096,         0.264
         0.031,         0.096,         0.263
         0.032,         0.096,         0.259
         0.033,         0.096,         0.259
         0.033,         0.098,         0.258
         0.033,         0.098,         0.255
         0.034,         0.098,         0.255
         0.034,         0.098,         0.253
         0.035,         0.098,         0.252
         0.036,         0.101,         0.252
         0.036,         0.105,         0.250
         0.036,         0.105,         0.250
         0.037,         0.105,         0.249
         0.037,         0.105,         0.249
         0.037,         0.108,         0.249
         0.038,         0.108,         0.248
         0.038,         0.108,         0.247
         0.038,         0.108,         0.247
         0.038,         0.108,         0.245
         0.039,         0.108,         0.244
         0.040,         0.110,         0.243
         0.040,         0.110,         0.243
         0.040,         0.112,         0.243
         0.041,         0.112,         0.241
         0.042,         0.112,         0.240
         0.042,         0.112,         0.240
         0.042,         0.115,         0.240
         0.042,         0.115,         0.240
         0.042,         0.117,         0.240
         0.043,         0.117,         0.238
