false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.251
         0.000,         0.000,         0.251
         0.001,         0.000,         0.221
         0.001,         0.003,         0.218
         0.001,         0.003,         0.216
         0.001,         0.008,         0.209
         0.002,         0.008,         0.202
         0.002,         0.013,         0.200
         0.002,         0.013,         0.196
         0.002,         0.021,         0.193
         0.002,         0.021,         0.191
         0.002,         0.023,         0.191
         0.003,         0.023,         0.186
         0.003,         0.026,         0.184
         0.004,         0.026,         0.181
         0.004,         0.028,         0.180
         0.004,         0.028,         0.178
         0.004,         0.031,         0.178
         0.005,         0.031,         0.173
         0.005,         0.039,         0.171
         0.006,         0.039,         0.170
         0.006,         0.041,         0.170
         0.006,         0.041,         0.169
         0.006,         0.049,         0.166
         0.007,         0.049,         0.165
         0.007,         0.052,         0.164
         0.007,         0.052,         0.164
         0.007,         0.057,         0.164
         0.007,         0.057,         0.162
         0.007,         0.059,         0.162
         0.007,         0.059,         0.160
         0.007,         0.070,         0.158
         0.007,         0.070,         0.158
         0.007,         0.072,         0.157
         0.008,         0.072,         0.156
         0.008,         0.080,         0.155
         0.009,         0.080,         0.153
         0.009,         0.082,         0.152
         0.009,         0.082,         0.151
         0.009,         0.085,         0.151
         0.011,         0.085,         0.148
         0.011,         0.088,         0.148
         0.012,         0.088,         0.147
         0.012,         0.095,         0.145
         0.013,         0.095,         0.139
         0.013,         0.098,         0.139
         0.014,         0.098,         0.138
         0.014,         0.101,         0.137
         0.014,         0.101,         0.137
         0.014,         0.106,         0.136
         0.015,         0.106,         0.135
         0.015,         0.108,         0.135
         0.016,         0.108,         0.134
         0.016,         0.116,         0.133
         0.017,         0.116,         0.132
         0.017,         0.119,         0.131
         0.017,         0.119,         0.131
         0.017,         0.121,         0.131
         0.017,         0.121,         0.131
         0.017,         0.129,         0.130
         0.017,         0.129,         0.130
         0.017,         0.131,         0.130
         0.018,         0.131,         0.129
         0.018,         0.137,         0.129
         0.018,         0.137,         0.129
         0.018,         0.142,         0.128
         0.018,         0.142,         0.128
         0.018,         0.144,         0.128
         0.019,         0.144,         0.127
         0.019,         0.155,         0.126
         0.020,         0.155,         0.124
         0.020,         0.157,         0.124
         0.021,         0.157,         0.123
         0.021,         0.160,         0.122
         0.021,         0.160,         0.122
         0.021,         0.162,         0.122
         0.021,         0.162,         0.121
         0.021,         0.168,         0.120
         0.021,         0.168,         0.120
         0.021,         0.173,         0.120
         0.022,         0.173,         0.119
         0.022,         0.178,         0.119
         0.022,         0.178,         0.118
         0.022,         0.183,         0.118
         0.024,         0.183,         0.117
         0.024,         0.186,         0.116
         0.025,         0.186,         0.116
         0.025,         0.191,         0.115
         0.026,         0.191,         0.115
         0.026,         0.193,         0.115
         0.026,         0.193,         0.115
         0.026,         0.204,         0.114
         0.027,         0.204,         0.112
         0.027,         0.206,         0.112
         0.028,         0.206,         0.110
         0.028,         0.216,         0.110
         0.028,         0.216,         0.110
         0.028,         0.222,         0.109
         0.028,         0.222,         0.109
         0.028,         0.224,         0.108
         0.029,         0.224,         0.108
         0.029,         0.227,         0.107
         0.029,         0.227,         0.106
         0.029,         0.229,         0.106
         0.031,         0.229,         0.104
         0.031,         0.232,         0.104
         0.031,         0.232,         0.102
         0.031,         0.235,         0.102
         0.032,         0.235,         0.101
         0.032,         0.237,         0.101
         0.033,         0.237,         0.100
         0.033,         0.240,         0.100
         0.033,         0.240,         0.099
         0.033,         0.242,         0.099
         0.033,         0.242,         0.099
         0.033,         0.245,         0.098
         0.034,         0.245,         0.098
         0.034,         0.250,         0.098
         0.034,         0.250,         0.098
         0.034,         0.255,         0.097
         0.034,         0.255,         0.097
         0.034,         0.260,         0.097
         0.035,         0.260,         0.096
         0.035,         0.263,         0.096
         0.035,         0.263,         0.096
         0.035,         0.265,         0.095
         0.036,         0.265,         0.095
         0.036,         0.268,         0.094
         0.036,         0.268,         0.094
         0.036,         0.271,         0.094
         0.037,         0.271,         0.092
         0.037,         0.276,         0.092
         0.037,         0.276,         0.091
         0.037,         0.281,         0.090
         0.038,         0.281,         0.090
         0.038,         0.286,         0.089
         0.039,         0.286,         0.088
         0.039,         0.294,         0.088
         0.042,         0.294,         0.085
         0.042,         0.296,         0.085
         0.042,         0.296,         0.085
         0.042,         0.299,         0.084
         0.043,         0.299,         0.083
         0.043,         0.304,         0.083
         0.044,         0.304,         0.082
         0.044,         0.309,         0.081
         0.044,         0.309,         0.081
         0.044,         0.312,         0.081
         0.045,         0.312,         0.081
         0.045,         0.314,         0.081
         0.045,         0.314,         0.079
         0.045,         0.317,         0.079
         0.046,         0.317,         0.078
         0.046,         0.320,         0.078
         0.047,         0.320,         0.077
         0.047,         0.325,         0.077
         0.048,         0.325,         0.075
         0.048,         0.327,         0.075
         0.049,         0.327,         0.075
         0.049,         0.330,         0.075
         0.050,         0.330,         0.073
         0.050,         0.335,         0.073
         0.050,         0.335,         0.073
         0.050,         0.338,         0.073
         0.051,         0.338,         0.072
         0.051,         0.340,         0.071
         0.052,         0.340,         0.071
         0.052,         0.343,         0.071
         0.052,         0.343,         0.071
         0.052,         0.348,         0.070
         0.052,         0.348,         0.070
         0.052,         0.351,         0.070
         0.054,         0.351,         0.069
         0.054,         0.353,         0.069
         0.054,         0.353,         0.068
         0.054,         0.358,         0.068
         0.055,         0.358,         0.067
         0.055,         0.361,         0.067
         0.056,         0.361,         0.065
         0.056,         0.369,         0.064
         0.056,         0.369,         0.064
         0.056,         0.374,         0.064
         0.057,         0.374,         0.064
         0.057,         0.376,         0.063
         0.057,         0.376,         0.063
         0.057,         0.379,         0.063
         0.057,         0.379,         0.063
         0.057,         0.381,         0.063
         0.058,         0.381,         0.062
         0.058,         0.392,         0.061
         0.059,         0.392,         0.061
         0.059,         0.397,         0.060
         0.061,         0.397,         0.058
         0.061,         0.399,         0.058
         0.062,         0.399,         0.057
         0.062,         0.402,         0.057
         0.063,         0.402,         0.057
         0.063,         0.405,         0.056
         0.063,         0.405,         0.055
         0.063,         0.410,         0.055
         0.065,         0.410,         0.053
         0.065,         0.418,         0.053
         0.066,         0.418,         0.052
         0.066,         0.420,         0.052
         0.067,         0.420,         0.050
         0.067,         0.423,         0.050
         0.069,         0.423,         0.049
         0.069,         0.425,         0.048
         0.070,         0.425,         0.047
         0.070,         0.428,         0.047
         0.072,         0.428,         0.045
         0.072,         0.430,         0.045
         0.072,         0.430,         0.045
         0.072,         0.433,         0.045
         0.074,         0.433,         0.042
         0.074,         0.436,         0.042
         0.074,         0.436,         0.042
         0.074,         0.438,         0.042
         0.075,         0.438,         0.040
         0.075,         0.441,         0.040
         0.077,         0.441,         0.039
         0.077,         0.446,         0.039
         0.081,         0.446,         0.035
         0.081,         0.448,         0.034
         0.083,         0.448,         0.034
         0.083,         0.451,         0.033
         0.083,         0.451,         0.033
         0.083,         0.454,         0.033
         0.085,         0.454,         0.030
         0.085,         0.456,         0.030
         0.086,         0.456,         0.029
         0.086,         0.459,         0.029
         0.087,         0.459,         0.028
         0.087,         0.464,         0.028
         0.087,         0.464,         0.028
         0.087,         0.469,         0.028
         0.087,         0.469,         0.028
         0.088,         0.469,         0.028
         0.088,         0.469,         0.027
         0.088,         0.474,         0.027
         0.089,         0.474,         0.027
         0.089,         0.477,         0.027
         0.090,         0.477,         0.026
         0.090,         0.479,         0.026
         0.092,         0.479,         0.024
         0.092,         0.482,         0.024
         0.092,         0.482,         0.024
         0.092,         0.485,         0.024
         0.092,         0.485,         0.024
         0.092,         0.487,         0.023
         0.093,         0.487,         0.023
         0.093,         0.490,         0.022
         0.093,         0.490,         0.022
         0.093,         0.492,         0.022
         0.093,         0.492,         0.022
         0.093,         0.495,         0.022
         0.093,         0.495,         0.021
         0.093,         0.497,         0.021
         0.094,         0.497,         0.021
         0.094,         0.500,         0.021
         0.094,         0.500,         0.021
         0.094,         0.503,         0.021
         0.095,         0.503,         0.020
         0.095,         0.508,         0.019
         0.096,         0.508,         0.017
         0.096,         0.510,         0.016
         0.097,         0.510,         0.016
         0.097,         0.513,         0.016
         0.097,         0.513,         0.015
         0.097,         0.521,         0.015
         0.098,         0.521,         0.014
         0.098,         0.523,         0.014
         0.098,         0.523,         0.013
         0.098,         0.528,         0.013
         0.098,         0.528,         0.013
         0.098,         0.531,         0.013
         0.099,         0.531,         0.012
         0.099,         0.534,         0.012
         0.100,         0.534,         0.010
         0.100,         0.536,         0.009
         0.100,         0.536,         0.009
         0.100,         0.539,         0.009
         0.101,         0.539,         0.009
         0.101,         0.541,         0.008
         0.102,         0.541,         0.006
         0.102,         0.544,         0.006
         0.103,         0.544,         0.006
         0.103,         0.546,         0.006
         0.104,         0.546,         0.005
         0.104,         0.552,         0.004
         0.105,         0.552,         0.004
         0.105,         0.554,         0.004
         0.105,         0.554,         0.003
         0.105,         0.557,         0.003
         0.107,         0.557,         0.002
         0.107,         0.559,         0.002
         0.107,         0.559,         0.002
         0.107,         0.562,         0.002
         0.108,         0.562,         0.001
         0.108,         0.564,         0.001
         0.109,         0.564,        -0.001
         0.109,         0.567,        -0.001
         0.111,         0.567,        -0.002
         0.111,         0.570,        -0.002
         0.111,         0.570,        -0.003
         0.111,         0.572,        -0.003
         0.112,         0.572,        -0.003
         0.112,         0.577,        -0.003
         0.112,         0.577,        -0.003
         0.112,         0.580,        -0.003
         0.113,         0.580,        -0.004
         0.113,         0.582,        -0.004
         0.113,         0.582,        -0.004
         0.113,         0.585,        -0.004
         0.114,         0.585,        -0.005
         0.114,         0.588,        -0.005
         0.119,         0.588,        -0.009
         0.119,         0.590,        -0.009
         0.120,         0.590,        -0.010
         0.120,         0.593,        -0.010
         0.120,         0.593,        -0.010
         0.120,         0.595,        -0.010
         0.121,         0.595,        -0.011
         0.121,         0.598,        -0.011
         0.121,         0.598,        -0.012
         0.121,         0.601,        -0.012
         0.124,         0.601,        -0.013
         0.124,         0.603,        -0.013
         0.124,         0.603,        -0.013
         0.124,         0.606,        -0.014
         0.125,         0.606,        -0.014
         0.125,         0.608,        -0.014
         0.127,         0.608,        -0.016
         0.127,         0.611,        -0.016
         0.130,         0.611,        -0.018
         0.130,         0.613,        -0.018
         0.131,         0.613,        -0.019
         0.131,         0.616,        -0.019
         0.131,         0.616,        -0.020
         0.131,         0.619,        -0.020
         0.133,         0.619,        -0.022
         0.133,         0.621,        -0.022
         0.134,         0.621,        -0.023
         0.134,         0.624,        -0.023
         0.135,         0.624,        -0.024
         0.135,         0.626,        -0.024
