false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.764
         0.000,         0.000,         0.764
         0.001,         0.000,         0.734
         0.001,         0.003,         0.731
         0.001,         0.003,         0.730
         0.001,         0.008,         0.722
         0.002,         0.008,         0.715
         0.002,         0.013,         0.713
         0.002,         0.013,         0.709
         0.002,         0.021,         0.706
         0.002,         0.021,         0.704
         0.002,         0.023,         0.704
         0.003,         0.023,         0.699
         0.003,         0.026,         0.697
         0.004,         0.026,         0.694
         0.004,         0.028,         0.693
         0.004,         0.028,         0.691
         0.004,         0.031,         0.691
         0.005,         0.031,         0.686
         0.005,         0.039,         0.685
         0.006,         0.039,         0.683
         0.006,         0.041,         0.683
         0.006,         0.041,         0.682
         0.006,         0.049,         0.679
         0.007,         0.049,         0.678
         0.007,         0.052,         0.677
         0.007,         0.052,         0.677
         0.007,         0.057,         0.677
         0.007,         0.057,         0.675
         0.007,         0.059,         0.675
         0.007,         0.059,         0.673
         0.007,         0.070,         0.671
         0.007,         0.070,         0.671
         0.007,         0.072,         0.670
         0.008,         0.072,         0.669
         0.008,         0.080,         0.668
         0.009,         0.080,         0.666
         0.009,         0.082,         0.665
         0.009,         0.082,         0.664
         0.009,         0.085,         0.664
         0.011,         0.085,         0.662
         0.011,         0.088,         0.661
         0.012,         0.088,         0.660
         0.012,         0.095,         0.658
         0.013,         0.095,         0.652
         0.013,         0.098,         0.652
         0.014,         0.098,         0.651
         0.014,         0.101,         0.650
         0.014,         0.101,         0.650
         0.014,         0.106,         0.649
         0.015,         0.106,         0.648
         0.015,         0.108,         0.648
         0.016,         0.108,         0.647
         0.016,         0.116,         0.646
         0.017,         0.116,         0.645
         0.017,         0.119,         0.644
         0.017,         0.119,         0.644
         0.017,         0.121,         0.644
         0.017,         0.121,         0.644
         0.017,         0.129,         0.643
         0.017,         0.129,         0.643
         0.017,         0.131,         0.643
         0.018,         0.131,         0.642
         0.018,         0.137,         0.642
         0.018,         0.137,         0.642
         0.018,         0.142,         0.641
         0.018,         0.142,         0.641
         0.018,         0.144,         0.641
         0.019,         0.144,         0.640
         0.019,         0.155,         0.639
         0.020,         0.155,         0.637
         0.020,         0.157,         0.637
         0.021,         0.157,         0.636
         0.021,         0.160,         0.635
         0.021,         0.160,         0.635
         0.021,         0.162,         0.635
         0.021,         0.162,         0.635
         0.021,         0.168,         0.633
         0.021,         0.168,         0.633
         0.021,         0.173,         0.633
         0.022,         0.173,         0.632
         0.022,         0.178,         0.632
         0.022,         0.178,         0.631
         0.022,         0.183,         0.631
         0.024,         0.183,         0.630
         0.024,         0.186,         0.629
         0.025,         0.186,         0.629
         0.025,         0.191,         0.628
         0.026,         0.191,         0.628
         0.026,         0.193,         0.628
         0.026,         0.193,         0.628
         0.026,         0.204,         0.627
         0.027,         0.204,         0.625
         0.027,         0.206,         0.625
         0.028,         0.206,         0.624
         0.028,         0.216,         0.623
         0.028,         0.216,         0.623
         0.028,         0.222,         0.622
         0.028,         0.222,         0.622
         0.028,         0.224,         0.621
         0.029,         0.224,         0.621
         0.029,         0.227,         0.620
         0.029,         0.227,         0.619
         0.029,         0.229,         0.619
         0.031,         0.229,         0.617
         0.031,         0.232,         0.617
         0.031,         0.232,         0.615
         0.031,         0.235,         0.615
         0.032,         0.235,         0.614
         0.032,         0.237,         0.614
         0.033,         0.237,         0.613
         0.033,         0.240,         0.613
         0.033,         0.240,         0.612
         0.033,         0.242,         0.612
         0.033,         0.242,         0.612
         0.033,         0.245,         0.611
         0.034,         0.245,         0.611
         0.034,         0.250,         0.611
         0.034,         0.250,         0.611
         0.034,         0.255,         0.610
         0.034,         0.255,         0.610
         0.034,         0.260,         0.610
         0.035,         0.260,         0.610
         0.035,         0.263,         0.609
         0.035,         0.263,         0.609
         0.035,         0.265,         0.608
         0.036,         0.265,         0.608
         0.036,         0.268,         0.607
         0.036,         0.268,         0.607
         0.036,         0.271,         0.607
         0.037,         0.271,         0.605
         0.037,         0.276,         0.605
         0.037,         0.276,         0.604
         0.037,         0.281,         0.603
         0.038,         0.281,         0.603
         0.038,         0.286,         0.602
         0.039,         0.286,         0.601
         0.039,         0.294,         0.601
         0.042,         0.294,         0.598
         0.042,         0.296,         0.598
         0.042,         0.296,         0.598
         0.042,         0.299,         0.597
         0.043,         0.299,         0.596
         0.043,         0.304,         0.596
         0.044,         0.304,         0.595
         0.044,         0.309,         0.594
         0.044,         0.309,         0.594
         0.044,         0.312,         0.594
         0.045,         0.312,         0.594
         0.045,         0.314,         0.594
         0.045,         0.314,         0.592
