false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.809
         0.000,         0.003,         0.809
         0.000,         0.013,         0.772
         0.000,         0.013,         0.769
         0.000,         0.015,         0.767
         0.000,         0.015,         0.765
         0.000,         0.023,         0.758
         0.001,         0.023,         0.757
         0.001,         0.038,         0.748
         0.001,         0.038,         0.746
         0.001,         0.048,         0.742
         0.001,         0.048,         0.740
         0.001,         0.051,         0.740
         0.001,         0.051,         0.737
         0.001,         0.058,         0.732
         0.002,         0.058,         0.732
         0.002,         0.066,         0.728
         0.002,         0.066,         0.723
         0.002,         0.076,         0.718
         0.002,         0.076,         0.715
         0.002,         0.083,         0.713
         0.002,         0.083,         0.713
         0.002,         0.086,         0.712
         0.003,         0.086,         0.710
         0.003,         0.088,         0.710
         0.003,         0.088,         0.710
         0.003,         0.091,         0.709
         0.003,         0.091,         0.707
         0.003,         0.098,         0.704
         0.003,         0.098,         0.704
         0.003,         0.104,         0.703
         0.004,         0.104,         0.702
         0.004,         0.106,         0.702
         0.004,         0.106,         0.701
         0.004,         0.109,         0.701
         0.004,         0.109,         0.700
         0.004,         0.111,         0.698
         0.005,         0.111,         0.695
         0.005,         0.114,         0.694
         0.006,         0.114,         0.694
         0.006,         0.116,         0.693
         0.006,         0.116,         0.693
         0.006,         0.119,         0.692
         0.006,         0.119,         0.692
         0.006,         0.126,         0.691
         0.007,         0.126,         0.689
         0.007,         0.131,         0.688
         0.007,         0.131,         0.688
         0.007,         0.139,         0.686
         0.008,         0.139,         0.686
         0.008,         0.149,         0.684
         0.008,         0.149,         0.683
         0.008,         0.152,         0.683
         0.008,         0.152,         0.682
         0.008,         0.154,         0.682
         0.009,         0.154,         0.682
         0.009,         0.164,         0.680
         0.009,         0.164,         0.679
         0.009,         0.167,         0.678
         0.010,         0.167,         0.675
         0.010,         0.172,         0.673
         0.010,         0.172,         0.673
         0.010,         0.174,         0.673
         0.011,         0.174,         0.673
         0.011,         0.177,         0.672
         0.012,         0.177,         0.670
         0.012,         0.197,         0.666
         0.013,         0.197,         0.663
         0.013,         0.205,         0.662
         0.013,         0.205,         0.662
         0.013,         0.207,         0.662
         0.013,         0.207,         0.661
         0.013,         0.210,         0.661
         0.014,         0.210,         0.657
         0.014,         0.212,         0.657
         0.015,         0.212,         0.657
         0.015,         0.215,         0.656
         0.015,         0.215,         0.654
         0.015,         0.232,         0.649
         0.015,         0.232,         0.648
         0.015,         0.235,         0.648
         0.016,         0.235,         0.648
         0.016,         0.240,         0.647
         0.016,         0.240,         0.646
         0.016,         0.242,         0.646
         0.016,         0.242,         0.645
         0.016,         0.250,         0.644
         0.016,         0.250,         0.644
         0.016,         0.253,         0.643
         0.017,         0.253,         0.642
         0.017,         0.255,         0.642
         0.018,         0.255,         0.640
         0.018,         0.260,         0.639
         0.019,         0.260,         0.639
         0.019,         0.263,         0.638
         0.019,         0.263,         0.638
         0.019,         0.270,         0.637
         0.019,         0.270,         0.637
         0.019,         0.273,         0.637
         0.020,         0.273,         0.637
         0.020,         0.280,         0.636
         0.021,         0.280,         0.635
         0.021,         0.285,         0.634
         0.021,         0.285,         0.634
         0.021,         0.290,         0.634
         0.022,         0.290,         0.633
         0.022,         0.293,         0.633
         0.022,         0.293,         0.632
