false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.889
         0.000,         0.003,         0.889
         0.000,         0.005,         0.837
         0.000,         0.005,         0.835
         0.000,         0.008,         0.827
         0.000,         0.008,         0.824
         0.000,         0.043,         0.797
         0.001,         0.043,         0.786
         0.001,         0.045,         0.784
         0.002,         0.045,         0.780
         0.002,         0.051,         0.778
         0.002,         0.051,         0.777
         0.002,         0.053,         0.774
         0.002,         0.053,         0.773
         0.002,         0.063,         0.768
         0.002,         0.063,         0.767
         0.002,         0.066,         0.766
         0.002,         0.066,         0.765
         0.002,         0.076,         0.759
         0.003,         0.076,         0.758
         0.003,         0.078,         0.756
         0.003,         0.078,         0.755
         0.004,         0.091,         0.755
         0.004,         0.098,         0.754
         0.005,         0.098,         0.751
         0.005,         0.119,         0.744
         0.005,         0.119,         0.741
         0.005,         0.141,         0.736
         0.006,         0.141,         0.735
         0.006,         0.154,         0.733
         0.006,         0.154,         0.733
         0.006,         0.162,         0.731
         0.006,         0.162,         0.729
         0.006,         0.167,         0.729
         0.007,         0.167,         0.728
         0.007,         0.169,         0.727
         0.007,         0.169,         0.726
         0.007,         0.174,         0.726
         0.007,         0.174,         0.725
         0.007,         0.177,         0.724
         0.007,         0.177,         0.724
         0.007,         0.179,         0.723
         0.008,         0.179,         0.723
         0.008,         0.187,         0.722
         0.008,         0.187,         0.722
         0.008,         0.194,         0.721
         0.008,         0.194,         0.721
         0.008,         0.197,         0.721
         0.008,         0.197,         0.720
         0.008,         0.199,         0.720
         0.008,         0.199,         0.719
         0.008,         0.202,         0.719
         0.009,         0.202,         0.719
         0.009,         0.205,         0.719
         0.009,         0.205,         0.719
         0.009,         0.207,         0.719
         0.009,         0.207,         0.717
         0.009,         0.215,         0.716
         0.009,         0.215,         0.715
         0.009,         0.217,         0.715
         0.010,         0.217,         0.715
         0.010,         0.220,         0.714
         0.011,         0.220,         0.712
         0.011,         0.222,         0.712
         0.011,         0.222,         0.712
         0.011,         0.225,         0.712
         0.011,         0.225,         0.711
         0.011,         0.235,         0.710
         0.011,         0.235,         0.710
         0.011,         0.242,         0.708
         0.011,         0.242,         0.708
         0.011,         0.245,         0.708
         0.012,         0.245,         0.708
         0.012,         0.247,         0.707
         0.012,         0.247,         0.706
         0.012,         0.253,         0.705
