false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.676
         0.013,         0.020,         0.676
         0.013,         0.020,         0.605
         0.013,         0.023,         0.582
         0.014,         0.023,         0.536
         0.015,         0.023,         0.535
         0.015,         0.025,         0.533
         0.016,         0.025,         0.511
         0.017,         0.025,         0.511
         0.017,         0.025,         0.508
         0.017,         0.025,         0.506
         0.017,         0.025,         0.499
         0.018,         0.025,         0.498
         0.018,         0.025,         0.496
         0.019,         0.025,         0.493
         0.020,         0.025,         0.493
         0.020,         0.028,         0.491
         0.020,         0.030,         0.491
         0.022,         0.033,         0.488
         0.025,         0.033,         0.486
         0.028,         0.035,         0.483
         0.028,         0.035,         0.482
         0.033,         0.035,         0.481
         0.033,         0.040,         0.478
         0.034,         0.040,         0.472
         0.034,         0.040,         0.470
         0.035,         0.040,         0.460
         0.036,         0.040,         0.458
         0.036,         0.040,         0.455
         0.036,         0.040,         0.454
         0.036,         0.043,         0.453
         0.037,         0.043,         0.450
         0.037,         0.043,         0.449
         0.038,         0.043,         0.448
         0.039,         0.043,         0.440
         0.039,         0.045,         0.439
         0.039,         0.045,         0.439
         0.039,         0.045,         0.437
         0.040,         0.045,         0.435
         0.040,         0.045,         0.433
         0.040,         0.045,         0.429
         0.041,         0.045,         0.429
         0.042,         0.045,         0.426
         0.042,         0.045,         0.426
         0.042,         0.045,         0.423
         0.043,         0.045,         0.421
         0.043,         0.048,         0.421
         0.044,         0.048,         0.421
         0.044,         0.051,         0.420
         0.045,         0.051,         0.417
         0.045,         0.051,         0.416
         0.045,         0.051,         0.416
         0.045,         0.053,         0.415
         0.046,         0.053,         0.415
         0.046,         0.053,         0.414
         0.046,         0.056,         0.413
         0.047,         0.056,         0.413
         0.047,         0.056,         0.412
         0.048,         0.056,         0.411
         0.049,         0.056,         0.411
         0.049,         0.056,         0.411
         0.049,         0.056,         0.409
         0.051,         0.056,         0.409
         0.051,         0.056,         0.407
         0.052,         0.056,         0.407
         0.052,         0.058,         0.405
         0.052,         0.058,         0.405
         0.054,         0.058,         0.405
         0.054,         0.058,         0.404
         0.057,         0.058,         0.403
         0.057,         0.058,         0.402
         0.057,         0.061,         0.402
         0.059,         0.063,         0.401
         0.059,         0.068,         0.401
         0.059,         0.068,         0.400
         0.059,         0.068,         0.400
         0.060,         0.068,         0.399
         0.062,         0.068,         0.399
         0.062,         0.068,         0.398
         0.062,         0.071,         0.397
         0.064,         0.071,         0.397
         0.064,         0.071,         0.395
         0.064,         0.071,         0.395
         0.067,         0.071,         0.394
         0.067,         0.073,         0.394
         0.067,         0.073,         0.394
         0.067,         0.076,         0.393
         0.067,         0.076,         0.393
         0.067,         0.078,         0.392
         0.068,         0.078,         0.391
         0.069,         0.078,         0.388
         0.070,         0.078,         0.388
         0.070,         0.081,         0.387
