false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.676
         0.003,         0.018,         0.676
         0.003,         0.020,         0.582
         0.003,         0.020,         0.558
         0.004,         0.020,         0.535
         0.005,         0.020,         0.496
         0.005,         0.020,         0.493
         0.005,         0.025,         0.491
         0.005,         0.025,         0.488
         0.006,         0.025,         0.486
         0.006,         0.025,         0.483
         0.007,         0.025,         0.481
         0.009,         0.028,         0.478
         0.010,         0.028,         0.437
         0.010,         0.030,         0.435
         0.011,         0.030,         0.431
         0.011,         0.030,         0.429
         0.011,         0.033,         0.429
         0.011,         0.033,         0.425
         0.011,         0.035,         0.420
         0.012,         0.035,         0.417
         0.012,         0.038,         0.415
         0.012,         0.038,         0.413
         0.012,         0.038,         0.411
         0.013,         0.038,         0.403
         0.013,         0.040,         0.402
         0.014,         0.040,         0.400
         0.014,         0.043,         0.399
         0.014,         0.043,         0.398
         0.015,         0.043,         0.397
         0.015,         0.045,         0.394
         0.015,         0.045,         0.393
         0.016,         0.045,         0.392
         0.016,         0.045,         0.391
         0.018,         0.045,         0.390
         0.018,         0.048,         0.390
         0.018,         0.048,         0.382
         0.019,         0.048,         0.379
         0.019,         0.053,         0.378
         0.019,         0.056,         0.375
         0.019,         0.056,         0.374
         0.019,         0.058,         0.372
         0.020,         0.058,         0.372
         0.020,         0.061,         0.369
         0.021,         0.061,         0.363
         0.021,         0.063,         0.363
         0.021,         0.063,         0.360
         0.022,         0.063,         0.359
         0.022,         0.068,         0.358
         0.022,         0.068,         0.358
         0.022,         0.068,         0.358
         0.023,         0.068,         0.356
         0.023,         0.068,         0.355
         0.024,         0.068,         0.354
         0.024,         0.068,         0.351
         0.025,         0.073,         0.350
         0.025,         0.073,         0.350
         0.026,         0.073,         0.349
         0.026,         0.076,         0.349
         0.026,         0.076,         0.348
         0.026,         0.078,         0.347
         0.026,         0.078,         0.347
         0.026,         0.081,         0.347
         0.027,         0.081,         0.347
         0.027,         0.083,         0.345
         0.027,         0.083,         0.345
         0.027,         0.086,         0.345
         0.027,         0.086,         0.344
         0.027,         0.088,         0.344
         0.028,         0.088,         0.342
         0.028,         0.091,         0.341
         0.028,         0.091,         0.340
         0.029,         0.091,         0.340
         0.029,         0.098,         0.338
         0.031,         0.098,         0.338
         0.031,         0.098,         0.337
         0.031,         0.098,         0.337
         0.031,         0.101,         0.336
         0.032,         0.101,         0.336
         0.032,         0.104,         0.335
         0.032,         0.104,         0.335
         0.032,         0.106,         0.335
         0.032,         0.106,         0.334
         0.032,         0.106,         0.333
         0.032,         0.109,         0.333
         0.033,         0.109,         0.332
         0.034,         0.109,         0.331
         0.034,         0.111,         0.330
         0.034,         0.111,         0.330
         0.034,         0.111,         0.329
         0.034,         0.114,         0.329
         0.035,         0.114,         0.327
         0.035,         0.116,         0.326
         0.035,         0.116,         0.326
         0.035,         0.116,         0.325
         0.036,         0.116,         0.323
         0.036,         0.121,         0.322
         0.036,         0.124,         0.322
         0.036,         0.124,         0.322
         0.036,         0.126,         0.322
         0.036,         0.126,         0.321
         0.036,         0.129,         0.320
         0.037,         0.129,         0.320
         0.037,         0.131,         0.320
         0.037,         0.131,         0.319
         0.037,         0.131,         0.319
         0.037,         0.131,         0.318
         0.038,         0.131,         0.318
         0.038,         0.131,         0.318
         0.038,         0.134,         0.317
         0.038,         0.134,         0.317
         0.039,         0.134,         0.314
         0.040,         0.134,         0.314
         0.040,         0.136,         0.313
         0.040,         0.136,         0.312
         0.041,         0.136,         0.312
         0.041,         0.136,         0.312
         0.041,         0.139,         0.312
         0.042,         0.139,         0.311
         0.042,         0.139,         0.310
         0.042,         0.141,         0.310
         0.043,         0.141,         0.310
         0.043,         0.141,         0.310
         0.043,         0.144,         0.309
         0.044,         0.144,         0.309
         0.045,         0.146,         0.309
         0.045,         0.146,         0.308
         0.046,         0.146,         0.307
         0.047,         0.149,         0.306
         0.047,         0.149,         0.306
         0.047,         0.152,         0.306
         0.048,         0.152,         0.306
         0.048,         0.152,         0.305
         0.048,         0.157,         0.305
         0.048,         0.157,         0.305
         0.048,         0.159,         0.304
         0.049,         0.159,         0.304
         0.049,         0.159,         0.303
         0.049,         0.162,         0.303
         0.049,         0.162,         0.303
         0.050,         0.162,         0.302
         0.050,         0.162,         0.302
         0.051,         0.162,         0.300
         0.052,         0.162,         0.299
         0.052,         0.162,         0.299
         0.053,         0.164,         0.298
         0.053,         0.164,         0.298
         0.054,         0.164,         0.298
         0.054,         0.164,         0.297
         0.054,         0.167,         0.297
         0.054,         0.167,         0.296
         0.054,         0.169,         0.296
         0.055,         0.169,         0.295
         0.056,         0.169,         0.294
         0.056,         0.169,         0.293
         0.057,         0.169,         0.292
         0.057,         0.172,         0.292
         0.057,         0.172,         0.291
         0.058,         0.172,         0.290
         0.058,         0.172,         0.290
         0.058,         0.174,         0.290
         0.058,         0.174,         0.289
         0.059,         0.174,         0.289
         0.059,         0.177,         0.288
         0.060,         0.177,         0.288
         0.061,         0.177,         0.286
         0.061,         0.177,         0.286
         0.062,         0.182,         0.286
         0.062,         0.182,         0.285
         0.063,         0.182,         0.285
         0.063,         0.182,         0.284
         0.063,         0.182,         0.284
         0.063,         0.184,         0.284
         0.064,         0.184,         0.284
         0.064,         0.184,         0.283
         0.064,         0.187,         0.283
         0.064,         0.192,         0.283
         0.065,         0.192,         0.280
         0.065,         0.194,         0.280
         0.065,         0.194,         0.280
         0.066,         0.194,         0.280
         0.067,         0.194,         0.279
         0.067,         0.194,         0.279
         0.068,         0.194,         0.279
         0.068,         0.199,         0.279
         0.068,         0.199,         0.278
         0.068,         0.199,         0.278
         0.068,         0.202,         0.278
         0.069,         0.202,         0.277
         0.069,         0.202,         0.277
         0.069,         0.205,         0.277
         0.070,         0.205,         0.277
         0.070,         0.207,         0.276
         0.070,         0.207,         0.276
         0.071,         0.207,         0.274
         0.072,         0.207,         0.274
         0.072,         0.207,         0.274
         0.072,         0.207,         0.273
         0.072,         0.207,         0.273
         0.072,         0.210,         0.273
         0.073,         0.210,         0.272
         0.073,         0.210,         0.272
         0.074,         0.210,         0.271
         0.074,         0.210,         0.271
         0.075,         0.210,         0.271
         0.075,         0.210,         0.270
         0.077,         0.210,         0.270
         0.077,         0.210,         0.269
         0.077,         0.210,         0.269
         0.077,         0.212,         0.269
         0.078,         0.212,         0.269
         0.079,         0.212,         0.268
         0.079,         0.212,         0.268
         0.079,         0.212,         0.268
         0.080,         0.212,         0.267
         0.080,         0.215,         0.267
         0.080,         0.215,         0.267
         0.080,         0.215,         0.266
         0.081,         0.215,         0.266
         0.081,         0.215,         0.265
         0.082,         0.215,         0.265
         0.082,         0.215,         0.265
         0.082,         0.215,         0.264
         0.083,         0.215,         0.264
         0.083,         0.217,         0.264
         0.083,         0.217,         0.264
         0.083,         0.217,         0.264
         0.083,         0.217,         0.263
         0.084,         0.217,         0.263
         0.084,         0.217,         0.263
         0.085,         0.217,         0.262
         0.086,         0.217,         0.262
         0.086,         0.217,         0.262
         0.087,         0.217,         0.261
         0.087,         0.217,         0.261
         0.087,         0.220,         0.261
         0.087,         0.222,         0.260
         0.087,         0.222,         0.260
         0.088,         0.225,         0.260
         0.089,         0.225,         0.260
         0.089,         0.225,         0.259
         0.090,         0.225,         0.258
         0.090,         0.225,         0.258
         0.091,         0.227,         0.258
         0.091,         0.227,         0.258
         0.092,         0.227,         0.257
         0.092,         0.232,         0.257
         0.092,         0.232,         0.257
         0.092,         0.237,         0.256
         0.092,         0.237,         0.256
         0.093,         0.237,         0.256
         0.093,         0.237,         0.255
         0.093,         0.240,         0.255
         0.094,         0.240,         0.254
         0.094,         0.240,         0.254
         0.095,         0.240,         0.254
         0.095,         0.240,         0.254
         0.095,         0.242,         0.253
         0.095,         0.242,         0.253
         0.096,         0.242,         0.253
         0.096,         0.242,         0.252
         0.096,         0.242,         0.252
         0.097,         0.242,         0.252
         0.097,         0.242,         0.251
         0.097,         0.242,         0.251
         0.098,         0.242,         0.251
         0.098,         0.245,         0.250
         0.099,         0.245,         0.250
         0.099,         0.245,         0.250
         0.099,         0.247,         0.250
         0.100,         0.250,         0.249
         0.100,         0.253,         0.249
         0.100,         0.253,         0.249
         0.100,         0.255,         0.249
         0.100,         0.255,         0.248
         0.101,         0.255,         0.248
         0.101,         0.255,         0.248
         0.102,         0.255,         0.247
         0.102,         0.260,         0.247
         0.102,         0.260,         0.247
         0.102,         0.260,         0.246
         0.103,         0.260,         0.246
         0.103,         0.260,         0.245
         0.103,         0.263,         0.245
         0.103,         0.263,         0.245
         0.104,         0.263,         0.244
         0.105,         0.268,         0.244
         0.105,         0.268,         0.244
         0.106,         0.268,         0.244
         0.106,         0.268,         0.244
         0.106,         0.270,         0.243
         0.107,         0.270,         0.243
         0.108,         0.270,         0.243
         0.108,         0.270,         0.242
         0.108,         0.270,         0.242
         0.108,         0.270,         0.242
         0.109,         0.270,         0.242
         0.109,         0.270,         0.241
         0.110,         0.270,         0.241
         0.111,         0.270,         0.240
         0.112,         0.270,         0.240
         0.112,         0.273,         0.240
         0.113,         0.273,         0.239
         0.114,         0.273,         0.238
         0.115,         0.273,         0.237
         0.115,         0.273,         0.236
         0.116,         0.273,         0.236
         0.116,         0.273,         0.236
         0.116,         0.275,         0.236
         0.116,         0.275,         0.235
         0.117,         0.275,         0.235
         0.117,         0.278,         0.235
         0.118,         0.278,         0.234
         0.118,         0.278,         0.234
         0.119,         0.278,         0.233
         0.120,         0.278,         0.232
         0.121,         0.278,         0.232
         0.121,         0.280,         0.232
         0.121,         0.280,         0.231
         0.122,         0.280,         0.231
         0.122,         0.280,         0.231
         0.122,         0.280,         0.231
         0.123,         0.280,         0.231
         0.123,         0.280,         0.230
         0.124,         0.280,         0.229
         0.124,         0.283,         0.229
         0.124,         0.283,         0.229
         0.125,         0.283,         0.228
         0.125,         0.285,         0.228
         0.125,         0.285,         0.228
         0.126,         0.285,         0.227
         0.126,         0.288,         0.227
         0.127,         0.288,         0.227
         0.127,         0.288,         0.226
         0.128,         0.288,         0.226
         0.128,         0.288,         0.226
         0.128,         0.288,         0.225
         0.129,         0.288,         0.225
         0.129,         0.288,         0.225
         0.130,         0.288,         0.224
         0.130,         0.288,         0.223
         0.130,         0.290,         0.223
         0.131,         0.290,         0.223
         0.131,         0.293,         0.222
         0.131,         0.293,         0.222
         0.131,         0.293,         0.222
         0.132,         0.293,         0.221
         0.132,         0.293,         0.221
         0.134,         0.293,         0.221
         0.134,         0.293,         0.220
         0.134,         0.293,         0.219
         0.135,         0.293,         0.219
         0.135,         0.293,         0.218
         0.136,         0.293,         0.218
         0.136,         0.293,         0.217
         0.136,         0.293,         0.217
         0.137,         0.295,         0.217
         0.137,         0.295,         0.216
         0.138,         0.295,         0.216
         0.138,         0.295,         0.216
         0.139,         0.295,         0.216
         0.139,         0.295,         0.215
         0.140,         0.295,         0.215
         0.141,         0.295,         0.214
         0.141,         0.295,         0.214
         0.141,         0.298,         0.213
         0.141,         0.298,         0.213
         0.142,         0.298,         0.212
         0.143,         0.298,         0.210
         0.143,         0.298,         0.209
         0.144,         0.298,         0.208
         0.145,         0.298,         0.208
         0.145,         0.298,         0.208
         0.146,         0.298,         0.207
         0.146,         0.298,         0.207
         0.147,         0.298,         0.205
         0.147,         0.301,         0.205
         0.147,         0.301,         0.204
         0.147,         0.303,         0.204
         0.148,         0.303,         0.204
         0.148,         0.303,         0.203
         0.148,         0.306,         0.203
         0.148,         0.306,         0.202
         0.149,         0.306,         0.202
         0.149,         0.306,         0.201
         0.149,         0.308,         0.201
         0.149,         0.308,         0.200
         0.151,         0.308,         0.197
         0.151,         0.313,         0.197
         0.152,         0.313,         0.195
         0.153,         0.313,         0.195
         0.153,         0.316,         0.195
         0.154,         0.316,         0.193
         0.154,         0.318,         0.193
         0.154,         0.318,         0.192
         0.154,         0.318,         0.192
         0.155,         0.318,         0.191
         0.155,         0.323,         0.191
         0.155,         0.326,         0.190
         0.155,         0.328,         0.190
         0.155,         0.328,         0.189
         0.155,         0.336,         0.188
         0.156,         0.336,         0.186
         0.156,         0.338,         0.185
         0.156,         0.338,         0.181
         0.156,         0.343,         0.180
         0.157,         0.343,         0.178
         0.157,         0.346,         0.178
         0.158,         0.346,         0.175
         0.158,         0.348,         0.174
         0.159,         0.348,         0.174
         0.159,         0.354,         0.173
         0.160,         0.354,         0.170
         0.160,         0.356,         0.168
         0.161,         0.356,         0.166
         0.161,         0.359,         0.166
         0.161,         0.359,         0.166
         0.161,         0.369,         0.163
         0.161,         0.369,         0.162
         0.161,         0.374,         0.160
         0.161,         0.374,         0.160
         0.161,         0.379,         0.158
         0.162,         0.379,         0.156
         0.162,         0.381,         0.156
         0.162,         0.381,         0.155
         0.162,         0.394,         0.152
         0.162,         0.394,         0.151
         0.162,         0.396,         0.151
         0.162,         0.396,         0.151
         0.162,         0.399,         0.150
         0.163,         0.399,         0.150
         0.163,         0.402,         0.150
         0.164,         0.402,         0.147
         0.164,         0.404,         0.147
         0.165,         0.404,         0.146
         0.165,         0.407,         0.146
         0.165,         0.407,         0.145
         0.165,         0.412,         0.144
         0.165,         0.412,         0.143
         0.166,         0.412,         0.143
         0.166,         0.417,         0.143
         0.166,         0.422,         0.142
         0.166,         0.424,         0.141
         0.166,         0.424,         0.140
         0.166,         0.427,         0.139
         0.166,         0.432,         0.139
         0.167,         0.432,         0.138
         0.167,         0.434,         0.137
         0.167,         0.434,         0.137
         0.167,         0.437,         0.137
         0.167,         0.437,         0.137
         0.168,         0.437,         0.135
         0.169,         0.439,         0.135
         0.169,         0.439,         0.135
         0.170,         0.439,         0.134
         0.170,         0.442,         0.134
         0.170,         0.442,         0.134
         0.170,         0.444,         0.133
         0.171,         0.444,         0.133
         0.171,         0.447,         0.133
         0.171,         0.447,         0.132
         0.172,         0.447,         0.131
         0.172,         0.447,         0.130
         0.173,         0.449,         0.130
         0.173,         0.449,         0.130
         0.173,         0.452,         0.130
         0.173,         0.452,         0.130
         0.174,         0.455,         0.129
         0.175,         0.455,         0.129
         0.175,         0.455,         0.129
         0.176,         0.455,         0.128
         0.176,         0.455,         0.128
         0.176,         0.455,         0.127
         0.176,         0.457,         0.127
         0.176,         0.457,         0.127
         0.176,         0.460,         0.126
         0.177,         0.460,         0.126
         0.177,         0.462,         0.125
         0.177,         0.462,         0.125
         0.177,         0.467,         0.125
         0.177,         0.467,         0.125
         0.177,         0.470,         0.125
         0.178,         0.470,         0.124
         0.178,         0.472,         0.124
         0.178,         0.475,         0.124
         0.178,         0.475,         0.124
         0.179,         0.475,         0.124
         0.179,         0.477,         0.123
         0.179,         0.477,         0.123
         0.179,         0.480,         0.123
         0.179,         0.480,         0.123
         0.179,         0.482,         0.122
         0.180,         0.482,         0.122
         0.180,         0.487,         0.121
         0.180,         0.492,         0.120
         0.180,         0.495,         0.120
         0.181,         0.495,         0.120
         0.181,         0.497,         0.120
         0.181,         0.497,         0.119
         0.181,         0.500,         0.119
         0.181,         0.505,         0.119
         0.182,         0.505,         0.119
         0.182,         0.505,         0.119
         0.182,         0.510,         0.118
         0.182,         0.510,         0.118
         0.182,         0.513,         0.117
         0.184,         0.523,         0.117
         0.184,         0.525,         0.116
         0.184,         0.530,         0.116
         0.184,         0.530,         0.116
         0.184,         0.533,         0.115
         0.184,         0.538,         0.115
         0.184,         0.540,         0.114
         0.185,         0.540,         0.113
         0.186,         0.540,         0.112
         0.186,         0.540,         0.112
         0.187,         0.540,         0.112
         0.187,         0.543,         0.112
         0.187,         0.543,         0.111
         0.187,         0.548,         0.111
         0.187,         0.548,         0.111
         0.187,         0.551,         0.111
         0.188,         0.551,         0.110
         0.189,         0.556,         0.110
         0.189,         0.556,         0.110
         0.190,         0.561,         0.109
         0.190,         0.563,         0.109
         0.190,         0.563,         0.109
         0.190,         0.566,         0.109
         0.190,         0.566,         0.109
         0.190,         0.568,         0.109
         0.191,         0.573,         0.109
         0.191,         0.573,         0.108
         0.191,         0.573,         0.108
         0.192,         0.576,         0.108
         0.192,         0.578,         0.108
         0.192,         0.578,         0.107
         0.193,         0.578,         0.107
         0.193,         0.581,         0.106
         0.194,         0.581,         0.106
         0.194,         0.583,         0.105
         0.194,         0.586,         0.105
         0.194,         0.591,         0.105
         0.194,         0.596,         0.105
         0.195,         0.596,         0.105
         0.195,         0.596,         0.104
         0.196,         0.598,         0.104
         0.196,         0.598,         0.104
         0.196,         0.601,         0.104
         0.196,         0.601,         0.104
         0.196,         0.601,         0.104
         0.196,         0.601,         0.103
         0.197,         0.601,         0.103
         0.197,         0.601,         0.103
         0.198,         0.601,         0.103
         0.198,         0.604,         0.103
         0.199,         0.604,         0.103
         0.199,         0.604,         0.102
         0.199,         0.606,         0.102
         0.199,         0.606,         0.102
         0.200,         0.606,         0.101
         0.200,         0.606,         0.101
         0.200,         0.606,         0.101
         0.200,         0.609,         0.100
         0.201,         0.609,         0.100
         0.201,         0.611,         0.100
         0.202,         0.611,         0.100
         0.202,         0.611,         0.099
         0.203,         0.611,         0.099
         0.203,         0.611,         0.098
         0.204,         0.611,         0.098
         0.204,         0.611,         0.098
         0.204,         0.614,         0.098
         0.204,         0.614,         0.097
         0.205,         0.614,         0.097
         0.205,         0.614,         0.097
         0.205,         0.614,         0.097
         0.206,         0.616,         0.096
         0.206,         0.616,         0.096
         0.207,         0.616,         0.096
         0.207,         0.616,         0.096
         0.207,         0.616,         0.095
         0.209,         0.616,         0.095
         0.209,         0.616,         0.095
         0.210,         0.616,         0.094
         0.210,         0.621,         0.094
         0.211,         0.621,         0.094
         0.211,         0.624,         0.094
         0.212,         0.624,         0.094
         0.212,         0.624,         0.094
         0.213,         0.624,         0.093
         0.213,         0.629,         0.093
         0.213,         0.629,         0.093
         0.213,         0.631,         0.093
         0.213,         0.631,         0.093
         0.213,         0.631,         0.093
         0.214,         0.631,         0.092
         0.214,         0.631,         0.092
         0.215,         0.631,         0.092
         0.215,         0.631,         0.092
         0.216,         0.634,         0.092
         0.216,         0.636,         0.091
         0.216,         0.639,         0.091
         0.217,         0.639,         0.090
         0.217,         0.641,         0.090
         0.218,         0.641,         0.090
         0.218,         0.641,         0.090
         0.218,         0.644,         0.090
         0.219,         0.644,         0.090
         0.219,         0.646,         0.090
         0.219,         0.646,         0.089
         0.219,         0.649,         0.089
         0.219,         0.652,         0.089
         0.219,         0.654,         0.089
         0.219,         0.654,         0.089
         0.219,         0.657,         0.089
         0.220,         0.657,         0.088
         0.220,         0.659,         0.088
         0.220,         0.659,         0.088
         0.220,         0.662,         0.088
         0.221,         0.662,         0.088
         0.221,         0.662,         0.087
         0.221,         0.662,         0.087
         0.222,         0.662,         0.087
         0.223,         0.662,         0.087
         0.223,         0.662,         0.087
         0.224,         0.662,         0.087
         0.224,         0.662,         0.086
         0.225,         0.662,         0.086
         0.225,         0.664,         0.086
         0.226,         0.664,         0.086
         0.226,         0.667,         0.086
         0.226,         0.667,         0.086
         0.227,         0.667,         0.085
         0.227,         0.667,         0.085
         0.228,         0.672,         0.085
         0.229,         0.672,         0.085
         0.229,         0.674,         0.085
         0.230,         0.674,         0.085
         0.230,         0.674,         0.084
         0.230,         0.677,         0.084
         0.231,         0.677,         0.084
         0.231,         0.677,         0.083
         0.232,         0.677,         0.083
         0.234,         0.682,         0.083
         0.235,         0.682,         0.083
         0.235,         0.682,         0.082
         0.236,         0.682,         0.082
         0.236,         0.682,         0.082
         0.237,         0.682,         0.081
         0.237,         0.682,         0.081
         0.238,         0.684,         0.081
         0.239,         0.684,         0.081
         0.239,         0.684,         0.080
         0.240,         0.684,         0.080
         0.240,         0.684,         0.080
         0.241,         0.687,         0.080
         0.241,         0.689,         0.079
         0.241,         0.689,         0.079
         0.241,         0.689,         0.079
         0.242,         0.689,         0.079
         0.242,         0.694,         0.079
         0.243,         0.694,         0.079
         0.243,         0.694,         0.078
         0.244,         0.697,         0.078
         0.245,         0.699,         0.078
         0.246,         0.705,         0.078
         0.246,         0.705,         0.078
         0.247,         0.707,         0.078
         0.247,         0.707,         0.078
         0.248,         0.707,         0.077
         0.248,         0.707,         0.077
         0.249,         0.707,         0.077
         0.250,         0.707,         0.077
         0.250,         0.712,         0.077
         0.250,         0.715,         0.077
         0.251,         0.715,         0.077
         0.252,         0.717,         0.076
         0.252,         0.717,         0.076
         0.253,         0.720,         0.076
         0.253,         0.720,         0.076
         0.254,         0.720,         0.076
         0.255,         0.720,         0.076
         0.255,         0.722,         0.076
         0.256,         0.722,         0.075
         0.256,         0.725,         0.075
         0.256,         0.725,         0.075
         0.256,         0.725,         0.075
         0.257,         0.725,         0.075
         0.258,         0.727,         0.074
         0.259,         0.727,         0.074
         0.259,         0.730,         0.074
         0.260,         0.732,         0.074
         0.260,         0.732,         0.074
         0.260,         0.732,         0.073
         0.261,         0.732,         0.073
         0.261,         0.732,         0.073
         0.262,         0.732,         0.073
         0.262,         0.735,         0.073
         0.263,         0.735,         0.072
         0.263,         0.735,         0.072
         0.263,         0.735,         0.072
         0.264,         0.737,         0.072
