false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.765
         0.000,         0.003,         0.765
         0.000,         0.067,         0.668
         0.000,         0.067,         0.667
         0.000,         0.083,         0.654
         0.001,         0.083,         0.652
         0.001,         0.089,         0.652
         0.001,         0.089,         0.652
         0.001,         0.099,         0.647
         0.001,         0.099,         0.646
         0.001,         0.115,         0.642
         0.001,         0.115,         0.641
         0.001,         0.121,         0.639
         0.002,         0.121,         0.636
         0.002,         0.125,         0.635
         0.002,         0.125,         0.632
         0.002,         0.134,         0.630
         0.002,         0.134,         0.626
         0.002,         0.141,         0.625
         0.002,         0.141,         0.625
         0.002,         0.147,         0.624
         0.003,         0.147,         0.623
         0.003,         0.150,         0.623
         0.003,         0.150,         0.623
         0.003,         0.157,         0.619
         0.005,         0.157,         0.613
         0.005,         0.163,         0.612
         0.005,         0.163,         0.609
         0.005,         0.185,         0.607
         0.005,         0.185,         0.606
         0.005,         0.188,         0.606
         0.006,         0.188,         0.602
         0.006,         0.192,         0.602
         0.006,         0.192,         0.601
         0.006,         0.198,         0.600
         0.007,         0.198,         0.600
         0.007,         0.208,         0.597
         0.008,         0.208,         0.596
         0.008,         0.217,         0.593
         0.008,         0.217,         0.590
         0.008,         0.220,         0.590
         0.009,         0.220,         0.588
         0.009,         0.224,         0.588
         0.009,         0.224,         0.588
         0.009,         0.227,         0.588
         0.009,         0.227,         0.588
         0.009,         0.233,         0.587
         0.010,         0.233,         0.586
         0.010,         0.243,         0.585
         0.010,         0.243,         0.584
         0.010,         0.246,         0.584
         0.011,         0.246,         0.582
         0.011,         0.259,         0.582
         0.011,         0.259,         0.581
         0.011,         0.262,         0.581
         0.012,         0.262,         0.581
         0.012,         0.265,         0.581
         0.012,         0.265,         0.579
         0.012,         0.275,         0.577
         0.012,         0.275,         0.577
         0.012,         0.278,         0.577
         0.013,         0.278,         0.576
         0.013,         0.284,         0.576
         0.013,         0.284,         0.575
         0.013,         0.291,         0.575
         0.014,         0.291,         0.573
         0.014,         0.300,         0.571
         0.014,         0.300,         0.571
         0.014,         0.304,         0.571
         0.015,         0.304,         0.570
         0.015,         0.307,         0.569
         0.015,         0.307,         0.569
         0.016,         0.307,         0.569
         0.016,         0.307,         0.569
         0.016,         0.313,         0.568
         0.016,         0.313,         0.568
         0.016,         0.316,         0.568
         0.017,         0.316,         0.566
         0.017,         0.319,         0.566
         0.017,         0.319,         0.565
         0.017,         0.323,         0.565
         0.017,         0.323,         0.565
         0.017,         0.326,         0.565
         0.018,         0.326,         0.564
         0.018,         0.329,         0.564
         0.019,         0.329,         0.563
         0.019,         0.332,         0.563
         0.019,         0.332,         0.563
         0.019,         0.335,         0.563
         0.019,         0.335,         0.562
         0.019,         0.339,         0.562
         0.019,         0.339,         0.561
         0.019,         0.342,         0.561
         0.020,         0.342,         0.561
         0.020,         0.345,         0.561
         0.021,         0.345,         0.559
         0.021,         0.351,         0.559
         0.021,         0.351,         0.558
         0.021,         0.355,         0.558
         0.022,         0.355,         0.557
         0.022,         0.361,         0.556
         0.022,         0.361,         0.556
         0.022,         0.364,         0.556
         0.025,         0.364,         0.554
         0.025,         0.367,         0.554
         0.025,         0.367,         0.553
         0.025,         0.371,         0.553
         0.026,         0.371,         0.551
         0.026,         0.374,         0.550
         0.027,         0.374,         0.550
         0.027,         0.383,         0.549
         0.027,         0.383,         0.548
         0.027,         0.390,         0.548
         0.029,         0.390,         0.545
         0.029,         0.396,         0.545
         0.030,         0.396,         0.545
         0.030,         0.399,         0.545
         0.030,         0.399,         0.544
         0.030,         0.403,         0.544
         0.031,         0.403,         0.544
         0.031,         0.406,         0.544
         0.031,         0.406,         0.543
         0.031,         0.415,         0.542
         0.032,         0.415,         0.542
         0.032,         0.419,         0.542
         0.032,         0.419,         0.542
         0.032,         0.422,         0.542
         0.034,         0.422,         0.539
         0.034,         0.428,         0.539
         0.034,         0.428,         0.539
         0.034,         0.431,         0.539
         0.035,         0.431,         0.539
         0.035,         0.435,         0.538
         0.035,         0.435,         0.538
         0.035,         0.438,         0.538
         0.035,         0.438,         0.538
         0.035,         0.444,         0.537
         0.036,         0.444,         0.537
         0.036,         0.450,         0.535
         0.036,         0.450,         0.535
         0.036,         0.457,         0.535
         0.038,         0.457,         0.534
         0.038,         0.460,         0.534
         0.039,         0.460,         0.533
         0.039,         0.463,         0.533
         0.041,         0.463,         0.532
         0.041,         0.466,         0.532
         0.041,         0.466,         0.532
         0.041,         0.479,         0.532
         0.044,         0.479,         0.529
         0.044,         0.482,         0.529
         0.045,         0.482,         0.528
         0.045,         0.486,         0.528
         0.047,         0.486,         0.527
         0.047,         0.495,         0.526
         0.047,         0.495,         0.526
         0.047,         0.498,         0.526
         0.048,         0.498,         0.525
         0.048,         0.502,         0.525
         0.051,         0.502,         0.523
         0.051,         0.505,         0.523
         0.052,         0.505,         0.522
         0.052,         0.508,         0.522
         0.053,         0.508,         0.521
         0.053,         0.511,         0.521
         0.055,         0.511,         0.520
         0.055,         0.514,         0.520
         0.055,         0.514,         0.519
         0.055,         0.518,         0.519
         0.055,         0.518,         0.519
         0.055,         0.521,         0.519
         0.056,         0.521,         0.519
         0.056,         0.524,         0.518
         0.057,         0.524,         0.518
         0.057,         0.534,         0.517
         0.060,         0.534,         0.515
         0.060,         0.537,         0.515
         0.061,         0.537,         0.514
         0.061,         0.540,         0.514
         0.061,         0.540,         0.514
         0.061,         0.543,         0.514
         0.061,         0.543,         0.513
         0.061,         0.546,         0.513
         0.063,         0.546,         0.512
         0.063,         0.550,         0.511
         0.064,         0.550,         0.511
         0.064,         0.556,         0.511
