false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.248
         0.000,         0.003,         0.248
         0.000,         0.067,         0.151
         0.000,         0.067,         0.150
         0.000,         0.083,         0.138
         0.001,         0.083,         0.136
         0.001,         0.089,         0.136
         0.001,         0.089,         0.136
         0.001,         0.099,         0.130
         0.001,         0.099,         0.130
         0.001,         0.115,         0.126
         0.001,         0.115,         0.124
         0.001,         0.121,         0.122
         0.002,         0.121,         0.120
         0.002,         0.125,         0.118
         0.002,         0.125,         0.116
         0.002,         0.134,         0.114
         0.002,         0.134,         0.110
         0.002,         0.141,         0.109
         0.002,         0.141,         0.108
         0.002,         0.147,         0.107
         0.003,         0.147,         0.107
         0.003,         0.150,         0.107
         0.003,         0.150,         0.106
         0.003,         0.157,         0.103
         0.005,         0.157,         0.097
         0.005,         0.163,         0.096
         0.005,         0.163,         0.093
         0.005,         0.185,         0.090
         0.005,         0.185,         0.090
         0.005,         0.188,         0.090
         0.006,         0.188,         0.086
         0.006,         0.192,         0.086
         0.006,         0.192,         0.085
         0.006,         0.198,         0.084
         0.007,         0.198,         0.083
         0.007,         0.208,         0.081
         0.008,         0.208,         0.079
         0.008,         0.217,         0.076
         0.008,         0.217,         0.074
         0.008,         0.220,         0.074
         0.009,         0.220,         0.072
         0.009,         0.224,         0.072
         0.009,         0.224,         0.072
         0.009,         0.227,         0.072
         0.009,         0.227,         0.071
         0.009,         0.233,         0.070
         0.010,         0.233,         0.070
         0.010,         0.243,         0.069
         0.010,         0.243,         0.068
         0.010,         0.246,         0.067
         0.011,         0.246,         0.066
         0.011,         0.259,         0.065
         0.011,         0.259,         0.065
         0.011,         0.262,         0.064
         0.012,         0.262,         0.064
         0.012,         0.265,         0.064
         0.012,         0.265,         0.063
         0.012,         0.275,         0.061
         0.012,         0.275,         0.061
         0.012,         0.278,         0.060
         0.013,         0.278,         0.060
         0.013,         0.284,         0.059
         0.013,         0.284,         0.059
         0.013,         0.291,         0.058
         0.014,         0.291,         0.056
