false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.862
         0.000,         0.003,         0.862
         0.000,         0.048,         0.770
         0.000,         0.048,         0.770
         0.000,         0.070,         0.754
         0.000,         0.070,         0.754
         0.000,         0.073,         0.753
         0.001,         0.073,         0.750
         0.001,         0.077,         0.749
         0.001,         0.077,         0.747
         0.001,         0.086,         0.743
         0.001,         0.086,         0.741
         0.001,         0.096,         0.738
         0.001,         0.096,         0.736
         0.001,         0.102,         0.734
         0.002,         0.102,         0.729
         0.002,         0.109,         0.726
         0.002,         0.109,         0.723
         0.002,         0.118,         0.719
         0.002,         0.118,         0.718
         0.002,         0.131,         0.714
         0.003,         0.131,         0.711
         0.003,         0.137,         0.711
         0.003,         0.137,         0.711
         0.003,         0.147,         0.710
         0.003,         0.147,         0.709
         0.003,         0.150,         0.708
         0.003,         0.150,         0.708
         0.003,         0.153,         0.708
         0.004,         0.153,         0.707
         0.004,         0.160,         0.705
         0.004,         0.160,         0.702
         0.004,         0.176,         0.700
         0.005,         0.176,         0.699
         0.005,         0.192,         0.692
         0.005,         0.192,         0.689
         0.005,         0.204,         0.688
         0.005,         0.204,         0.688
         0.005,         0.208,         0.687
         0.006,         0.208,         0.684
         0.006,         0.217,         0.682
         0.006,         0.217,         0.681
         0.006,         0.227,         0.680
         0.007,         0.227,         0.679
         0.007,         0.230,         0.679
         0.007,         0.230,         0.678
         0.007,         0.233,         0.677
         0.009,         0.233,         0.673
         0.009,         0.236,         0.671
         0.009,         0.236,         0.671
         0.009,         0.246,         0.670
         0.010,         0.246,         0.669
         0.010,         0.252,         0.669
         0.010,         0.252,         0.668
         0.010,         0.259,         0.667
         0.010,         0.259,         0.666
         0.010,         0.262,         0.666
         0.011,         0.262,         0.662
         0.011,         0.265,         0.661
         0.011,         0.265,         0.660
         0.011,         0.268,         0.659
         0.011,         0.268,         0.659
         0.011,         0.272,         0.658
         0.012,         0.272,         0.658
         0.012,         0.278,         0.657
         0.012,         0.278,         0.655
         0.012,         0.281,         0.655
         0.012,         0.281,         0.654
         0.012,         0.284,         0.654
         0.012,         0.284,         0.653
         0.012,         0.288,         0.653
         0.013,         0.288,         0.653
         0.013,         0.297,         0.652
