false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.463
         0.000,         0.003,         0.463
         0.000,         0.099,         0.336
         0.000,         0.099,         0.335
         0.000,         0.105,         0.331
         0.000,         0.105,         0.320
         0.000,         0.112,         0.309
         0.001,         0.112,         0.308
         0.001,         0.118,         0.302
         0.002,         0.118,         0.293
         0.002,         0.128,         0.285
         0.002,         0.128,         0.277
         0.002,         0.131,         0.277
         0.003,         0.131,         0.274
         0.003,         0.137,         0.272
         0.003,         0.137,         0.272
         0.003,         0.144,         0.270
         0.003,         0.144,         0.267
         0.003,         0.153,         0.264
         0.004,         0.153,         0.263
         0.004,         0.153,         0.261
         0.004,         0.163,         0.260
         0.005,         0.163,         0.253
         0.005,         0.176,         0.249
         0.005,         0.176,         0.249
         0.005,         0.182,         0.248
         0.006,         0.182,         0.248
         0.006,         0.185,         0.247
         0.006,         0.185,         0.247
         0.007,         0.185,         0.246
         0.007,         0.192,         0.243
         0.007,         0.192,         0.242
         0.008,         0.192,         0.242
         0.008,         0.195,         0.242
         0.008,         0.198,         0.239
         0.008,         0.198,         0.238
         0.008,         0.201,         0.237
         0.008,         0.201,         0.237
         0.008,         0.204,         0.237
         0.009,         0.204,         0.237
         0.009,         0.204,         0.236
         0.011,         0.204,         0.235
         0.011,         0.208,         0.235
         0.011,         0.211,         0.234
         0.011,         0.211,         0.233
         0.011,         0.214,         0.232
         0.011,         0.214,         0.231
         0.012,         0.214,         0.231
         0.012,         0.214,         0.230
         0.013,         0.217,         0.230
         0.014,         0.217,         0.226
         0.014,         0.224,         0.226
         0.015,         0.224,         0.222
         0.015,         0.224,         0.222
         0.016,         0.224,         0.221
         0.016,         0.224,         0.220
         0.017,         0.224,         0.218
         0.017,         0.227,         0.218
         0.018,         0.230,         0.218
         0.018,         0.233,         0.218
         0.018,         0.240,         0.216
         0.018,         0.240,         0.216
         0.018,         0.249,         0.214
         0.018,         0.249,         0.213
         0.019,         0.252,         0.212
         0.020,         0.252,         0.209
         0.021,         0.252,         0.209
         0.021,         0.256,         0.209
         0.021,         0.256,         0.208
         0.021,         0.259,         0.208
         0.022,         0.259,         0.206
         0.022,         0.262,         0.206
         0.023,         0.262,         0.206
         0.023,         0.262,         0.205
         0.023,         0.265,         0.205
         0.024,         0.265,         0.205
         0.025,         0.268,         0.205
         0.025,         0.272,         0.204
         0.025,         0.272,         0.204
         0.026,         0.272,         0.203
         0.026,         0.272,         0.203
         0.026,         0.278,         0.202
         0.026,         0.278,         0.202
         0.026,         0.281,         0.201
         0.027,         0.281,         0.201
         0.027,         0.284,         0.201
         0.027,         0.284,         0.200
         0.027,         0.288,         0.200
         0.028,         0.288,         0.198
         0.028,         0.291,         0.197
         0.028,         0.291,         0.196
         0.028,         0.291,         0.196
         0.029,         0.291,         0.194
         0.030,         0.291,         0.194
         0.030,         0.291,         0.194
         0.030,         0.294,         0.193
         0.030,         0.294,         0.193
         0.030,         0.297,         0.192
         0.031,         0.297,         0.191
         0.032,         0.297,         0.190
         0.032,         0.300,         0.189
         0.032,         0.304,         0.189
         0.032,         0.307,         0.189
         0.033,         0.307,         0.189
         0.033,         0.310,         0.189
         0.033,         0.310,         0.188
         0.034,         0.313,         0.187
         0.034,         0.313,         0.187
         0.034,         0.316,         0.187
         0.034,         0.316,         0.187
         0.035,         0.316,         0.186
         0.035,         0.316,         0.186
         0.036,         0.316,         0.185
         0.037,         0.316,         0.185
         0.037,         0.316,         0.185
         0.037,         0.319,         0.185
         0.037,         0.323,         0.184
         0.038,         0.323,         0.184
         0.038,         0.326,         0.184
         0.038,         0.326,         0.183
         0.038,         0.329,         0.183
         0.039,         0.329,         0.182
         0.039,         0.332,         0.182
         0.039,         0.332,         0.181
         0.039,         0.335,         0.181
         0.040,         0.335,         0.181
         0.040,         0.339,         0.180
         0.040,         0.345,         0.180
         0.041,         0.345,         0.179
         0.042,         0.345,         0.179
         0.043,         0.345,         0.179
         0.043,         0.345,         0.179
         0.044,         0.345,         0.177
         0.044,         0.345,         0.177
         0.045,         0.345,         0.177
         0.045,         0.345,         0.177
         0.045,         0.345,         0.176
         0.046,         0.345,         0.176
         0.047,         0.345,         0.176
         0.047,         0.345,         0.175
         0.047,         0.348,         0.175
         0.047,         0.348,         0.174
         0.052,         0.348,         0.174
         0.052,         0.351,         0.174
         0.053,         0.351,         0.174
         0.053,         0.351,         0.174
         0.053,         0.355,         0.173
         0.054,         0.355,         0.173
         0.054,         0.355,         0.173
         0.054,         0.355,         0.173
         0.055,         0.355,         0.172
         0.055,         0.355,         0.172
         0.056,         0.358,         0.172
         0.056,         0.358,         0.171
         0.057,         0.358,         0.171
         0.058,         0.361,         0.171
         0.058,         0.361,         0.170
         0.058,         0.361,         0.170
         0.059,         0.361,         0.170
         0.059,         0.364,         0.170
         0.060,         0.364,         0.169
         0.061,         0.367,         0.169
         0.061,         0.367,         0.169
         0.061,         0.367,         0.168
         0.061,         0.371,         0.168
         0.062,         0.371,         0.168
         0.063,         0.371,         0.167
         0.063,         0.371,         0.167
         0.064,         0.371,         0.166
         0.065,         0.374,         0.166
         0.065,         0.374,         0.166
         0.067,         0.374,         0.166
         0.067,         0.377,         0.165
         0.067,         0.380,         0.165
         0.067,         0.380,         0.165
         0.067,         0.383,         0.164
         0.068,         0.383,         0.164
         0.068,         0.383,         0.164
         0.069,         0.383,         0.164
         0.070,         0.383,         0.163
         0.070,         0.383,         0.163
         0.071,         0.383,         0.162
         0.071,         0.387,         0.161
         0.071,         0.390,         0.161
         0.072,         0.390,         0.161
         0.073,         0.393,         0.160
         0.073,         0.393,         0.160
         0.073,         0.396,         0.160
         0.074,         0.396,         0.160
         0.074,         0.396,         0.160
         0.075,         0.396,         0.159
         0.075,         0.399,         0.159
         0.075,         0.399,         0.159
         0.077,         0.399,         0.158
         0.077,         0.399,         0.157
         0.078,         0.399,         0.157
         0.078,         0.406,         0.157
         0.079,         0.406,         0.157
         0.080,         0.406,         0.156
         0.080,         0.409,         0.156
         0.080,         0.412,         0.155
         0.081,         0.419,         0.155
         0.082,         0.422,         0.155
         0.082,         0.422,         0.154
         0.083,         0.425,         0.154
         0.083,         0.425,         0.154
         0.084,         0.425,         0.153
         0.084,         0.425,         0.153
         0.085,         0.428,         0.153
         0.086,         0.428,         0.152
         0.086,         0.428,         0.151
         0.089,         0.428,         0.151
         0.090,         0.431,         0.151
         0.090,         0.431,         0.150
         0.091,         0.431,         0.150
         0.092,         0.431,         0.150
         0.092,         0.435,         0.149
         0.093,         0.435,         0.148
         0.094,         0.435,         0.148
         0.095,         0.435,         0.148
         0.096,         0.435,         0.148
         0.096,         0.435,         0.148
         0.097,         0.435,         0.148
         0.097,         0.438,         0.147
         0.097,         0.438,         0.147
         0.097,         0.438,         0.147
         0.099,         0.438,         0.146
         0.099,         0.438,         0.146
         0.100,         0.438,         0.146
         0.101,         0.438,         0.146
         0.101,         0.444,         0.145
         0.102,         0.450,         0.145
         0.102,         0.454,         0.145
         0.102,         0.454,         0.144
         0.103,         0.457,         0.144
         0.104,         0.460,         0.144
         0.106,         0.460,         0.143
         0.106,         0.460,         0.143
         0.107,         0.460,         0.143
         0.107,         0.463,         0.143
         0.107,         0.463,         0.142
         0.108,         0.463,         0.142
         0.109,         0.463,         0.142
         0.109,         0.463,         0.142
         0.110,         0.470,         0.142
         0.110,         0.470,         0.142
         0.110,         0.473,         0.141
         0.111,         0.476,         0.141
         0.112,         0.476,         0.141
         0.113,         0.476,         0.140
         0.113,         0.476,         0.140
         0.115,         0.479,         0.139
         0.116,         0.479,         0.139
         0.117,         0.479,         0.139
         0.118,         0.479,         0.139
         0.118,         0.479,         0.138
         0.119,         0.479,         0.138
         0.119,         0.479,         0.138
         0.120,         0.479,         0.138
         0.121,         0.479,         0.137
         0.121,         0.482,         0.137
         0.122,         0.482,         0.137
         0.122,         0.482,         0.137
         0.123,         0.482,         0.136
         0.125,         0.482,         0.136
         0.125,         0.482,         0.136
         0.125,         0.482,         0.135
         0.126,         0.489,         0.135
         0.126,         0.489,         0.135
         0.127,         0.489,         0.134
         0.128,         0.489,         0.134
         0.129,         0.492,         0.133
         0.129,         0.492,         0.133
         0.130,         0.492,         0.133
         0.132,         0.492,         0.133
         0.132,         0.495,         0.133
         0.133,         0.495,         0.133
         0.133,         0.495,         0.132
         0.133,         0.495,         0.132
         0.134,         0.495,         0.132
         0.135,         0.495,         0.131
         0.136,         0.495,         0.131
         0.138,         0.495,         0.131
         0.139,         0.495,         0.131
         0.139,         0.495,         0.130
         0.139,         0.495,         0.130
         0.139,         0.495,         0.130
         0.141,         0.502,         0.129
         0.141,         0.502,         0.129
         0.142,         0.502,         0.129
         0.144,         0.505,         0.129
         0.144,         0.505,         0.128
