false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.711
         0.000,         0.003,         0.711
         0.000,         0.008,         0.672
         0.000,         0.008,         0.661
         0.000,         0.011,         0.656
         0.000,         0.011,         0.653
         0.000,         0.014,         0.645
         0.001,         0.014,         0.639
         0.001,         0.017,         0.639
         0.001,         0.017,         0.637
         0.001,         0.023,         0.635
         0.001,         0.023,         0.633
         0.001,         0.031,         0.630
         0.002,         0.031,         0.628
         0.002,         0.034,         0.627
         0.002,         0.034,         0.624
         0.002,         0.037,         0.623
         0.003,         0.037,         0.621
         0.003,         0.048,         0.616
         0.003,         0.048,         0.615
         0.003,         0.054,         0.614
         0.003,         0.059,         0.613
         0.003,         0.062,         0.613
         0.003,         0.062,         0.611
         0.003,         0.073,         0.607
         0.003,         0.073,         0.607
         0.003,         0.076,         0.607
         0.004,         0.076,         0.601
         0.004,         0.082,         0.599
         0.005,         0.082,         0.597
         0.005,         0.087,         0.597
         0.005,         0.087,         0.595
         0.005,         0.093,         0.593
         0.007,         0.093,         0.590
         0.007,         0.096,         0.590
         0.007,         0.096,         0.589
         0.007,         0.099,         0.589
         0.008,         0.099,         0.588
         0.008,         0.101,         0.586
         0.008,         0.101,         0.585
         0.008,         0.115,         0.584
         0.008,         0.115,         0.584
         0.008,         0.118,         0.583
         0.008,         0.118,         0.583
         0.008,         0.121,         0.583
         0.008,         0.121,         0.583
         0.008,         0.124,         0.582
         0.009,         0.124,         0.582
         0.009,         0.127,         0.582
         0.009,         0.127,         0.581
         0.009,         0.130,         0.581
         0.010,         0.130,         0.579
         0.010,         0.135,         0.579
         0.010,         0.135,         0.578
         0.010,         0.141,         0.577
         0.011,         0.141,         0.577
         0.011,         0.144,         0.576
         0.012,         0.144,         0.575
         0.012,         0.146,         0.574
         0.012,         0.146,         0.573
         0.012,         0.155,         0.572
         0.013,         0.155,         0.571
         0.013,         0.155,         0.571
         0.013,         0.158,         0.571
         0.015,         0.158,         0.570
         0.015,         0.161,         0.570
         0.015,         0.161,         0.570
         0.015,         0.163,         0.570
         0.015,         0.163,         0.569
         0.015,         0.166,         0.569
         0.016,         0.166,         0.568
         0.016,         0.175,         0.567
         0.016,         0.175,         0.567
         0.016,         0.177,         0.566
         0.016,         0.177,         0.566
         0.016,         0.180,         0.566
         0.017,         0.180,         0.565
         0.017,         0.183,         0.565
         0.018,         0.183,         0.564
         0.018,         0.186,         0.564
         0.018,         0.186,         0.564
         0.018,         0.189,         0.564
         0.018,         0.189,         0.564
         0.018,         0.192,         0.563
         0.018,         0.192,         0.563
         0.018,         0.197,         0.563
         0.019,         0.197,         0.562
         0.019,         0.200,         0.562
         0.020,         0.200,         0.561
         0.020,         0.203,         0.561
         0.020,         0.203,         0.560
         0.020,         0.206,         0.560
         0.021,         0.206,         0.559
         0.021,         0.208,         0.559
         0.021,         0.208,         0.559
         0.021,         0.211,         0.558
         0.022,         0.211,         0.558
         0.022,         0.214,         0.558
         0.022,         0.214,         0.557
         0.022,         0.217,         0.557
         0.023,         0.217,         0.556
         0.023,         0.223,         0.555
         0.023,         0.223,         0.555
         0.023,         0.228,         0.554
         0.024,         0.228,         0.554
         0.024,         0.231,         0.554
         0.024,         0.231,         0.554
         0.024,         0.234,         0.553
         0.027,         0.234,         0.550
         0.027,         0.242,         0.549
         0.027,         0.242,         0.549
         0.027,         0.245,         0.549
         0.027,         0.245,         0.549
         0.027,         0.248,         0.549
         0.028,         0.248,         0.548
         0.028,         0.256,         0.548
         0.028,         0.256,         0.547
         0.028,         0.262,         0.546
         0.029,         0.262,         0.546
         0.029,         0.265,         0.546
         0.030,         0.265,         0.545
         0.030,         0.268,         0.545
         0.031,         0.268,         0.544
         0.031,         0.273,         0.543
         0.032,         0.273,         0.542
         0.032,         0.276,         0.542
         0.033,         0.276,         0.541
         0.033,         0.279,         0.541
         0.033,         0.279,         0.541
         0.033,         0.282,         0.541
         0.034,         0.282,         0.540
         0.034,         0.285,         0.540
         0.034,         0.285,         0.540
         0.034,         0.287,         0.540
         0.036,         0.287,         0.539
         0.036,         0.290,         0.539
         0.037,         0.290,         0.538
         0.037,         0.293,         0.538
         0.037,         0.293,         0.537
         0.037,         0.299,         0.537
         0.038,         0.299,         0.537
         0.038,         0.301,         0.537
         0.039,         0.301,         0.536
         0.039,         0.307,         0.535
         0.040,         0.307,         0.535
         0.040,         0.310,         0.535
         0.040,         0.310,         0.535
         0.040,         0.313,         0.535
         0.040,         0.313,         0.535
         0.040,         0.315,         0.534
         0.041,         0.315,         0.534
         0.041,         0.318,         0.534
         0.041,         0.318,         0.534
         0.041,         0.321,         0.534
         0.041,         0.321,         0.534
         0.041,         0.324,         0.534
         0.042,         0.324,         0.533
         0.042,         0.330,         0.533
         0.042,         0.330,         0.532
         0.042,         0.332,         0.532
         0.043,         0.332,         0.531
         0.043,         0.335,         0.531
         0.044,         0.335,         0.531
         0.044,         0.338,         0.530
         0.045,         0.338,         0.529
         0.045,         0.341,         0.529
         0.047,         0.341,         0.528
         0.047,         0.341,         0.528
         0.047,         0.341,         0.528
         0.047,         0.344,         0.527
         0.049,         0.344,         0.526
         0.049,         0.346,         0.526
         0.049,         0.346,         0.526
         0.049,         0.349,         0.526
         0.051,         0.349,         0.525
         0.051,         0.349,         0.525
         0.051,         0.352,         0.525
         0.052,         0.352,         0.524
         0.052,         0.355,         0.524
         0.053,         0.355,         0.524
         0.053,         0.358,         0.523
         0.054,         0.358,         0.522
         0.054,         0.361,         0.522
         0.055,         0.361,         0.522
         0.055,         0.363,         0.522
         0.057,         0.363,         0.519
         0.057,         0.366,         0.519
         0.058,         0.366,         0.519
         0.058,         0.372,         0.519
         0.059,         0.372,         0.518
         0.059,         0.375,         0.518
         0.063,         0.375,         0.515
         0.063,         0.377,         0.515
         0.066,         0.377,         0.514
         0.066,         0.380,         0.514
         0.067,         0.380,         0.513
         0.067,         0.383,         0.513
         0.068,         0.383,         0.513
         0.068,         0.383,         0.513
         0.069,         0.383,         0.513
         0.069,         0.386,         0.513
         0.069,         0.386,         0.513
         0.069,         0.389,         0.513
         0.070,         0.389,         0.512
         0.070,         0.392,         0.512
         0.074,         0.392,         0.510
         0.074,         0.394,         0.510
         0.075,         0.394,         0.510
         0.075,         0.397,         0.510
         0.076,         0.397,         0.509
         0.076,         0.403,         0.508
         0.077,         0.403,         0.508
         0.077,         0.406,         0.508
         0.077,         0.406,         0.508
         0.077,         0.408,         0.508
         0.080,         0.408,         0.506
         0.080,         0.411,         0.506
         0.082,         0.411,         0.506
         0.082,         0.414,         0.505
         0.083,         0.414,         0.505
         0.083,         0.417,         0.505
         0.084,         0.417,         0.505
         0.084,         0.420,         0.504
         0.084,         0.420,         0.504
         0.084,         0.423,         0.504
         0.086,         0.423,         0.503
         0.086,         0.428,         0.503
         0.086,         0.428,         0.503
         0.086,         0.434,         0.502
         0.088,         0.434,         0.502
         0.088,         0.437,         0.501
         0.089,         0.437,         0.501
         0.089,         0.439,         0.501
         0.089,         0.439,         0.501
         0.089,         0.442,         0.501
         0.090,         0.442,         0.500
         0.090,         0.445,         0.500
         0.091,         0.445,         0.500
         0.091,         0.448,         0.500
         0.095,         0.448,         0.497
         0.095,         0.451,         0.497
         0.097,         0.451,         0.496
         0.097,         0.454,         0.496
         0.097,         0.454,         0.496
         0.097,         0.456,         0.496
         0.099,         0.456,         0.495
