false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.244
         0.000,         0.003,         0.244
         0.000,         0.008,         0.204
         0.000,         0.008,         0.194
         0.000,         0.011,         0.189
         0.000,         0.011,         0.186
         0.000,         0.014,         0.178
         0.001,         0.014,         0.172
         0.001,         0.017,         0.172
         0.001,         0.017,         0.170
         0.001,         0.023,         0.168
         0.001,         0.023,         0.166
         0.001,         0.031,         0.163
         0.002,         0.031,         0.161
         0.002,         0.034,         0.160
         0.002,         0.034,         0.157
         0.002,         0.037,         0.156
         0.003,         0.037,         0.154
         0.003,         0.048,         0.149
         0.003,         0.048,         0.148
         0.003,         0.054,         0.147
         0.003,         0.059,         0.146
         0.003,         0.062,         0.146
         0.003,         0.062,         0.144
         0.003,         0.073,         0.140
         0.003,         0.073,         0.140
         0.003,         0.076,         0.140
         0.004,         0.076,         0.134
         0.004,         0.082,         0.132
         0.005,         0.082,         0.130
         0.005,         0.087,         0.130
         0.005,         0.087,         0.128
         0.005,         0.093,         0.126
         0.007,         0.093,         0.123
         0.007,         0.096,         0.123
         0.007,         0.096,         0.122
         0.007,         0.099,         0.122
         0.008,         0.099,         0.121
         0.008,         0.101,         0.119
         0.008,         0.101,         0.118
         0.008,         0.115,         0.117
         0.008,         0.115,         0.116
         0.008,         0.118,         0.116
         0.008,         0.118,         0.116
         0.008,         0.121,         0.116
         0.008,         0.121,         0.116
         0.008,         0.124,         0.115
         0.009,         0.124,         0.115
         0.009,         0.127,         0.115
         0.009,         0.127,         0.114
         0.009,         0.130,         0.114
         0.010,         0.130,         0.112
         0.010,         0.135,         0.112
         0.010,         0.135,         0.111
         0.010,         0.141,         0.110
         0.011,         0.141,         0.110
         0.011,         0.144,         0.109
         0.012,         0.144,         0.107
         0.012,         0.146,         0.107
         0.012,         0.146,         0.106
         0.012,         0.155,         0.105
         0.013,         0.155,         0.104
         0.013,         0.155,         0.104
         0.013,         0.158,         0.104
         0.015,         0.158,         0.103
         0.015,         0.161,         0.103
         0.015,         0.161,         0.103
         0.015,         0.163,         0.102
         0.015,         0.163,         0.102
         0.015,         0.166,         0.101
         0.016,         0.166,         0.101
         0.016,         0.175,         0.100
         0.016,         0.175,         0.100
         0.016,         0.177,         0.099
         0.016,         0.177,         0.099
         0.016,         0.180,         0.099
         0.017,         0.180,         0.098
         0.017,         0.183,         0.098
         0.018,         0.183,         0.097
         0.018,         0.186,         0.097
         0.018,         0.186,         0.097
         0.018,         0.189,         0.097
         0.018,         0.189,         0.097
         0.018,         0.192,         0.096
         0.018,         0.192,         0.096
         0.018,         0.197,         0.096
         0.019,         0.197,         0.095
         0.019,         0.200,         0.095
         0.020,         0.200,         0.094
         0.020,         0.203,         0.094
         0.020,         0.203,         0.093
         0.020,         0.206,         0.093
         0.021,         0.206,         0.092
         0.021,         0.208,         0.092
         0.021,         0.208,         0.092
         0.021,         0.211,         0.091
         0.022,         0.211,         0.091
         0.022,         0.214,         0.091
         0.022,         0.214,         0.090
         0.022,         0.217,         0.090
         0.023,         0.217,         0.089
         0.023,         0.223,         0.088
         0.023,         0.223,         0.088
         0.023,         0.228,         0.087
         0.024,         0.228,         0.087
         0.024,         0.231,         0.087
         0.024,         0.231,         0.087
         0.024,         0.234,         0.086
         0.027,         0.234,         0.083
         0.027,         0.242,         0.082
         0.027,         0.242,         0.082
         0.027,         0.245,         0.082
         0.027,         0.245,         0.082
         0.027,         0.248,         0.082
         0.028,         0.248,         0.081
         0.028,         0.256,         0.081
         0.028,         0.256,         0.080
         0.028,         0.262,         0.079
         0.029,         0.262,         0.079
         0.029,         0.265,         0.079
         0.030,         0.265,         0.078
         0.030,         0.268,         0.078
         0.031,         0.268,         0.077
         0.031,         0.273,         0.076
         0.032,         0.273,         0.075
         0.032,         0.276,         0.075
         0.033,         0.276,         0.074
         0.033,         0.279,         0.074
         0.033,         0.279,         0.074
         0.033,         0.282,         0.074
         0.034,         0.282,         0.073
         0.034,         0.285,         0.073
         0.034,         0.285,         0.073
         0.034,         0.287,         0.073
         0.036,         0.287,         0.072
         0.036,         0.290,         0.072
         0.037,         0.290,         0.071
         0.037,         0.293,         0.071
         0.037,         0.293,         0.070
         0.037,         0.299,         0.070
         0.038,         0.299,         0.070
         0.038,         0.301,         0.070
         0.039,         0.301,         0.069
         0.039,         0.307,         0.068
         0.040,         0.307,         0.068
         0.040,         0.310,         0.068
         0.040,         0.310,         0.068
         0.040,         0.313,         0.068
         0.040,         0.313,         0.068
         0.040,         0.315,         0.067
         0.041,         0.315,         0.067
         0.041,         0.318,         0.067
         0.041,         0.318,         0.067
         0.041,         0.321,         0.067
         0.041,         0.321,         0.067
         0.041,         0.324,         0.067
         0.042,         0.324,         0.066
         0.042,         0.330,         0.066
         0.042,         0.330,         0.065
         0.042,         0.332,         0.065
         0.043,         0.332,         0.064
         0.043,         0.335,         0.064
         0.044,         0.335,         0.064
         0.044,         0.338,         0.063
         0.045,         0.338,         0.062
         0.045,         0.341,         0.062
         0.047,         0.341,         0.061
         0.047,         0.341,         0.061
         0.047,         0.341,         0.061
         0.047,         0.344,         0.060
         0.049,         0.344,         0.059
         0.049,         0.346,         0.059
         0.049,         0.346,         0.059
         0.049,         0.349,         0.059
         0.051,         0.349,         0.058
         0.051,         0.349,         0.058
         0.051,         0.352,         0.058
         0.052,         0.352,         0.057
         0.052,         0.355,         0.057
         0.053,         0.355,         0.057
         0.053,         0.358,         0.056
         0.054,         0.358,         0.055
         0.054,         0.361,         0.055
         0.055,         0.361,         0.055
         0.055,         0.363,         0.054
         0.057,         0.363,         0.052
         0.057,         0.366,         0.052
         0.058,         0.366,         0.052
         0.058,         0.372,         0.052
         0.059,         0.372,         0.051
         0.059,         0.375,         0.051
         0.063,         0.375,         0.048
         0.063,         0.377,         0.048
         0.066,         0.377,         0.047
         0.066,         0.380,         0.047
         0.067,         0.380,         0.046
         0.067,         0.383,         0.046
         0.068,         0.383,         0.046
         0.068,         0.383,         0.046
         0.069,         0.383,         0.046
         0.069,         0.386,         0.046
         0.069,         0.386,         0.045
         0.069,         0.389,         0.045
         0.070,         0.389,         0.045
         0.070,         0.392,         0.045
         0.074,         0.392,         0.043
         0.074,         0.394,         0.043
         0.075,         0.394,         0.043
         0.075,         0.397,         0.043
         0.076,         0.397,         0.042
         0.076,         0.403,         0.041
         0.077,         0.403,         0.041
         0.077,         0.406,         0.041
         0.077,         0.406,         0.041
         0.077,         0.408,         0.041
         0.080,         0.408,         0.039
         0.080,         0.411,         0.039
         0.082,         0.411,         0.039
         0.082,         0.414,         0.038
         0.083,         0.414,         0.038
         0.083,         0.417,         0.038
         0.084,         0.417,         0.037
         0.084,         0.420,         0.037
         0.084,         0.420,         0.037
         0.084,         0.423,         0.037
         0.086,         0.423,         0.036
         0.086,         0.428,         0.036
         0.086,         0.428,         0.036
         0.086,         0.434,         0.035
         0.088,         0.434,         0.035
         0.088,         0.437,         0.034
         0.089,         0.437,         0.034
         0.089,         0.439,         0.034
         0.089,         0.439,         0.034
         0.089,         0.442,         0.034
         0.090,         0.442,         0.033
         0.090,         0.445,         0.033
         0.091,         0.445,         0.033
         0.091,         0.448,         0.033
         0.095,         0.448,         0.030
         0.095,         0.451,         0.030
         0.097,         0.451,         0.029
         0.097,         0.454,         0.029
         0.097,         0.454,         0.029
         0.097,         0.456,         0.029
         0.099,         0.456,         0.028
         0.099,         0.459,         0.028
         0.103,         0.459,         0.026
         0.103,         0.462,         0.026
         0.103,         0.462,         0.026
         0.103,         0.465,         0.026
         0.104,         0.465,         0.025
         0.104,         0.470,         0.025
         0.109,         0.470,         0.023
         0.109,         0.476,         0.023
         0.110,         0.476,         0.022
         0.110,         0.479,         0.022
         0.110,         0.479,         0.022
         0.110,         0.482,         0.022
         0.111,         0.482,         0.022
         0.111,         0.485,         0.022
         0.113,         0.485,         0.021
         0.113,         0.487,         0.021
         0.114,         0.487,         0.020
         0.114,         0.493,         0.020
         0.115,         0.493,         0.020
         0.115,         0.496,         0.020
         0.116,         0.496,         0.019
         0.116,         0.499,         0.019
         0.118,         0.499,         0.018
         0.118,         0.501,         0.018
         0.122,         0.501,         0.017
         0.122,         0.507,         0.017
         0.126,         0.507,         0.016
         0.126,         0.510,         0.016
         0.127,         0.510,         0.016
         0.127,         0.513,         0.016
         0.136,         0.513,         0.012
         0.136,         0.515,         0.012
         0.140,         0.515,         0.011
         0.140,         0.518,         0.011
         0.141,         0.518,         0.010
         0.141,         0.521,         0.010
         0.144,         0.521,         0.009
         0.144,         0.524,         0.009
         0.146,         0.524,         0.007
         0.146,         0.530,         0.007
         0.147,         0.530,         0.007
         0.147,         0.535,         0.006
         0.149,         0.535,         0.006
         0.149,         0.538,         0.005
         0.154,         0.538,         0.004
         0.154,         0.538,         0.003
         0.156,         0.538,         0.003
         0.156,         0.541,         0.003
         0.158,         0.541,         0.002
         0.158,         0.544,         0.002
         0.161,         0.544,         0.001
         0.161,         0.546,         0.001
         0.166,         0.546,        -0.001
         0.166,         0.549,        -0.001
         0.176,         0.549,        -0.006
         0.176,         0.552,        -0.006
         0.179,         0.552,        -0.007
         0.179,         0.555,        -0.007
         0.181,         0.555,        -0.007
         0.181,         0.558,        -0.007
         0.182,         0.558,        -0.008
         0.182,         0.561,        -0.008
         0.185,         0.561,        -0.010
         0.185,         0.563,        -0.010
         0.188,         0.563,        -0.011
         0.188,         0.566,        -0.011
         0.189,         0.566,        -0.011
         0.189,         0.569,        -0.011
         0.193,         0.569,        -0.012
         0.193,         0.572,        -0.012
         0.202,         0.572,        -0.016
         0.202,         0.575,        -0.016
         0.202,         0.575,        -0.016
         0.202,         0.577,        -0.016
         0.207,         0.577,        -0.017
         0.207,         0.580,        -0.017
         0.212,         0.580,        -0.019
         0.212,         0.583,        -0.019
         0.213,         0.583,        -0.020
         0.213,         0.586,        -0.020
         0.214,         0.586,        -0.020
         0.214,         0.589,        -0.020
         0.216,         0.589,        -0.021
         0.216,         0.592,        -0.021
         0.219,         0.592,        -0.022
         0.219,         0.594,        -0.022
         0.227,         0.594,        -0.025
         0.227,         0.597,        -0.025
         0.230,         0.597,        -0.026
         0.230,         0.600,        -0.026
         0.232,         0.600,        -0.027
         0.232,         0.603,        -0.027
         0.233,         0.603,        -0.027
         0.233,         0.606,        -0.027
         0.233,         0.606,        -0.027
         0.233,         0.608,        -0.027
         0.234,         0.608,        -0.028
         0.234,         0.611,        -0.028
         0.238,         0.611,        -0.029
         0.238,         0.614,        -0.029
         0.240,         0.614,        -0.030
         0.240,         0.620,        -0.030
         0.244,         0.620,        -0.031
         0.244,         0.623,        -0.032
         0.245,         0.623,        -0.032
         0.245,         0.625,        -0.032
         0.245,         0.625,        -0.032
         0.245,         0.631,        -0.032
         0.246,         0.631,        -0.032
         0.246,         0.634,        -0.033
         0.247,         0.634,        -0.033
         0.247,         0.637,        -0.033
         0.250,         0.637,        -0.034
         0.250,         0.642,        -0.034
         0.266,         0.642,        -0.040
         0.266,         0.645,        -0.041
         0.268,         0.645,        -0.041
         0.268,         0.648,        -0.041
         0.268,         0.648,        -0.041
         0.268,         0.651,        -0.041
         0.271,         0.651,        -0.042
         0.271,         0.656,        -0.042
         0.275,         0.656,        -0.043
         0.275,         0.659,        -0.043
         0.275,         0.659,        -0.043
         0.275,         0.662,        -0.043
         0.275,         0.662,        -0.043
         0.275,         0.665,        -0.043
         0.279,         0.665,        -0.045
         0.279,         0.668,        -0.045
         0.284,         0.668,        -0.047
         0.284,         0.668,        -0.047
         0.286,         0.668,        -0.047
         0.286,         0.670,        -0.047
         0.287,         0.670,        -0.048
         0.287,         0.673,        -0.048
         0.290,         0.673,        -0.049
         0.290,         0.676,        -0.049
         0.294,         0.676,        -0.050
         0.294,         0.679,        -0.050
         0.295,         0.679,        -0.050
         0.295,         0.682,        -0.050
         0.301,         0.682,        -0.052
         0.301,         0.685,        -0.052
         0.305,         0.685,        -0.053
         0.305,         0.687,        -0.053
         0.307,         0.687,        -0.054
         0.307,         0.690,        -0.054
         0.313,         0.690,        -0.055
         0.313,         0.693,        -0.055
         0.313,         0.693,        -0.055
         0.313,         0.696,        -0.055
         0.320,         0.696,        -0.058
         0.320,         0.699,        -0.058
         0.330,         0.699,        -0.060
         0.330,         0.701,        -0.060
         0.330,         0.701,        -0.060
         0.330,         0.704,        -0.060
         0.330,         0.704,        -0.060
         0.330,         0.707,        -0.060
         0.338,         0.707,        -0.062
         0.338,         0.710,        -0.062
         0.344,         0.710,        -0.064
         0.344,         0.713,        -0.064
         0.346,         0.713,        -0.065
         0.346,         0.715,        -0.065
         0.348,         0.715,        -0.066
         0.348,         0.718,        -0.066
         0.350,         0.718,        -0.066
         0.350,         0.721,        -0.066
         0.352,         0.721,        -0.066
         0.352,         0.724,        -0.066
         0.354,         0.724,        -0.067
         0.354,         0.727,        -0.067
         0.356,         0.727,        -0.068
         0.356,         0.730,        -0.068
         0.357,         0.730,        -0.068
         0.357,         0.732,        -0.068
         0.362,         0.732,        -0.070
         0.362,         0.735,        -0.070
         0.364,         0.735,        -0.070
