false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.632
         0.004,         0.008,         0.632
         0.004,         0.017,         0.531
         0.004,         0.017,         0.516
         0.004,         0.028,         0.499
         0.004,         0.028,         0.482
         0.004,         0.031,         0.475
         0.005,         0.031,         0.462
         0.005,         0.037,         0.460
         0.005,         0.037,         0.458
         0.006,         0.037,         0.453
         0.006,         0.039,         0.453
         0.006,         0.039,         0.451
         0.007,         0.042,         0.449
         0.007,         0.045,         0.448
         0.010,         0.045,         0.447
         0.010,         0.045,         0.446
         0.010,         0.062,         0.438
         0.010,         0.062,         0.434
         0.010,         0.062,         0.426
         0.010,         0.076,         0.419
         0.011,         0.076,         0.417
         0.011,         0.090,         0.406
         0.011,         0.093,         0.406
         0.011,         0.096,         0.405
         0.011,         0.096,         0.400
         0.011,         0.101,         0.397
         0.011,         0.101,         0.397
         0.011,         0.104,         0.396
         0.012,         0.104,         0.396
         0.012,         0.110,         0.395
         0.012,         0.110,         0.391
         0.012,         0.113,         0.390
         0.012,         0.113,         0.388
         0.012,         0.115,         0.387
         0.013,         0.118,         0.386
         0.013,         0.118,         0.383
         0.014,         0.118,         0.383
         0.014,         0.121,         0.380
         0.014,         0.127,         0.380
         0.014,         0.127,         0.379
         0.014,         0.138,         0.376
         0.014,         0.141,         0.375
         0.014,         0.141,         0.374
         0.014,         0.149,         0.372
         0.015,         0.149,         0.372
         0.015,         0.149,         0.370
         0.015,         0.158,         0.369
         0.016,         0.158,         0.368
         0.016,         0.158,         0.367
         0.018,         0.158,         0.367
         0.018,         0.161,         0.366
         0.018,         0.163,         0.365
         0.019,         0.163,         0.365
         0.019,         0.166,         0.364
         0.019,         0.166,         0.364
         0.019,         0.169,         0.361
         0.020,         0.169,         0.359
         0.020,         0.177,         0.358
         0.020,         0.177,         0.357
         0.020,         0.177,         0.357
         0.020,         0.183,         0.353
         0.020,         0.183,         0.352
         0.020,         0.189,         0.352
         0.021,         0.189,         0.351
         0.021,         0.197,         0.347
         0.021,         0.197,         0.346
         0.021,         0.197,         0.345
         0.022,         0.200,         0.345
         0.022,         0.206,         0.344
         0.022,         0.206,         0.342
         0.022,         0.208,         0.342
