false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.851
         0.000,         0.003,         0.851
         0.000,         0.048,         0.807
         0.000,         0.054,         0.806
         0.000,         0.107,         0.781
         0.000,         0.112,         0.780
         0.000,         0.158,         0.768
         0.000,         0.158,         0.766
         0.000,         0.171,         0.761
         0.000,         0.171,         0.759
         0.000,         0.273,         0.723
         0.001,         0.273,         0.721
         0.001,         0.337,         0.703
         0.001,         0.337,         0.702
         0.001,         0.395,         0.685
         0.001,         0.395,         0.685
         0.001,         0.446,         0.674
         0.001,         0.446,         0.672
         0.001,         0.452,         0.671
         0.001,         0.452,         0.671
         0.001,         0.454,         0.668
         0.001,         0.459,         0.666
         0.001,         0.462,         0.665
         0.002,         0.462,         0.665
         0.002,         0.497,         0.658
         0.002,         0.497,         0.657
         0.002,         0.500,         0.657
         0.002,         0.500,         0.656
         0.002,         0.510,         0.655
         0.002,         0.510,         0.655
         0.002,         0.518,         0.652
         0.002,         0.518,         0.651
         0.002,         0.520,         0.650
         0.002,         0.520,         0.649
         0.002,         0.528,         0.648
         0.003,         0.528,         0.646
         0.003,         0.533,         0.646
         0.003,         0.533,         0.645
         0.003,         0.543,         0.643
         0.004,         0.543,         0.643
         0.004,         0.546,         0.642
         0.004,         0.546,         0.642
         0.004,         0.571,         0.634
         0.005,         0.571,         0.631
         0.005,         0.577,         0.630
         0.005,         0.577,         0.630
         0.005,         0.582,         0.628
         0.005,         0.582,         0.624
         0.005,         0.597,         0.622
         0.006,         0.597,         0.622
         0.006,         0.599,         0.621
         0.006,         0.599,         0.621
         0.006,         0.607,         0.620
         0.006,         0.607,         0.620
         0.006,         0.610,         0.619
         0.006,         0.610,         0.619
         0.006,         0.612,         0.618
         0.006,         0.612,         0.617
         0.006,         0.615,         0.617
         0.007,         0.615,         0.614
         0.007,         0.617,         0.614
         0.007,         0.617,         0.610
         0.007,         0.620,         0.609
         0.007,         0.620,         0.608
         0.007,         0.625,         0.607
         0.007,         0.625,         0.607
         0.007,         0.628,         0.606
         0.008,         0.628,         0.604
         0.008,         0.633,         0.604
         0.009,         0.633,         0.603
         0.009,         0.635,         0.602
         0.009,         0.635,         0.600
         0.009,         0.638,         0.600
         0.010,         0.638,         0.596
         0.010,         0.640,         0.596
         0.011,         0.640,         0.595
         0.011,         0.643,         0.594
         0.011,         0.643,         0.593
         0.011,         0.648,         0.593
         0.011,         0.648,         0.592
         0.011,         0.653,         0.592
         0.012,         0.653,         0.589
         0.012,         0.666,         0.587
         0.012,         0.666,         0.586
         0.012,         0.668,         0.586
         0.012,         0.668,         0.585
         0.012,         0.671,         0.585
         0.013,         0.671,         0.582
         0.013,         0.676,         0.581
         0.013,         0.676,         0.581
         0.013,         0.684,         0.579
         0.013,         0.684,         0.579
         0.013,         0.689,         0.578
         0.014,         0.689,         0.577
         0.014,         0.691,         0.576
         0.015,         0.691,         0.574
         0.015,         0.694,         0.574
         0.015,         0.694,         0.574
         0.015,         0.696,         0.574
         0.015,         0.696,         0.573
         0.015,         0.699,         0.572
         0.016,         0.699,         0.571
