false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.735
         0.000,         0.000,         0.735
         0.000,         0.000,         0.734
         0.000,         0.003,         0.724
         0.001,         0.003,         0.716
         0.001,         0.005,         0.714
         0.002,         0.005,         0.713
         0.002,         0.008,         0.713
         0.002,         0.008,         0.708
         0.002,         0.016,         0.706
         0.002,         0.016,         0.700
         0.002,         0.018,         0.699
         0.003,         0.018,         0.695
         0.003,         0.024,         0.694
         0.003,         0.024,         0.690
         0.003,         0.026,         0.689
         0.004,         0.026,         0.685
         0.004,         0.029,         0.685
         0.006,         0.029,         0.678
         0.006,         0.032,         0.678
         0.006,         0.037,         0.677
         0.007,         0.037,         0.675
         0.007,         0.040,         0.675
         0.007,         0.040,         0.673
         0.007,         0.045,         0.672
         0.008,         0.045,         0.672
         0.008,         0.050,         0.670
         0.008,         0.050,         0.670
         0.008,         0.061,         0.667
         0.010,         0.061,         0.661
         0.010,         0.066,         0.660
         0.010,         0.066,         0.659
         0.010,         0.071,         0.658
         0.010,         0.074,         0.658
         0.010,         0.077,         0.658
         0.010,         0.079,         0.658
         0.011,         0.079,         0.655
         0.011,         0.084,         0.654
         0.012,         0.084,         0.652
         0.012,         0.090,         0.652
         0.013,         0.090,         0.652
         0.013,         0.092,         0.651
         0.013,         0.092,         0.650
         0.013,         0.095,         0.649
         0.014,         0.095,         0.649
         0.014,         0.098,         0.649
         0.014,         0.098,         0.649
         0.014,         0.111,         0.646
         0.014,         0.111,         0.646
         0.014,         0.116,         0.643
         0.014,         0.121,         0.643
         0.014,         0.124,         0.643
         0.014,         0.124,         0.643
         0.014,         0.127,         0.642
         0.015,         0.127,         0.642
         0.015,         0.129,         0.642
         0.015,         0.129,         0.642
         0.015,         0.132,         0.642
         0.016,         0.132,         0.641
         0.016,         0.132,         0.640
         0.017,         0.132,         0.640
         0.017,         0.132,         0.640
         0.017,         0.135,         0.640
         0.019,         0.135,         0.635
         0.019,         0.148,         0.633
         0.019,         0.148,         0.633
         0.019,         0.150,         0.633
         0.019,         0.150,         0.632
         0.019,         0.156,         0.632
         0.021,         0.156,         0.630
         0.021,         0.158,         0.630
         0.021,         0.158,         0.630
         0.021,         0.161,         0.630
         0.022,         0.161,         0.627
         0.022,         0.166,         0.626
         0.023,         0.166,         0.626
         0.023,         0.172,         0.625
         0.023,         0.172,         0.625
         0.023,         0.174,         0.625
         0.023,         0.174,         0.624
         0.023,         0.179,         0.623
         0.024,         0.179,         0.622
         0.024,         0.182,         0.622
         0.024,         0.182,         0.622
         0.024,         0.187,         0.622
         0.024,         0.190,         0.621
         0.025,         0.190,         0.621
         0.025,         0.193,         0.621
         0.025,         0.193,         0.621
         0.025,         0.195,         0.621
         0.026,         0.195,         0.621
         0.026,         0.198,         0.621
         0.026,         0.198,         0.620
         0.028,         0.198,         0.618
         0.028,         0.201,         0.618
         0.029,         0.201,         0.616
         0.029,         0.208,         0.616
         0.029,         0.208,         0.615
         0.029,         0.214,         0.614
         0.030,         0.214,         0.614
         0.030,         0.216,         0.614
         0.030,         0.216,         0.612
         0.030,         0.219,         0.611
         0.031,         0.219,         0.610
         0.031,         0.224,         0.610
         0.031,         0.224,         0.610
         0.031,         0.227,         0.609
         0.032,         0.227,         0.606
         0.032,         0.235,         0.606
         0.032,         0.237,         0.605
         0.033,         0.237,         0.603
         0.033,         0.243,         0.602
         0.034,         0.243,         0.602
