false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.262
         0.000,         0.003,         0.262
         0.001,         0.003,         0.255
         0.001,         0.005,         0.252
         0.001,         0.005,         0.250
         0.001,         0.008,         0.242
         0.001,         0.008,         0.242
         0.001,         0.010,         0.241
         0.002,         0.010,         0.236
         0.002,         0.013,         0.236
         0.002,         0.013,         0.231
         0.002,         0.015,         0.229
         0.002,         0.015,         0.226
         0.002,         0.018,         0.225
         0.006,         0.018,         0.208
         0.006,         0.023,         0.205
         0.007,         0.023,         0.203
         0.007,         0.026,         0.203
         0.008,         0.026,         0.199
         0.008,         0.028,         0.199
         0.008,         0.028,         0.199
         0.008,         0.033,         0.198
         0.009,         0.033,         0.198
         0.009,         0.038,         0.197
         0.009,         0.038,         0.197
         0.009,         0.041,         0.197
         0.010,         0.041,         0.193
         0.010,         0.044,         0.193
         0.011,         0.044,         0.190
         0.011,         0.049,         0.190
         0.013,         0.049,         0.186
         0.013,         0.049,         0.185
         0.015,         0.049,         0.183
         0.015,         0.051,         0.183
         0.015,         0.051,         0.181
         0.015,         0.056,         0.180
         0.018,         0.056,         0.177
         0.018,         0.062,         0.177
         0.018,         0.062,         0.176
         0.018,         0.064,         0.176
         0.018,         0.067,         0.176
         0.020,         0.067,         0.174
         0.021,         0.067,         0.174
         0.021,         0.072,         0.173
         0.021,         0.072,         0.172
         0.021,         0.074,         0.172
         0.022,         0.074,         0.171
         0.022,         0.077,         0.171
         0.024,         0.077,         0.169
         0.024,         0.082,         0.169
         0.024,         0.082,         0.169
         0.024,         0.085,         0.168
         0.025,         0.085,         0.167
         0.025,         0.087,         0.167
         0.025,         0.092,         0.167
         0.025,         0.092,         0.167
         0.025,         0.095,         0.167
         0.026,         0.095,         0.166
         0.026,         0.097,         0.166
         0.028,         0.097,         0.162
         0.028,         0.100,         0.162
         0.028,         0.100,         0.161
         0.028,         0.103,         0.161
         0.029,         0.103,         0.160
         0.029,         0.105,         0.160
         0.030,         0.105,         0.158
         0.030,         0.108,         0.158
         0.032,         0.108,         0.156
         0.032,         0.113,         0.155
         0.032,         0.113,         0.154
         0.032,         0.115,         0.154
         0.033,         0.115,         0.153
         0.033,         0.118,         0.153
         0.034,         0.118,         0.152
         0.034,         0.121,         0.152
         0.035,         0.121,         0.152
         0.035,         0.123,         0.151
         0.035,         0.123,         0.151
         0.035,         0.126,         0.151
         0.036,         0.126,         0.151
         0.036,         0.126,         0.150
         0.036,         0.128,         0.149
         0.037,         0.128,         0.148
         0.037,         0.131,         0.148
         0.038,         0.131,         0.148
         0.038,         0.131,         0.148
         0.038,         0.133,         0.148
         0.038,         0.138,         0.147
         0.039,         0.138,         0.145
         0.039,         0.144,         0.145
         0.039,         0.149,         0.144
         0.041,         0.149,         0.142
         0.041,         0.154,         0.142
