false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.234
         0.000,         0.005,         0.234
         0.000,         0.133,         0.158
         0.000,         0.133,         0.158
         0.000,         0.227,         0.127
         0.000,         0.227,         0.125
         0.000,         0.251,         0.121
         0.001,         0.251,         0.121
         0.001,         0.270,         0.117
         0.001,         0.270,         0.114
         0.001,         0.280,         0.105
         0.001,         0.280,         0.104
         0.001,         0.284,         0.104
         0.002,         0.284,         0.101
         0.002,         0.341,         0.091
         0.002,         0.341,         0.090
         0.002,         0.355,         0.088
         0.002,         0.355,         0.088
         0.002,         0.365,         0.082
         0.003,         0.365,         0.078
         0.003,         0.370,         0.077
         0.003,         0.370,         0.076
         0.003,         0.389,         0.073
         0.003,         0.389,         0.073
         0.003,         0.393,         0.072
         0.003,         0.393,         0.069
         0.003,         0.408,         0.065
         0.004,         0.408,         0.064
         0.004,         0.417,         0.062
         0.004,         0.417,         0.061
         0.004,         0.422,         0.060
         0.004,         0.422,         0.059
         0.004,         0.431,         0.056
         0.005,         0.431,         0.054
         0.005,         0.441,         0.053
         0.005,         0.441,         0.052
         0.005,         0.450,         0.051
         0.005,         0.450,         0.050
         0.005,         0.455,         0.050
         0.005,         0.455,         0.047
         0.005,         0.460,         0.046
         0.006,         0.460,         0.043
         0.006,         0.479,         0.038
         0.006,         0.479,         0.038
         0.006,         0.488,         0.035
         0.007,         0.488,         0.033
         0.007,         0.493,         0.032
         0.007,         0.493,         0.031
         0.007,         0.498,         0.031
         0.008,         0.498,         0.028
         0.008,         0.507,         0.027
         0.009,         0.507,         0.026
         0.009,         0.517,         0.026
         0.009,         0.517,         0.024
         0.009,         0.531,         0.020
         0.009,         0.531,         0.019
         0.009,         0.536,         0.019
         0.009,         0.536,         0.019
         0.009,         0.540,         0.018
         0.010,         0.540,         0.018
         0.010,         0.545,         0.016
         0.010,         0.545,         0.013
         0.010,         0.550,         0.012
         0.010,         0.550,         0.012
         0.010,         0.559,         0.007
         0.011,         0.559,         0.006
         0.011,         0.564,         0.006
         0.013,         0.564,         0.002
         0.013,         0.573,         0.001
         0.013,         0.573,        -0.003
         0.013,         0.578,        -0.003
         0.014,         0.578,        -0.006
         0.014,         0.588,        -0.008
         0.014,         0.588,        -0.012
         0.014,         0.597,        -0.015
         0.015,         0.597,        -0.015
         0.015,         0.602,        -0.016
         0.015,         0.602,        -0.017
         0.015,         0.630,        -0.019
         0.016,         0.630,        -0.021
         0.016,         0.635,        -0.021
         0.016,         0.635,        -0.022
         0.016,         0.649,        -0.026
         0.017,         0.649,        -0.026
         0.017,         0.664,        -0.027
         0.017,         0.664,        -0.029
         0.017,         0.668,        -0.029
         0.018,         0.668,        -0.031
         0.018,         0.678,        -0.032
         0.018,         0.678,        -0.032
         0.018,         0.682,        -0.032
         0.018,         0.682,        -0.033
         0.018,         0.687,        -0.033
         0.019,         0.687,        -0.035
         0.019,         0.692,        -0.035
         0.019,         0.692,        -0.037
         0.019,         0.701,        -0.038
         0.019,         0.701,        -0.038
         0.019,         0.706,        -0.039
         0.020,         0.706,        -0.040
         0.020,         0.711,        -0.041
         0.024,         0.711,        -0.056
         0.024,         0.716,        -0.057
         0.025,         0.716,        -0.058
         0.025,         0.725,        -0.058
         0.025,         0.725,        -0.059
         0.025,         0.730,        -0.059
         0.026,         0.730,        -0.060
         0.026,         0.735,        -0.060
         0.026,         0.735,        -0.061
         0.026,         0.739,        -0.061
         0.027,         0.739,        -0.063
         0.027,         0.754,        -0.066
         0.028,         0.754,        -0.066
         0.028,         0.763,        -0.067
         0.028,         0.763,        -0.067
         0.028,         0.768,        -0.068
         0.029,         0.768,        -0.071
         0.029,         0.773,        -0.071
         0.031,         0.773,        -0.075
         0.031,         0.777,        -0.075
         0.031,         0.777,        -0.077
         0.031,         0.782,        -0.077
         0.031,         0.782,        -0.078
         0.031,         0.791,        -0.079
         0.032,         0.791,        -0.082
         0.032,         0.801,        -0.082
         0.032,         0.801,        -0.083
         0.032,         0.806,        -0.085
         0.035,         0.806,        -0.092
         0.035,         0.815,        -0.092
         0.036,         0.815,        -0.093
         0.036,         0.820,        -0.093
         0.037,         0.820,        -0.094
         0.037,         0.825,        -0.094
         0.038,         0.825,        -0.099
         0.038,         0.829,        -0.099
         0.041,         0.829,        -0.104
         0.041,         0.834,        -0.104
         0.043,         0.834,        -0.108
         0.043,         0.839,        -0.108
         0.045,         0.839,        -0.109
         0.045,         0.844,        -0.109
         0.047,         0.844,        -0.111
         0.047,         0.848,        -0.113
         0.052,         0.848,        -0.120
         0.052,         0.853,        -0.121
         0.054,         0.853,        -0.127
         0.054,         0.863,        -0.127
         0.056,         0.863,        -0.131
         0.056,         0.867,        -0.132
         0.057,         0.867,        -0.134
         0.057,         0.872,        -0.134
         0.058,         0.872,        -0.136
         0.058,         0.877,        -0.136
         0.059,         0.877,        -0.136
         0.059,         0.882,        -0.136
         0.061,         0.882,        -0.140
         0.061,         0.886,        -0.140
         0.062,         0.886,        -0.140
         0.062,         0.891,        -0.141
         0.066,         0.891,        -0.145
         0.066,         0.896,        -0.145
         0.066,         0.896,        -0.145
         0.066,         0.900,        -0.145
         0.067,         0.900,        -0.148
         0.067,         0.905,        -0.148
         0.068,         0.905,        -0.148
         0.068,         0.910,        -0.149
         0.085,         0.910,        -0.171
         0.085,         0.910,        -0.171
         0.090,         0.910,        -0.175
         0.090,         0.915,        -0.175
         0.091,         0.915,        -0.176
         0.091,         0.919,        -0.176
         0.094,         0.919,        -0.178
         0.094,         0.924,        -0.178
         0.118,         0.924,        -0.198
         0.118,         0.929,        -0.198
         0.138,         0.929,        -0.214
         0.138,         0.934,        -0.215
         0.164,         0.934,        -0.232
         0.164,         0.938,        -0.232
         0.195,         0.938,        -0.249
         0.195,         0.943,        -0.249
         0.195,         0.943,        -0.249
         0.195,         0.948,        -0.249
         0.201,         0.948,        -0.252
         0.201,         0.953,        -0.252
         0.208,         0.953,        -0.255
         0.208,         0.957,        -0.256
         0.214,         0.957,        -0.259
         0.214,         0.962,        -0.259
         0.243,         0.962,        -0.274
         0.243,         0.967,        -0.274
         0.253,         0.967,        -0.279
         0.253,         0.972,        -0.280
         0.271,         0.972,        -0.288
         0.271,         0.976,        -0.288
         0.286,         0.976,        -0.296
         0.286,         0.981,        -0.296
         0.294,         0.981,        -0.300
         0.296,         0.981,        -0.300
         0.309,         0.981,        -0.306
         0.309,         0.981,        -0.306
         0.312,         0.981,        -0.307
         0.312,         0.981,        -0.307
         0.314,         0.981,        -0.308
         0.314,         0.986,        -0.308
         0.347,         0.986,        -0.323
         0.348,         0.986,        -0.323
         0.382,         0.986,        -0.337
         0.383,         0.986,        -0.337
         0.431,         0.986,        -0.355
         0.431,         0.986,        -0.355
         0.446,         0.986,        -0.360
         0.447,         0.986,        -0.360
         0.460,         0.986,        -0.366
         0.460,         0.986,        -0.366
         0.466,         0.986,        -0.369
         0.467,         0.986,        -0.369
