false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.224
         0.000,         0.000,         0.224
         0.000,         0.000,         0.214
         0.000,         0.003,         0.213
         0.001,         0.003,         0.210
         0.001,         0.005,         0.208
         0.001,         0.005,         0.206
         0.001,         0.008,         0.205
         0.001,         0.008,         0.204
         0.001,         0.010,         0.202
         0.002,         0.010,         0.200
         0.002,         0.013,         0.200
         0.002,         0.013,         0.199
         0.002,         0.015,         0.196
         0.002,         0.015,         0.194
         0.002,         0.020,         0.193
         0.003,         0.020,         0.183
         0.003,         0.023,         0.182
         0.003,         0.023,         0.182
         0.003,         0.028,         0.178
         0.004,         0.028,         0.175
         0.004,         0.030,         0.175
         0.004,         0.030,         0.172
         0.004,         0.035,         0.171
         0.004,         0.035,         0.170
         0.004,         0.043,         0.168
         0.004,         0.043,         0.167
         0.004,         0.053,         0.164
         0.005,         0.053,         0.161
         0.005,         0.055,         0.161
         0.006,         0.055,         0.161
         0.006,         0.058,         0.161
         0.007,         0.058,         0.158
         0.007,         0.063,         0.157
         0.007,         0.063,         0.155
         0.007,         0.068,         0.155
         0.010,         0.068,         0.149
         0.010,         0.071,         0.149
         0.010,         0.071,         0.148
         0.010,         0.073,         0.148
         0.011,         0.073,         0.145
         0.011,         0.076,         0.145
         0.011,         0.076,         0.145
         0.011,         0.083,         0.144
         0.012,         0.083,         0.140
         0.012,         0.088,         0.139
         0.013,         0.088,         0.136
         0.013,         0.096,         0.134
         0.013,         0.096,         0.134
         0.013,         0.098,         0.134
         0.015,         0.098,         0.128
         0.015,         0.101,         0.128
         0.016,         0.101,         0.128
         0.016,         0.106,         0.128
         0.017,         0.106,         0.127
         0.017,         0.108,         0.127
         0.017,         0.108,         0.126
         0.017,         0.111,         0.125
         0.017,         0.111,         0.124
         0.017,         0.113,         0.124
         0.018,         0.113,         0.124
         0.018,         0.116,         0.124
         0.018,         0.116,         0.123
         0.018,         0.118,         0.122
         0.019,         0.118,         0.121
         0.019,         0.121,         0.120
         0.020,         0.121,         0.120
         0.020,         0.121,         0.120
         0.020,         0.126,         0.119
         0.020,         0.126,         0.119
         0.021,         0.126,         0.119
         0.021,         0.126,         0.119
         0.021,         0.134,         0.119
         0.022,         0.134,         0.117
         0.022,         0.136,         0.117
         0.022,         0.136,         0.116
         0.022,         0.139,         0.116
         0.023,         0.139,         0.114
         0.023,         0.144,         0.114
         0.024,         0.144,         0.114
         0.024,         0.149,         0.113
         0.024,         0.149,         0.113
         0.024,         0.151,         0.112
         0.025,         0.151,         0.112
         0.025,         0.156,         0.112
         0.026,         0.156,         0.111
         0.026,         0.159,         0.111
         0.026,         0.159,         0.111
         0.026,         0.161,         0.111
         0.027,         0.161,         0.110
         0.027,         0.161,         0.110
         0.027,         0.161,         0.109
         0.027,         0.164,         0.109
         0.027,         0.164,         0.109
         0.027,         0.166,         0.109
         0.028,         0.166,         0.107
         0.028,         0.169,         0.107
         0.029,         0.169,         0.105
         0.029,         0.171,         0.105
         0.030,         0.171,         0.103
         0.030,         0.174,         0.103
         0.030,         0.174,         0.103
         0.030,         0.176,         0.103
         0.030,         0.176,         0.103
         0.030,         0.179,         0.102
         0.031,         0.179,         0.102
         0.031,         0.181,         0.102
         0.031,         0.181,         0.102
         0.031,         0.184,         0.102
         0.031,         0.184,         0.101
         0.031,         0.189,         0.101
         0.032,         0.189,         0.100
         0.032,         0.191,         0.099
         0.032,         0.191,         0.099
         0.032,         0.194,         0.099
         0.032,         0.194,         0.098
         0.032,         0.196,         0.098
         0.032,         0.196,         0.098
         0.032,         0.202,         0.098
         0.033,         0.202,         0.097
         0.033,         0.202,         0.097
         0.033,         0.204,         0.097
         0.033,         0.204,         0.097
         0.033,         0.207,         0.096
         0.034,         0.207,         0.095
         0.034,         0.209,         0.095
         0.035,         0.209,         0.094
         0.035,         0.209,         0.094
         0.035,         0.212,         0.094
         0.036,         0.212,         0.093
         0.036,         0.217,         0.093
         0.037,         0.217,         0.093
         0.037,         0.219,         0.092
         0.037,         0.219,         0.092
         0.037,         0.224,         0.091
         0.039,         0.224,         0.089
         0.039,         0.227,         0.089
         0.041,         0.227,         0.088
         0.041,         0.229,         0.088
         0.042,         0.229,         0.087
         0.042,         0.232,         0.087
         0.042,         0.232,         0.087
         0.042,         0.232,         0.087
         0.043,         0.232,         0.086
         0.043,         0.232,         0.086
         0.044,         0.232,         0.085
         0.044,         0.237,         0.085
         0.044,         0.237,         0.085
         0.044,         0.239,         0.085
         0.047,         0.239,         0.081
         0.047,         0.242,         0.081
         0.048,         0.242,         0.080
         0.048,         0.244,         0.080
         0.048,         0.244,         0.079
         0.048,         0.247,         0.079
         0.053,         0.247,         0.076
         0.053,         0.252,         0.076
         0.054,         0.252,         0.075
         0.054,         0.252,         0.075
         0.054,         0.254,         0.075
         0.055,         0.254,         0.075
         0.055,         0.257,         0.075
         0.058,         0.257,         0.072
         0.058,         0.259,         0.072
         0.058,         0.259,         0.072
         0.058,         0.262,         0.072
         0.059,         0.262,         0.071
         0.059,         0.264,         0.071
         0.060,         0.264,         0.071
         0.060,         0.270,         0.070
         0.060,         0.270,         0.070
         0.060,         0.272,         0.070
         0.061,         0.272,         0.069
         0.061,         0.275,         0.069
         0.061,         0.275,         0.069
