false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.222
         0.000,         0.002,         0.222
         0.000,         0.021,         0.159
         0.000,         0.021,         0.157
         0.000,         0.026,         0.156
         0.000,         0.026,         0.153
         0.000,         0.028,         0.153
         0.001,         0.028,         0.145
         0.001,         0.030,         0.145
         0.002,         0.030,         0.141
         0.002,         0.033,         0.141
         0.003,         0.033,         0.139
         0.003,         0.037,         0.136
         0.003,         0.037,         0.135
         0.003,         0.044,         0.134
         0.003,         0.044,         0.134
         0.003,         0.047,         0.133
         0.004,         0.047,         0.130
         0.004,         0.049,         0.129
         0.004,         0.049,         0.128
         0.004,         0.052,         0.128
         0.004,         0.052,         0.125
         0.004,         0.054,         0.125
         0.004,         0.054,         0.125
         0.004,         0.056,         0.124
         0.005,         0.056,         0.122
         0.005,         0.063,         0.119
         0.006,         0.063,         0.118
         0.006,         0.070,         0.117
         0.006,         0.070,         0.116
         0.006,         0.073,         0.114
         0.008,         0.073,         0.110
         0.008,         0.075,         0.110
         0.008,         0.075,         0.109
         0.008,         0.080,         0.109
         0.010,         0.080,         0.108
         0.010,         0.082,         0.108
         0.011,         0.082,         0.105
         0.011,         0.084,         0.104
         0.011,         0.084,         0.103
         0.011,         0.087,         0.103
         0.012,         0.087,         0.100
         0.012,         0.089,         0.100
         0.013,         0.089,         0.098
         0.013,         0.091,         0.098
         0.013,         0.091,         0.098
         0.013,         0.096,         0.098
         0.014,         0.096,         0.097
         0.014,         0.098,         0.097
         0.014,         0.098,         0.096
         0.014,         0.101,         0.095
         0.015,         0.101,         0.095
         0.015,         0.103,         0.095
         0.015,         0.103,         0.094
         0.015,         0.105,         0.094
         0.016,         0.105,         0.093
         0.016,         0.110,         0.093
         0.016,         0.110,         0.093
         0.016,         0.112,         0.092
         0.016,         0.117,         0.092
         0.017,         0.117,         0.092
         0.017,         0.119,         0.092
         0.017,         0.119,         0.091
         0.017,         0.122,         0.091
         0.018,         0.122,         0.091
         0.018,         0.126,         0.089
         0.018,         0.126,         0.089
         0.018,         0.131,         0.088
         0.019,         0.133,         0.088
         0.020,         0.133,         0.086
         0.020,         0.138,         0.086
         0.021,         0.138,         0.084
         0.021,         0.141,         0.084
         0.021,         0.141,         0.084
         0.021,         0.143,         0.084
         0.022,         0.143,         0.083
         0.022,         0.145,         0.083
         0.023,         0.145,         0.081
         0.023,         0.148,         0.081
         0.023,         0.148,         0.080
         0.023,         0.155,         0.079
         0.024,         0.155,         0.077
         0.024,         0.159,         0.077
         0.024,         0.159,         0.077
         0.024,         0.162,         0.076
         0.025,         0.162,         0.076
         0.025,         0.171,         0.076
         0.025,         0.171,         0.075
         0.025,         0.173,         0.075
         0.025,         0.173,         0.073
         0.025,         0.180,         0.073
         0.026,         0.180,         0.072
         0.026,         0.185,         0.072
         0.026,         0.185,         0.071
         0.026,         0.190,         0.071
         0.027,         0.190,         0.070
         0.027,         0.190,         0.070
         0.027,         0.190,         0.070
         0.027,         0.194,         0.069
         0.028,         0.194,         0.069
         0.028,         0.197,         0.068
         0.028,         0.197,         0.068
         0.028,         0.199,         0.068
         0.029,         0.199,         0.068
         0.029,         0.201,         0.068
         0.029,         0.201,         0.068
         0.029,         0.208,         0.067
         0.030,         0.208,         0.065
         0.030,         0.211,         0.065
         0.031,         0.211,         0.065
         0.031,         0.213,         0.065
         0.032,         0.213,         0.064
         0.032,         0.218,         0.064
         0.033,         0.218,         0.063
         0.033,         0.220,         0.062
         0.033,         0.220,         0.062
         0.034,         0.220,         0.062
         0.035,         0.220,         0.062
         0.035,         0.222,         0.061
         0.035,         0.222,         0.060
         0.035,         0.227,         0.060
         0.036,         0.227,         0.060
         0.036,         0.230,         0.059
         0.037,         0.230,         0.059
         0.037,         0.232,         0.059
         0.038,         0.232,         0.058
         0.038,         0.237,         0.058
         0.038,         0.237,         0.058
         0.038,         0.241,         0.058
         0.039,         0.241,         0.057
         0.039,         0.244,         0.057
         0.041,         0.244,         0.056
         0.041,         0.244,         0.055
         0.041,         0.244,         0.055
         0.041,         0.246,         0.055
         0.042,         0.246,         0.054
         0.042,         0.248,         0.054
         0.043,         0.248,         0.054
         0.043,         0.251,         0.053
         0.043,         0.251,         0.053
         0.044,         0.251,         0.053
         0.044,         0.251,         0.053
         0.044,         0.265,         0.053
         0.044,         0.269,         0.052
         0.044,         0.269,         0.052
         0.044,         0.274,         0.052
         0.045,         0.274,         0.051
         0.045,         0.276,         0.051
         0.046,         0.276,         0.051
         0.046,         0.279,         0.051
         0.047,         0.279,         0.050
         0.047,         0.286,         0.049
         0.047,         0.286,         0.049
         0.047,         0.290,         0.049
         0.047,         0.290,         0.049
         0.047,         0.295,         0.048
         0.048,         0.295,         0.048
         0.048,         0.297,         0.047
         0.049,         0.297,         0.047
         0.049,         0.300,         0.047
         0.049,         0.300,         0.047
         0.049,         0.307,         0.046
         0.050,         0.307,         0.046
         0.050,         0.307,         0.046
         0.050,         0.307,         0.046
         0.050,         0.307,         0.046
         0.050,         0.309,         0.045
         0.051,         0.309,         0.045
         0.051,         0.311,         0.045
         0.051,         0.311,         0.045
         0.052,         0.311,         0.044
         0.052,         0.314,         0.044
         0.052,         0.314,         0.044
         0.053,         0.314,         0.044
         0.053,         0.323,         0.044
         0.054,         0.323,         0.044
         0.054,         0.326,         0.043
         0.055,         0.326,         0.042
         0.055,         0.330,         0.042
         0.056,         0.330,         0.041
         0.056,         0.333,         0.041
         0.057,         0.333,         0.041
         0.057,         0.335,         0.040
         0.057,         0.335,         0.040
         0.057,         0.340,         0.039
         0.058,         0.340,         0.038
         0.059,         0.340,         0.038
         0.059,         0.340,         0.038
         0.059,         0.342,         0.038
         0.059,         0.342,         0.037
         0.059,         0.344,         0.037
         0.062,         0.344,         0.036
         0.062,         0.347,         0.036
         0.062,         0.347,         0.036
         0.062,         0.349,         0.036
         0.062,         0.349,         0.036
         0.062,         0.354,         0.036
         0.063,         0.354,         0.035
         0.063,         0.356,         0.035
         0.065,         0.356,         0.034
         0.065,         0.358,         0.034
         0.065,         0.358,         0.033
         0.065,         0.363,         0.033
         0.066,         0.363,         0.033
         0.066,         0.365,         0.033
         0.066,         0.372,         0.033
         0.068,         0.372,         0.031
         0.068,         0.375,         0.031
         0.068,         0.375,         0.030
         0.069,         0.400,         0.030
         0.069,         0.407,         0.030
         0.070,         0.407,         0.030
         0.070,         0.410,         0.029
         0.070,         0.410,         0.029
         0.070,         0.412,         0.029
         0.072,         0.412,         0.028
         0.072,         0.415,         0.028
         0.073,         0.415,         0.027
         0.073,         0.417,         0.027
         0.073,         0.417,         0.027
         0.073,         0.429,         0.027
         0.074,         0.429,         0.026
         0.074,         0.431,         0.025
         0.074,         0.431,         0.025
         0.075,         0.431,         0.025
         0.076,         0.431,         0.025
         0.076,         0.433,         0.025
         0.076,         0.433,         0.025
         0.076,         0.433,         0.025
         0.077,         0.433,         0.025
         0.077,         0.436,         0.025
         0.079,         0.436,         0.022
         0.079,         0.440,         0.022
         0.081,         0.440,         0.022
         0.081,         0.445,         0.021
