false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.260
         0.000,         0.003,         0.260
         0.000,         0.013,         0.223
         0.000,         0.013,         0.220
         0.000,         0.015,         0.218
         0.000,         0.015,         0.216
         0.000,         0.023,         0.209
         0.001,         0.023,         0.208
         0.001,         0.038,         0.199
         0.001,         0.038,         0.196
         0.001,         0.048,         0.193
         0.001,         0.048,         0.191
         0.001,         0.051,         0.191
         0.001,         0.051,         0.188
         0.001,         0.058,         0.183
         0.002,         0.058,         0.183
         0.002,         0.066,         0.179
         0.002,         0.066,         0.174
         0.002,         0.076,         0.169
         0.002,         0.076,         0.166
         0.002,         0.083,         0.164
         0.002,         0.083,         0.164
         0.002,         0.086,         0.163
         0.003,         0.086,         0.161
         0.003,         0.088,         0.161
         0.003,         0.088,         0.161
         0.003,         0.091,         0.160
         0.003,         0.091,         0.158
         0.003,         0.098,         0.155
         0.003,         0.098,         0.155
         0.003,         0.104,         0.154
         0.004,         0.104,         0.153
         0.004,         0.106,         0.153
         0.004,         0.106,         0.152
         0.004,         0.109,         0.152
         0.004,         0.109,         0.151
         0.004,         0.111,         0.149
         0.005,         0.111,         0.146
         0.005,         0.114,         0.145
         0.006,         0.114,         0.145
         0.006,         0.116,         0.144
         0.006,         0.116,         0.144
         0.006,         0.119,         0.143
         0.006,         0.119,         0.143
         0.006,         0.126,         0.142
         0.007,         0.126,         0.140
         0.007,         0.131,         0.139
         0.007,         0.131,         0.138
         0.007,         0.139,         0.137
         0.008,         0.139,         0.137
         0.008,         0.149,         0.135
         0.008,         0.149,         0.134
         0.008,         0.152,         0.134
         0.008,         0.152,         0.133
         0.008,         0.154,         0.133
         0.009,         0.154,         0.133
         0.009,         0.164,         0.131
         0.009,         0.164,         0.129
         0.009,         0.167,         0.129
         0.010,         0.167,         0.126
         0.010,         0.172,         0.124
         0.010,         0.172,         0.124
         0.010,         0.174,         0.124
         0.011,         0.174,         0.123
         0.011,         0.177,         0.123
         0.012,         0.177,         0.121
         0.012,         0.197,         0.117
         0.013,         0.197,         0.114
         0.013,         0.205,         0.113
         0.013,         0.205,         0.113
         0.013,         0.207,         0.113
         0.013,         0.207,         0.112
         0.013,         0.210,         0.112
         0.014,         0.210,         0.108
         0.014,         0.212,         0.108
         0.015,         0.212,         0.107
         0.015,         0.215,         0.107
         0.015,         0.215,         0.105
         0.015,         0.232,         0.100
         0.015,         0.232,         0.099
         0.015,         0.235,         0.099
         0.016,         0.235,         0.098
         0.016,         0.240,         0.098
         0.016,         0.240,         0.097
         0.016,         0.242,         0.097
         0.016,         0.242,         0.096
         0.016,         0.250,         0.095
         0.016,         0.250,         0.095
         0.016,         0.253,         0.094
         0.017,         0.253,         0.093
         0.017,         0.255,         0.093
         0.018,         0.255,         0.091
         0.018,         0.260,         0.090
         0.019,         0.260,         0.089
         0.019,         0.263,         0.089
         0.019,         0.263,         0.089
         0.019,         0.270,         0.088
         0.019,         0.270,         0.088
         0.019,         0.273,         0.088
         0.020,         0.273,         0.088
         0.020,         0.280,         0.087
         0.021,         0.280,         0.086
         0.021,         0.285,         0.085
         0.021,         0.285,         0.085
         0.021,         0.290,         0.085
         0.022,         0.290,         0.084
         0.022,         0.293,         0.084
         0.022,         0.293,         0.083
         0.022,         0.295,         0.083
         0.022,         0.295,         0.083
         0.022,         0.298,         0.083
         0.023,         0.298,         0.080
         0.023,         0.303,         0.079
         0.024,         0.303,         0.079
         0.024,         0.308,         0.079
         0.025,         0.308,         0.077
         0.025,         0.313,         0.077
         0.025,         0.313,         0.077
         0.025,         0.318,         0.076
         0.026,         0.318,         0.074
         0.026,         0.328,         0.073
         0.027,         0.328,         0.073
         0.027,         0.331,         0.073
         0.027,         0.331,         0.071
         0.027,         0.333,         0.071
         0.028,         0.333,         0.071
         0.028,         0.338,         0.070
         0.028,         0.338,         0.070
         0.028,         0.346,         0.069
         0.029,         0.346,         0.069
         0.029,         0.354,         0.068
         0.029,         0.354,         0.068
         0.029,         0.356,         0.068
         0.029,         0.356,         0.066
         0.029,         0.366,         0.066
         0.030,         0.366,         0.066
         0.030,         0.369,         0.066
         0.030,         0.369,         0.065
         0.030,         0.371,         0.064
         0.030,         0.371,         0.064
         0.030,         0.379,         0.063
         0.031,         0.379,         0.062
         0.031,         0.386,         0.062
         0.032,         0.386,         0.060
         0.032,         0.389,         0.060
         0.033,         0.389,         0.059
         0.033,         0.391,         0.058
         0.035,         0.391,         0.057
         0.035,         0.394,         0.057
         0.035,         0.394,         0.056
         0.035,         0.399,         0.056
         0.036,         0.399,         0.055
         0.036,         0.412,         0.054
         0.036,         0.412,         0.053
         0.036,         0.414,         0.053
