false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.795
         0.000,         0.003,         0.795
         0.000,         0.005,         0.786
         0.001,         0.005,         0.776
         0.001,         0.023,         0.762
         0.001,         0.023,         0.759
         0.001,         0.028,         0.757
         0.001,         0.028,         0.755
         0.001,         0.030,         0.754
         0.002,         0.030,         0.753
         0.002,         0.038,         0.751
         0.002,         0.038,         0.749
         0.002,         0.045,         0.746
         0.002,         0.045,         0.745
         0.002,         0.063,         0.740
         0.002,         0.063,         0.739
         0.002,         0.068,         0.738
         0.003,         0.068,         0.736
         0.003,         0.078,         0.734
         0.003,         0.078,         0.732
         0.003,         0.091,         0.728
         0.004,         0.091,         0.728
         0.004,         0.093,         0.727
         0.004,         0.093,         0.727
         0.004,         0.096,         0.726
         0.005,         0.096,         0.725
         0.005,         0.116,         0.722
         0.005,         0.116,         0.721
         0.005,         0.126,         0.719
         0.005,         0.126,         0.718
         0.005,         0.129,         0.717
         0.006,         0.129,         0.715
         0.006,         0.134,         0.714
         0.006,         0.134,         0.714
         0.006,         0.144,         0.713
         0.007,         0.144,         0.712
         0.007,         0.146,         0.712
         0.007,         0.146,         0.712
         0.007,         0.149,         0.712
         0.007,         0.149,         0.710
         0.007,         0.152,         0.710
         0.008,         0.152,         0.709
         0.008,         0.154,         0.708
         0.008,         0.154,         0.707
         0.008,         0.157,         0.706
         0.008,         0.157,         0.705
         0.008,         0.159,         0.705
         0.008,         0.159,         0.705
         0.008,         0.162,         0.704
         0.009,         0.162,         0.703
         0.009,         0.164,         0.701
         0.009,         0.164,         0.701
         0.009,         0.167,         0.701
         0.010,         0.167,         0.700
         0.010,         0.169,         0.699
         0.010,         0.169,         0.699
         0.010,         0.174,         0.698
         0.011,         0.174,         0.697
         0.011,         0.184,         0.695
         0.011,         0.184,         0.695
         0.011,         0.202,         0.693
         0.011,         0.202,         0.692
         0.011,         0.205,         0.691
         0.012,         0.205,         0.690
         0.012,         0.217,         0.689
         0.012,         0.217,         0.688
