false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.885
         0.000,         0.005,         0.885
         0.000,         0.180,         0.791
         0.000,         0.180,         0.790
         0.000,         0.194,         0.786
         0.000,         0.194,         0.781
         0.000,         0.213,         0.777
         0.001,         0.213,         0.777
         0.001,         0.223,         0.773
         0.001,         0.223,         0.771
         0.001,         0.251,         0.758
         0.001,         0.251,         0.757
         0.001,         0.270,         0.753
         0.001,         0.270,         0.752
         0.001,         0.275,         0.752
         0.002,         0.275,         0.750
         0.002,         0.280,         0.749
         0.002,         0.280,         0.747
         0.002,         0.284,         0.747
         0.002,         0.284,         0.743
         0.002,         0.289,         0.741
         0.003,         0.289,         0.740
         0.003,         0.294,         0.740
         0.003,         0.294,         0.740
         0.003,         0.299,         0.740
         0.004,         0.299,         0.737
         0.004,         0.303,         0.733
         0.004,         0.303,         0.733
         0.004,         0.327,         0.731
         0.004,         0.327,         0.729
         0.004,         0.336,         0.727
         0.004,         0.336,         0.727
         0.004,         0.370,         0.719
         0.004,         0.370,         0.716
         0.004,         0.379,         0.716
         0.005,         0.379,         0.714
         0.005,         0.408,         0.708
         0.005,         0.408,         0.707
         0.005,         0.445,         0.702
         0.005,         0.445,         0.699
         0.005,         0.455,         0.695
         0.006,         0.455,         0.693
         0.006,         0.460,         0.691
         0.006,         0.460,         0.688
         0.006,         0.474,         0.687
         0.006,         0.474,         0.687
         0.006,         0.483,         0.681
         0.006,         0.483,         0.680
         0.006,         0.493,         0.677
         0.007,         0.493,         0.674
         0.007,         0.498,         0.674
         0.008,         0.498,         0.672
         0.008,         0.507,         0.671
         0.009,         0.507,         0.668
         0.009,         0.512,         0.668
         0.009,         0.512,         0.666
         0.009,         0.517,         0.666
         0.009,         0.517,         0.665
         0.009,         0.521,         0.665
         0.009,         0.521,         0.665
         0.009,         0.536,         0.663
         0.010,         0.536,         0.662
         0.010,         0.545,         0.662
         0.010,         0.545,         0.661
         0.010,         0.559,         0.660
         0.010,         0.559,         0.659
         0.010,         0.564,         0.658
         0.010,         0.564,         0.657
         0.010,         0.578,         0.657
         0.010,         0.578,         0.656
         0.010,         0.583,         0.656
         0.011,         0.583,         0.656
         0.011,         0.588,         0.655
         0.011,         0.588,         0.655
         0.011,         0.592,         0.655
         0.011,         0.592,         0.654
         0.011,         0.597,         0.654
         0.013,         0.597,         0.652
         0.013,         0.611,         0.651
         0.013,         0.611,         0.651
         0.013,         0.616,         0.650
         0.013,         0.616,         0.650
         0.013,         0.635,         0.648
         0.014,         0.635,         0.648
         0.014,         0.640,         0.648
         0.015,         0.640,         0.645
         0.015,         0.645,         0.645
         0.016,         0.645,         0.644
         0.016,         0.649,         0.643
         0.016,         0.649,         0.643
         0.016,         0.654,         0.642
         0.017,         0.654,         0.637
         0.017,         0.659,         0.637
         0.018,         0.659,         0.636
         0.018,         0.664,         0.636
         0.018,         0.664,         0.634
         0.018,         0.668,         0.632
         0.019,         0.668,         0.630
         0.019,         0.673,         0.630
         0.019,         0.673,         0.629
         0.019,         0.678,         0.629
         0.019,         0.678,         0.629
         0.019,         0.682,         0.629
         0.020,         0.682,         0.628
         0.020,         0.687,         0.627
         0.021,         0.687,         0.625
         0.021,         0.697,         0.624
         0.022,         0.697,         0.620
         0.022,         0.701,         0.620
         0.023,         0.701,         0.618
         0.023,         0.706,         0.618
         0.023,         0.706,         0.617
         0.023,         0.711,         0.617
         0.023,         0.711,         0.616
         0.023,         0.716,         0.616
         0.026,         0.716,         0.611
         0.026,         0.720,         0.611
         0.029,         0.720,         0.605
         0.029,         0.730,         0.604
         0.029,         0.730,         0.603
         0.029,         0.735,         0.602
         0.030,         0.735,         0.602
         0.030,         0.744,         0.600
         0.030,         0.744,         0.600
         0.030,         0.749,         0.600
         0.030,         0.749,         0.599
         0.030,         0.754,         0.599
         0.031,         0.754,         0.599
         0.031,         0.763,         0.598
         0.032,         0.763,         0.596
         0.032,         0.768,         0.596
         0.032,         0.768,         0.595
         0.032,         0.773,         0.595
         0.033,         0.773,         0.594
         0.033,         0.777,         0.594
         0.033,         0.777,         0.594
         0.033,         0.782,         0.593
         0.033,         0.782,         0.593
